Last Name,Name,Home Dept,Areas of expertise from webpage,Sub-Headings,Start Year,Depart Year
Anderson,Sarah Anderson,Bren,Environmental Politics ,Environmental Politics,2007,
Buntaine,Mark Buntaine,Bren,International Relations and Environmental Policy,Environmental Politics,2013,
C. Meng,Kyle C. Meng,Bren,Environmental Economics; Climate Change,Environmental Economics,2014,
Costello,Christopher Costello,Bren,Environmental economics - regulation and natural resource management under uncertainty,Environmental Economics; Conservation,,
Davis,Frank Davis,Bren,"Landscape Ecology, Conservation Planning",Biogeography/Landscape Ecology; LULCC; Conservation,,2023
Dozier,Jeff Dozier,Bren,"Snow Hydrology, Earth System Science, Remote Sensing",Cryospheric Sciences; Hydrology,,2018
Dunne,Thomas Dunne,Bren,"Geomorphology, Hydrology","Geomorphology, hydrology",,2018
Frew,James Frew,Bren,"Environmental Information Management, digital libraries, snow hydrology",GIScience,1997,
Gaines,Steve Gaines,Bren,"Marine Science, Sustainable Fisheries",Population Ecology; Community Ecology; Conservation; Marine Ecology,,
Geyer,Roland Geyer,Bren,"Industrial Ecology, Production and Operations Management",Industrial Ecology,2003,
Halpern,Ben Halpern,Bren,Marine ecology and conservation biology,"Landscape, Marine and Spatial Ecology; Conservation",2013,
Holden,Patricia Holden,Bren,"Environmental Microbiology – soil science, water quality",Soils; Env Microbiology,,
Jack,Kelsey Jack,Bren,Environment and Development Economics,Environmental Economics,2018,
Jasechko,Scott Jasechko,Bren,Freshwater Resources,"Hydrology, Water Resources",2017,
Keller,Arturo Keller,Bren,"Fate & Transport, Watershed Mgmt, Remediation, Pollution Prevention, nanotechnology",Hydrology; Limnology/Aquatic Ecosystems ,,
Kendall,Bruce Kendall,Bren,"Theoretical ecology, spatial ecology, ",Population & Spatial Ecology,,
Larsen,Ashley Larsen,Bren,"Agricultural Ecology, Land Use, Landscape Ecology",Landscape Ecology; LULLC; Food Systems,2017,
Lenihan,Hunter Lenihan,Bren,"Applied Marine Ecology, Coastal Marine Resources Management",Community Ecology; Conservation; Marine Ecology,,
Libecap,Gary Libecap,Bren,Corporate Environmental Management,Environmental Economics,,2019
Melack,John Melack,Bren,"Biology, Ecology, Limnology",Limnology/Aquatic Ecosystems; Ecosystem Ecology; Hydrology;,,2021
Plantinga,Andrew Plantinga,Bren,Natural Resource Economics and Policy,Environmental Economics,2013,
Potoski,Matthew Potoski,Bren,Corporate Environmental Management,Environmental Politics,2011,
Salzman,James Salzman,Bren,Environmental Law,Environmental Law,2015,
Suh,Sangwon Suh,Bren,"Corporate Environmental Management, Industrial Ecology, Life Cycle Assessment",Industrial Ecology,2011,
Tague,Naomi Tague,Bren,"Hydrology and ecosystem processes, modeling eco-hydrologic systems as altered by land use and climate",Ecosystem Ecology; Hydrology; LULCC,,
Tilman,David Tilman,Bren,"Ecology, Biodiversity, Ecosystem Functioning",Population Ecology; Community Ecology; Conservation,,2022
Stucky,Galen Stucky,Chemistry & Biochemistry,"Inorganic Chemistry, Materials Chemistry",Materials,,2022
Archuleta,Ralph Archuleta,Earth Science,"Seismic Source Studies, Strong Motion Seismology",Geophysics,,2014
