Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year
Anderson,Sarah Anderson,UCSB,Sarah Anderson UCSB,Bren,,,2010,2013
Archuleta,Ralph Archuleta,UCSB,Ralph Archuleta UCSB,Earth Science,,,2009,
Atwater,Tanya Atwater,UCSB,Tanya Atwater UCSB,Earth Science,,,2009,2013
Bair,Edward Bair,UCSB,Edward Bair UCSB,ERI,,,2012,
Ballantine,Andrew Ballantine,UCSB,Andrew Ballantine UCSB,ERI,,,2009,2010
Bildsten,Lars Bildsten,UCSB,Lars Bildsten UCSB,KITP,,,2010,2012
Boles,Jim Boles,UCSB,Jim Boles UCSB,Earth Science,,,2009,
Bookhagen,Bodo Bookhagen,UCSB,Bodo Bookhagen UCSB,Earth Science and Geography,,,2009,
Booth,Derek Booth,UCSB,Derek Booth UCSB,ERI and Bren,,,2011,
Burbank,Douglas Burbank,UCSB,Douglas Burbank UCSB,Earth Science,,,2009,
Busby,Cathy Busby,UC Davis,Cathy Busby UC Davis,Earth Science,,,2009,
Carbone,Mariah Carbone,Northern Arizona University,Mariah Carbone Northern Arizona University,NCEAS,,,2009,2013
Cardinale,Bradley Cardinale,University of Michigan,Bradley Cardinale University of Michigan,EEMB,,,2009,2011
Carlson,Craig Carlson,UCSB,Craig Carlson UCSB,Biology,,,2009,
Carlson,Jean Carlson,UCSB,Jean Carlson UCSB,Physics,,,2009,
Carvalho,Leila Carvalho,UCSB,Leila Carvalho UCSB,Geography,,,2009,
Caselle,Jennifer Caselle,UCSB,Jennifer Caselle UCSB,Marine Science Institute,,,2009,2011
Chadwick,Oliver Chadwick,UCSB,Oliver Chadwick UCSB,Geography,,,2009,
Church,Richard Church,UCSB,Richard Church UCSB,Geography,,,2009,
Clark,Jordan Clark,UCSB,Jordan Clark UCSB,Earth Science,,,2009,
Clarke,Brian Clarke,UCSB,Brian Clarke UCSB,ERI,,,2010,
Clarke,Keith Clarke,UCSB,Keith Clarke UCSB,Geography,,,,2010
Costello,Christopher Costello,UCSB,Christopher Costello UCSB,Bren,,,2009,
Cottle,John Cottle,UCSB,John Cottle UCSB,Earth Science,,,2009,
D'Antonio,Carla D'Antonio,UCSB,Carla D'Antonio UCSB,Environmental Studies,,,2009,
Davis,Frank Davis,UCSB,Frank Davis UCSB,Bren and NCEAS,,,2009,
DeVecchio,Duane DeVecchio,UCSB,Duane DeVecchio UCSB,ERI,,,2009,
DeVries,Timothy DeVries,UCSB,Timothy DeVries UCSB,Geography,,,2014,
Dozier,Jeffrey Dozier,UCSB,Jeffrey Dozier UCSB,Bren,,,2009,
Dunne,Thomas Dunne,UCSB,Thomas Dunne UCSB,Bren,,,2009,
Dykstra,Mason Dykstra,Occidental Petroleum,Mason Dykstra Occidental Petroleum,Crustal Studies,,,,2011
Eakin,Hallie Eakin,Arizona State University,Hallie Eakin Arizona State University,Geography,,,2009,
Fleishman,Erica Fleishman,UCSB,Erica Fleishman UCSB,ERI,,,2009,
Florsheim,Joan Florsheim,UCSB,Joan Florsheim UCSB,ERI,,,2012,
Freeston,Michael Freeston,UCSB,Michael Freeston UCSB,ICESS,,,,2009
Freudenburg,William Freudenburg,UCSB,William Freudenburg UCSB,Environmental Studies,,,,2011
Frew,James Frew,UCSB,James Frew UCSB,Bren,,,2009,
Gaines,Steven Gaines,UCSB,Steven Gaines UCSB,Bren,,,2009,2014
Gans,Phil Gans,UCSB,Phil Gans UCSB,Earth Science,,,2012,
Catherine,Catherine Gautier,UCSB,Catherine Gautier UCSB,Geography,,,2009,2011
Geyer,Roland Geyer,UCSB,Roland Geyer UCSB,Bren,,,2009,2014
Goodchild,Michael Goodchild,UCSB,Michael Goodchild UCSB,Geography,,,2010,2011
Stacia,Stacia Gordon,"University of Nevada, Reno","Stacia Gordon University of Nevada, Reno",ERI,,,2009,2012
Gurrola,Larry Gurrola,UCSB,Larry Gurrola UCSB,Crustal Studies,,,2009,2010
Hacker,Bradley Hacker,UCSB,Bradley Hacker UCSB,Earth Science,,,2009,
Halpern,Ben Halpern,UCSB,Ben Halpern UCSB,Bren,,,2010,
Hannah,Lee Hannah,Conservation International,Lee Hannah Conservation International,Bren,,,2009,
Harthorn,Barbara Harthorn,UCSB,Barbara Harthorn UCSB,Feminist Studies and Anthropology,,,2009,
Haymon,Rachel Haymon,UCSB,Rachel Haymon UCSB,Earth Science,,,2009,2010
Hayton,Trevor Hayton,UCSB,Trevor Hayton UCSB,Chemistry and Biochemistry,,,2009,
Hess,Laura Hess,UCSB,Laura Hess UCSB,ERI,,,2009,
Holden,Patricia Holden,UCSB,Patricia Holden UCSB,Bren and NRS,,,2009,
Israelachvili,Jacob Israelachvili,UCSB,Jacob Israelachvili UCSB,Chemical Engineering,,,2010,2011
Jackson,Matthew Jackson,UCSB,Matthew Jackson UCSB,Earth Science,,,2013,
Janee,Greg Janee,UCSB,Greg Janee UCSB,ERI,,,2009,
Ji,Chen Ji,UCSB,Chen Ji UCSB,Earth Science,,,2009,
Johnson,Brenda Johnson,UCSB,Brenda Johnson UCSB,Library,,,,2009
Jones,Charles Jones,UCSB,Charles Jones UCSB,Geography,,,2009,
Kay,Matthew Kay,UCSB,Matthew Kay UCSB,ERI,,,2009,2012
Keller,Arturo Keller,UCSB,Arturo Keller UCSB,Bren,,,2009,
Keller,Edward Keller,UCSB,Edward Keller UCSB,Earth Science and Environmental Studies,,,2009,
Kellett,Dawn Kellett,Geological Survey of Canada,Dawn Kellett Geological Survey of Canada,Earth Science,,,2010,2012
Kendall,Bruce Kendall,UCSB,Bruce Kendall UCSB,Bren,,,2009,
King,Jennifer King,UCSB,Jennifer King UCSB,Geography,,,2009,
Kirtman,Bernard Kirtman,UCSB,Bernard Kirtman UCSB,Chemistry,,,2010,2011
Kolstad,Charles Kolstad,UCSB,Charles Kolstad UCSB,Economics and Bren,,,2009,2010
Kooijman,Helena Kooijman,"Swedish Museum of Natural History, Stockholm","Helena Kooijman Swedish Museum of Natural History, Stockholm",Earth Science,,,2011,2013
Kylander-Clark,Andrew Kylander-Clark,UCSB,Andrew Kylander-Clark UCSB,Earth Science,,,2009,
