pis,start,end,amount,agency,relationship,id,title,funded,start-year,end-year
Alexander Simms,1/1/13,8/31/16,"$100,000 ",American Chemical Society,"Private agencies, foundations",52790-ND8,Hyperpycnal Subaqueous Fans of the Northern Santa Barbara Channel Central California USA,y,2013,2016
Matthew Jackson,7/1/15,12/31/15,"$15,143 ",American Samoa Power Authority,California state and municipal agencies,SB150139,A preliminary geochemical characterization of lavas from a 600 meter drill core in Tutuila American Samoa,y,2015,2015
Nicholas Nidzieko,6/1/17,12/31/17,"$81,865 ",AMPAC Inc.,"Private agencies, foundations",AMPAC0180-17-012,Test of bi-static underwater optical imager from an autonomous underwater vehicle,y,2017,2017
J. Ohlmann,11/30/18,10/14/19,"$57,873 ",Arete Associates,"Private agencies, foundations",AZ-401259,Ocean of Things Float Development,y,2018,2019
Roberta Rudnick,9/1/16,8/31/19,"$140,000 ",Arizona State University/Tempe,Institutes of higher education,EAR-1338810,FESD Type 1: The Dynamics of Earth System Oxygenation,y,2016,2019
Stephane Maritorena,8/12/15,9/30/19,"$144,592 ",Bermuda Institute of Ocean Sciences (BIOS) Inc.,"Private agencies, foundations",154444,UCSBCORAL: COral Reef Airborne Laboratory,y,2015,2019
Brad Hacker,6/1/16,5/31/20,"$260,619 ",Boise State University,Institutes of higher education,6800-GPIRE,ExTerra Field Institute and Research Endeavor (E-FIRE),y,2016,2020
Erica Fleishman,2/1/10,12/31/19,"$266,000 ",BP Exploration - Alaska,"Private agencies, foundations",SB100049,Cumulative Effects of Anthropogenic Underwater Sound on Marine Mammals,y,2010,2019
Katja Seltmann,6/27/16,6/30/18,"$40,000 ",California Coastal Conservancy,California state and municipal agencies,15-124,Kids in Nature Explore the Coast (KIN2),y,2016,2018
Jennifer Thorsch,6/10/14,9/30/15,"$25,000 ",California Coastal Conservancy,California state and municipal agencies,13-078,Kids in Nature Explore the Coast,y,2014,2015
Ralph Archuleta Chen Ji,10/1/17,3/31/18,"$49,747 ",California Department of Conservation,California state and municipal agencies,1017-561,Strong Ground Motion from Earthquakes on Multiple Faults,y,2017,2018
Joel Michaelsen Lisa Stratton,1/1/16,4/30/20,"$997,095 ",California Department of Fish and Wildlife,California state and municipal agencies,P1696006,North Campus Open Space Coastal Wetland Restoration Project,y,2016,2020
Roland Knapp,3/23/17,10/31/19,"$92,862 ",California Department of Fish and Wildlife,California state and municipal agencies,P1620105,Three crucially important conservation actions to recovery R. sierrae in the northern Sierra,y,2017,2019
Joel Michaelsen Lisa Stratton Jennifer King,6/30/15,3/1/20,"$999,989 ",California Department of Fish and Wildlife,California state and municipal agencies,P1496006,North Campus Open Space Wetlands Restoration,y,2015,2020
Karl Rittger,6/1/18,12/31/19,"$331,195 ",California Department of Fish and Wildlife,California state and municipal agencies,,High Resolution Snow Cover Maps for Quantifying Winter Habitat for Wildlife,y,2018,2019
Carol Blanchette Marion Wittmann,6/13/19,3/15/21,"$506,800 ",California Department of Forestry,California state and municipal agencies,5GA18206,Valentine Reserve Fuel Reduction,y,2019,2021
Joel Michaelsen Lisa Stratton,7/1/17,6/30/25,"$391,250 ",California Department of Parks and Recreation,California state and municipal agencies,C0232033,North Campus Open Space: Trailhead Interpretive Area and Amenities Project,y,2017,2025
Joel Michaelsen Lisa Stratton,1/19/17,11/1/20,"$2,449,000 ",California Department of Transportation,California state and municipal agencies,05-6300F15,UC Santa Barbara North Campus Open Space Multi-Modal Trail Project,y,2017,2020
Thomas Dunne,11/15/07,11/30/17,"$286,582 ",California Department of Water Resources,California state and municipal agencies,460007708,San Joaquin River Restoration Program,y,2007,2017
Patricia Holden,1/1/15,11/30/19,"$1,987,869 ",California Department of Water Resources,California state and municipal agencies,14-476-550,Microbial Source Tracking in the Santa Barbara Region,y,2015,2019
Carla D'Antonio,8/16/11,3/31/15,"$600,000 ",California Energy Commission,California state and municipal agencies,20111150,Quantifying the Impacts of Interactions Between Fire Invasive Species and Hydrologic Cycles,y,2011,2015
Arturo Keller Sangwon Suh,6/16/14,8/31/15,"$109,921 ",California EPA Toxic Substances Control Department of,California state and municipal agencies,13-T3804,Chemical Life Cycle Database and Visualization Tool,y,2014,2015
Arturo Keller Roland Geyer,4/23/15,6/30/16,"$93,500 ",California EPA Toxic Substances Control Department of,California state and municipal agencies,14-T3952,Pilot Study on Alternatives Assessment,y,2015,2016
Joan Florsheim Edward Keller,3/6/14,6/30/15,"$100,000 ",California EPA Water Control Board,California state and municipal agencies,13-068-120,San Gregorio Creek Watershed Sediment Budget,y,2014,2015
Joel Michaelsen Lisa Stratton,5/1/17,1/1/21,"$350,000 ",California Natural Resources Agency,California state and municipal agencies,E13613-0,North Campus Open Space Coastal Habitat Enhancement Program,y,2017,2021
Joel Michaelsen Lisa Stratton,5/1/15,12/31/18,"$1,000,000 ",California Natural Resources Agency,California state and municipal agencies,U59316-0,North Campus Open Space Restoration,y,2015,2018
Joel Michaelsen Lisa Stratton,9/1/16,11/30/19,"$1,000,000 ",California Ocean Protection Council,California state and municipal agencies,P01-1-07,North Campus Open Space Coastal Wetland Restoration,y,2016,2019
Stephane Maritorena,2/1/19,1/31/20,"$12,819 ",California State University - San Marcos,Institutes of higher education,92329/85142,Carbon-based phytoplankton size classes using multi-platform ocean color observations and Earth System Models: satellite algorithm development and interannual variability,y,2019,2020
Joel Michaelsen Lisa Stratton,7/27/16,6/30/20,"$3,820,000 ",California Wildlife Conservation Board,California state and municipal agencies,WC-1589DC,Upper Devereux Slough Restoration,y,2016,2020
Christina Tague,11/15/18,3/31/22,"$609,970 ",California Wildlife Conservation Board,California state and municipal agencies,WC-1750BC,From Snow to Flow: Targeted Forest Management Strategies to Increase Streamflow For Ecosystems and People in the Tahoe-Truckee Basin,y,2018,2022
Leonel Romero J. Ohlmann,9/18/15,2/29/20,"$1,692,209 ",Centro De Investigacion Cientifica De Ensenada CICESE,California state and municipal agencies,SB160037,Inner-Shelf Near-Surface Horizontal Dispersion,y,2015,2020
J. Ohlmann,9/1/15,8/31/16,"$102,637 ",City of Los Angeles,California state and municipal agencies,4500318931,Monitoring the Fate and Transport of the Diversion Effluent Plume from the Hyperion Treatment Plant (City of Los Angeles Bureau of Sanitation),y,2015,2016
Patricia Holden,9/9/14,1/31/15,"$24,991 ",City of Santa Barbara,California state and municipal agencies,21400222,Verification Monitoring in Santa Barbara,y,2014,2015
Patricia Holden,11/8/16,1/31/18,"$29,999 ",City of Santa Barbara,California state and municipal agencies,21700093,Research in New Source Detection,y,2016,2018
Sangwon Suh,7/15/14,6/30/19,"$466,517 ",City University of New York (CUNY),Institutes of higher education,40E48-A,WSC-Category 3: A National Energy-Water System Assessment Framework (NEWS): Stage I Development,y,2014,2019
Kelly Caylor,11/17/17,7/31/20,"$103,249 ",Clark University,Institutes of higher education,2A325-7533,Hazards SEES: Understanding cross-scale interactions of trade and food policy to improve resilience to drought risk in Zambia,y,2017,2020
Kelly Caylor,1/1/18,12/31/19,"$80,267 ",Clark University,Institutes of higher education,SB180140,Developing and Scaling Up The Mapping Africa Active Learning Platform,y,2018,2019
David Siegel,1/1/13,3/31/15,"$30,424 ",Columbia University,Institutes of higher education,3 (GG006565-09),Atmospheric Correction Over Coastal Oceans using Hyperspectral Imaging and Scanning Polarimetry (ACOCO-HISP),y,2013,2015
Joshua Schimel,1/1/18,12/31/19,"$60,000 ",Community Environmental Council,"Private agencies, foundations",SB190053,Healthy Soils Demonstration Project,y,2018,2019
