pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
David Siegel,3/15/06,9/30/09,"$149,262 ",Princeton University,Institutes of higher education,1198,Application of Novel Satellite Carbon Biomass to Develop Ecosystem Models Capable of Predicting Climate Change,"Ocean ecosystem models are actively being developed to predict the biological response to and impact on climate change through their influence on the atmosphere-ocean distribution of CO2. Up to now, NASA’s satellite-derived observations of chlorophyll have been the most relevant global data set available for the development, evaluation, and retooling of such models. However, the variable of greatest importance to the global carbon cycle and its impact on climate is the carbon biomass of phytoplankton, not chlorophyll concentration. Consequently, interpreting the discrepancies between simulations and observations is confounded by the fact that the relationship between chlorophyll and carbon biomass is not well understood. A solution to this problem has been found. Through recent advances in ocean color data analysis it is now possible to simultaneously retrieve global distributions of phytoplankton carbon biomass and chlorophyll concentration (Behrenfeld et al., 2004, in press, attached). Based on this new data set, we propose to do the following: (1) Convert the new datasets into a form that would be useful to us and others in the field by constructing global 8-day and monthly datasets of carbon biomass and chlorophyll-to-carbon ratio (Chl:C), as well as additional variables that can be derived from these datasets including phytoplankton growth rate, mixed layer net primary production, and mixed 185 layer loss. (2) Use the resulting global carbon biomass dataset to (a) directly compare observations with model predictions of phytoplankton biomass and growth rate, and to (b) improve our existing ecosystem models and (c) develop a new generation of ''inductive'' models that will be based on the biomass and chlorophyll observations. (3) In collaboration with our colleagues at NOAA’s Geophysical Fluid Dynamics Lab (GFDL), deploy our ecosystem models in coupled atmosphere-ocean global circulation climate models (AOGCMs). Run concurrently in AOGCMs, independent carbon biomass-based ecosystem models will make it possible to predict future climate change better than has been possible so far. Based on our previous experience with ecosystem models and our analyses of preliminary carbon biomass estimates, we expect that the response of our new models to global warming will be significantly different from our existing models. The prime responsibility of the UCSB group will be to produce and distribute a suite of novel satellite determinations of carbon biomass and growth rates in collaboration with researchers from Princeton University and Oregon State University. Input data for this will be SeaWiFS and MODIS Terra and Aqua missions. We will produce merged global data fields of carbon biomass, carbon to chlorophyll ratio, carbon-based primary production and phytoplankton loss rates and distribute these data sets via the world wide web. This work builds on that of a ReaSON grant to Jim Frew, Stephane Maritorena and David Siegel of UCSB. We will work with researchers from Princeton University and Oregon State University in validating these data sets and will assist in develop predictive models of carbon cycling for predicting future changes in the ocean's carbon cycle.",2006,2009
David Siegel,5/15/07,5/14/11,"$155,574 ",Princeton University,Institutes of higher education,1466,Ocean color carbon and circulation: Studies with an Earth System Model,"This work will focus on the bio-optical modeling and the application of large-scale ocean color imagery to the goals in the main proposal. Specifically, we propose to · develop bio-optical models for radiant heating applications which include colored dissolved organic matter (CDOM), · assist the Princeton group in modeling of CDOM dynamics within a standard ecosystem model frame, · validate the Princeton model output using available ocean color satellite and in situ data sets, · analyze trends (time, space, EOF modal, etc.) in merged MODIS / SeaWIFS data to develop useful twin experiments for simulaitons, and · collaborate with the Princeton group in the interpretation of and publication of results from the project. The UCSB group is uniquely suited to conduct this work. For example, we have developed a large database of available bio-optical properties from which bio-optical models that include CDOM can be developed (www.icess.ucsb.edu/OCisD/request_data.html). A recent graduating student, Jon Klamberg, completed his Masters thesis developing a 1-D mixed layer model of 186 CDOM cycling at the Bermuda Atlantic Time series Site (BATS). His results will help in our modeling of CDOM dynamics within the Princeton group’s ecosystem model. Last, the UCSB group has developed a merged data set of MODIS / SeaWIFS imagery of chlorophyll concentrations, CDOM and particulate backscatter coefficients (see www.icess.ucsb.edu/~manuela/oceancolor.html).",2007,2011
Naomi Tague,1/1/10,6/30/12,"$72,115 ",Kearney Foundation,"Private agency, foundation",2009.03,Optimized Soil Moisture Sampling Design to Represent the Impact of Annual Climate Variability on Dominant Ecohydrological Orecesses in Snow-Dominated Watersheds,"Snow-dominated mountain ecosystems are particularly sensitive to changes in climate. Warmer temperatures lead to earlier snowmelt and a transition from snow to rain dominated water inputs. Empirical and model-based studies have shown that, for the Western U.S., these changes will likely lead to significant shifts in the seasonal timing of streamflow (Stewart et al., 2004). Changes in the timing of water inputs will also alter seasonal soil wetting-drying patterns and soil-vegetation biogeochemical cycling processes that depend on moisture conditions The goal of this project is to characterize soil moisture and coupled ecosystem responses to climate-driven changes in timing of water inputs for a watershed located at the sensitive rain- snow transition zone within the southern California Sierra Nevada range. One of the key challenges in any investigation of soil moisture driven processes is accounting for spatial heterogeneity at multiple scales. Soil moisture is highly spatially variable and controls on this variation shift with spatial and temporal scale and extent. In snowmelt driven watersheds, soil hydraulic properties may dominate at very fine scales, while spatial variation in snow accumulation and melt, vegetation cover, radiation and micro-meteorology play varying roles at increasingly coarser scales. Soil moisture sampling directed at understanding how the system responds to climate variation must take into account these multiple controls. In this project, we develop a strategic soil moisture (and vegetation water flux) sampling strategy that is explicitly designed to capture spatial heterogeneity that will likely be important in characterizing system responses to inter-annual climate variability. We use an integrated field-sampling-hydrologic modeling approach to maximize the utility of measurements and then use these results in an assessment of how changes in snow accumulation and melt will alter soil moisture and its control on vegetation water use. Our research site has recently been established as the Sierra Critical Zone Observatory. This project leverages an extensive set of ongoing field measurements and links this work with other research initiatives, including several focused on soil biogeochemical cycling. One of the key contributions of this project will be the development and application of a strategic soil moisture and sap flux sampling design based on a physically-based, spatially distributed eco-hydrologic model and associated statistical analysis, ultimately to represent the impact of annual climate variability on dominant eco-hydrologic processes. We initially calibrate the model to reproduce existing soil moisture, sap-flow and streamflow data. We use the model to generate spatial- temporal patterns of snow, soil moisture and transpiration under historical and projected future climate. These patterns are then clustered to identify areas of hydrologic similarity, where similarity will be defined by inter-annual mean and variation of a suite of hydrologic indicators (e.g. seasonal trajectories of snowmelt, root-zone soil moisture storage, and evapotranspiration). We use both traditional clustering approaches and Empirical Orthogonal Function analysis to reduce the dimensionality of the system. Additional field measurements are then taken to better represent key clusters of similar soil moisture dynamics and contribute to analysis of space-time soil moisture dynamics under a warming climate.",2010,2012
Patricia Holden,7/1/10,6/30/14,"$573,500 ",Southern California Coastal Water Research Project (SCCWRP),"California state, municipal agencies",7965,SIPP,This is the Source Identification Protocol Project (SIPP) a multi-institutional effort between the Southern California Coastal Water Research Project (SCCWRP) UCLA UCSB and Stanford University funded through SCCWRP by the State of California using Proposition 84 funds. The project aims to develop and implement source identification (ID) protocols to enhance the State of California Clean Beach Initiative grant applicants‚Äô ability to design and submit competitive implementation projects for Proposition 84 funding. The program includes (1) evaluating and selecting reliable DNA-based source ID protocols and (2) testing the methods to find bacterial sources at high priority beaches. The knowledge will be transferred to local agencies and an infrastructure will be created so that future source investigations can be carried out more consistently and successfully. In addition a source identification manual for AB538 (Assembly Bill 538) will be created and results will be disseminated.,2010,2014
Patricia Holden,1/1/14,1/31/16,"$194,209 ",Southern California Coastal Water Research Project (SCCWRP),"California state, municipal agencies",9406,Determination of DNA-based Fecal Marker Aging Characteristics for Use in Quantitative Microbial Source Tracking,The goal of the proposed work is to understanding how aging of fecal pollution affects the ability of managers and policy makers to interpret results from microbial source tracking assays. Microbial source tracking assays have been developed that are highly sensitive and specific and this is a great advancement in tracking sources of microbial pollution in recreational waters. Our team has evaluated modern assays for their specificity and sensitivity and has applied well- performing assays to identifying sources contributing to regional microbiological water pollution. However interpreting assay results likely depends on the source of pollution when it was released and how it changed or ‚Äúaged‚Äù within the environment. The relative abundances of assay markers are expected to change significantly during pollution source aging in the environment but the magnitude of those changes and the factors that contribute are unknown. This makes interpreting assay results from environmental samples very difficult. The overall goal of this project is to determine aging characteristics and contributing factors in the field and in the lab.,2014,2016
Patricia Holden,2/1/08,8/31/09,"$76,193 ",City of Santa Barbara,"California state, municipal agencies",22659,DNA-Based Microbial Source Tracking in Laguna Channel Santa Barbara,The City of Santa Barbara has previously identified ozone disinfection at the outlet of Laguna Channel (near the existing pump station) as an appropriate project for reducing beach warnings. Prior to moving forward with such a project the City seeks to better understand the watershed for example in terms of inputs of polluted runoff vs. uncontaminated groundwater. Additional study may identify project(s) that provide more treatment per unit cost and/or have lower maintenance costs over the lifetime of the project. Prior Mission Creek study included some sampling in the lower Laguna watershed specifically in the Channel just upstream of Chase Palm Park and in the Laguna Lagoon. Results to date support that DNA-based markers of human fecal contamination can be found in the lower Laguna watershed. However sampling to date has been limited and the samples thus far demonstrate significant temporal variability. Before investments are made in treatment infrastructure or other remedial activities towards improving creek and coastal water quality in the Laguna Channel watershed area a more comprehensive study is needed at the watershed scale to define the spatial extent and temporal patterns of fecal contamination and sources. The project seeks to identify human contamination sources their temporal (diurnal and other) variability and potentially determining other host sources of fecal bacterial contamination in water samples collected for this study.,2008,2009
Patricia Holden,10/14/08,3/31/11,"$340,000 ",City of Santa Barbara,"California state, municipal agencies",22926,Microbial Source Tracking Protocol Development,Santa Barbara like many urbanized coastal communities in California frequently determines that fecal indicator bacteria (FIB) concentrations in surf zone water exceed State of California AB411 criteria. This project involved research in support of determining origins of FIB associated with human fecal pollution (sewage) in storm drains that discharge to coastal creeks flowing to Santa Barbara beaches. The overall goals were to determine origins of sewage contamination in storm drains during dry weather and to compile a protocol for other communities to use for similar source tracking purposes based on the results of this research. Research involved field work field sampling of water and fecal samples and laboratory analysis of field samples. Methods for alternative sewage indicators were researched and selected methods were recruited and tested for their utility in assessing sewage in storm drains. A novel approach was developed for studying exfiltration (sanitary to storm sewer) that involved dispensing rhodamine WT dye into sanitary sewers and detecting a fluorescence signal continuously in real time in storm drain manholes using a field-deployable battery-driven submersible optical probe with data logger. The specificity of two similar widely-used approaches for quantifying sewage contamination in water samples through quantitative polymerase chain reaction (qPCR) analysis of DNA markers in human waste was tested. This involved collecting fecal samples from various non-target (raccoon gull rat dog cat) hosts and target (human septage sewage) materials then comparing the specificity of two popular qPCR- based approaches for quantifying human markers. Equipment items for flow measurement in storm drains and automated continuous sampling were researched and selected then deployed at two locations for 72 hour campaigns to better understand temporal variation in human waste contamination and in storm drain flow. A high-density microarray of DNA probes the PhyloChip was used to assess differences in fecal source bacterial communities for the non-target (as above) and human-associated (as above) fecal samples. The fecal source bacterial community profiles by PhyloChip were then compared to water sample bacterial communities for samples collected in various sites of interest based on historical FIB and/or human DNA-marker contamination. A GIS database was assembled with microbiological data‚Äîboth historical from recent studies conducted by UCSB for the City and also from this study‚Äîdisplayed along with storm drains sanitary sewers and streets with the latter three types of data already contained in the City GIS database as separate layers. The GIS database was used to generate several products for visualizing information and for planning remediation and research. Standard operating procedures (SOPs) were developed for all procedures and assays found to be most useful in tracking human waste in storm drains. A protocol for implementing these procedures was designed for others to use in similar studies. The conclusions of this study regard how communities based on our experiences in this research should best approach source tracking human waste in storm drains.,2008,2011
Brad Hacker,4/1/13,3/31/16,1249486,National Science Foundation,Federal agencies,75489,Collaborative Research: The Role of Fluids in Intermediate-Depth Seismicity and Wedge Anisitrophy: Case Studies for Cascadia and Alaska With a Comparison to Japan,Large amounts of fluid enter Earth‚Äôs mantle through subduction of hydrated oceanic sediment igneous crust and mantle. During subduction a series of progressive devolatilization reactions release fluid from the slab. Some of these fluids enter the overlying mantle wedge and trigger melting that in turn leads to arc volcanism. While it is clear that fluids play an important role in the dynamics of subduction zones the precise fluid pathways remain unclear. Details of the fluid budget the location of dehydration events and the precise role of fluids in triggering intermediate-depth seismicity also remain unquantified. Recent seismological work has provided important new insights into the position of intermediatedepth seismicity in the slab and the role of seismic anisotropy in the interpretation of seismic velocities. The first allows us to test whether fluids are responsible in generating intermediate-depth seismicity; the second leads to improvements in the seismological mapping of fluids and melts within the mantle wedge. The strong non-linear influence of fluids on material properties and wave propagation makes it essential to use a forward modeling approach where we predict the physical state of wedge and slab by dynamical models that take into account the best constraints from mineral physics and petrology. By comparing the seismological expression of these models with the observations we can iteratively improve the dynamical/petrological models. In the research proposed here we will develop new high-resolution 2D/3D finite element models of the dynamics and thermal structure of subduction zones. We will use petrological and mineral physics constraints to guide the choices for rheology and to predict the seismological expression of these models; in particular for velocity anisotropy. Using seismological modeling we will compare the predictions with observations and use an iterative approach to develop a suite of models that satisfy the observations. We will use these models to study the dynamics and structure of the subducting slab and mantle wedge at two GeoPRISMS primary sites (Alaska and Cascadia) and the well-instrumented Japan subduction system to address three main questions: 1) Does intermediate-depth seismicity indicate the presence of fluids? 2) Can we constrain the composition and deformation of the mantle wedge from observations of seismic anisotropy? 3) Can we use improved predictions for the petrological structure of the slab and anisotropic structure of the wedge to improve the locations of subduction-zone earthquakes? The focus sites are well-studied ‚Äúwarm‚Äù and ‚Äúcold‚Äù subduction zone end-members and provide excellent testing grounds for the main research hypotheses.,2013,2016
Jennifer Thorsch,12/5/12,12/30/13,"$7,500 ",Southern Calif Gas Company,"Private agency, foundation",83445,Kids In Nature,"The Kids in Nature (KIN) environmental education program is an innovative and highly regarded program designed to enrich the learning experiences of underrepresented and underserved youth in our community. KIN staff provides support, training, and resources to educators for curriculum development and to support the teaching of environmental science. KIN is designed to provide each 5th grade classroom with a total of twelve educational activities with linkages to our partners—CCBER, the Marine Science Institute’s REEF program, Coal Oil Point Reserve, Santa Barbara Botanic Garden and Arroyo Hondo Preserve. The fifth grade students and teachers work closely with the KIN staff and UCSB student volunteers in an outdoor setting to gain firsthand experience with the environmental concepts they learn for an in-depth, hands-on, and sustained educational experience. During the yearlong program, we estimate that each KIN student experiences approximately 100 hours of small group education. KIN has a significant impact on the teachers’ and students’ understanding, involvement in, and awareness of environmental issues through engaging and challenging activities and positive interactions both in class and in the field with scientists, graduate and undergraduate students who volunteer for the KIN program.",2012,2013
Ralph Archuleta,2/1/08,1/31/12,"$120,000 ",University of Southern California,Institutes of higher education,120044,SCEC3: Prediction of Broadband Time Histories,We will continue to improve this new method for predicting broadband ground motion. We propose 4 main tasks: 1) Use dynamic modeling to get a better understanding of the spatial interdependency between kinematic parameters and selecting parameters that are most suitable for implementation in a kinematic rupture model. In short we need to select the best possible correlated parameters as input to the kinematic models. 2) Use a different slip rate function than the one proposed in Liu et al. (2006). Looking at the slip rate functions in the more than 250 dynamic models that we have computed thus far we find that the slip rate model of Liu et al. (2006) has a different convexity following the peak slip rate than that in Liu et al. (2006). 3) Implement the new results in the kinematic rupture model generator and repeat the validations. The validations will include both Northridge and Loma Prieta. 4) Implement new rupture model generator in broadband simulation platform. We will work on refinement of our rupture model generator based on insights gained from dynamic modeling (Schmedes et al. 2008b). Our current analysis suggests that average rupture velocity and slip show a wide range of positive and negative correlations. Furthermore slip and local rupture velocity do not seem to be a good parameter pair to use because there is basically no correlation between the two when the rupture attains its larger speeds. This observation is illustrated in Figure 3 (top). We show the joint probability distribution for rupture velocity/shear wave velocity and slip amplitude/ average slip for one of the dynashake shakeout ruptures computed by Steve Day and Luis Dalguer. Once the rupture gained a certain speed there is no dependency of the rupture speed with the slip amplitude. We also observe this in the about 250 dynamic rupture models we have computed so far. Hence a different parameterization of the kinematic model for example using correlated peak slip rate and rupture velocity is necessary.,2008,2012
