pis,start,end,amount,agency,relationship,id,title,start-year,end-year
Archuleta,1/1/13,12/31/13,73466,US Geological Survey,Federal agencies,20121380,Resolving Uncertainty in Estimates of Stress Drop,2013,2013
Archuleta,1/1/14,12/31/14,85321,US Geological Survey,Federal agencies,20131306,Resolving Uncertainty Estimates of Stress Drop,2014,2014
"Archuleta, Lavallee",12/1/13,11/30/14,76909,US Geological Survey,Federal agencies,20131312,"Liquefaction Hazard in Western Washington, Part II: Data from the Seattle Liquefaction Array",2013,2014
"Archuleta, Lavallee",1/1/15,12/31/16,277627,National Science Foundation,Federal agencies,20140945,Borehole Observations of the Onset and Evolution of Liquefaction,2015,2016
"Archuleta, Seale",10/1/11,9/30/13,292282,National Science Foundation,Federal agencies,20111041,NEESR: Earthquake-Induced Pore Pressure Increase and Liquefaction Hazard - More than a Local Effect.,2011,2013
"Archuleta, Seale",1/1/12,12/31/13,267318,National Science Foundation,Federal agencies,20111458,Earthquake-Induced Pore Presure Increase and Liquefaction Hazard - More Than a Local Effect.,2012,2013
"Archuleta, Seale",7/1/12,6/30/14,282001,National Science Foundation,Federal agencies,20120527,NEESR: Earthquake-Induced Pore Pressure Increase and Liquification Hazard - More Than a Local Effect,2012,2014
"Bair, Dozier",10/1/13,9/30/16,392084,National Science Foundation,Federal agencies,20130605,Scaling Issues in Snow Avalanche Stability Tests: Implications for Crack Propagation and Arrest in Full-Size Avalanches ,2013,2016
"Bair, Dozier",10/1/13,9/30/17,347780,National Science Foundation,Federal agencies,20140647,4-d measurement and modelling of fracture in snow,2013,2017
Bookhagen,1/1/11,12/31/13,62483,National Science Foundation,Federal agencies,20110081,COLLABORATIVE RESEARCH: Climatic and tectonic controls on the morphodynamics of the northern Andes of central Peru,2011,2013
Bookhagen,7/1/12,6/30/15,653924,UC Lab Fees Research Program,UC-wide,20120852,Measuring large flood recurrence intervals,2012,2015
"Bookhagen, Dozier",11/1/10,10/31/13,729043,National Aeronautics and Space Administration,Federal agencies,20101215,"Changes in the Hydrologic and Glacial Regime in High Asia-Integrating MODIS, ASTER, and Other Data Sources.",2010,2013
"Bookhagen, Dozier",1/1/14,12/31/16,498040,National Aeronautics and Space Administration,Federal agencies,20140032,Magnitude of snow water equivalent storage and seasonal melting in High Asia,2014,2016
"Bookhagen, Fisher",3/1/11,11/30/11,12000,National Science Foundation,Federal agencies,20110445,Doctoral Dissertation Research - Spatial Quanitification of Climate-Erosion Linkages Across the Himalaya.,2011,2011
"Bookhagen, Harvey",9/1/12,8/31/15,30000,National Aeronautics and Space Administration,Federal agencies,20120942,Assessing Risk Associated With Climate Change and Rapid Ice Melting in the Himalaya.,2012,2015
"Bookhagen, Smith",9/1/13,8/31/14,30000,National Aeronautics and Space Administration,Federal agencies,20130837,"Landscapes in Peril: The delicate balance between changing climate conditions, vegetation cover, and erosion",2013,2014
"Bookhagen, Smith",9/1/14,8/31/15,30000,National Aeronautics and Space Administration,Federal agencies,20140874,"New Frontiers in Glacier Mapping: Climate Change and Water Resources in the High Tien Shan, Central Asia",2014,2015
"Burbank, Bookhagen",2/1/10,1/31/13,184693,National Science Foundation,Federal agencies,20100072,Collaborative Research: Erosion and Deformation at Climatic Time Scales in the Nepalese Himalaya,2010,2013
"Burbank, Bookhagen",2/1/11,1/31/14,312889,National Science Foundation,Federal agencies,20110070,Collaborative Research:  Erosion and Deformation at Climatic Time Scales in the Nepalese Himalaya,2011,2014
"Burbank, Bookhagen",7/1/14,6/30/16,283247,National Science Foundation,Federal agencies,20140806,Controls on the Creation and Dissection of Strath Surfaces,2014,2016
"Burbank, Clarke",8/1/11,7/31/14,266556,National Science Foundation,Federal agencies,20110832,Near-Surface Bedrock Fractures:  Patterns and Controls,2011,2014
"Burbank, Fisher",6/1/11,8/31/12,3000,Evolving Earth Foundation,"Private agency, foundation",20110993,Climate Vs Tectonics: Deciphering the Spatial and Temporal Driver of Orogenic Evolution on the Himalaya.,2011,2012
"Burbank, Harvey",9/1/11,8/31/12,30000,National Aeronautics and Space Administration,Federal agencies,20110883,Evaluating landslide response to extreme precipitation events the Himalaya – a satellite-based perspective,2011,2012
Busby,2/1/12,1/31/14,156125,National Science Foundation,Federal agencies,20111555,"Collaborative Research: Geodynamic Modeling of Transtensional Rift Initiation, with Geologic Constraints from the Gulf of California and Central Walker Lane",2012,2014
Busby,8/1/13,7/31/17,301352,National Science Foundation,Federal agencies,20130230,"REU: Collaborative Research: Field-Based Research on the Gulf of California Rift Margin, Baja California Sur (Mexico)",2013,2017
Busby,1/1/14,6/30/17,289371,National Science Foundation,Federal agencies,20131417,"Collaborative Research: Location and Timing of Crustal Shortening, Super-Volcano Eruptions, and Continental Plateau Uplift in the Western Cordillera and Adjacent Altiplano",2014,2017
Busby,3/30/14,2/28/15,14897,Consortium for Ocean Leadership,"Private agency, foundation",20141502,U.S. Science Support Program,2014,2015
Carbone,5/1/10,4/30/12,90000,Kearney Foundation,"Private agency, foundation",20100277,A Synthesis ofSoil Respiration in California Ecosystems Across Multiple Spatial and Temporal Scales.,2010,2012
