list,pis,start,end,amount,agency,relationship,id,title,start-year,end-year
48,Suh,9/1/14,8/31/15,30000,City University of New York (CUNY),Institutes of higher education,20150580,"Life-cycle environmental impacts and resource requirements of technologies for greenhouse gas mitigation, with a focus on cross-cutting energy efficiency technologies",2014,2015
21,"Keller, Garner",1/1/15,12/31/15,15000,Society of Environmental Toxicology and Chemistry,"Private agencies, foundations",20150283,"Fate, transport, exposure, and risk assessment of engineered nano materials in the environment",2015,2015
13,"Dozier, Brandt",9/1/15,8/31/16,30000,National Aeronautics and Space Administration,Federal agencies,20150855,Hydrologic and ecological forecasting in California's Sierra Nevada,2015,2016
14,"Dozier, Stillinger",9/1/15,8/31/16,30000,National Aeronautics and Space Administration,Federal agencies,20150858,Discrimination between Clouds and Snow Based on Grain Size and Viewing Geometry,2015,2016
26,"McFadden, Wetherley",9/1/15,8/31/16,30000,National Aeronautics and Space Administration,Federal agencies,20150818,Using HyspIRI-like data to characterize urban surface types and evapotranspiration for improved climate modeling,2015,2016
31,Schimel,9/1/15,8/31/16,0,National Science Foundation,Federal agencies,20150849,Preliminary Proposal: The Fate of Root Carbon in Grasslands,2015,2016
54,Thorsch,10/1/15,9/30/16,118861,America Honda Foundation (Japan-Subsidiary),"Private agencies, foundations",20150543,Infrastructure Upgrade and Curation of CCBER Vertebrate Collections,2015,2016
293,Archuleta,2/1/15,1/31/16,25000,Virginia Polytechnic Institute and State University,Institutes of higher education,20151222,"SCEC4 Participation, Project O: Including Scattering in the UCSB Broadband Modeling Method",2015,2016
47,Stratton,8/1/15,7/31/16,29451,California Natural Resources Agency,California state and municipal agencies,20151071,UCSB West Park Swale Enhancement ,2015,2016
53,Tanimoto,9/1/15,8/31/16,76799,National Aeronautics and Space Administration,Federal agencies,20150608,Monitoring the intensity of hurricanes by seismic and barometric networks,2015,2016
44,Sorlien,1/1/16,12/31/16,68146,National Science Foundation,Federal agencies,20151258,"Geometry and Quaternary deformation history of 100+ km-long active faults and folds, Ventura to Pt. Arguello, California",2016,2016
294,"Michaelsen, Stratton",2/1/16,12/31/16,25000,National Oceanic and Atmospheric Administration,Federal agencies,20160696,North Campus Open Space (NCOS) Public Access Design Project,2016,2016
217,Tague,10/1/13,9/30/17,98583,US Department of Interior,Federal agencies,20170420,Southern Sierra Critical Zone Observatory,2013,2017
9,DeVries,10/1/14,9/30/17,409988,National Aeronautics and Space Administration,Federal agencies,20150131,The role of marine microbes in ocean carbon sequestration: An inverse model study,2014,2017
6,Clarke,1/1/15,12/31/17,75567,National Science Foundation,Federal agencies,20150042,Collaborative Research: Dynamic Response of the Soil Production Function to Erosion Rates,2015,2017
16,Florsheim,7/1/15,6/30/17,0,CSU San Diego State University,Institutes of higher education,20151268,Analysis and Planning for the North Coast Resource Partnership,2015,2017
18,Jackson,2/1/15,1/31/17,267156,National Science Foundation,Federal agencies,20150156,"Collaborative Research: The ""Missing"" Rarotonga hotspot: Implications for Global Intra-Plate Volcanic Processes",2015,2017
29,Rioux,1/1/15,12/31/17,98255,National Science Foundation,Federal agencies,20150107,Collaborative Research: Focused Study of Aleutian Plutons and their Host Rocks: Understanding the building blocks of continental crust,2015,2017
45,Steidl,1/1/15,12/31/17,464000,UC San Diego,UC-wide,20150160,Seismic Resilient California Initiative - More Resilient Homes,2015,2017
52,Tanimoto,1/1/15,12/31/17,329910,National Aeronautics and Space Administration,Federal agencies,20150267,New Perspectives on Tropical Cyclones from Seismic Data,2015,2017
38,Simms,7/1/15,6/30/17,199244,National Science Foundation,Federal agencies,20151106,Submarine Flow Hazards Along the Northern Santa Barbara Channel,2015,2017
11,Dozier,9/1/15,8/31/17,196826,National Aeronautics and Space Administration,Federal agencies,20150965,CyberSEES Type 1: Collaborative Research: Inductive Methods for Sustainable Snowpack Estimation at Multiple Scales,2015,2017
106,Sorlien,11/1/16,10/31/17,65438,US Geological Survey,Federal agencies,20161237,Seismic-stratigraphic and basin modeling evidence for repeated mid-Cenozoic glaciall erosion in a non-marine to shallow marine Ross Sea?,2016,2017
58,"Carlson, Archuleta",2/1/16,1/31/17,22000,University of Southern California,Institutes of higher education,20161044,"SCEC4 Participation, Project J: Compactivity, Comminution, Heather, and Disorder - The Physics of Granular Fault Gouge",2016,2017
67,"DeVries, Bagnell",9/1/16,8/31/17,30000,National Aeronautics and Space Administration,Federal agencies,20160819,Constraining Inter-Annual Variability in Ocean Circulation with Multiple Tracers in a Global Data Assimilation Model,2016,2017
73,"Dozier, Stillinger",9/1/16,8/31/17,30000,National Aeronautics and Space Administration,Federal agencies,20160794,"Discrimination of Clouds from Snow Based on Radiative Transfer, Topography, Viewing Geometry, and Fuzzy Logic",2016,2017
74,Florsheim,9/1/16,8/31/17,65998,CSU San Diego State University,Institutes of higher education,20160502,Developing resilient landscapes after wildfires under,2016,2017
84,Kendall,7/1/16,6/30/17,0,National Science Foundation,Federal agencies,20160765,Preliminary Proposal: Collaborative Research: Genetics meets demography: Studying eco-evolutionary feedbacks with integral projection models,2016,2017
36,Simms,1/1/16,12/31/17,183680,National Science Foundation,Federal agencies,20150751,The Role of Valley Morphology on Bayhead Delta Evolution,2016,2017
207,Florsheim,8/1/16,6/30/17,12894,Sonoma County Agricultural Preservation and Open Space District,"Private agencies, foundations",20170169,Post-fire Recovery in the Beryyessa Snow Mountain National Monument,2016,2017
41,Simms,5/1/16,4/30/17,49597,National Science Foundation,Federal agencies,20151271,Ground-Penetrating-Radar Characterization of Tsunami Impacts Associated with the 1700 AD Cascadia Rupture,2016,2017
108,Tague,7/1/16,6/30/17,0,National Science Foundation,Federal agencies,20160805,Preliminary Proposal: Using water potential of soils and plants as a unifying term to assess forest vulnerability to drought,2016,2017
128,Melack,6/1/17,8/31/17,11385,National Science Foundation,Federal agencies,20170677,"LTREB Renewal-Collaborative Research: Responses of High Elevation, Acquatic Ecosystems to Interannual Climate Variability",2017,2017
98,Seltmann,1/1/17,12/31/17,17856,Mazda Foundation,"Private agencies, foundations",20161425,Kids in Nature - Spring into Summer,2017,2017
107,Sorlien,1/1/17,12/31/17,55605,US Geological Survey,Federal agencies,20161268,"Digital faults and 3D velocity model, offshore south-central California",2017,2017
3,"Blankinship, Schimel",10/1/15,6/30/18,293839,California Department of Food and Agriculture,California state and municipal agencies,20150631,Developing a Soil-Based Solution for Adapting California Specialty Crops to Drought,2015,2018
8,"Cottle, Shea",7/1/15,6/30/18,374545,National Science Foundation,Federal agencies,20150692,Identification and Characterization of Cryptic Discontinuities in the Himalayan Metamorphic Core,2015,2018
17,Holden,1/1/15,12/31/18,382972,UC Irvine,UC-wide,20150133,Fighting Drought with Stormwater,2015,2018
19,Jackson,7/1/15,6/30/18,266783,National Science Foundation,Federal agencies,20150735,The early Iceland hotspot: clues to the origin of the highest 3He/4He mantle domain,2015,2018
22,King,9/1/15,8/31/18,183296,University of Texas - El Paso,Institutes of higher education,20150617,Using MODEX Concept for Model Improvement on Methane Cycling at the Species- and Community-level in an Arctic Tundra Ecosystem,2015,2018
23,"King, Schimel",10/1/15,9/30/18,1412365,US Department of Energy,Federal agencies,20150613,The Influence of Drought on Biotic and Abiotic Drivers of Ecosystem Carbon Storage and Flux,2015,2018
27,"Michaelides, Singer",4/1/15,3/31/18,290695,National Science Foundation,Federal agencies,20150037,Collaborative Research: Reconciling storm-driven dynamics of hillslope sediment supply with rates of landscape evolution in dryland basins,2015,2018
30,"Romero, Ohlmann",2/1/15,1/31/18,768015,National Science Foundation,Federal agencies,20150189,Lagrangian analyses of Inner Shelf Circulation: Observations and Numerical Simulations,2015,2018
50,Tague,6/1/15,5/30/18,201930,National Aeronautics and Space Administration,Federal agencies,20150111,Managing forested watersheds for both water and fire during drought,2015,2018
10,DeVries,9/1/15,8/31/18,360195,National Aeronautics and Space Administration,Federal agencies,20150919,Collaborative Research: The effects of variable stoichiometry and remineralization depth on the biological pump,2015,2018
33,Schimel,10/1/15,9/30/18,86363,National Science Foundation,Federal agencies,20150788,Evaluating paradigms in P biogeochemical cycling: The paradox of high P availability in ecosystems developing on P-poor parent material,2015,2018
49,Suh,5/1/15,4/30/18,72411,Target Corporation,"Private agencies, foundations",20151114,WSC - Category 3: A National Energy-Water System Assessment Framework (NEWS): Stage 1 Development,2015,2018
