,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Andrew John Plantinga. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1118012140,10.1038/s41893-019-0326-y,,,Scope and limitations of drought management within complex human–natural systems,Nature Sustainability,,,2019-08,2019,2,8,710-717,Closed,Article,"Jaeger, William K.; Amos, Adell; Conklin, David R.; Langpap, Christian; Moore, Kathleen; Plantinga, Andrew J.","Jaeger, William K.","Jaeger, William K. (Oregon State University); Amos, Adell (University of Oregon); Conklin, David R. (); Langpap, Christian (Oregon State University); Moore, Kathleen (University of Washington); Plantinga, Andrew J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118012140,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
2,100,pub.1112897732,10.1111/ecin.12781,,,SALIENCE AND THE GOVERNMENT PROVISION OF PUBLIC GOODS,Economic Inquiry,,,2019-07,2019,57,3,1547-1567,"All OA; Green, Accepted & Submitted",Article,"Wibbenmeyer, Matthew; Anderson, Sarah E.; Plantinga, Andrew J.",,"Wibbenmeyer, Matthew (Resources For The Future); Anderson, Sarah E. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara)",2,2,,,https://escholarship.org/content/qt6s43g37z/qt6s43g37z.pdf?t=psxmyx,https://app.dimensions.ai/details/publication/pub.1112897732,14 Economics,14 Economics,,,,
3,100,pub.1108063160,10.1142/s2010007819500039,,,THE CRITICAL ROLE OF MARKETS IN CLIMATE CHANGE ADAPTATION,Climate Change Economics,,,2019-02,2019,10,01,1950003,Closed,Article,"ANDERSON, SARAH E.; ANDERSON, TERRY L.; HILL, ALICE C.; KAHN, MATTHEW E.; KUNREUTHER, HOWARD; LIBECAP, GARY D.; MANTRIPRAGADA, HARI; MÉREL, PIERRE; PLANTINGA, ANDREW J.; KERRY SMITH, V.",,"ANDERSON, SARAH E. (University of California, Santa Barbara); ANDERSON, TERRY L. (Stanford University); HILL, ALICE C. (Hoover Institution); KAHN, MATTHEW E. (); KUNREUTHER, HOWARD (University of Pennsylvania); LIBECAP, GARY D. (Stanford University; University of California, Santa Barbara); MANTRIPRAGADA, HARI (University of Pittsburgh); MÉREL, PIERRE (University of California, Davis); PLANTINGA, ANDREW J. (University of California, Santa Barbara); KERRY SMITH, V. (Arizona State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108063160,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
4,100,pub.1107722219,10.1111/1365-2664.13289,,,Missing the people for the trees: Identifying coupled natural–human system feedbacks driving the ecology of Lyme disease,Journal of Applied Ecology,,,2019-02,2019,56,2,354-364,Closed,Article,"MacDonald, Andrew J.; Larsen, Ashley E.; Plantinga, Andrew J.",,"MacDonald, Andrew J. (Stanford University; University of California, Santa Barbara); Larsen, Ashley E. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1107722219,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1107255846,10.1111/1365-2664.13271,,,Unintended habitat loss on private land from grazing restrictions on public rangelands,Journal of Applied Ecology,,,2019-01,2019,56,1,52-62,All OA; Gold,Article,"Runge, Claire A.; Plantinga, Andrew J.; Larsen, Ashley E.; Naugle, David E.; Helmstedt, Kate J.; Polasky, Stephen; Donnelly, J. Patrick; Smith, Joseph T.; Lark, Tyler J.; Lawler, Joshua J.; Martinuzzi, Sebastian; Fargione, Joe",,"Runge, Claire A. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara); Larsen, Ashley E. (University of California, Santa Barbara); Naugle, David E. (University of Montana); Helmstedt, Kate J. (Queensland University of Technology); Polasky, Stephen (University of Minnesota); Donnelly, J. Patrick (); Smith, Joseph T. (University of Montana); Lark, Tyler J. (University of Wisconsin–Madison); Lawler, Joshua J. (University of Washington); Martinuzzi, Sebastian (University of Wisconsin–Madison); Fargione, Joe (The Nature Conservancy)",0,0,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2664.13271,https://app.dimensions.ai/details/publication/pub.1107255846,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
6,100,pub.1117587572,10.2139/ssrn.3398610,,,"Measure Twice, Cut Once: Optimal Inventory and Harvest under Volume Uncertainty and Stochastic Price Dynamics",SSRN Electronic Journal,,,2019,2019,,,,"All OA; Green, Accepted & Submitted",Preprint,"Sloggy, Matthew; Kling, David M.; Plantinga, Andrew",,"Sloggy, Matthew (Colorado State University); Kling, David M. (Oregon State University); Plantinga, Andrew ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117587572,14 Economics; 0705 Forestry Sciences; 0104 Statistics; 01 Mathematical Sciences; 1402 Applied Economics; 07 Agricultural and Veterinary Sciences,14 Economics,0705 Forestry Sciences,0104 Statistics,01 Mathematical Sciences,1402 Applied Economics
7,100,pub.1106198277,10.1016/j.jue.2018.07.001,,,"Land-use regulations, property values, and rents: Decomposing the effects of the California Coastal Act",Journal of Urban Economics,,,2018-09,2018,107,J. Polit. Econ. 113 1 2005,65-78,"All OA; Green, Accepted & Submitted",Article,"Severen, Christopher; Plantinga, Andrew J.","Plantinga, Andrew J.","Severen, Christopher (); Plantinga, Andrew J. (University of California, Santa Barbara)",0,0,,,https://www.philadelphiafed.org/-/media/research-and-data/publications/working-papers/2017/wp17-33r.pdf,https://app.dimensions.ai/details/publication/pub.1106198277,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
8,100,pub.1104468771,10.1038/s41558-018-0208-8,,,The dangers of disaster-driven responses to climate change,Nature Climate Change,,,2018-08,2018,8,8,651-653,Closed,Article,"Anderson, Sarah E.; Bart, Ryan R.; Kennedy, Maureen C.; MacDonald, Andrew J.; Moritz, Max A.; Plantinga, Andrew J.; Tague, Christina L.; Wibbenmeyer, Matthew","Anderson, Sarah E.","Anderson, Sarah E. (University of California, Santa Barbara); Bart, Ryan R. (University of California, Santa Barbara; University of California, Merced); Kennedy, Maureen C. (University of Washington Tacoma); MacDonald, Andrew J. (University of California, Santa Barbara; Stanford University); Moritz, Max A. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara); Tague, Christina L. (University of California, Santa Barbara); Wibbenmeyer, Matthew (University of California, Berkeley)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1104468771,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
9,200,pub.1101787624,10.1142/9789813232747_0005,,,The Value of Terroir: Hedonic Estimation of Vineyard Sale Prices,World Scientific Handbook in Financial Economics Series,Handbook of the Economics of Wine,,2018-05,2018,1,,119-134,"All OA; Green, Accepted & Submitted",Chapter,"Cross, Robin; Plantinga, Andrew J.; Stavins, Robert N.",,"Cross, Robin (Oregon State University); Plantinga, Andrew J. (University of California, Santa Barbara); Stavins, Robert N. (Harvard University)",0,0,,,http://ageconsearch.umn.edu/record/101289/files/NDL2011-012.pdf,https://app.dimensions.ai/details/publication/pub.1101787624,,,,,,
