,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Andrew R C Kylander-Clark. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113269152,10.1144/jgs2018-224,,,"Thermal evolution of the Scandian hinterland, Naver nappe, northern Scotland",Journal of the Geological Society,,,2019-07,2019,176,4,669-688,Closed,Article,"Mako, Calvin A.; Law, Richard D.; Caddick, Mark J.; Thigpen, J. Ryan; Ashley, Kyle T.; Cottle, John; Kylander-Clark, Andrew",,"Mako, Calvin A. (Virginia Tech); Law, Richard D. (Virginia Tech); Caddick, Mark J. (Virginia Tech); Thigpen, J. Ryan (University of Kentucky); Ashley, Kyle T. (University of Pittsburgh); Cottle, John (University of California System); Kylander-Clark, Andrew (University of California System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113269152,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1112688791,10.1130/g45727.1,,,Reactivation history of the North Anatolian fault zone based on calcite age-strain analyses,Geology,,,2019-05-01,2019,47,5,465-469,Closed,Article,"Nuriel, Perach; Craddock, John; Kylander-Clark, Andrew R.C.; Uysal, Tonguç; Karabacak, Volkan; Dirik, Ramazan Kadir; Hacker, Bradley R.; Weinberger, Ram",,"Nuriel, Perach (Geological Survey of Israel); Craddock, John (Macalester College); Kylander-Clark, Andrew R.C. (University of California, Santa Barbara); Uysal, Tonguç (); Karabacak, Volkan (Eskişehir Osmangazi University); Dirik, Ramazan Kadir (Hacettepe University); Hacker, Bradley R. (University of California, Santa Barbara); Weinberger, Ram (Geological Survey of Israel; Ben-Gurion University of the Negev)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112688791,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1110231246,10.1130/b31963.1,,,"Early arc development recorded in Permian−Triassic plutons of the northern Mojave Desert region, California, USA",Geological Society of America Bulletin,,,2019-05-01,2019,131,5-6,749-765,Closed,Article,"Cecil, M. Robinson; Ferrer, Mary Ann; Riggs, Nancy R.; Marsaglia, Kathleen; Kylander-Clark, Andrew; Ducea, Mihai N.; Stone, Paul",,"Cecil, M. Robinson (California State University, Northridge); Ferrer, Mary Ann (California State University, Northridge); Riggs, Nancy R. (Northern Arizona University); Marsaglia, Kathleen (California State University, Northridge); Kylander-Clark, Andrew (University of California, Santa Barbara); Ducea, Mihai N. (University of Arizona; University of Bucharest); Stone, Paul (United States Geological Survey)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110231246,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
4,100,pub.1114199602,10.1007/s00410-019-1578-2,,,"Interpreting titanite U–Pb dates and Zr thermobarometry in high-grade rocks: empirical constraints on elemental diffusivities of Pb, Al, Fe, Zr, Nb, and Ce",Contributions to Mineralogy and Petrology,,,2019-05,2019,174,5,42,Closed,Article,"Holder, Robert M.; Hacker, Bradley R.; Seward, Gareth G. E.; Kylander-Clark, Andrew R. C.","Holder, Robert M.","Holder, Robert M. (Johns Hopkins University); Hacker, Bradley R. (University of California, Santa Barbara); Seward, Gareth G. E. (University of California, Santa Barbara); Kylander-Clark, Andrew R. C. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1114199602,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,100,pub.1107731592,10.1016/j.gsf.2018.09.007,,,Campaign-style U-Pb titanite petrochronology; along-strike variations in timing of metamorphism in the Himalayan Metamorphic Core,Geoscience Frontiers,,,2019-05,2019,10,3,827-847,All OA; Gold,Article,"Mottram, Catherine M.; Cottle, John; Kylander-Clark, Andrew","Mottram, Catherine M.","Mottram, Catherine M. (University of Portsmouth); Cottle, John (University of California, Santa Barbara); Kylander-Clark, Andrew (University of California, Santa Barbara)",6,6,,,https://doi.org/10.1016/j.gsf.2018.09.007,https://app.dimensions.ai/details/publication/pub.1107731592,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,100,pub.1111979154,10.1016/j.epsl.2019.01.040,,,Extreme enriched and heterogeneous 87Sr/86Sr ratios recorded in magmatic plagioclase from the Samoan hotspot,Earth and Planetary Science Letters,,,2019-04,2019,511,Nature 336 1988,190-201,Closed,Article,"Edwards, M.A.; Jackson, M.G.; Kylander-Clark, A.R.C.; Harvey, J.; Hagen-Peter, G.A.; Seward, G.G.E.; Till, C.B.; Adams, J.V.; Cottle, J.M.; Hacker, B.R.; Spera, F.J.","Edwards, M.A.","Edwards, M.A. (University of California, Santa Barbara); Jackson, M.G. (University of California, Santa Barbara); Kylander-Clark, A.R.C. (University of California, Santa Barbara); Harvey, J. (University of Leeds); Hagen-Peter, G.A. (Aarhus University); Seward, G.G.E. (University of California, Santa Barbara); Till, C.B. (Arizona State University); Adams, J.V. (University of California, Santa Barbara); Cottle, J.M. (University of California, Santa Barbara); Hacker, B.R. (University of California, Santa Barbara); Spera, F.J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111979154,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
7,100,pub.1110760361,10.1016/j.gr.2018.10.019,,,Neoproterozoic hydrothermal activity in the West Australian Craton related to Rodinia assembly or breakup?,Gondwana Research,,,2019-04,2019,68,Chemical Geology 347 2013,1-12,Closed,Article,"Olierook, Hugo K.H.; Agangi, Andrea; Plavsa, Diana; Reddy, Steven M.; Yao, Weihua; Clark, Chris; Occhipinti, Sandra A.; Kylander-Clark, Andrew R.C.","Olierook, Hugo K.H.","Olierook, Hugo K.H. (Curtin University); Agangi, Andrea (Curtin University; University of Johannesburg); Plavsa, Diana (Curtin University; University of South Australia); Reddy, Steven M. (Curtin University); Yao, Weihua (Curtin University; Sun Yat-sen University); Clark, Chris (Curtin University); Occhipinti, Sandra A. (University of Western Australia); Kylander-Clark, Andrew R.C. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1110760361,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1111497365,10.1111/jmg.12472,,,The timing of migmatization in the northern Arabian–Nubian Shield: Evidence for a juvenile sedimentary component in collision‐related batholiths,Journal of Metamorphic Geology,,,2019-03-28,2019,37,5,591-610,Closed,Article,"Elisha, Bar; Katzir, Yaron; Kylander‐Clark, Andrew R. C.; Golan, Tzahi; Coble, Matthew A.",,"Elisha, Bar (Ben-Gurion University of the Negev); Katzir, Yaron (Ben-Gurion University of the Negev); Kylander‐Clark, Andrew R. C. (University of California, Santa Barbara); Golan, Tzahi (Ben-Gurion University of the Negev); Coble, Matthew A. (Stanford University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111497365,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1112285904,10.1029/2018tc005076,,,Major Late Cretaceous Mass Flows in Central Turkey Recording the Disruption of the Mesozoic Continental Margin,Tectonics,,,2019-03,2019,38,3,960-989,Closed,Article,"Okay, Aral I.; Altıner, Demir; Kylander‐Clark, Andrew R. C.",,"Okay, Aral I. (Istanbul Technical University); Altıner, Demir (Middle East Technical University); Kylander‐Clark, Andrew R. C. (University of California System)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112285904,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
