,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bernard Kirtman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1113531206,10.1016/j.ssnmr.2019.04.002,31075525,,Biradical rotamer states tune electron J coupling and MAS dynamic nuclear polarization enhancement,Solid State Nuclear Magnetic Resonance,,,2019-09,2019,101,,20-Dec,Closed,Article,"Tagami, Kan; Equbal, Asif; Kaminker, Ilia; Kirtman, Bernard; Han, Songi","Han, Songi","Tagami, Kan (University of California, Santa Barbara); Equbal, Asif (University of California, Santa Barbara); Kaminker, Ilia (University of California, Santa Barbara); Kirtman, Bernard (University of California, Santa Barbara); Han, Songi (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113531206,0204 Condensed Matter Physics; 0306 Physical Chemistry (incl. Structural); 0299 Other Physical Sciences; 02 Physical Sciences; 03 Chemical Sciences,0204 Condensed Matter Physics,0306 Physical Chemistry (incl. Structural),0299 Other Physical Sciences,02 Physical Sciences,03 Chemical Sciences
2,200,pub.1110399139,10.1021/acs.jpcc.8b08902,,,"Calculation of the Infrared Intensity of Crystalline Systems. A Comparison of Three Strategies Based on Berry Phase, Wannier Function, and Coupled-Perturbed Kohn–Sham Methods",The Journal of Physical Chemistry C,,,4/4/19,2019,123,13,8336-8346,Closed,Article,"Dovesi, R.; Kirtman, B.; Maschio, L.; Maul, J.; Pascale, F.; Rérat, M.",,"Dovesi, R. (University of Turin); Kirtman, B. (University of California, Santa Barbara); Maschio, L. (University of Turin); Maul, J. (University of Turin); Pascale, F. (); Rérat, M. (University of Pau and Pays de l'Adour)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110399139,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
3,100,pub.1107328801,10.1002/adts.201800117,,,Theoretical Treatment for Properties of Surfaces and Their Interplay with Bulk Properties of Crystals,Advanced Theory and Simulations,,,2019-02,2019,2,2,1800117,All OA; Gold,Article,"Zhou, Meijuan; Springborg, Michael; Kirtman, Bernard",,"Zhou, Meijuan (Saarland University); Springborg, Michael (Saarland University; Tianjin University); Kirtman, Bernard (University of California, Santa Barbara)",1,1,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/adts.201800117,https://app.dimensions.ai/details/publication/pub.1107328801,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
4,100,pub.1101336382,10.1002/wcms.1360,,,Quantum‐mechanical condensed matter simulations with CRYSTAL,Wiley Interdisciplinary Reviews Computational Molecular Science,,,2018-07,2018,8,4,e1360,Closed,Article,"Dovesi, Roberto; Erba, Alessandro; Orlando, Roberto; Zicovich‐Wilson, Claudio M.; Civalleri, Bartolomeo; Maschio, Lorenzo; Rérat, Michel; Casassa, Silvia; Baima, Jacopo; Salustro, Simone; Kirtman, Bernard",,"Dovesi, Roberto (University of Turin); Erba, Alessandro (University of Turin); Orlando, Roberto (University of Turin); Zicovich‐Wilson, Claudio M. (Universidad Autónoma del Estado de Morelos); Civalleri, Bartolomeo (University of Turin); Maschio, Lorenzo (University of Turin); Rérat, Michel (University of Pau and Pays de l'Adour); Casassa, Silvia (University of Turin); Baima, Jacopo (University of Turin); Salustro, Simone (University of Turin); Kirtman, Bernard (University of California, Santa Barbara)",133,133,,,,https://app.dimensions.ai/details/publication/pub.1101336382,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
5,200,pub.1104012830,10.1021/acs.jpcc.8b03041,,,"Surfaces, Shapes, and Bulk Properties of Crystals",The Journal of Physical Chemistry C,,,6/7/18,2018,122,22,11926-11932,Closed,Article,"Springborg, Michael; Zhou, Meijuan; Molayem, Mohammad; Kirtman, Bernard",,"Springborg, Michael (Saarland University; Tianjin University); Zhou, Meijuan (Saarland University); Molayem, Mohammad (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1104012830,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
6,100,pub.1100316966,10.1007/s00214-017-2187-7,,,Ab initio calculation of nonlinear optical properties for chiral carbon nanotubes. Second harmonic generation and dc-Pockels effect,Theoretical Chemistry Accounts,,,2018-02,2018,137,2,17,Closed,Article,"Rérat, Michel; Karamanis, Panaghiotis; Civalleri, Bartolomeo; Maschio, Lorenzo; Lacivita, Valentina; Kirtman, Bernard","Rérat, Michel","Rérat, Michel (Institut des Sciences Analytiques et de Physico-Chimie pour l'Environnement et les Matériaux); Karamanis, Panaghiotis (Institut des Sciences Analytiques et de Physico-Chimie pour l'Environnement et les Matériaux); Civalleri, Bartolomeo (University of Turin); Maschio, Lorenzo (University of Turin); Lacivita, Valentina (Lawrence Berkeley National Laboratory); Kirtman, Bernard (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1100316966,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
7,100,pub.1092556158,10.1007/978-981-10-5651-2_5,,,Response Properties of Periodic Materials Subjected to External Electric and Magnetic Fields,,Frontiers of Quantum Chemistry,,2018,2018,,,87-115,"All OA; Green, Accepted & Submitted",Chapter,"Kirtman, Bernard; Maschio, Lorenzo; Rérat, Michel; Springborg, Michael","Maschio, Lorenzo","Kirtman, Bernard (University of California, Santa Barbara); Maschio, Lorenzo (University of Turin); Rérat, Michel (University of Pau and Pays de l'Adour); Springborg, Michael (Saarland University; Tianjin University)",0,0,,,https://iris.unito.it/bitstream/2318/1664273/1/control.pdf,https://app.dimensions.ai/details/publication/pub.1092556158,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
8,500,pub.1091654446,10.1063/1.5001261,28915743,,Electronic orbital response of regular extended and infinite periodic systems to magnetic fields. I. Theoretical foundations for static case,The Journal of Chemical Physics,,,9/14/17,2017,147,10,104101,Closed,Article,"Springborg, Michael; Molayem, Mohammad; Kirtman, Bernard",,"Springborg, Michael (Saarland University; Tianjin University); Molayem, Mohammad (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",0,0,0,,,https://app.dimensions.ai/details/publication/pub.1091654446,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
9,200,pub.1055113419,10.1021/acs.jpcc.6b10837,,,Exploring the Linear Optical Properties of Borazine (B 3 N 3 ) Doped Graphenes. 0D Flakes vs 2D Sheets,The Journal of Physical Chemistry C,,,1/12/17,2017,121,1,709-722,Closed,Article,"Otero, Nicolás; Karamanis, Panaghiotis; El-Kelany, Khaled E.; Rérat, Michel; Maschio, Lorenzo; Civalleri, Bartolomeo; Kirtman, Bernard",,"Otero, Nicolás (University of Vigo); Karamanis, Panaghiotis (); El-Kelany, Khaled E. (Minia University); Rérat, Michel (); Maschio, Lorenzo (University of Turin); Civalleri, Bartolomeo (University of Turin); Kirtman, Bernard (University of California, Santa Barbara)",8,5,,,,https://app.dimensions.ai/details/publication/pub.1055113419,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
