,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bradley J Cardinale. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117784091,10.1016/j.algal.2019.101568,,,The individual and synergistic impacts of feedstock characteristics and reaction conditions on the aqueous co-product from hydrothermal liquefaction,Algal Research,,,2019-09,2019,42,,101568,Closed,Article,"Hietala, David C.; Godwin, Casey M.; Cardinale, Bradley J.; Savage, Phillip E.","Savage, Phillip E.","Hietala, David C. (University of Michigan); Godwin, Casey M. (University of Michigan); Cardinale, Bradley J. (University of Michigan); Savage, Phillip E. (University of Michigan; Pennsylvania State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117784091,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
2,500,pub.1117702581,10.1021/acs.est.9b00909,31268697,,Biodiversity Improves Life Cycle Sustainability Metrics in Algal Biofuel Production.,Environmental Science & Technology,,Biodiversity; Biofuels; Biomass; Plants; Recycling,8/6/19,2019,53,15,9279-9288,Closed,Article,"Carruthers, David N; Godwin, Casey M; Hietala, David C; Cardinale, Bradley J; Lin, Xiaoxia Nina; Savage, Phillip E",,"Carruthers, David N (University of Michigan); Godwin, Casey M (University of Michigan); Hietala, David C (University of Michigan); Cardinale, Bradley J (University of Michigan); Lin, Xiaoxia Nina (University of Michigan); Savage, Phillip E (University of Michigan; Pennsylvania State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117702581,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
3,100,pub.1114635690,10.1101/640557,,,An Empiricist’s Guide to Modern Coexistence Theory for Competitive Communities,bioRxiv,,,5/17/19,2019,,,640557,"All OA; Green, Published",Preprint,"Godwin, Casey M.; Chang, Feng-Hsun; Cardinale, Bradley",,"Godwin, Casey M. (); Chang, Feng-Hsun (); Cardinale, Bradley ()",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/05/17/640557.full.pdf,https://app.dimensions.ai/details/publication/pub.1114635690,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
4,100,pub.1109895377,10.1016/j.apenergy.2018.10.120,,,The independent and coupled effects of feedstock characteristics and reaction conditions on biocrude production by hydrothermal liquefaction,Applied Energy,,,2019-02,2019,235,Biotechnol Adv 25 3 2007,714-728,Closed,Article,"Hietala, David C.; Godwin, Casey M.; Cardinale, Bradley J.; Savage, Phillip E.","Savage, Phillip E.","Hietala, David C. (University of Michigan); Godwin, Casey M. (University of Michigan); Cardinale, Bradley J. (University of Michigan); Savage, Phillip E. (University of Michigan; Pennsylvania State University)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1109895377,09 Engineering; 14 Economics,09 Engineering,14 Economics,,,
5,500,pub.1111065837,10.1371/journal.pone.0209087,30601831,PMC6314585,Aquatic macroinvertebrates stabilize gravel bed sediment: A test using silk net-spinning caddisflies in semi-natural river channels,PLoS ONE,,Animals; Ecosystem; Geologic Sediments; Insecta; Rivers; Silk,1/2/19,2019,14,1,e0209087,All OA; Gold,Article,"Albertson, Lindsey K.; Sklar, Leonard S.; Cooper, Scott D.; Cardinale, Bradley J.",,"Albertson, Lindsey K. (University of California, Santa Barbara; Montana State University); Sklar, Leonard S. (San Francisco State University; Concordia University); Cooper, Scott D. (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan)",2,2,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0209087&type=printable,https://app.dimensions.ai/details/publication/pub.1111065837,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,100,pub.1109915639,10.1016/j.limno.2018.09.002,,,Species diversity of resident green algae slows the establishment and proliferation of the cyanobacterium Microcystis aeruginosa,Limnologica,,,2019-01,2019,74,Journal of Great Lakes Research 27 2001,23-27,Closed,Article,"Nolan, Madeline P.; Cardinale, Bradley J.","Nolan, Madeline P.","Nolan, Madeline P. (University of Michigan; University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109915639,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
7,100,pub.1104883171,10.1111/gcbb.12524,,,Biodiversity improves the ecological design of sustainable biofuel systems,GCB Bioenergy,,,2018-10,2018,10,10,752-765,All OA; Gold,Article,"Godwin, Casey M.; Lashaway, Aubrey R.; Hietala, David C.; Savage, Phillip E.; Cardinale, Bradley J.",,"Godwin, Casey M. (University of Michigan); Lashaway, Aubrey R. (University of Michigan); Hietala, David C. (University of Michigan); Savage, Phillip E. (University of Michigan; Pennsylvania State University); Cardinale, Bradley J. (University of Michigan)",8,8,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcbb.12524,https://app.dimensions.ai/details/publication/pub.1104883171,1001 Agricultural Biotechnology; 10 Technology,1001 Agricultural Biotechnology,10 Technology,,,
8,500,pub.1107218991,10.1371/journal.pone.0204510,30248145,PMC6152968,Ranking stressor impacts on periphyton structure and function with mesocosm experiments and environmental-change forecasts,PLoS ONE,,"Aryl Hydrocarbon Receptor Nuclear Translocator; Climate Change; Drosophila Proteins; Forecasting; Geologic Sediments; Michigan; Models, Theoretical; Nitrogen; Periphyton; Phosphorus; Rivers; Salts; Stress, Physiological; Temperature",9/24/18,2018,13,9,e0204510,All OA; Gold,Article,"Costello, David M.; Kulacki, Konrad J.; McCarthy, Mary E.; Tiegs, Scott D.; Cardinale, Bradley J.",,"Costello, David M. (University of Michigan; Kent State University); Kulacki, Konrad J. (University of Michigan; Exponent (United States)); McCarthy, Mary E. (University of Michigan); Tiegs, Scott D. (Oakland University); Cardinale, Bradley J. (University of Michigan)",0,0,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0204510&type=printable,https://app.dimensions.ai/details/publication/pub.1107218991,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
9,500,pub.1105011617,10.1111/1365-2656.12876,29928758,,Interactions between large and small detritivores influence how biodiversity impacts litter decomposition,Journal of Animal Ecology,,Animals; Biodiversity; Ecosystem; Food Chain; Plant Leaves; Rivers,2018-09,2018,87,5,1465-1474,Closed,Article,"Tonin, Alan M.; Pozo, Jesús; Monroy, Silvia; Basaguren, Ana; Pérez, Javier; Gonçalves, José F.; Pearson, Richard; Cardinale, Bradley J.; Boyero, Luz",,"Tonin, Alan M. (University of Brasília; University of the Basque Country); Pozo, Jesús (University of the Basque Country); Monroy, Silvia (University of the Basque Country); Basaguren, Ana (University of the Basque Country); Pérez, Javier (University of the Basque Country); Gonçalves, José F. (University of Brasília); Pearson, Richard (James Cook University); Cardinale, Bradley J. (University of Michigan); Boyero, Luz (University of the Basque Country; James Cook University; Ikerbasque)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1105011617,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
