,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Bruce E Kendall. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1116569505,10.1016/j.ecolmodel.2019.03.011,,,Persistent problems in the construction of matrix population models,Ecological Modelling,,,2019-08,2019,406,,33-43,All OA; Gold,Article,"Kendall, Bruce E.; Fujiwara, Masami; Diaz-Lopez, Jasmin; Schneider, Sandra; Voigt, Jakob; Wiesner, Sören","Kendall, Bruce E.","Kendall, Bruce E. (University of California, Santa Barbara); Fujiwara, Masami (Texas A&M University); Diaz-Lopez, Jasmin (Texas A&M University); Schneider, Sandra (Max Planck Institute for Demographic Research); Voigt, Jakob (Max Planck Institute for Demographic Research); Wiesner, Sören (Max Planck Institute for Demographic Research)",2,2,,,https://doi.org/10.1016/j.ecolmodel.2019.03.011,https://app.dimensions.ai/details/publication/pub.1116569505,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
2,100,pub.1113308461,10.1111/2041-210x.13190,,,Causal analysis in control–impact ecological studies with observational data,Methods in Ecology and Evolution,,,2019-07,2019,10,7,924-934,Closed,Article,"Larsen, Ashley E.; Meng, Kyle; Kendall, Bruce E.",,"Larsen, Ashley E. (University of California, Santa Barbara); Meng, Kyle (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1113308461,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
3,100,pub.1111638122,10.1111/ddi.12884,,,Distinguishing local and global correlates of population change in migratory species,Diversity and Distributions,,,2019-05,2019,25,5,797-808,All OA; Gold,Article,"Dhanjal‐Adams, Kiran L.; Fuller, Richard A.; Murray, Nicholas J.; Studds, Colin E.; Wilson, Howard B.; Milton, David A.; Kendall, Bruce E.",,"Dhanjal‐Adams, Kiran L. (University of Queensland; Swiss Ornithological Institute); Fuller, Richard A. (University of Queensland); Murray, Nicholas J. (University of Queensland; UNSW Sydney); Studds, Colin E. (University of Queensland; University of Maryland, Baltimore County); Wilson, Howard B. (University of Queensland); Milton, David A. (); Kendall, Bruce E. (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ddi.12884,https://app.dimensions.ai/details/publication/pub.1111638122,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
4,500,pub.1111898224,10.1111/ele.13203,30714295,,Predicting coral community recovery using multi‐species population dynamics models,Ecology Letters,,Animals; Anthozoa; Coral Reefs; Ecology; Ecosystem; Population Dynamics,2019-04,2019,22,4,605-615,"All OA; Green, Accepted & Submitted",Article,"Kayal, Mohsen; Lenihan, Hunter S.; Brooks, Andrew J.; Holbrook, Sally J.; Schmitt, Russell J.; Kendall, Bruce E.",,"Kayal, Mohsen (University of California, Santa Barbara; Centre de Formation et de Recherche sur les Environnements Méditerranéens); Lenihan, Hunter S. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt7nm875tr/qt7nm875tr.pdf?t=pfvcdh,https://app.dimensions.ai/details/publication/pub.1111898224,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
5,500,pub.1106903339,10.1111/ele.13153,30203533,,Predicting coral community recovery using multi‐species population dynamics models,Ecology Letters,,Animals; Anthozoa; Coral Reefs; Ecosystem; Population Dynamics,2018-12,2018,21,12,1790-1799,"All OA; Green, Accepted & Submitted",Article,"Kayal, Mohsen; Lenihan, Hunter S.; Brooks, Andrew J.; Holbrook, Sally J.; Schmitt, Russell J.; Kendall, Bruce E.",,"Kayal, Mohsen (University of California, Santa Barbara; Centre de Formation et de Recherche sur les Environnements Méditerranéens); Lenihan, Hunter S. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",7,7,,,https://escholarship.org/content/qt7nm875tr/qt7nm875tr.pdf?t=pfvcdh,https://app.dimensions.ai/details/publication/pub.1106903339,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
6,200,pub.1084823330,10.1093/beheco/arx068,,,Boldness-aggression syndromes can reduce population density: behavior and demographic heterogeneity,Behavioral Ecology,,,2018-01-13,2018,29,1,31-41,All OA; Gold,Article,"Kendall, Bruce E; Fox, Gordon A; Stover, Joseph P",,"Kendall, Bruce E (University of California, Santa Barbara); Fox, Gordon A (University of South Florida); Stover, Joseph P (Lyon College)",1,1,,,https://academic.oup.com/beheco/article-pdf/29/1/31/23485279/arx068.pdf,https://app.dimensions.ai/details/publication/pub.1084823330,0602 Ecology; 0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,
7,100,pub.1086072430,10.1002/jwmg.21261,,,Predicting the evolutionary consequences of trophy hunting on a quantitative trait,Journal of Wildlife Management,,,2018-01,2018,82,1,46-56,All OA; Gold,Article,"Coulson, Tim; Schindler, Susanne; Traill, Lochran; Kendall, Bruce E.",,"Coulson, Tim (University of Oxford); Schindler, Susanne (University of Zurich); Traill, Lochran (Liverpool John Moores University); Kendall, Bruce E. (University of California, Santa Barbara)",13,12,,,https://wildlife.onlinelibrary.wiley.com/doi/pdf/10.1002/jwmg.21261,https://app.dimensions.ai/details/publication/pub.1086072430,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
8,500,pub.1090431767,10.1086/692542,28829647,,Modeling Adaptive and Nonadaptive Responses of Populations to Environmental Change.,The American Naturalist,,"Adaptation, Physiological; Animals; Biological Evolution; Environment; Humans; Phenotype; Population Dynamics",2017-09,2017,190,3,313-336,"All OA; Green, Published",Article,"Coulson, Tim; Kendall, Bruce E; Barthold, Julia; Plard, Floriane; Schindler, Susanne; Ozgul, Arpat; Gaillard, Jean-Michel",,"Coulson, Tim (); Kendall, Bruce E (); Barthold, Julia (); Plard, Floriane (); Schindler, Susanne (); Ozgul, Arpat (); Gaillard, Jean-Michel ()",24,23,2.35,8.86,https://research-information.bristol.ac.uk/files/118771785/Full_text_PDF_final_published_version_.pdf,https://app.dimensions.ai/details/publication/pub.1090431767,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
9,100,pub.1049639637,10.1007/s12080-016-0319-7,,,Interspecific interactions and range limits: contrasts among interaction types,Theoretical Ecology,,,2017-06,2017,10,2,167-179,"All OA; Green, Accepted & Submitted",Article,"Godsoe, William; Holland, Nathaniel J.; Cosner, Chris; Kendall, Bruce E.; Brett, Angela; Jankowski, Jill; Holt, Robert D.","Godsoe, William","Godsoe, William (); Holland, Nathaniel J. (University of Houston); Cosner, Chris (University of Miami); Kendall, Bruce E. (University of California, Santa Barbara); Brett, Angela (); Jankowski, Jill (University of British Columbia); Holt, Robert D. (University of Florida)",4,4,,1.56,https://escholarship.org/content/qt8r20x7qz/qt8r20x7qz.pdf?t=om5gvx,https://app.dimensions.ai/details/publication/pub.1049639637,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
