,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bruce P Luyendyk. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1111273863,10.1038/s41561-018-0284-4,,,Antarctic ice-sheet sensitivity to obliquity forcing enhanced through ocean connections,Nature Geoscience,,,2019-02,2019,12,2,132-137,Closed,Article,"Levy, R. H.; Meyers, S. R.; Naish, T. R.; Golledge, N. R.; McKay, R. M.; Crampton, J. S.; DeConto, R. M.; De Santis, L.; Florindo, F.; Gasson, E. G. W.; Harwood, D. M.; Luyendyk, B. P.; Powell, R. D.; Clowes, C.; Kulhanek, D. K.","Levy, R. H.","Levy, R. H. (GNS Science; Victoria University of Wellington); Meyers, S. R. (University of Wisconsin–Madison); Naish, T. R. (Victoria University of Wellington); Golledge, N. R. (GNS Science; Victoria University of Wellington); McKay, R. M. (Victoria University of Wellington); Crampton, J. S. (GNS Science; Victoria University of Wellington); DeConto, R. M. (University of Massachusetts Amherst); De Santis, L. (National Institute of Oceanography and Experimental Geophysics); Florindo, F. (National Institute of Geophysics and Volcanology); Gasson, E. G. W. (University of Bristol); Harwood, D. M. (University of Nebraska–Lincoln); Luyendyk, B. P. (University of California, Santa Barbara); Powell, R. D. (Northern Illinois University); Clowes, C. (GNS Science); Kulhanek, D. K. (Texas A&M University)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1111273863,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0405 Oceanography,
2,100,pub.1051318495,10.1002/grl.50797,,,Initiation of the West Antarctic Ice Sheet and estimates of total Antarctic ice volume in the earliest Oligocene,Geophysical Research Letters,,,8/28/13,2013,40,16,4305-4309,"All OA; Green, Accepted & Submitted",Article,"Wilson, Douglas S.; Pollard, David; DeConto, Robert M.; Jamieson, Stewart S.R.; Luyendyk, Bruce P.",,"Wilson, Douglas S. (University of California, Santa Barbara); Pollard, David (Pennsylvania State University); DeConto, Robert M. (University of Massachusetts Amherst); Jamieson, Stewart S.R. (Durham University); Luyendyk, Bruce P. (University of California, Santa Barbara)",45,11,,6.63,http://dro.dur.ac.uk/11390/1/11390.pdf,https://app.dimensions.ai/details/publication/pub.1051318495,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
3,100,pub.1036801955,10.1002/ggge.20112,,,"The Palos Verdes anticlinorium along the Los Angeles, California coast: Implications for underlying thrust faulting",Geochemistry Geophysics Geosystems,,,2013-06,2013,14,6,1866-1890,Closed,Article,"Sorlien, Christopher C.; Seeber, Leonardo; Broderick, Kris G.; Luyendyk, Bruce P.; Fisher, Michael A.; Sliter, Ray W.; Normark, William R.",,"Sorlien, Christopher C. (University of California, Santa Barbara); Seeber, Leonardo (Columbia University); Broderick, Kris G. (); Luyendyk, Bruce P. (University of California, Santa Barbara); Fisher, Michael A. (United States Geological Survey); Sliter, Ray W. (United States Geological Survey); Normark, William R. ()",6,3,,0.9,,https://app.dimensions.ai/details/publication/pub.1036801955,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,100,pub.1006622338,10.5194/tc-7-375-2013,,,"Bedmap2: improved ice bed, surface and thickness datasets for Antarctica",The Cryosphere,,,2/28/13,2013,7,1,375-393,All OA; Gold,Article,"Fretwell, P.; Pritchard, H. D.; Vaughan, D. G.; Bamber, J. L.; Barrand, N. E.; Bell, R.; Bianchi, C.; Bingham, R. G.; Blankenship, D. D.; Casassa, G.; Catania, G.; Callens, D.; Conway, H.; Cook, A. J.; Corr, H. F. J.; Damaske, D.; Damm, V.; Ferraccioli, F.; Forsberg, R.; Fujita, S.; Gim, Y.; Gogineni, P.; Griggs, J. A.; Hindmarsh, R. C. A.; Holmlund, P.; Holt, J. W.; Jacobel, R. W.; Jenkins, A.; Jokat, W.; Jordan, T.; King, E. C.; Kohler, J.; Krabill, W.; Riger-Kusk, M.; Langley, K. A.; Leitchenkov, G.; Leuschen, C.; Luyendyk, B. P.; Matsuoka, K.; Mouginot, J.; Nitsche, F. O.; Nogi, Y.; Nost, O. A.; Popov, S. V.; Rignot, E.; Rippin, D. M.; Rivera, A.; Roberts, J.; Ross, N.; Siegert, M. J.; Smith, A. M.; Steinhage, D.; Studinger, M.; Sun, B.; Tinto, B. K.; Welch, B. C.; Wilson, D.; Young, D. A.; Xiangbin, C.; Zirizzotti, A.",,"Fretwell, P. (British Antarctic Survey); Pritchard, H. D. (British Antarctic Survey); Vaughan, D. G. (British Antarctic Survey); Bamber, J. L. (University of Bristol); Barrand, N. E. (British Antarctic Survey); Bell, R. (Lamont-Doherty Earth Observatory); Bianchi, C. (National Institute of Geophysics and Volcanology); Bingham, R. G. (University of Aberdeen); Blankenship, D. D. (The University of Texas at Austin); Casassa, G. (Center for Scientific Studies); Catania, G. (The University of Texas at Austin); Callens, D. (Université Libre de Bruxelles); Conway, H. (University of Washington); Cook, A. J. (Swansea University); Corr, H. F. J. (British Antarctic Survey); Damaske, D. (Federal Institute For Geosciences and Natural Resources); Damm, V. (Federal Institute For Geosciences and Natural Resources); Ferraccioli, F. (British Antarctic Survey); Forsberg, R. (Technical University of Denmark); Fujita, S. (National Institute of Polar Research); Gim, Y. (Jet Propulsion Lab); Gogineni, P. (University of Kansas); Griggs, J. A. (University of Bristol); Hindmarsh, R. C. A. (British Antarctic Survey); Holmlund, P. (Stockholm University); Holt, J. W. (The University of Texas at Austin); Jacobel, R. W. (St. Olaf College); Jenkins, A. (British Antarctic Survey); Jokat, W. (Alfred Wegener Institute for Polar and Marine Research); Jordan, T. (British Antarctic Survey); King, E. C. (British Antarctic Survey); Kohler, J. (Norwegian Polar Institute); Krabill, W. (); Riger-Kusk, M. (University of Canterbury); Langley, K. A. (University of Oslo); Leitchenkov, G. (); Leuschen, C. (University of Kansas); Luyendyk, B. P. (University of California, Santa Barbara); Matsuoka, K. (Norwegian Polar Institute); Mouginot, J. (University of California, Irvine); Nitsche, F. O. (Lamont-Doherty Earth Observatory); Nogi, Y. (National Institute of Polar Research); Nost, O. A. (Norwegian Polar Institute); Popov, S. V. (); Rignot, E. (University of California, Irvine); Rippin, D. M. (University of York); Rivera, A. (Center for Scientific Studies); Roberts, J. (Australian Antarctic Division); Ross, N. (Newcastle University); Siegert, M. J. (University of Bristol); Smith, A. M. (British Antarctic Survey); Steinhage, D. (Alfred Wegener Institute for Polar and Marine Research); Studinger, M. (Goddard Space Flight Center); Sun, B. (Polar Research Institute of China); Tinto, B. K. (Lamont-Doherty Earth Observatory); Welch, B. C. (Alfred Wegener Institute for Polar and Marine Research); Wilson, D. (University of California, Santa Barbara); Young, D. A. (The University of Texas at Austin); Xiangbin, C. (Polar Research Institute of China); Zirizzotti, A. (National Institute of Geophysics and Volcanology)",852,326,,125.49,https://www.the-cryosphere.net/7/375/2013/tc-7-375-2013.pdf,https://app.dimensions.ai/details/publication/pub.1006622338,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
5,200,pub.1073068151,10.5670/oceanog.2012.79,,,What Lies Beneath? Interdisciplinary Outcomes of the ANDRILL Coulman High Project Site Surveys on the Ross Ice Shelf,Oceanography,,,9/1/12,2012,25,3,84-89,All OA; Gold,Article,"Rack, Frank; Zook, Robert; Levy, Richard; Limeburner, Richard; Stewart, Craig; Williams, Michael; Luyendyk, Bruce",,"Rack, Frank (); Zook, Robert (); Levy, Richard (); Limeburner, Richard (); Stewart, Craig (); Williams, Michael (); Luyendyk, Bruce ()",6,0,,0.67,https://tos.org/oceanography/assets/docs/25-3_rack.pdf,https://app.dimensions.ai/details/publication/pub.1073068151,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,200,pub.1062328942,10.1121/1.3588852,,,Active multibeam sonar‐derived bubble plume fluxes and dynamics.,The Journal of the Acoustical Society of America,,,2011-04,2011,129,4,2653-2653,Closed,Article,"Leifer, Ira; Luyendyk, Bruce P.; Culling, Dan",,"Leifer, Ira (); Luyendyk, Bruce P. (); Culling, Dan ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1062328942,,,,,,
7,100,pub.1023666951,10.1007/s00367-010-0188-9,,,"Geologic control of natural marine hydrocarbon seep emissions, Coal Oil Point seep field, California",Geo-Marine Letters,,,2010-06,2010,30,4-Mar,331-338,All OA; Gold,Article,"Leifer, Ira; Kamerling, Marc J.; Luyendyk, Bruce P.; Wilson, Douglas S.","Leifer, Ira","Leifer, Ira (University of California, Santa Barbara); Kamerling, Marc J. (); Luyendyk, Bruce P. (University of California, Santa Barbara); Wilson, Douglas S. (University of California, Santa Barbara)",34,6,,5.05,https://doi.org/10.1007/s00367-010-0188-9,https://app.dimensions.ai/details/publication/pub.1023666951,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
8,100,pub.1013057592,10.1029/2009gl039297,,,West Antarctic paleotopography estimated at the Eocene‐Oligocene climate transition,Geophysical Research Letters,,,2009,2009,36,16,,All OA; Gold,Article,"Wilson, Douglas S.; Luyendyk, Bruce P.",,"Wilson, Douglas S. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara)",58,13,,7.8,http://onlinelibrary.wiley.com/doi/10.1029/2009GL039297/pdf,https://app.dimensions.ai/details/publication/pub.1013057592,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
9,100,pub.1049518641,10.1029/2008eo010005,,,"Antarctica: A Keystone in a Changing World: 10th International Symposium on Antarctic Earth Sciences; Santa Barbara, California, 26 August to 1 September 2007",Eos,,,1/1/08,2008,89,1,4-Apr,All OA; Gold,Article,"Bell, Robin E.; Luyendyk, Bruce P.; Wilson, Terry J.",,"Bell, Robin E. (Lamont-Doherty Earth Observatory); Luyendyk, Bruce P. (University of California, Santa Barbara); Wilson, Terry J. (The Ohio State University)",1,0,,0.1,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008EO010005,https://app.dimensions.ai/details/publication/pub.1049518641,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
10,100,pub.1050385251,10.1007/s11001-008-9042-0,,,"Vertical tectonics of the High Plateau region, Manihiki Plateau, Western Pacific, from seismic stratigraphy",Marine Geophysical Research,,,2008-01,2008,29,1,13-26,All OA; Gold,Article,"Ai, Huirong-Anita; Stock, Joann M.; Clayton, Robert; Luyendyk, Bruce","Stock, Joann M.","Ai, Huirong-Anita (California Institute of Technology); Stock, Joann M. (California Institute of Technology); Clayton, Robert (California Institute of Technology); Luyendyk, Bruce (University of California, Santa Barbara)",9,1,,0.88,https://link.springer.com/content/pdf/10.1007%2Fs11001-008-9042-0.pdf,https://app.dimensions.ai/details/publication/pub.1050385251,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,200,pub.1088799014,10.1130/2008.2438(01),,,California Coast Range ophiolite: Composite Middle and Late Jurassic oceanic lithosphere,,"Special Paper 438: Ophiolites, Arcs, and Batholiths: A Tribute to Cliff Hopson",,2008,2008,438,,1-101,Closed,Chapter,"Hopson, Clifford A.; Mattinson, James M.; Pessagno, Emile A.; Luyendyk, Bruce P.",,"Hopson, Clifford A. (); Mattinson, James M. (); Pessagno, Emile A. (); Luyendyk, Bruce P. ()",55,9,,,,https://app.dimensions.ai/details/publication/pub.1088799014,,,,,,
12,400,pub.1042433372,10.1016/j.marpolbul.2007.04.022,17631358,,"Beach tar accumulation, transport mechanisms, and sources of variability at Coal Oil Point, California",Marine Pollution Bulletin,,Bathing Beaches; California; Environmental Monitoring; Environmental Pollutants; Seasons; Tars; Water Movements; Wind,2007-09,2007,54,9,1461-1471,Closed,Article,"Del Sontro, Tonya S.; Leifer, Ira; Luyendyk, Bruce P.; Broitman, Bernardo R.","Del Sontro, Tonya S.","Del Sontro, Tonya S. (University of California, Santa Barbara); Leifer, Ira (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California System); Broitman, Bernardo R. (University of California, Santa Barbara)",17,3,0.35,3.38,,https://app.dimensions.ai/details/publication/pub.1042433372,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
13,100,pub.1038330041,10.1130/g23387a.1,,,Oligocene development of the West Antarctic Ice Sheet recorded in eastern Ross Sea strata,Geology,,,2007,2007,35,5,467-470,Closed,Article,"Sorlien, Christopher C.; Luyendyk, Bruce P.; Wilson, Douglas S.; Decesari, Robert C.; Bartek, Louis R.; Diebold, John B.",,"Sorlien, Christopher C. (University of California, Santa Barbara); Luyendyk, Bruce P. (University of California, Santa Barbara); Wilson, Douglas S. (University of California, Santa Barbara); Decesari, Robert C. (University of California, Santa Barbara); Bartek, Louis R. (University of North Carolina System); Diebold, John B. (Lamont-Doherty Earth Observatory)",20,7,,1.88,,https://app.dimensions.ai/details/publication/pub.1038330041,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
