,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Carla M D'Antonio. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113954280,10.1016/j.foreco.2019.04.055,,,"Bryophyte abundance, composition and importance to woody plant recruitment in natural and restoration forests",Forest Ecology and Management,,,2019-07,2019,444,,405-413,Closed,Article,"Rehm, Evan M.; Thomas, Miles K.; Yelenik, Stephanie G.; Bouck, Dave L.; D'Antonio, Carla M.","Rehm, Evan M.","Rehm, Evan M. (University of California, Santa Barbara); Thomas, Miles K. (University of Hawaii at Manoa); Yelenik, Stephanie G. (United States Geological Survey); Bouck, Dave L. (United States Geological Survey); D'Antonio, Carla M. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113954280,0602 Ecology; 0502 Environmental Science and Management; 0705 Forestry Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0705 Forestry Sciences,0607 Plant Biology,05 Environmental Sciences
2,100,pub.1106930005,10.1007/s10021-018-0300-y,,,Long-term Nutrient Fertilization Increased Soil Carbon Storage in California Grasslands,Ecosystems,,,2019-06,2019,22,4,754-766,Closed,Article,"Lin, Yang; Slessarev, Eric W.; Yehl, Scott T.; D’Antonio, Carla M.; King, Jennifer Y.","Lin, Yang","Lin, Yang (University of California, Santa Barbara; University of California, Berkeley); Slessarev, Eric W. (University of California, Santa Barbara); Yehl, Scott T. (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara); King, Jennifer Y. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106930005,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
3,200,pub.1106344227,10.1094/pdis-06-18-1026-pdn,,,First Report of Neofusicoccum australe Causing Canker Disease and Branch Dieback on Arctostaphylos glauca in California,Plant Disease,,,2019-01,2019,103,1,158-158,All OA; Gold,Article,"Schultheis, L. D.; Oono, R.; D’Antonio, C. M.",,"Schultheis, L. D. (University of California, Santa Barbara); Oono, R. (University of California, Santa Barbara); D’Antonio, C. M. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1094/pdis-06-18-1026-pdn,https://app.dimensions.ai/details/publication/pub.1106344227,0703 Crop and Pasture Production; 0605 Microbiology; 0607 Plant Biology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0605 Microbiology,0607 Plant Biology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
4,500,pub.1107871626,10.1038/s41559-018-0696-y,30374174,,Change in dominance determines herbivore effects on plant biodiversity,Nature Ecology & Evolution,,Animals; Biodiversity; Desert Climate; Grassland; Herbivory; Mammals; Plants,2018-12,2018,2,12,1925-1932,"All OA; Green, Published",Article,"Koerner, Sally E.; Smith, Melinda D.; Burkepile, Deron E.; Hanan, Niall P.; Avolio, Meghan L.; Collins, Scott L.; Knapp, Alan K.; Lemoine, Nathan P.; Forrestel, Elisabeth J.; Eby, Stephanie; Thompson, Dave I.; Aguado-Santacruz, Gerardo A.; Anderson, John P.; Anderson, T. Michael; Angassa, Ayana; Bagchi, Sumanta; Bakker, Elisabeth S.; Bastin, Gary; Baur, Lauren E.; Beard, Karen H.; Beever, Erik A.; Bohlen, Patrick J.; Boughton, Elizabeth H.; Canestro, Don; Cesa, Ariela; Chaneton, Enrique; Cheng, Jimin; D’Antonio, Carla M.; Deleglise, Claire; Dembélé, Fadiala; Dorrough, Josh; Eldridge, David J.; Fernandez-Going, Barbara; Fernández-Lugo, Silvia; Fraser, Lauchlan H.; Freedman, Bill; García-Salgado, Gonzalo; Goheen, Jacob R.; Guo, Liang; Husheer, Sean; Karembé, Moussa; Knops, Johannes M. H.; Kraaij, Tineke; Kulmatiski, Andrew; Kytöviita, Minna-Maarit; Lezama, Felipe; Loucougaray, Gregory; Loydi, Alejandro; Milchunas, Dan G.; Milton, Suzanne J.; Morgan, John W.; Moxham, Claire; Nehring, Kyle C.; Olff, Han; Palmer, Todd M.; Rebollo, Salvador; Riginos, Corinna; Risch, Anita C.; Rueda, Marta; Sankaran, Mahesh; Sasaki, Takehiro; Schoenecker, Kathryn A.; Schultz, Nick L.; Schütz, Martin; Schwabe, Angelika; Siebert, Frances; Smit, Christian; Stahlheber, Karen A.; Storm, Christian; Strong, Dustin J.; Su, Jishuai; Tiruvaimozhi, Yadugiri V.; Tyler, Claudia; Val, James; Vandegehuchte, Martijn L.; Veblen, Kari E.; Vermeire, Lance T.; Ward, David; Wu, Jianshuang; Young, Truman P.; Yu, Qiang; Zelikova, Tamara Jane","Koerner, Sally E.","Koerner, Sally E. (University of North Carolina at Greensboro); Smith, Melinda D. (Colorado State University); Burkepile, Deron E. (University of California, Santa Barbara); Hanan, Niall P. (New Mexico State University); Avolio, Meghan L. (Johns Hopkins University); Collins, Scott L. (University of New Mexico); Knapp, Alan K. (Colorado State University); Lemoine, Nathan P. (Colorado State University); Forrestel, Elisabeth J. (University of California, Davis); Eby, Stephanie (Northeastern University); Thompson, Dave I. (Scientific Services; University of the Witwatersrand); Aguado-Santacruz, Gerardo A. (); Anderson, John P. (New Mexico State University); Anderson, T. Michael (Wake Forest University); Angassa, Ayana (Hawassa University); Bagchi, Sumanta (Indian Institute of Science Bangalore); Bakker, Elisabeth S. (Netherlands Institute of Ecology); Bastin, Gary (); Baur, Lauren E. (University of New Mexico); Beard, Karen H. (Utah State University); Beever, Erik A. (Montana State University); Bohlen, Patrick J. (University of Central Florida); Boughton, Elizabeth H. (Archbold Biological Station); Canestro, Don (); Cesa, Ariela (); Chaneton, Enrique (University of Buenos Aires); Cheng, Jimin (); D’Antonio, Carla M. (University of California, Santa Barbara); Deleglise, Claire (Grenoble Alpes University); Dembélé, Fadiala (); Dorrough, Josh (NSW Office of Environment & Heritage); Eldridge, David J. (UNSW Sydney); Fernandez-Going, Barbara (The University of Texas at Austin); Fernández-Lugo, Silvia (University of La Laguna); Fraser, Lauchlan H. (Thompson Rivers University); Freedman, Bill (Dalhousie University); García-Salgado, Gonzalo (Dalhousie University); Goheen, Jacob R. (University of Wyoming); Guo, Liang (); Husheer, Sean (); Karembé, Moussa (Université des Sciences, des Techniques et des Technologies de Bamako); Knops, Johannes M. H. (University of Nebraska–Lincoln); Kraaij, Tineke (Nelson Mandela University); Kulmatiski, Andrew (Utah State University); Kytöviita, Minna-Maarit (University of Jyväskylä); Lezama, Felipe (University of the Republic); Loucougaray, Gregory (Grenoble Alpes University); Loydi, Alejandro (); Milchunas, Dan G. (Colorado State University); Milton, Suzanne J. (); Morgan, John W. (La Trobe University); Moxham, Claire (Department of Environment, Land, Water and Planning); Nehring, Kyle C. (Utah State University); Olff, Han (University of Groningen); Palmer, Todd M. (University of Florida); Rebollo, Salvador (University of Alcalá); Riginos, Corinna (The Nature Conservancy); Risch, Anita C. (Swiss Federal Institute for Forest, Snow and Landscape Research); Rueda, Marta (Estación Biológica de Doñana); Sankaran, Mahesh (University of Leeds; University of Agricultural Sciences, Bangalore); Sasaki, Takehiro (Yokohama National University); Schoenecker, Kathryn A. (United States Geological Survey); Schultz, Nick L. (Federation University); Schütz, Martin (Swiss Federal Institute for Forest, Snow and Landscape Research); Schwabe, Angelika (Technical University of Darmstadt); Siebert, Frances (North-West University); Smit, Christian (University of Groningen); Stahlheber, Karen A. (University of Wisconsin–Green Bay); Storm, Christian (Technical University of Darmstadt); Strong, Dustin J. (Agricultural Research Service); Su, Jishuai (North West Agriculture and Forestry University); Tiruvaimozhi, Yadugiri V. (University of Agricultural Sciences, Bangalore); Tyler, Claudia (University of California, Santa Barbara); Val, James (NSW Office of Environment & Heritage); Vandegehuchte, Martijn L. (Swiss Federal Institute for Forest, Snow and Landscape Research; Ghent University); Veblen, Kari E. (Utah State University); Vermeire, Lance T. (Agricultural Research Service); Ward, David (Kent State University); Wu, Jianshuang (Institute of Geographic Sciences and Natural Resources Research); Young, Truman P. (University of California, Davis; Mpala Research Center and Wildlife Foundation); Yu, Qiang (Chinese Academy of Agricultural Sciences); Zelikova, Tamara Jane (University of Wyoming)",8,8,,,http://eprints.whiterose.ac.uk/138845/1/Change%20in%20Dominance.pdf,https://app.dimensions.ai/details/publication/pub.1107871626,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
5,100,pub.1103166551,10.1007/s10021-018-0243-3,,,Retention of Nitrogen Following Wildfire in a Chaparral Ecosystem,Ecosystems,,,2018-12,2018,21,8,1608-1622,Closed,Article,"Goodridge, Blair M.; Hanan, Erin J.; Aguilera, Rosana; Wetherley, Erin B.; Chen, Ying-Jung; D’Antonio, Carla M.; Melack, John M.","Goodridge, Blair M.","Goodridge, Blair M. (Columbia University; University of California, Santa Barbara); Hanan, Erin J. (Washington State University; University of California, Santa Barbara); Aguilera, Rosana (University of California, Santa Barbara); Wetherley, Erin B. (University of California, Santa Barbara); Chen, Ying-Jung (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1103166551,0602 Ecology; 0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
6,100,pub.1100476003,10.1007/s10530-018-1668-5,,,Mechanisms of influence of invasive grass litter on germination and growth of coexisting species in California,Biological Invasions,,,2018-07,2018,20,7,1881-1897,Closed,Article,"Chen, Bao-Ming; D’Antonio, Carla M.; Molinari, Nicole; Peng, Shao-Lin","Chen, Bao-Ming","Chen, Bao-Ming (Sun Yat-sen University); D’Antonio, Carla M. (University of California, Santa Barbara); Molinari, Nicole (University of California, Santa Barbara); Peng, Shao-Lin (Sun Yat-sen University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1100476003,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
7,100,pub.1103610186,10.1002/ecs2.2167,,,Fog and live fuel moisture in coastal California shrublands,Ecosphere,,,2018-04,2018,9,4,e02167,All OA; Gold,Article,"Emery, Nathan C.; D'Antonio, Carla M.; Still, Christopher J.",,"Emery, Nathan C. (Michigan State University); D'Antonio, Carla M. (University of California, Santa Barbara); Still, Christopher J. (Oregon State University)",3,3,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2167,https://app.dimensions.ai/details/publication/pub.1103610186,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,100,pub.1103198930,10.1007/978-3-319-68303-4_13,,,Chaparral Restoration,Springer Series on Environmental Management,Valuing Chaparral,,2018,2018,,,347-384,Closed,Chapter,"Allen, Edith B.; Williams, Kimberlyn; Beyers, Jan L.; Phillips, Michala; Ma, Stephanie; D’Antonio, Carla M.","Allen, Edith B.","Allen, Edith B. (University of California, Riverside); Williams, Kimberlyn (California State University, San Bernardino); Beyers, Jan L. (Pacific Southwest Research Station); Phillips, Michala (University of California, Riverside); Ma, Stephanie (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1103198930,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
9,100,pub.1092561955,10.1146/annurev-ecolsys-110316-022620,,,Interactions Among Invasive Plants: Lessons from Hawai‘i,Annual Review of Ecology Evolution and Systematics,,,2017-11-02,2017,48,1,521-541,Closed,Article,"D'Antonio, Carla M.; Ostertag, Rebecca; Cordell, Susan; Yelenik, Stephanie",,"D'Antonio, Carla M. (University of California, Santa Barbara); Ostertag, Rebecca (University of Hawaii at Manoa); Cordell, Susan (); Yelenik, Stephanie ()",5,5,,2.19,,https://app.dimensions.ai/details/publication/pub.1092561955,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
