,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Catherine H Gautier. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1039526441,10.1029/2008jd010928,,,Investigations of the March 2006 African dust storm using ground‐based column‐integrated high spectral resolution infrared (8–13 μm) and visible aerosol optical thickness measurements: 1. Measurement procedures and results,Journal of Geophysical Research,,,2009,2009,114,D11,,All OA; Gold,Article,"Thomas, M.; Gautier, C.; Ricchiazzi, P.",,"Thomas, M. (University of California, Santa Barbara); Gautier, C. (University of California, Santa Barbara); Ricchiazzi, P. (University of California, Santa Barbara)",9,1,,2.54,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008JD010928,https://app.dimensions.ai/details/publication/pub.1039526441,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
2,100,pub.1036403635,10.1029/2008jd010931,,,Investigations of the March 2006 African dust storm using ground‐based column‐integrated high spectral resolution infrared (8–13 μm) and visible aerosol optical thickness measurements: 2. Mineral aerosol mixture analyses,Journal of Geophysical Research,,,2009,2009,114,D14,,All OA; Gold,Article,"Thomas, M.; Gautier, C.",,"Thomas, M. (University of California, Santa Barbara); Gautier, C. (University of California, Santa Barbara)",18,0,,5.08,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008JD010931,https://app.dimensions.ai/details/publication/pub.1036403635,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
3,100,pub.1045450019,10.1029/2005gl025356,,,Assessment of a three dimensional model for atmospheric radiative transfer over heterogeneous land cover,Geophysical Research Letters,,,2006-05,2006,33,10,n/a-n/a,All OA; Gold,Article,"McComiskey, A.; Ricchiazzi, P.; Gautier, C.; Lubin, D.",,"McComiskey, A. (University of California, Santa Barbara; University of Colorado Boulder); Ricchiazzi, P. (University of California, Santa Barbara); Gautier, C. (University of California, Santa Barbara); Lubin, D. (Scripps Institution of Oceanography)",5,1,,1.28,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GL025356,https://app.dimensions.ai/details/publication/pub.1045450019,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
4,100,pub.1047357033,10.1029/2005jd005863,,,A comparison of aerosol optical properties obtained from in situ measurements and retrieved from Sun and sky radiance observations during the May 2003 ARM Aerosol Intensive Observation Period,Journal of Geophysical Research,,,2006,2006,111,D5,,All OA; Gold,Article,"Ricchiazzi, Paul; Gautier, Catherine; Ogren, John A.; Schmid, Beat",,"Ricchiazzi, Paul (University of California, Santa Barbara); Gautier, Catherine (University of California, Santa Barbara); Ogren, John A. (Earth System Research Laboratory); Schmid, Beat (Bay Area Environmental Research Institute)",16,1,,4.1,http://onlinelibrary.wiley.com/doi/10.1029/2005JD005863/pdf,https://app.dimensions.ai/details/publication/pub.1047357033,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
5,100,pub.1038813342,10.1175/jas3519.1,,,The Impact of Model Resolution on Differences between Independent Column Approximation and Monte Carlo Estimates of Shortwave Surface Irradiance and Atmospheric Heating Rate,Journal of the Atmospheric Sciences,,,2005-08,2005,62,8,2939-2951,Closed,Article,"O’Hirok, William; Gautier, Catherine",,"O’Hirok, William (); Gautier, Catherine ()",18,3,,1.4,,https://app.dimensions.ai/details/publication/pub.1038813342,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
6,100,pub.1010264451,10.1016/j.rse.2004.10.003,,,A simple method for removing 3-D radiative effects in satellite retrievals of surface irradiance,Remote Sensing of Environment,,,2005-02,2005,94,3,335-342,Closed,Article,"Wyser, Klaus; O'Hirok, William; Gautier, Catherine","Wyser, Klaus","Wyser, Klaus (University of California, Santa Barbara); O'Hirok, William (University of California, Santa Barbara); Gautier, Catherine (University of California, Santa Barbara)",12,3,,1.94,,https://app.dimensions.ai/details/publication/pub.1010264451,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
7,100,pub.1039388771,10.1029/2005jd005813,,,Spectral observations and modeling of the Arctic surface radiation environment,Journal of Geophysical Research,,,2005,2005,110,D23,,All OA; Gold,Article,"Kancler, Erik; Gautier, Catherine; Ricchiazzi, Paul; Yang, Shiren; Pilewskie, Peter",,"Kancler, Erik (); Gautier, Catherine (); Ricchiazzi, Paul (); Yang, Shiren (); Pilewskie, Peter (Laboratory for Atmospheric and Space Physics)",1,0,,0.27,http://onlinelibrary.wiley.com/doi/10.1029/2005JD005813/pdf,https://app.dimensions.ai/details/publication/pub.1039388771,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
8,100,pub.1004134672,10.1029/2004jd005293,,,Intercomparison of shortwave radiative transfer codes and measurements,Journal of Geophysical Research,,,2005,2005,110,D11,,All OA; Gold,Article,"Halthore, Rangasayi N.; Crisp, David; Schwartz, Stephen E.; Anderson, G. P.; Berk, A.; Bonnel, B.; Boucher, O.; Chang, Fu‐Lung; Chou, Ming‐Dah; Clothiaux, Eugene E.; Dubuisson, P.; Fomin, Boris; Fouquart, Y.; Freidenreich, S.; Gautier, Catherine; Kato, Seiji; Laszlo, Istvan; Li, Z.; Mather, J. H.; Plana‐Fattori, Artemio; Ramaswamy, V.; Ricchiazzi, P.; Shiren, Y.; Trishchenko, A.; Wiscombe, W.",,"Halthore, Rangasayi N. (United States Naval Research Laboratory); Crisp, David (Jet Propulsion Lab); Schwartz, Stephen E. (Brookhaven National Laboratory); Anderson, G. P. (); Berk, A. (Spectral Sciences (United States)); Bonnel, B. (Laboratoire d'optique atmosphèrique); Boucher, O. (Laboratoire d'optique atmosphèrique); Chang, Fu‐Lung (University of Maryland, College Park); Chou, Ming‐Dah (Goddard Space Flight Center; National Taiwan University); Clothiaux, Eugene E. (Pennsylvania State University); Dubuisson, P. (University of the Littoral Opal Coast); Fomin, Boris (Kurchatov Institute); Fouquart, Y. (Laboratoire d'optique atmosphèrique); Freidenreich, S. (Geophysical Fluid Dynamics Laboratory); Gautier, Catherine (University of California, Santa Barbara); Kato, Seiji (Hampton University); Laszlo, Istvan (National Environmental Satellite Data and Information Service); Li, Z. (University of Maryland, College Park); Mather, J. H. (Pacific Northwest National Laboratory); Plana‐Fattori, Artemio (University of Sao Paulo); Ramaswamy, V. (Geophysical Fluid Dynamics Laboratory); Ricchiazzi, P. (University of California, Santa Barbara); Shiren, Y. (University of California, Santa Barbara); Trishchenko, A. (Natural Resources Canada); Wiscombe, W. (Goddard Space Flight Center)",85,11,,8.74,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004JD005293,https://app.dimensions.ai/details/publication/pub.1004134672,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
9,100,pub.1061608744,10.1109/tgrs.2002.808356,,,AIRS/AMSU/HSB on the Aqua Mission,IEEE Transactions on Geoscience and Remote Sensing,,,2003-02,2003,41,2,253,Closed,Article,"Aumann, Hartmut H.; Chahine, Moustafa T.; Gautier, Catherine; Goldberg, Mitchell D.; Kalnay, Eugenia; McMillin, Larry M.; Revercomb, Hank; Rosenkranz, Philip W.; Smith, William L.; Staelin, David H.; Strow, L. Larrabee; Susskind, Joel",,"Aumann, Hartmut H. (Jet Propulsion Lab; Rice University); Chahine, Moustafa T. (Jet Propulsion Lab; University of California, Berkeley); Gautier, Catherine (University of California, Santa Barbara; Pantheon-Sorbonne University); Goldberg, Mitchell D. (National Environmental Satellite Data and Information Service; Rutgers, The State University of New Jersey); Kalnay, Eugenia (University of Maryland, College Park); McMillin, Larry M. (National Environmental Satellite Data and Information Service; University of Michigan); Revercomb, Hank (University of Wisconsin–Madison); Rosenkranz, Philip W. (Massachusetts Institute of Technology); Smith, William L. (Langley Research Center; National Oceanic and Atmospheric Administration); Staelin, David H. (Massachusetts Institute of Technology); Strow, L. Larrabee (University of Maryland, Baltimore County); Susskind, Joel (Goddard Space Flight Center)",943,128,,78.8,,https://app.dimensions.ai/details/publication/pub.1061608744,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
