,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Charles D Kolstad. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1062668760,10.1126/science.aak9851,27934718,,Reforming the U.S. coal leasing program,Science,,,12/2/16,2016,354,6316,1096-1098,Closed,Article,"Gillingham, Kenneth; Bushnell, James; Fowlie, Meredith; Greenstone, Michael; Kolstad, Charles; Krupnick, Alan; Morris, Adele; Schmalensee, Richard; Stock, James",,"Gillingham, Kenneth (Yale University); Bushnell, James (University of California, Davis); Fowlie, Meredith (University of California, Berkeley); Greenstone, Michael (University of Chicago); Kolstad, Charles (Stanford University); Krupnick, Alan (Resources For The Future); Morris, Adele (Brookings Institution); Schmalensee, Richard (Massachusetts Institute of Technology); Stock, James (Harvard University)",2,2,0,,,https://app.dimensions.ai/details/publication/pub.1062668760,,,,,,
2,100,pub.1063026866,10.1142/s2010007816500020,,,SOME RESEARCH CHALLENGES IN THE ECONOMICS OF CLIMATE CHANGE,Climate Change Economics,,,2016-05,2016,7,2,1650002,Closed,Article,"BURKE, MARSHALL; CRAXTON, MELANIE; KOLSTAD, CHARLES D.; ONDA, CHIKARA",,"BURKE, MARSHALL (Stanford University); CRAXTON, MELANIE (Stanford University); KOLSTAD, CHARLES D. (Stanford University); ONDA, CHIKARA (Stanford University)",7,6,,5.53,,https://app.dimensions.ai/details/publication/pub.1063026866,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
3,100,pub.1063026862,10.1142/s2010007816400017,,,REFORMING THE IPCC’S ASSESSMENT OF CLIMATE CHANGE ECONOMICS,Climate Change Economics,,,2016-02,2016,7,1,1640001,"All OA; Green, Accepted & Submitted",Article,"CHAN, GABRIEL; CARRARO, CARLO; EDENHOFER, OTTMAR; KOLSTAD, CHARLES; STAVINS, ROBERT",,"CHAN, GABRIEL (University of Minnesota); CARRARO, CARLO (Fondazione Eni Enrico Mattei; Ca Foscari University of Venice); EDENHOFER, OTTMAR (Potsdam Institute for Climate Impact Research; Technical University of Berlin); KOLSTAD, CHARLES (Stanford University); STAVINS, ROBERT (Harvard University)",9,4,,7.11,http://www.feem.it/userfiles/attach/20162261210564NDL2016-012.pdf,https://app.dimensions.ai/details/publication/pub.1063026862,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
4,100,pub.1102456087,10.2139/ssrn.2743107,,,Reforming the IPCC's Assessment of Climate Change Economics,SSRN Electronic Journal,,,2016,2016,,,,"All OA; Green, Accepted & Submitted",Preprint,"Chan, Gabriel; Carraro, Carlo; Edenhofer, Ottmar; Kolstad, Charles D.; Stavins, Robert N.",,"Chan, Gabriel (University of Minnesota); Carraro, Carlo (); Edenhofer, Ottmar (); Kolstad, Charles D. (); Stavins, Robert N. ()",2,2,,1.58,http://www.feem.it/userfiles/attach/20162261210564NDL2016-012.pdf,https://app.dimensions.ai/details/publication/pub.1102456087,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
5,200,pub.1039268783,10.1126/science.aac4419,26430104,,The IPCC at a crossroads: Opportunities for reform,Science,,,10/2/15,2015,350,6256,34-35,All OA; Gold,Article,"Carraro, Carlo; Edenhofer, Ottmar; Flachsland, Christian; Kolstad, Charles; Stavins, Robert; Stowe, Robert",,"Carraro, Carlo (Fondazione Eni Enrico Mattei; Ca Foscari University of Venice); Edenhofer, Ottmar (Technical University of Berlin); Flachsland, Christian (Hertie School of Governance); Kolstad, Charles (Stanford University); Stavins, Robert (Harvard University); Stowe, Robert (Harvard University)",19,4,0.18,,https://science.sciencemag.org/content/sci/350/6256/34.full.pdf,https://app.dimensions.ai/details/publication/pub.1039268783,,,,,,
6,200,pub.1062470848,10.1126/science.1261349,25395524,,An economic perspective on the EPA's Clean Power Plan,Science,,Carbon Dioxide; Cost-Benefit Analysis; Environmental Policy; Power Plants; United States; United States Environmental Protection Agency,11/14/14,2014,346,6211,815-816,Closed,Article,"Fowlie, Meredith; Goulder, Lawrence; Kotchen, Matthew; Borenstein, Severin; Bushnell, James; Davis, Lucas; Greenstone, Michael; Kolstad, Charles; Knittel, Christopher; Stavins, Robert; Wara, Michael; Wolak, Frank; Wolfram, Catherine",,"Fowlie, Meredith (University of California, Berkeley); Goulder, Lawrence (Stanford University); Kotchen, Matthew (Yale University); Borenstein, Severin (University of California, Berkeley); Bushnell, James (University of California, Davis); Davis, Lucas (University of California, Berkeley); Greenstone, Michael (University of Chicago); Kolstad, Charles (Stanford University); Knittel, Christopher (Massachusetts Institute of Technology); Stavins, Robert (Harvard University); Wara, Michael (Stanford University); Wolak, Frank (Stanford University); Wolfram, Catherine (University of California, Berkeley)",16,5,0.08,,,https://app.dimensions.ai/details/publication/pub.1062470848,,,,,,
7,200,pub.1059990371,10.1093/reep/req025,,,The Impact of REEP,Review of Environmental Economics and Policy,,,12/1/11,2011,5,1,2-Jan,Closed,Article,"Kolstad, C. D.; Carraro, C.; Kahn, M. E.; Stavins, R.",,"Kolstad, C. D. (); Carraro, C. (); Kahn, M. E. (); Stavins, R. ()",2,0,,0.54,,https://app.dimensions.ai/details/publication/pub.1059990371,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
8,100,pub.1025011034,10.1007/s10584-011-0307-2,,,The impact of climate change on California timberlands,Climatic Change,,,2011-12,2011,109,Suppl 1,429-443,"All OA; Green, Accepted & Submitted",Article,"Hannah, L.; Costello, C.; Guo, C.; Ries, L.; Kolstad, C.; Panitz, D.; Snider, N.","Hannah, L.","Hannah, L. (Conservation International; University of California, Santa Barbara); Costello, C. (University of California, Santa Barbara); Guo, C. (University of California, Santa Barbara); Ries, L. (University of California, Santa Barbara); Kolstad, C. (University of California, Santa Barbara); Panitz, D. (University of California, Santa Barbara); Snider, N. (University of California, Santa Barbara)",6,0,,0.98,http://hdl.handle.net/10.1007/s10584-011-0307-2,https://app.dimensions.ai/details/publication/pub.1025011034,0502 Environmental Science and Management; 14 Economics; 0699 Other Biological Sciences; 0501 Ecological Applications; 1402 Applied Economics; 05 Environmental Sciences; 06 Biological Sciences,0502 Environmental Science and Management,14 Economics,0699 Other Biological Sciences,0501 Ecological Applications,1402 Applied Economics
9,100,pub.1015787978,10.1007/s10584-011-0322-3,,,Economic impacts of climate change on California agriculture,Climatic Change,,,2011-12,2011,109,Suppl 1,365-386,"All OA; Green, Accepted & Submitted",Article,"Deschenes, Olivier; Kolstad, Charles","Deschenes, Olivier","Deschenes, Olivier (University of California, Santa Barbara); Kolstad, Charles (University of California, Santa Barbara)",12,3,,5.71,http://www.econ.ucsb.edu/%7Eolivier/DK_2011.pdf,https://app.dimensions.ai/details/publication/pub.1015787978,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
