,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Charles Jones. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1112971821,10.3390/atmos10030155,,,Simulating Sundowner Winds in Coastal Santa Barbara: Model Validation and Sensitivity,Atmosphere,,,2019-03-22,2019,10,3,155,All OA; Gold,Article,"Duine, Gert-Jan; Jones, Charles; Carvalho, Leila M.V.; Fovell, Robert G.",,"Duine, Gert-Jan (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M.V. (University of California, Santa Barbara); Fovell, Robert G. (University at Albany, State University of New York)",0,0,,,https://www.mdpi.com/2073-4433/10/3/155/pdf,https://app.dimensions.ai/details/publication/pub.1112971821,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
2,100,pub.1111093615,10.1029/2018jd029634,,,"The South American Low‐Level Jet: A New Climatology, Variability, and Changes",Journal of Geophysical Research Atmospheres,,,2019-02-16,2019,124,3,1200-1218,Closed,Article,"Montini, Tessa L.; Jones, Charles; Carvalho, Leila M. V.",,"Montini, Tessa L. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1111093615,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
3,100,pub.1101169675,10.1007/s00382-018-4133-3,,,Deciphering the contrasting climatic trends between the central Himalaya and Karakoram with 36 years of WRF simulations,Climate Dynamics,,,2019-01,2019,52,1-2,159-180,Closed,Article,"Norris, Jesse; Carvalho, Leila M. V.; Jones, Charles; Cannon, Forest","Norris, Jesse","Norris, Jesse (University of California, Santa Barbara; University of California Los Angeles); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Cannon, Forest (University of California, Santa Barbara; Scripps Institution of Oceanography)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1101169675,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
4,100,pub.1107844131,10.1016/b978-0-12-811714-9.00017-6,,,Chapter 17 Sub-seasonal to Seasonal Prediction of Weather Extremes,,Sub-Seasonal to Seasonal Prediction,,2019,2019,,,365-386,Closed,Chapter,"Vitart, Frédéric; Cunningham, Christopher; DeFlorio, Michael; Dutra, Emanuel; Ferranti, Laura; Golding, Brian; Hudson, Debra; Jones, Charles; Lavaysse, Christophe; Robbins, Joanne; Tippett, Michael K.",,"Vitart, Frédéric (European Centre for Medium-Range Weather Forecasts); Cunningham, Christopher (); DeFlorio, Michael (); Dutra, Emanuel (University of Lisbon); Ferranti, Laura (European Centre for Medium-Range Weather Forecasts); Golding, Brian (Met Office); Hudson, Debra (Bureau of Meteorology); Jones, Charles (University of California, Santa Barbara); Lavaysse, Christophe (French National Centre for Scientific Research); Robbins, Joanne (Met Office); Tippett, Michael K. (Columbia University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107844131,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
5,100,pub.1107670645,10.1038/s41612-018-0050-8,,,The influence of the Atlantic multidecadal oscillation on the eastern Andes low-level jet and precipitation in South America,npj Climate and Atmospheric Science,,,2018-12,2018,1,1,40,All OA; Gold,Article,"Jones, Charles; Carvalho, Leila M. V.","Jones, Charles","Jones, Charles (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara)",5,5,,,https://www.nature.com/articles/s41612-018-0050-8.pdf,https://app.dimensions.ai/details/publication/pub.1107670645,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
6,100,pub.1100618311,10.1002/joc.5427,,,A new assessment in total and extreme rainfall trends over central and southern Peruvian Andes during 1965–2010,International Journal of Climatology,,,2018-04,2018,38,,e998-e1015,Closed,Article,"Heidinger, Haline; Carvalho, Leila; Jones, Charles; Posadas, Adolfo; Quiroz, Roberto",,"Heidinger, Haline (); Carvalho, Leila (); Jones, Charles (); Posadas, Adolfo (); Quiroz, Roberto (International Potato Center)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1100618311,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
7,200,pub.1101512975,10.3390/atmos9030100,,,Madden–Julian Oscillation,Atmosphere,,,2018-03-11,2018,9,3,100,All OA; Gold,Article,"Jones, Charles",,"Jones, Charles ()",0,0,,,https://www.mdpi.com/2073-4433/9/3/100/pdf,https://app.dimensions.ai/details/publication/pub.1101512975,,,,,,
8,100,pub.1033697444,10.1007/s00382-016-3414-y,,,The spatiotemporal variability of precipitation over the Himalaya: evaluation of one-year WRF model simulation,Climate Dynamics,,,2017-09,2017,49,5-6,2179-2204,"All OA; Green, Published",Article,"Norris, Jesse; Carvalho, Leila M. V.; Jones, Charles; Cannon, Forest; Bookhagen, Bodo; Palazzi, Elisa; Tahir, Adnan Ahmad","Norris, Jesse","Norris, Jesse (University of California, Santa Barbara); Carvalho, Leila M. V. (University of California, Santa Barbara); Jones, Charles (University of California, Santa Barbara); Cannon, Forest (University of California, Santa Barbara); Bookhagen, Bodo (University of Potsdam); Palazzi, Elisa (Institute of Atmospheric Sciences and Climate); Tahir, Adnan Ahmad (COMSATS University Islamabad)",18,13,,5.45,https://link.springer.com/content/pdf/10.1007/s00382-016-3414-y.pdf,https://app.dimensions.ai/details/publication/pub.1033697444,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
9,100,pub.1084610607,10.1175/jcli-d-16-0634.1,,,Potential Predictability during a Madden–Julian Oscillation Event,Journal of Climate,,,2017-07,2017,30,14,5345-5360,Closed,Article,"Jones, Charles; Dudhia, Jimy",,"Jones, Charles (University of California, Santa Barbara); Dudhia, Jimy (National Center for Atmospheric Research)",2,1,,0.61,,https://app.dimensions.ai/details/publication/pub.1084610607,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
