,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Christina L Tague. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117784088,10.3389/ffgc.2019.00036,,,Plant Accessible Water Storage Capacity and Tree-Scale Root Interactions Determine How Forest Density Reductions Alter Forest Water Use and Productivity,Frontiers in Forests and Global Change,,,2019-07-05,2019,2,,36,All OA; Gold,Article,"Tague, Christina L.; Moritz, Max A.",,"Tague, Christina L. (University of California, Santa Barbara); Moritz, Max A. (University of California, Santa Barbara)",0,0,,,https://www.frontiersin.org/articles/10.3389/ffgc.2019.00036/pdf,https://app.dimensions.ai/details/publication/pub.1117784088,0602 Ecology; 0501 Ecological Applications; 0705 Forestry Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0501 Ecological Applications,0705 Forestry Sciences,0607 Plant Biology,05 Environmental Sciences
2,100,pub.1117489173,10.1029/2018wr024098,,,Restoring a Natural Fire Regime Alters the Water Balance of a Sierra Nevada Catchment,Water Resources Research,,,2019-07,2019,55,7,5751-5769,Closed,Article,"Boisramé, Gabrielle F. S.; Thompson, Sally E.; Tague, Christina; Stephens, Scott L.",,"Boisramé, Gabrielle F. S. (University of California, Berkeley; Desert Research Institute); Thompson, Sally E. (University of California, Berkeley); Tague, Christina (University of California, Santa Barbara); Stephens, Scott L. (University of California, Berkeley)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117489173,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
3,100,pub.1112396301,10.1002/hyp.13421,,,A top–down soil moisture and sap flux sampling design of a rain–snow transition mountain watershed,Hydrological Processes,,,2019-05-30,2019,33,11,1553-1568,Closed,Article,"Kyongho, Son; Tague, Christina",,"Kyongho, Son (Research Foundation of The City University of New York; Hunter College); Tague, Christina (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112396301,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering,
4,100,pub.1113948375,10.1002/wat2.1350,,,The changing water cycle: The eco‐hydrologic impacts of forest density reduction in Mediterranean (seasonally dry) regions,Wiley Interdisciplinary Reviews Water,,,2019-05-07,2019,6,4,e1350,Closed,Article,"Tague, Christina L.; Moritz, Max; Hanan, Erin",,"Tague, Christina L. (University of California, Santa Barbara); Moritz, Max (University of California, Santa Barbara); Hanan, Erin (University of Nevada Reno)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1113948375,0602 Ecology; 0406 Physical Geography and Environmental Geoscience; 0705 Forestry Sciences; 0501 Ecological Applications; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0406 Physical Geography and Environmental Geoscience,0705 Forestry Sciences,0501 Ecological Applications,04 Earth Sciences
5,100,pub.1112213892,10.1029/2018wr023006,,,Modeling Runoff and Nitrogen Loads From a Watershed at Different Levels of Impervious Surface Coverage and Connectivity to Storm Water Control Measures,Water Resources Research,,,2019-04,2019,55,4,2690-2707,Closed,Article,"Bell, Colin D.; Tague, Christina L.; McMillan, Sara K.",,"Bell, Colin D. (Colorado School of Mines); Tague, Christina L. (University of California, Santa Barbara); McMillan, Sara K. (Purdue University West Lafayette)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112213892,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
6,100,pub.1107705498,10.1002/eco.2053,,,Hydrologic responses to climate warming for a snow‐dominated watershed and a transient snow watershed in the California Sierra,Ecohydrology,,,2019-01,2019,12,1,e2053,All OA; Gold,Article,"Son, Kyongho; Tague, Christina",,"Son, Kyongho (Research Foundation of The City University of New York; Hunter College; University of California, Santa Barbara); Tague, Christina (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/eco.2053,https://app.dimensions.ai/details/publication/pub.1107705498,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
7,100,pub.1106185287,10.1007/s10533-018-0482-6,,,Before the storm: antecedent conditions as regulators of hydrologic and biogeochemical response to extreme climate events,Biogeochemistry,,,2018-12,2018,141,3,487-501,Closed,Article,"McMillan, Sara K.; Wilson, Henry F.; Tague, Christina L.; Hanes, Daniel M.; Inamdar, Shreeram; Karwan, Diana L.; Loecke, Terry; Morrison, Jonathan; Murphy, Sheila F.; Vidon, Philippe","McMillan, Sara K.","McMillan, Sara K. (Purdue University West Lafayette); Wilson, Henry F. (); Tague, Christina L. (University of California, Santa Barbara); Hanes, Daniel M. (Saint Louis University); Inamdar, Shreeram (University of Delaware); Karwan, Diana L. (University of Minnesota); Loecke, Terry (University of Kansas); Morrison, Jonathan (United States Geological Survey); Murphy, Sheila F. (United States Geological Survey); Vidon, Philippe (SUNY College of Environmental Science and Forestry)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1106185287,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
8,100,pub.1109929252,10.3390/w10111668,,,The Influence of Climate and Land-Cover Scenarios on Dam Management Strategies in a High Water Pressure Catchment in Northeast Spain,Water,,,2018-11-16,2018,10,11,1668,All OA; Gold,Article,"Zabalza-Martínez, J.; Vicente-Serrano, S. M.; López-Moreno, J. I.; Calvo, G. Borràs; Savé, R.; Pascual, D.; Pla, E.; Morán-Tejeda, E.; Domínguez-Castro, F.; Tague, C. L.",,"Zabalza-Martínez, J. (); Vicente-Serrano, S. M. (); López-Moreno, J. I. (); Calvo, G. Borràs (Government of Catalonia); Savé, R. (Institute for Research and Technology in Food and Agriculture); Pascual, D. (); Pla, E. (); Morán-Tejeda, E. (University of the Balearic Islands); Domínguez-Castro, F. (); Tague, C. L. ()",0,0,,,https://www.mdpi.com/2073-4441/10/11/1668/pdf,https://app.dimensions.ai/details/publication/pub.1109929252,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
9,100,pub.1107292321,10.3390/rs10101556,,,Using Imaging Spectrometry to Study Changes in Crop Area in California’s Central Valley during Drought,Remote Sensing,,,2018-09-27,2018,10,10,1556,All OA; Gold,Article,"Shivers, Sarah W.; Roberts, Dar A.; McFadden, Joseph P.; Tague, Christina",,"Shivers, Sarah W. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara); Tague, Christina (University of California, Santa Barbara)",2,2,,,https://www.mdpi.com/2072-4292/10/10/1556/pdf,https://app.dimensions.ai/details/publication/pub.1107292321,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
