,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Christopher C Sorlien. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1105781416,10.1038/s41598-018-29718-7,30054536,PMC6063862,Past continental shelf evolution increased Antarctic ice sheet sensitivity to climatic conditions,Scientific Reports,,,2018-12,2018,8,1,11323,All OA; Gold,Article,"Colleoni, Florence; De Santis, Laura; Montoli, Enea; Olivo, Elisabetta; Sorlien, Christopher C.; Bart, Philip J.; Gasson, Edward G. W.; Bergamasco, Andrea; Sauli, Chiara; Wardell, Nigel; Prato, Stefano","Colleoni, Florence","Colleoni, Florence (); De Santis, Laura (); Montoli, Enea (); Olivo, Elisabetta (University of Siena); Sorlien, Christopher C. (University of California, Santa Barbara); Bart, Philip J. (Louisiana State University); Gasson, Edward G. W. (University of Sheffield); Bergamasco, Andrea (); Sauli, Chiara (); Wardell, Nigel (); Prato, Stefano ()",8,8,,,https://www.nature.com/articles/s41598-018-29718-7.pdf,https://app.dimensions.ai/details/publication/pub.1105781416,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
2,100,pub.1092073168,10.1130/ges01387.1,,,"Shelf evolution along a transpressive transform margin, Santa Barbara Channel, California",Geosphere,,,12/1/17,2017,13,6,2041-2077,All OA; Gold,Article,"Johnson, Samuel Y.; Hartwell, Stephen R.; Sorlien, Christopher C.; Dartnell, Peter; Ritchie, Andrew C.",,"Johnson, Samuel Y. (); Hartwell, Stephen R. (); Sorlien, Christopher C. (University of California, Santa Barbara); Dartnell, Peter (); Ritchie, Andrew C. ()",4,4,,1.35,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/13/6/2041/3991272/2041.pdf,https://app.dimensions.ai/details/publication/pub.1092073168,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
3,200,pub.1099586974,10.1130/abs/2017am-306169,,,SANTA BARBARA BASIN SEDIMENT RECORD OF VOLCANIC WINTERS TRIGGERED BY TWO YELLOWSTONE SUPERVOLCANO ERUPTIONS AT 639 KA,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Kennett, James; Behl, Richard J.; Dean, Walter E.; Sorlien, Christopher; Nicholson, Craig",,"Kennett, James (); Behl, Richard J. (); Dean, Walter E. (); Sorlien, Christopher (); Nicholson, Craig ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099586974,,,,,,
4,100,pub.1031882100,10.1016/j.tecto.2015.11.026,,,Evidence for a minimum 52±1km of total offset along the northern branch of the North Anatolian Fault in northwest Turkey,Tectonophysics,,,2016-02,2016,668,,35-41,Closed,Article,"Akbayram, Kenan; Sorlien, Christopher C.; Okay, Aral I.","Akbayram, Kenan","Akbayram, Kenan (); Sorlien, Christopher C. (University of California, Santa Barbara); Okay, Aral I. (Istanbul Technical University)",15,10,,3.88,,https://app.dimensions.ai/details/publication/pub.1031882100,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,100,pub.1022831107,10.1002/2014pa002756,,,"Abrupt termination of Marine Isotope Stage 16 (Termination VII) at 631.5 ka in Santa Barbara Basin, California",Paleoceanography and Paleoclimatology,,,2015-10,2015,30,10,1373-1390,All OA; Gold,Article,"Dean, Walter E.; Kennett, James P.; Behl, Richard J.; Nicholson, Craig; Sorlien, Christopher C.",,"Dean, Walter E. (United States Geological Survey); Kennett, James P. (University of California, Santa Barbara); Behl, Richard J. (California State University, Long Beach); Nicholson, Craig (University of California, Santa Barbara); Sorlien, Christopher C. (University of California, Santa Barbara)",4,2,,0.69,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014PA002756,https://app.dimensions.ai/details/publication/pub.1022831107,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
6,100,pub.1052690070,10.1130/ges01118.1,,,Late Miocene–Quaternary fault evolution and interaction in the southern California Inner Continental Borderland,Geosphere,,,2015-08,2015,11,4,1111-1132,All OA; Gold,Article,"Sorlien, Christopher C.; Bennett, Jonathan T.; Cormier, Marie-Helene; Campbell, Brian A.; Nicholson, Craig; Bauer, Robert L.",,"Sorlien, Christopher C. (University of California, Santa Barbara); Bennett, Jonathan T. (University of Missouri); Cormier, Marie-Helene (University of Missouri); Campbell, Brian A. (University of Missouri); Nicholson, Craig (University of California, Santa Barbara); Bauer, Robert L. (University of Missouri)",1,1,,0.2,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/11/4/1111/3334311/1111.pdf,https://app.dimensions.ai/details/publication/pub.1052690070,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,100,pub.1006583112,10.1016/j.margeo.2014.03.005,,,"Seafloor fault ruptures along the North Anatolia Fault in the Marmara Sea, Turkey: Link with the adjacent basin turbidite record",Marine Geology,,,2014-07,2014,353,,65-83,"All OA; Green, Published",Article,"McHugh, Cecilia M.G.; Braudy, Nicole; Çağatay, M. Namik; Sorlien, Christopher; Cormier, Marie-Helene; Seeber, Leonardo; Henry, Pierre","McHugh, Cecilia M.G.","McHugh, Cecilia M.G. (Queens College, City University of New York; Lamont-Doherty Earth Observatory); Braudy, Nicole (Queens College, City University of New York); Çağatay, M. Namik (Istanbul Technical University); Sorlien, Christopher (University of California, Santa Barbara); Cormier, Marie-Helene (University of Missouri); Seeber, Leonardo (Lamont-Doherty Earth Observatory); Henry, Pierre (French National Centre for Scientific Research)",12,5,,2.19,https://academiccommons.columbia.edu/doi/10.7916/D82235H8/download,https://app.dimensions.ai/details/publication/pub.1006583112,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
8,200,pub.1052656509,10.1016/j.quaint.2013.07.060,,,"Extending the record of abrupt and millennial-scale climate and ocean change through the Mid-Pleistocene transition in Santa Barbara basin, California",Quaternary International,,,2013-10,2013,310,,228-229,Closed,Article,"Behl, Richard J.; Afshar, Sara; Kennett, James P.; Nicholson, Craig; Sorlien, Christopher C.; Marshall, Courtney J.; Hill, Tessa M.; White, Sarah M.; Dean, Walter E.; Barron, John A.",,"Behl, Richard J. (California State University, Long Beach); Afshar, Sara (California State University, Long Beach); Kennett, James P. (University of California, Santa Barbara); Nicholson, Craig (University of California, Davis); Sorlien, Christopher C. (University of California, Santa Barbara); Marshall, Courtney J. (California State University, Long Beach); Hill, Tessa M. (University of California, Davis); White, Sarah M. (University of California, Davis); Dean, Walter E. (Denver Federal Center); Barron, John A. (United States Geological Survey)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1052656509,2101 Archaeology; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,2101 Archaeology,0406 Physical Geography and Environmental Geoscience,0403 Geology,21 History and Archaeology,04 Earth Sciences
9,100,pub.1004459439,10.1002/grl.50882,,,"Steady late quaternary slip rate on the Cinarcik section of the North Anatolian fault near Istanbul, Turkey",Geophysical Research Letters,,,9/16/13,2013,40,17,4555-4559,All OA; Gold,Article,"Kurt, Hulya; Sorlien, C. C.; Seeber, L.; Steckler, M. S.; Shillington, D. J.; Cifci, G.; Cormier, M.‐H.; Dessa, J.‐X.; Atgin, O.; Dondurur, D.; Demirbag, E.; Okay, S.; Imren, C.; Gurcay, S.; Carton, H.",,"Kurt, Hulya (Istanbul Technical University); Sorlien, C. C. (University of California, Santa Barbara); Seeber, L. (Lamont-Doherty Earth Observatory); Steckler, M. S. (Lamont-Doherty Earth Observatory); Shillington, D. J. (Lamont-Doherty Earth Observatory); Cifci, G. (Dokuz Eylül University); Cormier, M.‐H. (University of Missouri; University of Rhode Island); Dessa, J.‐X. (Sorbonne University); Atgin, O. (Dokuz Eylül University); Dondurur, D. (Dokuz Eylül University); Demirbag, E. (Istanbul Technical University); Okay, S. (Dokuz Eylül University); Imren, C. (Istanbul Technical University); Gurcay, S. (Dokuz Eylül University); Carton, H. (Lamont-Doherty Earth Observatory)",21,9,,3.46,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/grl.50882,https://app.dimensions.ai/details/publication/pub.1004459439,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
