,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Christopher J Costello. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1115975933,10.1038/s41598-019-44406-w,31142773,PMC6541654,Designing MPAs for food security in open-access fisheries,Scientific Reports,,,2019-12,2019,9,1,8033,All OA; Gold,Article,"Cabral, Reniel B.; Halpern, Benjamin S.; Lester, Sarah E.; White, Crow; Gaines, Steven D.; Costello, Christopher","Cabral, Reniel B.","Cabral, Reniel B. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Lester, Sarah E. (Florida State University); White, Crow (California Polytechnic State University); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",2,2,,,https://www.nature.com/articles/s41598-019-44406-w.pdf,https://app.dimensions.ai/details/publication/pub.1115975933,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1121826129,10.1101/804831,,,Realistic fisheries management reforms could mitigate the impacts of climate change in most countries,bioRxiv,,,2019-10-14,2019,,,804831,"All OA; Green, Accepted & Submitted",Preprint,"Free, Christopher M; Mangin, Tracey; Ojea, Elena; Molinos, Jorge García; Costello, Christopher; Gaines, Steven D",,"Free, Christopher M (University of California, Santa Barbara); Mangin, Tracey (University of California, Santa Barbara); Ojea, Elena (University of Vigo); Molinos, Jorge García (Hokkaido University); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121826129,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,100,pub.1113649851,10.1139/cjfas-2018-0283,,,Optimal harvest responses to environmental forecasts depend on resource knowledge and how it can be used,Canadian Journal of Fisheries and Aquatic Sciences,,,2019-09,2019,76,9,1495-1502,Closed,Article,"Miller, Steve; Rassweiler, Andrew; Dee, Laura; Kleisner, Kristin M.; Mangin, Tracey; Oliveros-Ramos, Ricardo; Tam, Jorge; Chavez, Francisco P.; Ñiquen, Miguel; Lester, Sarah E.; Burden, Merrick; Gaines, Steven; Costello, Christopher",,"Miller, Steve (University of Minnesota); Rassweiler, Andrew (Florida State University); Dee, Laura (University of Minnesota); Kleisner, Kristin M. (Environmental Defense Fund); Mangin, Tracey (University of California, Santa Barbara); Oliveros-Ramos, Ricardo (Instituto del Mar del Peru); Tam, Jorge (Instituto del Mar del Peru); Chavez, Francisco P. (Monterey Bay Aquarium Research Institute); Ñiquen, Miguel (Instituto del Mar del Peru); Lester, Sarah E. (Florida State University); Burden, Merrick (Environmental Defense Fund); Gaines, Steven (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113649851,0602 Ecology; 0704 Fisheries Sciences; 0608 Zoology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0704 Fisheries Sciences,0608 Zoology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
4,200,pub.1112708479,10.1093/icesjms/fsz038,,,Responsive harvest control rules provide inherent resilience to adverse effects of climate change and scientific uncertainty,ICES Journal of Marine Science,,,2019-04-01,2019,,,,All OA; Gold,Article,"Kritzer, J P; Costello, C; Mangin, T; Smith, S L",,"Kritzer, J P (Environmental Defense Fund); Costello, C (University of California, Santa Barbara); Mangin, T (University of California, Santa Barbara); Smith, S L (Environmental Defense Fund)",3,3,,,https://academic.oup.com/icesjms/advance-article-pdf/doi/10.1093/icesjms/fsz038/28260154/fsz038.pdf,https://app.dimensions.ai/details/publication/pub.1112708479,,,,,,
5,500,pub.1106367765,10.1073/pnas.1802862115,30150404,PMC6431217,The blue paradox: Preemptive overfishing in marine reserves,Proceedings of the National Academy of Sciences,,Animals; Color; Conservation of Natural Resources; Fisheries; Health Resources; Marine Biology; Policy,2019-03-19,2019,116,12,201802862,All OA; Gold,Article,"McDermott, Grant R.; Meng, Kyle C.; McDonald, Gavin G.; Costello, Christopher J.",,"McDermott, Grant R. (University of Oregon); Meng, Kyle C. (University of California, Santa Barbara; National Bureau of Economic Research); McDonald, Gavin G. (University of California, Santa Barbara); Costello, Christopher J. (University of California, Santa Barbara; National Bureau of Economic Research)",7,7,,,https://www.pnas.org/content/pnas/116/12/5319.full.pdf,https://app.dimensions.ai/details/publication/pub.1106367765,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
6,200,pub.1106933149,10.1093/ajae/aay076,,,Spatial Renewable Resource Extraction under Possible Regime Shift,American Journal of Agricultural Economics,,,2019-03-01,2019,101,2,507-527,Closed,Article,"Costello, Christopher; Nkuiya, Bruno; Quérou, Nicolas",,"Costello, Christopher (University of California, Santa Barbara); Nkuiya, Bruno (University of Alberta); Quérou, Nicolas (University of Montpellier)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106933149,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
7,100,pub.1111154916,10.1016/j.ecolmodel.2018.12.006,,,Designing freshwater protected areas (FPAs) for indiscriminate fisheries,Ecological Modelling,,,2019-02,2019,393,BioScience 58 5 2008,127-134,Closed,Article,"Hannah, Lee; Costello, Christopher; Elliot, Vittoria; Owashi, Brandon; Nam, So; Oyanedel, Rodrigo; Chea, Ratha; Vibol, Ouk; Phen, Chheng; McDonald, Gavin","McDonald, Gavin","Hannah, Lee (); Costello, Christopher (University of California, Santa Barbara); Elliot, Vittoria (); Owashi, Brandon (Norco College); Nam, So (); Oyanedel, Rodrigo (University of Oxford); Chea, Ratha (University of Battambang); Vibol, Ouk (); Phen, Chheng (); McDonald, Gavin (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111154916,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,300,pub.1111316238,10.1371/journal.pone.0210844,30629723,PMC6328112,Correction: Eco-Label Conveys Reliable Information on Fish Stock Health to Seafood Consumers,PLoS ONE,,,2019-01-10,2019,14,1,e0210844,All OA; Gold,Article,"Gutiérrez, Nicolás L; Valencia, Sarah R; Branch, Trevor A; Agnew, David J; Baum, Julia K; Bianchi, Patricia L; Cornejo-Donoso, Jorge; Costello, Christopher; Defeo, Omar; Essington, Timothy E; Hilborn, Ray; Hoggarth, Daniel D; Larsen, Ashley E; Ninnes, Chris; Sainsbury, Keith; Selden, Rebecca L; Sistla, Seeta; Smith, Anthony D M; Stern-Pirlot, Amanda; Teck, Sarah J; Thorson, James T; Williams, Nicholas E",,"Gutiérrez, Nicolás L (); Valencia, Sarah R (); Branch, Trevor A (); Agnew, David J (); Baum, Julia K (); Bianchi, Patricia L (); Cornejo-Donoso, Jorge (); Costello, Christopher (); Defeo, Omar (); Essington, Timothy E (); Hilborn, Ray (); Hoggarth, Daniel D (); Larsen, Ashley E (); Ninnes, Chris (); Sainsbury, Keith (); Selden, Rebecca L (); Sistla, Seeta (); Smith, Anthony D M (); Stern-Pirlot, Amanda (); Teck, Sarah J (); Thorson, James T (); Williams, Nicholas E ()",0,0,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0210844&type=printable,https://app.dimensions.ai/details/publication/pub.1111316238,,,,,,
9,200,pub.1110713326,10.1073/pnas.1818687115,30559333,PMC6310794,Reply to Hanich et al.: Alternate explanations for the blue paradox do not withstand statistical scrutiny,Proceedings of the National Academy of Sciences,,Biometry,2018-12-26,2018,115,52,201818687,Closed,Article,"McDermott, Grant R.; Meng, Kyle C.; McDonald, Gavin G.; Costello, Christopher J.",,"McDermott, Grant R. (University of Oregon); Meng, Kyle C. (University of California, Santa Barbara; National Bureau of Economic Research); McDonald, Gavin G. (University of California, Santa Barbara); Costello, Christopher J. (National Bureau of Economic Research; University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110713326,,,,,,
