,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Christopher J Still. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1112734724,10.1038/s41598-019-40907-w,30867538,PMC6416397,Tree-ring isotopes adjacent to Lake Superior reveal cold winter anomalies for the Great Lakes region of North America,Scientific Reports,,,2019-12,2019,9,1,4412,All OA; Gold,Article,"Voelker, Steven L.; Wang, S. -Y. Simon; Dawson, Todd E.; Roden, John S.; Still, Christopher J.; Longstaffe, Fred J.; Ayalon, Avner","Voelker, Steven L.","Voelker, Steven L. (Utah State University); Wang, S. -Y. Simon (Utah State University); Dawson, Todd E. (University of California, Berkeley); Roden, John S. (Southern Oregon University); Still, Christopher J. (Oregon State University); Longstaffe, Fred J. (Western University); Ayalon, Avner (Geological Survey of Israel)",0,0,,,https://www.nature.com/articles/s41598-019-40907-w.pdf,https://app.dimensions.ai/details/publication/pub.1112734724,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
2,100,pub.1120956995,10.1016/j.agrformet.2019.107737,,,When a cuvette is not a canopy: A caution about measuring leaf temperature during gas exchange measurements,Agricultural and Forest Meteorology,,,2019-12,2019,279,,107737,Closed,Article,"Still, Christopher J.; Sibley, Adam; Page, Gerald; Meinzer, Frederick C.; Sevanto, Sanna","Still, Christopher J.","Still, Christopher J. (Oregon State University); Sibley, Adam (Oregon State University); Page, Gerald (Oregon State University); Meinzer, Frederick C. (Oregon State University; Pacific Northwest Research Station); Sevanto, Sanna (Los Alamos National Laboratory)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120956995,0607 Plant Biology; 0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,
3,500,pub.1122368810,10.1111/nph.16314,31696932,,Historical changes in the stomatal limitation of photosynthesis: empirical support for an optimality principle,New Phytologist,,,11/7/19,2019,,,,Closed,Article,"Lavergne, Aliénor; Voelker, Steve; Csank, Adam; Graven, Heather; de Boer, Hugo J.; Daux, Valérie; Robertson, Iain; Dorado‐Liñán, Isabel; Martínez‐Sancho, Elisabet; Battipaglia, Giovanna; Bloomfield, Keith J.; Still, Christopher J.; Meinzer, Frederick C.; Dawson, Todd E.; Camarero, J. Julio; Clisby, Rory; Fang, Yunting; Menzel, Annette; Keen, Rachel M.; Roden, John S.; Prentice, I. Colin",,"Lavergne, Aliénor (Imperial College London); Voelker, Steve (SUNY College of Environmental Science and Forestry); Csank, Adam (University of Nevada Reno); Graven, Heather (Imperial College London); de Boer, Hugo J. (Utrecht University); Daux, Valérie (Laboratoire des Sciences du Climat et de l'Environnement); Robertson, Iain (Swansea University); Dorado‐Liñán, Isabel (Technical University of Madrid); Martínez‐Sancho, Elisabet (Swiss Federal Institute for Forest, Snow and Landscape Research); Battipaglia, Giovanna (); Bloomfield, Keith J. (Imperial College London); Still, Christopher J. (Oregon State University); Meinzer, Frederick C. (Pacific Northwest Research Station); Dawson, Todd E. (University of California, Berkeley); Camarero, J. Julio (Instituto Pirenaico de Ecología); Clisby, Rory (Swansea University); Fang, Yunting (Institute of Applied Ecology); Menzel, Annette (Technical University Munich); Keen, Rachel M. (Kansas State University); Roden, John S. (Southern Oregon University); Prentice, I. Colin (Imperial College London; Macquarie University; Tsinghua University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122368810,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
4,100,pub.1116304908,10.1088/1748-9326/ab2612,,,Trends and controls on water-use efficiency of an old-growth coniferous forest in the Pacific Northwest,Environmental Research Letters,,,7/16/19,2019,14,7,74029,All OA; Gold,Article,"Jiang, Yueyang; Still, Christopher J; Rastogi, Bharat; Page, Gerald F M; Wharton, Sonia; Meinzer, Frederick C; Voelker, Steven; Kim, John B",,"Jiang, Yueyang (); Still, Christopher J (Oregon State University); Rastogi, Bharat (Oregon State University); Page, Gerald F M (Oregon State University); Wharton, Sonia (Lawrence Livermore National Laboratory); Meinzer, Frederick C (Pacific Northwest Research Station); Voelker, Steven (Utah State University); Kim, John B ()",0,0,,,https://iopscience.iop.org/article/10.1088/1748-9326/ab2612/pdf,https://app.dimensions.ai/details/publication/pub.1116304908,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
5,500,pub.1113161606,10.1002/eap.1884,30933402,,Climate and lawn management interact to control C4 plant distribution in residential lawns across seven U.S. cities,Ecological Applications,,Cities; Ecosystem; Humans; Photosynthesis; Plant Dispersal; Poaceae; United States,2019-06,2019,29,4,e01884,"All OA; Green, Published",Article,"Trammell, Tara L. E.; Pataki, Diane E.; Still, Christopher J.; Ehleringer, James R.; Avolio, Meghan L.; Bettez, Neil; Cavender‐Bares, Jeannine; Groffman, Peter M.; Grove, Morgan; Hall, Sharon J.; Heffernan, James; Hobbie, Sarah E.; Larson, Kelli L.; Morse, Jennifer L.; Neill, Christopher; Nelson, Kristen C.; O'Neil‐Dunne, Jarlath; Pearse, William D.; Chowdhury, Rinku Roy; Steele, Meredith; Wheeler, Megan M.",,"Trammell, Tara L. E. (University of Delaware); Pataki, Diane E. (University of Utah); Still, Christopher J. (Oregon State University); Ehleringer, James R. (University of Utah); Avolio, Meghan L. (Johns Hopkins University); Bettez, Neil (Cary Institute of Ecosystem Studies); Cavender‐Bares, Jeannine (University of Minnesota); Groffman, Peter M. (Queens College, City University of New York); Grove, Morgan (); Hall, Sharon J. (Arizona State University); Heffernan, James (Duke University); Hobbie, Sarah E. (University of Minnesota); Larson, Kelli L. (Arizona State University); Morse, Jennifer L. (Portland State University); Neill, Christopher (Marine Biological Laboratory); Nelson, Kristen C. (University of Minnesota); O'Neil‐Dunne, Jarlath (University of Vermont); Pearse, William D. (University of Minnesota; Utah State University); Chowdhury, Rinku Roy (Indiana University Bloomington); Steele, Meredith (Virginia Tech); Wheeler, Megan M. (Arizona State University)",1,1,,,http://darchive.mblwhoilibrary.org/bitstream/1912/24085/1/Trammell_et_al-2019-Ecological_Applications.pdf,https://app.dimensions.ai/details/publication/pub.1113161606,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0607 Plant Biology,05 Environmental Sciences
6,100,pub.1117043246,10.1002/ecs2.2768,,,Thermal imaging in plant and ecosystem ecology: applications and challenges,Ecosphere,,,2019-06,2019,10,6,,All OA; Gold,Article,"Still, Christopher; Powell, Rebecca; Aubrecht, Donald; Kim, Youngil; Helliker, Brent; Roberts, Dar; Richardson, Andrew D.; Goulden, Michael",,"Still, Christopher (Oregon State University); Powell, Rebecca (University of Denver); Aubrecht, Donald (Harvard University); Kim, Youngil (Oregon State University); Helliker, Brent (University of Pennsylvania); Roberts, Dar (University of California, Santa Barbara); Richardson, Andrew D. (Northern Arizona University); Goulden, Michael (University of California, Irvine)",2,2,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2768,https://app.dimensions.ai/details/publication/pub.1117043246,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,200,pub.1113870412,10.3389/fevo.2019.00144,,,Editorial: Revisiting the Biome Concept With A Functional Lens,Frontiers in Ecology and Evolution,,,5/1/19,2019,7,,144,All OA; Gold,Article,"Griffith, Daniel M.; Still, Christopher J.; Osborne, Colin P.",,"Griffith, Daniel M. (Oregon State University); Still, Christopher J. (Oregon State University); Osborne, Colin P. (University of Sheffield)",0,0,,,https://www.frontiersin.org/articles/10.3389/fevo.2019.00144/pdf,https://app.dimensions.ai/details/publication/pub.1113870412,,,,,,
8,500,pub.1112089346,10.1002/ecy.2656,30756385,PMC6645703,"Investigating old‐growth ponderosa pine physiology using tree‐rings, δ13C, δ18O, and a process‐based model",Ecology,,,4/15/19,2019,100,6,e02656,All OA; Gold,Article,"Ulrich, Danielle E. M.; Still, Christopher; Brooks, J. Renée; Kim, Youngil; Meinzer, Frederick C.",,"Ulrich, Danielle E. M. (Los Alamos National Laboratory); Still, Christopher (Oregon State University); Brooks, J. Renée (); Kim, Youngil (Oregon State University); Meinzer, Frederick C. (Pacific Northwest Research Station)",1,1,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecy.2656,https://app.dimensions.ai/details/publication/pub.1112089346,0607 Plant Biology; 0699 Other Biological Sciences; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,06 Biological Sciences,,
9,500,pub.1110487614,10.1111/gcb.14543,30536531,,Fire deficits have increased drought sensitivity in dry conifer forests: Fire frequency and tree‐ring carbon isotope evidence from Central Oregon,Global Change Biology,,,2019-04,2019,25,4,1247-1262,Closed,Article,"Voelker, Steven L.; Merschel, Andrew G.; Meinzer, Frederick C.; Ulrich, Danielle E. M.; Spies, Thomas A.; Still, Christopher J.",,"Voelker, Steven L. (Utah State University); Merschel, Andrew G. (Oregon State University); Meinzer, Frederick C. (Pacific Northwest Research Station); Ulrich, Danielle E. M. (Los Alamos National Laboratory); Spies, Thomas A. (Pacific Northwest Research Station); Still, Christopher J. (Oregon State University)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1110487614,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
