,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Craig E Nelson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1113380230,10.1038/s41467-019-09419-z,30979882,PMC6461649,Diel population and functional synchrony of microbial communities on coral reefs,Nature Communications,,"Alteromonas; Coral Reefs; Ecosystem; Environmental Monitoring; Halomonas; Microbiota; Organic Chemicals; Pacific Ocean; Photoperiod; Psychrobacter; RNA, Ribosomal; Roseobacter",2019-12,2019,10,1,1691,All OA; Gold,Article,"Kelly, Linda Wegley; Nelson, Craig E.; Haas, Andreas F.; Naliboff, Douglas S.; Calhoun, Sandi; Carlson, Craig A.; Edwards, Robert A.; Fox, Michael D.; Hatay, Mark; Johnson, Maggie D.; Kelly, Emily L. A.; Lim, Yan Wei; Macherla, Saichetana; Quinlan, Zachary A.; Silva, Genivaldo Gueiros Z.; Vermeij, Mark J. A.; Zgliczynski, Brian; Sandin, Stuart A.; Smith, Jennifer E.; Rohwer, Forest","Kelly, Linda Wegley","Kelly, Linda Wegley (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Haas, Andreas F. (Utrecht University); Naliboff, Douglas S. (San Diego State University); Calhoun, Sandi (San Diego State University); Carlson, Craig A. (University of California, Santa Barbara); Edwards, Robert A. (San Diego State University); Fox, Michael D. (Scripps Institution of Oceanography); Hatay, Mark (San Diego State University); Johnson, Maggie D. (Scripps Institution of Oceanography; Smithsonian Marine Station); Kelly, Emily L. A. (Scripps Institution of Oceanography); Lim, Yan Wei (San Diego State University); Macherla, Saichetana (San Diego State University); Quinlan, Zachary A. (University of Hawaii at Manoa); Silva, Genivaldo Gueiros Z. (San Diego State University); Vermeij, Mark J. A. (Caribbean Research and Management of Biodiversity Foundation; University of Amsterdam); Zgliczynski, Brian (Scripps Institution of Oceanography); Sandin, Stuart A. (Scripps Institution of Oceanography); Smith, Jennifer E. (Scripps Institution of Oceanography); Rohwer, Forest (San Diego State University)",0,0,,,https://www.nature.com/articles/s41467-019-09419-z.pdf,https://app.dimensions.ai/details/publication/pub.1113380230,0602 Ecology; 0502 Environmental Science and Management; 0605 Microbiology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0605 Microbiology,05 Environmental Sciences,06 Biological Sciences
2,500,pub.1122384513,10.3389/fmicb.2019.02397,31781048,PMC6857149,Species-Specific Differences in the Microbiomes and Organic Exudates of Crustose Coralline Algae Influence Bacterioplankton Communities,Frontiers in Microbiology,,,11/8/19,2019,10,,2397,All OA; Gold,Article,"Quinlan, Zachary A.; Ritson-Williams, Raphael; Carroll, Brenna J.; Carlson, Craig A.; Nelson, Craig E.",,"Quinlan, Zachary A. (University of Hawaii at Manoa; San Diego State University); Ritson-Williams, Raphael (University of Hawaii at Manoa); Carroll, Brenna J. (University of Hawaii at Manoa); Carlson, Craig A. (University of California, Santa Barbara); Nelson, Craig E. (University of Hawaii at Manoa)",0,0,,,http://dx.doi.org/10.3389/fmicb.2019.02397,https://app.dimensions.ai/details/publication/pub.1122384513,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
3,200,pub.1116130264,10.3354/meps12992,,,"Macroalgal biomass, growth rates, and diversity are influenced by submarine groundwater discharge and local hydrodynamics in tropical reefs",Marine Ecology Progress Series,,,7/4/19,2019,621,,51-67,Closed,Article,"La Valle, FF; Thomas, FI; Nelson, CE",,"La Valle, FF (); Thomas, FI (); Nelson, CE ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116130264,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
4,500,pub.1110063694,10.1111/1462-2920.14484,30461157,,Elevated pCO2 alters marine heterotrophic bacterial community composition and metabolic potential in response to a pulse of phytoplankton organic matter,Environmental Microbiology,,,2019-02,2019,21,2,541-556,Closed,Article,"James, Anna K.; Kelly, Linda W.; Nelson, Craig E.; Wilbanks, Elizabeth G.; Carlson, Craig A.",,"James, Anna K. (University of California, Santa Barbara); Kelly, Linda W. (San Diego State University); Nelson, Craig E. (University of Hawaii at Manoa); Wilbanks, Elizabeth G. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110063694,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
5,100,pub.1110996099,10.3390/su11010161,,,Kū Hou Kuapā: Cultural Restoration Improves Water Budget and Water Quality Dynamics in Heʻeia Fishpond,Sustainability,,,12/29/18,2018,11,1,161,All OA; Gold,Article,"Möhlenkamp, Paula; Beebe, Charles Kaiaka; McManus, Margaret A.; Kawelo, Angela Hiʻilei; Kotubetey, Keliʻiahonui; Lopez-Guzman, Mirielle; Nelson, Craig E.; Alegado, Rosanna ʻAnolani",,"Möhlenkamp, Paula (University of Hawaii at Manoa); Beebe, Charles Kaiaka (University of Hawaii at Manoa); McManus, Margaret A. (University of Hawaii at Manoa); Kawelo, Angela Hiʻilei (); Kotubetey, Keliʻiahonui (); Lopez-Guzman, Mirielle (University of Hawaii at Manoa); Nelson, Craig E. (University of Hawaii at Manoa); Alegado, Rosanna ʻAnolani (University of Hawaii at Manoa)",3,3,,,https://www.mdpi.com/2071-1050/11/1/161/pdf,https://app.dimensions.ai/details/publication/pub.1110996099,12 Built Environment and Design,12 Built Environment and Design,,,,
6,500,pub.1104559372,10.1007/s00442-018-4183-6,29948318,PMC6096765,The effects of food stoichiometry and temperature on copepods are mediated by ontogeny,Oecologia,,Animals; Copepoda; Oceans and Seas; Phytoplankton; Temperature; Zooplankton,2018-09,2018,188,1,75-84,All OA; Gold,Article,"Mathews, Lauren; Faithfull, Carolyn L.; Lenz, Petra H.; Nelson, Craig E.","Faithfull, Carolyn L.","Mathews, Lauren (University of Hawaii at Manoa); Faithfull, Carolyn L. (University of Hawaii at Manoa; Umeå University); Lenz, Petra H. (University of Hawaii at Manoa); Nelson, Craig E. (University of Hawaii at Manoa)",1,1,,,https://link.springer.com/content/pdf/10.1007%2Fs00442-018-4183-6.pdf,https://app.dimensions.ai/details/publication/pub.1104559372,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,500,pub.1101381314,10.1111/1462-2920.14091,29521439,PMC6175402,Primer selection impacts specific population abundances but not community dynamics in a monthly time‐series 16S rRNA gene amplicon analysis of coastal marine bacterioplankton,Environmental Microbiology,,"Archaea; Bacteria; DNA Primers; Ecosystem; Plankton; RNA, Ribosomal, 16S; Sequence Analysis, DNA",2018-08,2018,20,8,2709-2726,All OA; Gold,Article,"Wear, Emma K.; Wilbanks, Elizabeth G.; Nelson, Craig E.; Carlson, Craig A.",,"Wear, Emma K. (University of California, Santa Barbara); Wilbanks, Elizabeth G. (University of California, Santa Barbara); Nelson, Craig E. (University of Hawaii at Manoa); Carlson, Craig A. (University of California, Santa Barbara)",10,10,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1462-2920.14091,https://app.dimensions.ai/details/publication/pub.1101381314,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
8,100,pub.1101528679,10.1002/lol2.10074,,,Fluorescent organic exudates of corals and algae in tropical reefs are compositionally distinct and increase with nutrient enrichment,Limnology and Oceanography Letters,,,2018-08,2018,3,4,331-340,All OA; Gold,Article,"Quinlan, Zachary A.; Remple, Kristina; Fox, Michael D.; Silbiger, Nyssa J.; Oliver, Thomas A.; Putnam, Hollie M.; Kelly, Linda Wegley; Carlson, Craig A.; Donahue, Megan J.; Nelson, Craig E.",,"Quinlan, Zachary A. (University of Hawaii at Manoa); Remple, Kristina (University of Hawaii at Manoa); Fox, Michael D. (University of California, San Diego); Silbiger, Nyssa J. (California State University, Northridge); Oliver, Thomas A. (University of Hawaii at Manoa); Putnam, Hollie M. (University of Rhode Island); Kelly, Linda Wegley (San Diego State University); Carlson, Craig A. (University of California, Santa Barbara); Donahue, Megan J. (University of Hawaii at Manoa); Nelson, Craig E. (University of Hawaii at Manoa)",3,3,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lol2.10074,https://app.dimensions.ai/details/publication/pub.1101528679,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
9,500,pub.1104407343,10.1098/rspb.2017.2718,29875294,PMC6015861,Nutrient pollution disrupts key ecosystem functions on coral reefs,Proceedings of The Royal Society B Biological Sciences,,"Animals; Anthozoa; Biota; Carbonates; Coral Reefs; Eutrophication; Hawaii; Nitrates; Phosphates; Seawater; Seaweed; Silicon Dioxide; Water Pollution, Chemical",6/13/18,2018,285,1880,20172718,All OA; Gold,Article,"Silbiger, Nyssa J.; Nelson, Craig E.; Remple, Kristina; Sevilla, Jessica K.; Quinlan, Zachary A.; Putnam, Hollie M.; Fox, Michael D.; Donahue, Megan J.",,"Silbiger, Nyssa J. (California State University, Northridge); Nelson, Craig E. (University of Hawaii at Manoa); Remple, Kristina (University of Hawaii at Manoa); Sevilla, Jessica K. (University of Hawaii at Manoa); Quinlan, Zachary A. (University of Hawaii at Manoa); Putnam, Hollie M. (University of Rhode Island); Fox, Michael D. (University of California, San Diego); Donahue, Megan J. (University of Hawaii at Manoa)",10,10,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2017.2718,https://app.dimensions.ai/details/publication/pub.1104407343,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
