,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Cyrus R Safinya. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1120142838,10.1016/j.biomaterials.2019.119412,31419656,,A multifunctional lipid that forms contrast-agent liposomes with dual-control release capabilities for precise MRI-guided drug delivery,Biomaterials,,,2019-11,2019,221,,119412,Closed,Article,"Liu, Chenyu; Ewert, Kai K.; Wang, Ning; Li, Youli; Safinya, Cyrus R.; Qiao, Weihong","Safinya, Cyrus R.","Liu, Chenyu (Dalian University of Technology; University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Wang, Ning (Dalian University of Technology); Li, Youli (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara); Qiao, Weihong (Dalian University of Technology)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1120142838,09 Engineering; 0903 Biomedical Engineering,09 Engineering,0903 Biomedical Engineering,,,
2,500,pub.1121121239,10.1021/acs.langmuir.9b02208,31539262,,Minireview - Microtubules and Tubulin Oligomers: Shape Transitions and Assembly by Intrinsically Disordered Protein Tau and Cationic Biomolecules.,Langmuir,,,10/2/19,2019,,,,Closed,Article,"Safinya, Cyrus R; Chung, Peter J; Song, Chaeyeon; Li, Youli; Miller, Herbert P; Choi, Myung Chul; Raviv, Uri; Ewert, Kai K; Wilson, Leslie; Feinstein, Stuart C",,"Safinya, Cyrus R (University of California, Santa Barbara); Chung, Peter J (); Song, Chaeyeon (); Li, Youli (University of California, Santa Barbara); Miller, Herbert P (University of California, Santa Barbara); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Raviv, Uri (Hebrew University of Jerusalem); Ewert, Kai K (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121121239,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
3,500,pub.1120281757,10.1021/acs.langmuir.9b01726,31408350,PMC6743479,3D Columnar Phase of Stacked Short DNA Organized by Coherent Membrane Undulations.,Langmuir,,,9/10/19,2019,35,36,11891-11901,Closed,Article,"Bouxsein, Nathan F; Leal, Cecília; McAllister, Christopher S; Li, Youli; Ewert, Kai K; Samuel, Charles E; Safinya, Cyrus R",,"Bouxsein, Nathan F (University of California, Santa Barbara); Leal, Cecília (University of Illinois at Urbana Champaign); McAllister, Christopher S (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Ewert, Kai K (University of California, Santa Barbara); Samuel, Charles E (University of California, Santa Barbara); Safinya, Cyrus R (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120281757,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
4,200,pub.1112161854,10.1016/j.bpj.2018.11.2735,,,Lipid Nanomaterials for Paclitaxel Delivery in Cancer Therapeutics: Effect of Pegylation and Charge on the Morphology and Efficacy,Biophysical Journal,,,2019-02,2019,116,3,507a,Closed,Article,"Steffes, Victoria; Zhang, Zhening; Crowe, John; MacDonald, Scott; Ewert, Kai K.; Carragher, Bridget; Potter, Clinton S.; Safinya, Cyrus R.",,"Steffes, Victoria (University of California, Santa Barbara); Zhang, Zhening (New York Structural Biology Center); Crowe, John (University of California, Santa Barbara); MacDonald, Scott (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Carragher, Bridget (New York Structural Biology Center); Potter, Clinton S. (New York Structural Biology Center); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112161854,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
5,200,pub.1112160485,10.1016/j.bpj.2018.11.1391,,,The Effect of Site-Specific Acetylation Based Tau Mutations on Tau-Microtubule Associations,Biophysical Journal,,,2019-02,2019,116,3,255a,Closed,Article,"Tchounwou, Christine; Fletcher, Bretton; Song, Chaeyeon; Kohl, Phillip A.; Chung, Peter J.; Miller, Herb P.; Li, Youli; Choi, Myung-Chul; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.",,"Tchounwou, Christine (University of California, Santa Barbara); Fletcher, Bretton (University of California, Santa Barbara); Song, Chaeyeon (University of California, Santa Barbara); Kohl, Phillip A. (University of California, Santa Barbara); Chung, Peter J. (University of Chicago); Miller, Herb P. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Choi, Myung-Chul (Korea Advanced Institute of Science and Technology); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112160485,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
6,200,pub.1112160484,10.1016/j.bpj.2018.11.1390,,,Higher Order Assembly Structures of Human Tau and Microtubules Regulated by Ionic Strength,Biophysical Journal,,,2019-02,2019,116,3,255a,Closed,Article,"Cho, Hasaeam; Lee, Jimin; Lee, Juncheol; Miller, Herbert P.; Jin, Keong Sik; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.; Choi, Myung Chul",,"Cho, Hasaeam (Korea Advanced Institute of Science and Technology); Lee, Jimin (Korea Advanced Institute of Science and Technology); Lee, Juncheol (Korea Advanced Institute of Science and Technology); Miller, Herbert P. (); Jin, Keong Sik (); Wilson, Leslie (); Feinstein, Stuart C. (); Safinya, Cyrus R. (); Choi, Myung Chul (Korea Advanced Institute of Science and Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112160484,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
7,200,pub.1112160482,10.1016/j.bpj.2018.11.1389,,,Condensation of Divalent Metail Ions by Map-Tau Remodels Tau-Microtubule Bundle Architecture,Biophysical Journal,,,2019-02,2019,116,3,255a,Closed,Article,"Fletcher, Bretton; Song, Chaeyeon; Kohl, Phillip; Chung, Peter J.; Miller, Herbert; Li, Youli; Choi, Myung Chul; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.",,"Fletcher, Bretton (University of California, Santa Barbara); Song, Chaeyeon (University of California, Santa Barbara); Kohl, Phillip (University of California, Santa Barbara); Chung, Peter J. (University of California, Santa Barbara; University of Chicago); Miller, Herbert (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112160482,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
8,200,pub.1112160481,10.1016/j.bpj.2018.11.1388,,,Structural Transformation of Microtubules in the Presence of Cationic Polymers,Biophysical Journal,,,2019-02,2019,116,3,254a-255a,Closed,Article,"Lee, Juncheol; Song, Chaeyon; Lee, Jimin; Miller, Herb P.; Wilson, Leslie; Safinya, Cyrus R.; Choi, Myung Chul",,"Lee, Juncheol (Korea Advanced Institute of Science and Technology); Song, Chaeyon (); Lee, Jimin (Korea Advanced Institute of Science and Technology); Miller, Herb P. (); Wilson, Leslie (); Safinya, Cyrus R. (); Choi, Myung Chul (Korea Advanced Institute of Science and Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112160481,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
9,500,pub.1110063796,10.1021/acsami.8b16456,30461259,PMC6485416,Reversible Control of Spacing in Charged Lamellar Membrane Hydrogels by Hydrophobically Mediated Tethering with Symmetric and Asymmetric Double-End-Anchored Poly(ethylene glycol)s.,ACS Applied Materials & Interfaces,,,12/19/18,2018,10,50,44152-44162,Closed,Article,"Liu, Chenyu; Ewert, Kai K; Wonder, Emily; Kohl, Phillip; Li, Youli; Qiao, Weihong; Safinya, Cyrus R",,"Liu, Chenyu (Dalian University of Technology); Ewert, Kai K (); Wonder, Emily (); Kohl, Phillip (); Li, Youli (); Qiao, Weihong (Dalian University of Technology); Safinya, Cyrus R ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110063796,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
10,500,pub.1101436505,10.1038/s41598-018-22386-7,29531235,PMC5847546,Swelling Inhibition of Liquid Crystalline Colloidal Montmorillonite and Beidellite Clays by DNA,Scientific Reports,,Aluminum Silicates; Bentonite; Clay; Colloids; DNA; Liquid Crystals; Molecular Conformation; Nanostructures; Nucleic Acid Conformation; Soil,2018-12,2018,8,1,4367,All OA; Gold,Article,"Yamaguchi, Naoya; Anraku, Shinya; Paineau, Erwan; Safinya, Cyrus R.; Davidson, Patrick; Michot, Laurent J.; Miyamoto, Nobuyoshi","Davidson, Patrick","Yamaguchi, Naoya (Fukuoka Institute of Technology); Anraku, Shinya (Fukuoka Institute of Technology); Paineau, Erwan (French National Centre for Scientific Research); Safinya, Cyrus R. (University of California, Santa Barbara); Davidson, Patrick (French National Centre for Scientific Research); Michot, Laurent J. (Sorbonne University); Miyamoto, Nobuyoshi (Fukuoka Institute of Technology)",2,2,,,https://www.nature.com/articles/s41598-018-22386-7.pdf,https://app.dimensions.ai/details/publication/pub.1101436505,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
11,100,pub.1105307933,10.1016/j.molliq.2018.07.004,,,Gd-DTPA-dialkylamine derivatives: Synthesis and self-assembled behaviors for T1-enhanced magnetic resonance imaging and drug carriers,Journal of Molecular Liquids,,,2018-10,2018,268,Science 171 1971,77-86,Closed,Article,"Fang, Hui; Liu, Chunyu; Liu, Chenyu; Zhao, Zheng; Safinya, Cyrus R.; Qiao, Weihong","Qiao, Weihong","Fang, Hui (Dalian University of Technology); Liu, Chunyu (Dalian University of Technology); Liu, Chenyu (Dalian University of Technology); Zhao, Zheng (Dalian University of Technology); Safinya, Cyrus R. (University of California, Santa Barbara); Qiao, Weihong (Dalian University of Technology)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1105307933,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
12,500,pub.1101318422,10.1016/j.biomaterials.2018.02.052,29544111,PMC5944340,Competition of charge-mediated and specific binding by peptide-tagged cationic liposome–DNA nanoparticles in vitro and in vivo,Biomaterials,,Animals; Antineoplastic Agents; Cations; DNA; Gene Transfer Techniques; Genetic Therapy; Humans; Lipids; Liposomes; Nanoparticles; Peptides,2018-06,2018,166,J. Gene Med. 15 2013,52-63,Closed,Article,"Wonder, Emily; Simón-Gracia, Lorena; Scodeller, Pablo; Majzoub, Ramsey N.; Kotamraju, Venkata Ramana; Ewert, Kai K.; Teesalu, Tambet; Safinya, Cyrus R.","Teesalu, Tambet","Wonder, Emily (University of California, Santa Barbara); Simón-Gracia, Lorena (University of Tartu); Scodeller, Pablo (University of Tartu; Sanford Burnham Prebys Medical Discovery Institute); Majzoub, Ramsey N. (University of California, Santa Barbara); Kotamraju, Venkata Ramana (Sanford Burnham Prebys Medical Discovery Institute); Ewert, Kai K. (University of California, Santa Barbara); Teesalu, Tambet (University of California, Santa Barbara; University of Tartu; Sanford Burnham Prebys Medical Discovery Institute); Safinya, Cyrus R. (University of California, Santa Barbara)",12,12,,,,https://app.dimensions.ai/details/publication/pub.1101318422,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
