,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Daniel Lavallée. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1032701456,10.1093/gji/ggs021,,,A kinematic rupture model generator incorporating spatial interdependency of earthquake source parameters,Geophysical Journal International,,,2013-03-01,2013,192,3,1116-1131,All OA; Gold,Article,"Schmedes, J.; Archuleta, Ralph J.; Lavallée, Daniel",,"Schmedes, J. (ExxonMobil (United States)); Archuleta, Ralph J. (University of California, Santa Barbara); Lavallée, Daniel (University of California, Santa Barbara)",21,10,,3.95,https://academic.oup.com/gji/article-pdf/192/3/1116/17051831/ggs021.pdf,https://app.dimensions.ai/details/publication/pub.1032701456,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
2,100,pub.1002123572,10.1111/j.1365-246x.2011.05123.x,,,"Periodicity, chaos and localization in a Burridge–Knopoff model of an earthquake with rate‐and‐state friction",Geophysical Journal International,,,2011-10,2011,187,1,178-198,All OA; Gold,Article,"Erickson, Brittany A.; Birnir, Björn; Lavallée, Daniel",,"Erickson, Brittany A. (Stanford University); Birnir, Björn (University of California, Santa Barbara); Lavallée, Daniel (University of California, Santa Barbara)",27,9,,4.44,https://academic.oup.com/gji/article-pdf/187/1/178/6025837/187-1-178.pdf,https://app.dimensions.ai/details/publication/pub.1002123572,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
3,100,pub.1044422678,10.1029/2010jb008118,,,Effective friction law for small‐scale fault heterogeneity in 3D dynamic rupture,Journal of Geophysical Research,,,2011,2011,116,B10,,All OA; Gold,Article,"Latour, S.; Campillo, M.; Voisin, C.; Ionescu, I. R.; Schmedes, J.; Lavallée, D.",,"Latour, S. (Joseph Fourier University); Campillo, M. (Joseph Fourier University); Voisin, C. (Institute of Research for Development); Ionescu, I. R. (French National Centre for Scientific Research); Schmedes, J. (University of California, Santa Barbara); Lavallée, D. (University of California, Santa Barbara)",11,5,,11.88,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JB008118,https://app.dimensions.ai/details/publication/pub.1044422678,18 Law and Legal Studies; 1801 Law,18 Law and Legal Studies,1801 Law,,,
4,100,pub.1002211349,10.1016/j.tecto.2010.05.013,,,Dependency of supershear transition and ground motion on the autocorrelation of initial stress,Tectonophysics,,,2010-10,2010,493,3-4,222-235,Closed,Article,"Schmedes, Jan; Archuleta, Ralph J.; Lavallée, Daniel","Schmedes, Jan","Schmedes, Jan (University of California, Santa Barbara); Archuleta, Ralph J. (University of California, Santa Barbara); Lavallée, Daniel (University of California, Santa Barbara)",12,2,,1.77,,https://app.dimensions.ai/details/publication/pub.1002211349,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
5,100,pub.1006753793,10.1029/2009jb006689,,,Correlation of earthquake source parameters inferred from dynamic rupture simulations,Journal of Geophysical Research,,,2010,2010,115,B3,,All OA; Gold,Article,"Schmedes, Jan; Archuleta, Ralph J.; Lavallée, Daniel",,"Schmedes, Jan (University of California, Santa Barbara); Archuleta, Ralph J. (University of California, Santa Barbara); Lavallée, Daniel (University of California, Santa Barbara)",79,21,,8.23,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009JB006689,https://app.dimensions.ai/details/publication/pub.1006753793,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,100,pub.1017639024,10.5194/npg-15-1-2008,,,A model for aperiodicity in earthquakes,Nonlinear Processes in Geophysics,,,2008-01-07,2008,15,1,1-12,All OA; Gold,Article,"Erickson, B.; Birnir, B.; Lavallée, D.",,"Erickson, B. (University of California, Santa Barbara); Birnir, B. (University of California, Santa Barbara); Lavallée, D. (University of California, Santa Barbara)",45,5,,,https://www.nonlin-processes-geophys.net/15/1/2008/npg-15-1-2008.pdf,https://app.dimensions.ai/details/publication/pub.1017639024,04 Earth Sciences,04 Earth Sciences,,,,
7,100,pub.1045561049,10.1016/s0065-2687(08)00016-2,,,Chapter 16 On the Random Nature of Earthquake Sources and Ground Motions: a Unified Theory,Advances in Geophysics,Earth Heterogeneity and Scattering Effects on Seismic Waves,,2008,2008,50,,427-461,Closed,Chapter,"Lavallée1, Daniel",,"Lavallée1, Daniel ()",12,1,,3.74,,https://app.dimensions.ai/details/publication/pub.1045561049,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
8,100,pub.1022139009,10.1111/j.1365-246x.2006.02943.x,,,Stochastic model of heterogeneity in earthquake slip spatial distributions,Geophysical Journal International,,,2006-05,2006,165,2,622-640,All OA; Gold,Article,"Lavallée, Daniel; Liu, Pengcheng; Archuleta, Ralph J.",,"Lavallée, Daniel (University of California, Santa Barbara); Liu, Pengcheng (University of California, Santa Barbara); Archuleta, Ralph J. (University of California, Santa Barbara)",69,20,,8.94,https://academic.oup.com/gji/article-pdf/165/2/622/6024720/165-2-622.pdf,https://app.dimensions.ai/details/publication/pub.1022139009,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
9,100,pub.1037858537,10.1785/0120040128,,,Hysteretic and Dilatant Behavior of Cohesionless Soils and Their Effects on Nonlinear Site Response: Field Data Observations and Modeling,Bulletin of the Seismological Society of America,,,2005-12-01,2005,95,6,2373-2395,Closed,Article,"Bonilla, Luis Fabián; Archuleta, Ralph J.; Lavallée, Daniel",,"Bonilla, Luis Fabián (); Archuleta, Ralph J. (University of California, Santa Barbara); Lavallée, Daniel (University of California, Santa Barbara)",92,20,,14.68,,https://app.dimensions.ai/details/publication/pub.1037858537,0905 Civil Engineering; 09 Engineering; 04 Earth Sciences; 0404 Geophysics,0905 Civil Engineering,09 Engineering,04 Earth Sciences,0404 Geophysics,
