,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David A Siegel. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113811218,10.1029/2019jc015072,,,"Formation, Development, and Propagation of a Rare Coastal Coccolithophore Bloom",Journal of Geophysical Research Oceans,,,2019-05-22,2019,124,5,3298-3316,Closed,Article,"Matson, Paul G.; Washburn, Libe; Fields, Erik A.; Gotschalk, Chris; Ladd, Tanika M.; Siegel, David A.; Welch, Zoë S.; Iglesias‐Rodriguez, M. Debora",,"Matson, Paul G. (University of California, Santa Barbara; Bowling Green State University); Washburn, Libe (University of California, Santa Barbara); Fields, Erik A. (University of California, Santa Barbara); Gotschalk, Chris (University of California, Santa Barbara); Ladd, Tanika M. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Welch, Zoë S. (University of California, Santa Barbara); Iglesias‐Rodriguez, M. Debora (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113811218,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0405 Oceanography,
2,500,pub.1113530048,10.1038/s41586-019-1098-2,30996317,,Multi-faceted particle pumps drive carbon sequestration in the ocean,Nature,,,2019-04,2019,568,7752,327-335,Closed,Article,"Boyd, Philip W.; Claustre, Hervé; Levy, Marina; Siegel, David A.; Weber, Thomas","Boyd, Philip W.","Boyd, Philip W. (University of Tasmania); Claustre, Hervé (Villefranche Oceanographic Laboratory); Levy, Marina (Sorbonne University); Siegel, David A. (University of California, Santa Barbara); Weber, Thomas (University of Rochester)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1113530048,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,100,pub.1111515284,10.1029/2018gb005983,,,Modeling the Impact of Zooplankton Diel Vertical Migration on the Carbon Export Flux of the Biological Pump,Global Biogeochemical Cycles,,,2019-02,2019,33,2,181-199,All OA; Gold,Article,"Archibald, Kevin M.; Siegel, David A.; Doney, Scott C.",,"Archibald, Kevin M. (Woods Hole Oceanographic Institution; Massachusetts Institute of Technology); Siegel, David A. (University of California, Santa Barbara); Doney, Scott C. (University of Virginia)",8,8,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018GB005983,https://app.dimensions.ai/details/publication/pub.1111515284,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1106318033,10.1029/2018gb005934,,,How Data Set Characteristics Influence Ocean Carbon Export Models,Global Biogeochemical Cycles,,,2018-09,2018,32,9,1312-1328,"All OA; Green, Published",Article,"Bisson, K. M.; Siegel, D. A.; DeVries, T.; Cael, B. B.; Buesseler, K. O.",,"Bisson, K. M. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); DeVries, T. (University of California, Santa Barbara); Cael, B. B. (Massachusetts Institute of Technology; Woods Hole Oceanographic Institution); Buesseler, K. O. (Woods Hole Oceanographic Institution)",4,4,,,http://darchive.mblwhoilibrary.org/bitstream/1912/10681/1/Bisson_et_al-2018-Global_Biogeochemical_Cycles.pdf,https://app.dimensions.ai/details/publication/pub.1106318033,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1105289347,10.1016/j.rse.2018.06.039,,,Three decades of variability in California's giant kelp forests from the Landsat satellites,Remote Sensing of Environment,,,2018-07,2018,,Remote Sens. 6 2014,110811,Closed,Article,"Bell, Tom W.; Allen, James G.; Cavanaugh, Kyle C.; Siegel, David A.","Bell, Tom W.","Bell, Tom W. (University of California, Santa Barbara); Allen, James G. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Siegel, David A. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1105289347,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
6,500,pub.1092517052,10.1007/s00442-017-3994-1,29101467,,Scale-specific drivers of kelp forest communities,Oecologia,,Animals; Biodiversity; California; Ecosystem; Forests; Kelp,2018-01,2018,186,1,217-233,Closed,Article,"Lamy, Thomas; Reed, Daniel C.; Rassweiler, Andrew; Siegel, David A.; Kui, Li; Bell, Tom W.; Simons, Rachel D.; Miller, Robert J.","Lamy, Thomas","Lamy, Thomas (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara; Florida State University); Siegel, David A. (University of California, Santa Barbara); Kui, Li (University of California, Santa Barbara); Bell, Tom W. (University of California, Santa Barbara); Simons, Rachel D. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092517052,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,100,pub.1099637491,10.1002/2017jc013195,,,Phytoplankton Pigment Communities Can be Modeled Using Unique Relationships With Spectral Absorption Signatures in a Dynamic Coastal Environment,Journal of Geophysical Research Oceans,,,2018-01,2018,123,1,246-264,Closed,Article,"Catlett, D.; Siegel, D. A.",,"Catlett, D. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1099637491,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
8,100,pub.1093075534,10.1002/lno.10753,,,Regional patterns of physiological condition determine giant kelp net primary production dynamics,Limnology and Oceanography,,,2018-01,2018,63,1,472-483,All OA; Gold,Article,"Bell, Tom W.; Reed, Daniel C.; Nelson, Norman B.; Siegel, David A.",,"Bell, Tom W. (); Reed, Daniel C. (); Nelson, Norman B. (); Siegel, David A. ()",2,2,,,https://doi.org/10.1002/lno.10753,https://app.dimensions.ai/details/publication/pub.1093075534,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
9,100,pub.1046509077,10.1038/ngeo2861,,,Annual boom–bust cycles of polar phytoplankton biomass revealed by space-based lidar,Nature Geoscience,,,2017-02,2017,10,2,118-122,Closed,Article,"Behrenfeld, Michael J.; Hu, Yongxiang; O’Malley, Robert T.; Boss, Emmanuel S.; Hostetler, Chris A.; Siegel, David A.; Sarmiento, Jorge L.; Schulien, Jennifer; Hair, Johnathan W.; Lu, Xiaomei; Rodier, Sharon; Scarino, Amy Jo","Behrenfeld, Michael J.","Behrenfeld, Michael J. (Oregon State University); Hu, Yongxiang (Langley Research Center); O’Malley, Robert T. (Oregon State University); Boss, Emmanuel S. (University of Maine); Hostetler, Chris A. (Langley Research Center); Siegel, David A. (University of California, Santa Barbara); Sarmiento, Jorge L. (Princeton University); Schulien, Jennifer (Oregon State University); Hair, Johnathan W. (Langley Research Center); Lu, Xiaomei (Langley Research Center); Rodier, Sharon (Langley Research Center); Scarino, Amy Jo (Langley Research Center)",40,34,,13.89,,https://app.dimensions.ai/details/publication/pub.1046509077,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
