,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David L Valentine. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1120631196,10.1021/acssynbio.9b00271,31461261,,Top-Down Enrichment Guides in Formation of Synthetic Microbial Consortia for Biomass Degradation.,ACS Synthetic Biology,,,2019-09-20,2019,8,9,2174-2185,Closed,Article,"Gilmore, Sean P; Lankiewicz, Thomas S; Wilken, St Elmo; Brown, Jennifer L; Sexton, Jessica A; Henske, John K; Theodorou, Michael K; Valentine, David L; O'Malley, Michelle A",,"Gilmore, Sean P (University of California, Santa Barbara); Lankiewicz, Thomas S (University of California, Santa Barbara); Wilken, St Elmo (University of California, Santa Barbara); Brown, Jennifer L (University of California, Santa Barbara); Sexton, Jessica A (University of California, Santa Barbara); Henske, John K (University of California, Santa Barbara); Theodorou, Michael K (Harper Adams University); Valentine, David L (University of California, Santa Barbara); O'Malley, Michelle A (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120631196,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
2,200,pub.1115220321,10.1021/acsearthspacechem.9b00090,,,Examining Inputs of Biogenic and Oil-Derived Hydrocarbons in Surface Waters Following the Deepwater Horizon Oil Spill,ACS Earth and Space Chemistry,,,2019-07-18,2019,3,7,1329-1337,Closed,Article,"White, Helen K.; Marx, Charles T.; Valentine, David L.; Sharpless, Charles; Aeppli, Christoph; Gosselin, Kelsey M.; Kivenson, Veronika; Liu, Rachel M.; Nelson, Robert K.; Sylva, Sean P.; Reddy, Christopher M.",,"White, Helen K. (Haverford College); Marx, Charles T. (Haverford College); Valentine, David L. (University of California, Santa Barbara); Sharpless, Charles (University of Mary Washington); Aeppli, Christoph (Bigelow Laboratory For Ocean Sciences); Gosselin, Kelsey M. (Woods Hole Oceanographic Institution); Kivenson, Veronika (University of California, Santa Barbara); Liu, Rachel M. (University of California, Santa Barbara); Nelson, Robert K. (Woods Hole Oceanographic Institution); Sylva, Sean P. (Woods Hole Oceanographic Institution); Reddy, Christopher M. (Woods Hole Oceanographic Institution)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1115220321,,,,,,
3,100,pub.1116035327,10.1029/2019gl082867,,,Oxygen Isotopes (δ18O) Trace Photochemical Hydrocarbon Oxidation at the Sea Surface,Geophysical Research Letters,,,2019-06-28,2019,46,12,6745-6754,Closed,Article,"Ward, Collin P.; Sharpless, Charles M.; Valentine, David L.; Aeppli, Christoph; Sutherland, Kevin M.; Wankel, Scott D.; Reddy, Christopher M.",,"Ward, Collin P. (Woods Hole Oceanographic Institution); Sharpless, Charles M. (University of Mary Washington); Valentine, David L. (University of California, Santa Barbara); Aeppli, Christoph (Bigelow Laboratory For Ocean Sciences); Sutherland, Kevin M. (Woods Hole Oceanographic Institution; Massachusetts Institute of Technology); Wankel, Scott D. (Woods Hole Oceanographic Institution); Reddy, Christopher M. (Woods Hole Oceanographic Institution)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116035327,0306 Physical Chemistry (incl. Structural); 0402 Geochemistry; 0399 Other Chemical Sciences; 0301 Analytical Chemistry; 03 Chemical Sciences; 04 Earth Sciences,0306 Physical Chemistry (incl. Structural),0402 Geochemistry,0399 Other Chemical Sciences,0301 Analytical Chemistry,03 Chemical Sciences
4,100,pub.1113173985,10.1101/595074,,,Unusual metabolism and hypervariation in the genome of a Gracilibacteria (BD1-5) from an oil degrading community,bioRxiv,,,2019-04-01,2019,,,595074,"All OA; Green, Published",Preprint,"Sieber, Christian M.K.; Paul, Blair G.; Castelle, Cindy J.; Hu, Ping; Tringe, Susannah G.; Valentine, David L.; Andersen, Gary L.; Banfield, Jill F.",,"Sieber, Christian M.K. (Joint Genome Institute); Paul, Blair G. (University of California, Santa Barbara); Castelle, Cindy J. (University of California, Berkeley); Hu, Ping (Saint Mary's College of California); Tringe, Susannah G. (Joint Genome Institute); Valentine, David L. (University of California, Santa Barbara); Andersen, Gary L. (); Banfield, Jill F. (University of California, Berkeley)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2019/04/01/595074.full.pdf,https://app.dimensions.ai/details/publication/pub.1113173985,0605 Microbiology; 0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0605 Microbiology,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,
5,100,pub.1112602562,10.1029/2018jc014573,,,"Modern Assessment of Natural Hydrocarbon Gas Flux at the Coal Oil Point Seep Field, Santa Barbara, California",Journal of Geophysical Research Oceans,,,2019-04,2019,124,4,2472-2484,Closed,Article,"Padilla, A. M.; Loranger, S.; Kinnaman, F. S.; Valentine, D. L.; Weber, T. C.",,"Padilla, A. M. (University of New Hampshire); Loranger, S. (University of New Hampshire); Kinnaman, F. S. (University of California, Santa Barbara); Valentine, D. L. (University of California, Santa Barbara); Weber, T. C. (University of New Hampshire)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112602562,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0405 Oceanography,
6,500,pub.1112505593,10.1021/acs.est.8b05859,30829032,,Ocean Dumping of Containerized DDT Waste Was a Sloppy Process.,Environmental Science & Technology,,"California; DDT; Environmental Monitoring; Hydrocarbons, Chlorinated; Oceans and Seas; Polychlorinated Biphenyls; Water Pollutants, Chemical",2019-03-19,2019,53,6,2971-2980,All OA; Gold,Article,"Kivenson, Veronika; Lemkau, Karin L; Pizarro, Oscar; Yoerger, Dana R; Kaiser, Carl; Nelson, Robert K; Carmichael, Catherine; Paul, Blair G; Reddy, Christopher M; Valentine, David L",,"Kivenson, Veronika (University of California, Santa Barbara); Lemkau, Karin L (University of California, Santa Barbara); Pizarro, Oscar (University of Sydney); Yoerger, Dana R (Woods Hole Oceanographic Institution); Kaiser, Carl (Woods Hole Oceanographic Institution); Nelson, Robert K (Woods Hole Oceanographic Institution); Carmichael, Catherine (Woods Hole Oceanographic Institution); Paul, Blair G (University of California, Santa Barbara); Reddy, Christopher M (Woods Hole Oceanographic Institution); Valentine, David L (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1021/acs.est.8b05859,https://app.dimensions.ai/details/publication/pub.1112505593,0907 Environmental Engineering; 09 Engineering; 04 Earth Sciences; 0405 Oceanography,0907 Environmental Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,
7,200,pub.1110151797,10.1007/978-3-319-60063-5_12-1,,,Microbial Communities Responding to Deep-Sea Hydrocarbon Spills,,"Microbial Communities Utilizing Hydrocarbons and Lipids: Members, Metagenomics and Ecophysiology",,2019,2019,,,1-17,All OA; Gold,Chapter,"Redmond, Molly C.; Valentine, David L.",,"Redmond, Molly C. (); Valentine, David L. ()",0,0,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-60063-5_12-1.pdf,https://app.dimensions.ai/details/publication/pub.1110151797,,,,,,
8,100,pub.1117157750,10.1007/978-3-030-14785-3_12,,,Microbial Communities Responding to Deep-Sea Hydrocarbon Spills,,"Microbial Communities Utilizing Hydrocarbons and Lipids: Members, Metagenomics and Ecophysiology",,2019,2019,,,1-17,Closed,Chapter,"Redmond, Molly C.; Valentine, David L.","Redmond, Molly C.","Redmond, Molly C. (University of North Carolina at Charlotte); Valentine, David L. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117157750,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,500,pub.1107758939,10.1016/j.marpolbul.2018.10.030,30503444,,Pelagic tar balls collected in the North Atlantic Ocean and Caribbean Sea from 1988 to 2016 have natural and anthropogenic origins,Marine Pollution Bulletin,,"Atlantic Ocean; Caribbean Region; Chromatography, Gas; Environmental Monitoring; Fuel Oils; Polycyclic Aromatic Hydrocarbons; Tars; Time Factors; Water Pollutants, Chemical",2018-12,2018,137,Mar. Chem. 3 1975,352-359,All OA; Gold,Article,"Green, Hilary S.; Fuller, Sarah A.; Meyer, Audrey W.; Joyce, Paul S.; Aeppli, Christoph; Nelson, Robert K.; Swarthout, Robert F.; Valentine, David L.; White, Helen K.; Reddy, Christopher M.","Reddy, Christopher M.","Green, Hilary S. (Woods Hole Oceanographic Institution); Fuller, Sarah A. (Sea Education Association); Meyer, Audrey W. (Sea Education Association); Joyce, Paul S. (Sea Education Association); Aeppli, Christoph (Bigelow Laboratory For Ocean Sciences); Nelson, Robert K. (Woods Hole Oceanographic Institution); Swarthout, Robert F. (Appalachian State University); Valentine, David L. (University of California, Santa Barbara); White, Helen K. (Haverford College); Reddy, Christopher M. (Woods Hole Oceanographic Institution)",1,1,,,https://doi.org/10.1016/j.marpolbul.2018.10.030,https://app.dimensions.ai/details/publication/pub.1107758939,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
