,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David Lawrence López-Carr. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113234210,10.1007/s13412-019-00545-0,,,What is marine justice?,Journal of Environmental Studies and Sciences,,,2019-06,2019,9,2,234-243,Closed,Article,"Martin, Jennifer A.; Gray, Summer; Aceves-Bueno, Eréndira; Alagona, Peter; Elwell, Tammy L.; Garcia, Angela; Horton, Zach; Lopez-Carr, David; Marter-Kenyon, Jessica; Miller, Karly Marie; Severen, Christopher; Shewry, Teresa; Twohey, Becky","Martin, Jennifer A.","Martin, Jennifer A. (University of California, Santa Barbara); Gray, Summer (University of California, Santa Barbara); Aceves-Bueno, Eréndira (Duke University; University of California, Santa Barbara); Alagona, Peter (University of California, Santa Barbara); Elwell, Tammy L. (University of California, Santa Barbara); Garcia, Angela (Arizona State University); Horton, Zach (University of Pittsburgh); Lopez-Carr, David (University of California, Santa Barbara); Marter-Kenyon, Jessica (University of Georgia); Miller, Karly Marie (University of California, Santa Barbara); Severen, Christopher (); Shewry, Teresa (University of California System); Twohey, Becky (Coral Reef Alliance)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113234210,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
2,500,pub.1113478810,10.1007/s10661-019-7450-z,30989385,,Monitoring forest cover change within different reserve types in southern Ghana,Environmental Monitoring and Assessment,,"Agriculture; Biodiversity; Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Forests; Ghana; Parks, Recreational; Population Density; Rivers",2019-05,2019,191,5,281,Closed,Article,"Tsai, Yu Hsin; Stow, Douglas A.; López-Carr, David; Weeks, John R.; Clarke, Keith C.; Mensah, Foster","Tsai, Yu Hsin","Tsai, Yu Hsin (San Diego State University); Stow, Douglas A. (San Diego State University); López-Carr, David (University of California, Santa Barbara); Weeks, John R. (San Diego State University); Clarke, Keith C. (University of California, Santa Barbara); Mensah, Foster ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1113478810,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
3,500,pub.1104145957,10.1016/j.scitotenv.2018.04.052,29925194,,Using people's perceptions of ecosystem services to guide modeling and management efforts,The Science of The Total Environment,,"Chile; Conservation of Natural Resources; Decision Making; Ecosystem; Environmental Monitoring; Humans; Models, Theoretical; Perception",2018-10,2018,637,Waterbirds 32 2 2009,1014-1025,"All OA; Green, Accepted & Submitted",Article,"Elwell, Tammy L.; Gelcich, Stefan; Gaines, Steven D.; López-Carr, David","Elwell, Tammy L.","Elwell, Tammy L. (University of California, Santa Barbara); Gelcich, Stefan (Pontifical Catholic University of Chile); Gaines, Steven D. (University of California, Santa Barbara); López-Carr, David (University of California, Santa Barbara)",4,4,,,http://marxiv.org/5dua6//download,https://app.dimensions.ai/details/publication/pub.1104145957,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
4,100,pub.1101838519,10.1016/j.rse.2018.03.023,,,Land cover and land use change analysis using multi-spatial resolution data and object-based image analysis,Remote Sensing of Environment,,,2018-06,2018,210,ISPRS J. Photogramm. Remote Sens. 87 2014,259-268,Closed,Article,"Toure, Sory I.; Stow, Douglas A.; Shih, Hsiao-chien; Weeks, John; Lopez-Carr, David","Toure, Sory I.","Toure, Sory I. (San Diego State University); Stow, Douglas A. (San Diego State University); Shih, Hsiao-chien (San Diego State University); Weeks, John (San Diego State University); Lopez-Carr, David (University of California, Santa Barbara)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1101838519,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
5,100,pub.1091894135,10.1016/j.apgeog.2017.08.018,,,"Thirty years of land use/cover change in the Caribbean: Assessing the relationship between urbanization and mangrove loss in Roatán, Honduras",Applied Geography,,,2017-11,2017,88,,84-93,Closed,Article,"Tuholske, Cascade; Tane, Zachary; López-Carr, David; Roberts, Dar; Cassels, Susan","Tuholske, Cascade","Tuholske, Cascade (University of California, Santa Barbara); Tane, Zachary (University of California, Santa Barbara; US Forest Service); López-Carr, David (University of California, Santa Barbara); Roberts, Dar (University of California, Santa Barbara); Cassels, Susan (University of California, Santa Barbara)",2,2,,0.96,,https://app.dimensions.ai/details/publication/pub.1091894135,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
6,100,pub.1084516720,10.1002/psp.2062,,,"Fertility and urban context: A case study from Ghana, West Africa, using remotely sensed imagery and GIS",Population Space and Place,,,2017-11,2017,23,8,e2062,Closed,Article,"Benza, Magdalena; Weeks, John R.; Stow, Douglas A.; López‐Carr, David; Clarke, Keith C.",,"Benza, Magdalena (San Diego State University); Weeks, John R. (San Diego State University); Stow, Douglas A. (San Diego State University); López‐Carr, David (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1084516720,1605 Policy and Administration; 1604 Human Geography; 1603 Demography; 16 Studies in Human Society,1605 Policy and Administration,1604 Human Geography,1603 Demography,16 Studies in Human Society,
7,500,pub.1085056891,10.1098/rstb.2016.0127,28438916,PMC5413875,Nearly 400 million people are at higher risk of schistosomiasis because dams block the migration of snail-eating river prawns,Philosophical Transactions of the Royal Society B Biological Sciences,,Africa South of the Sahara; Animal Migration; Animals; Food Chain; Humans; Palaemonidae; Schistosomiasis; Snails,2017-06-05,2017,372,1722,20160127,All OA; Gold,Article,"Sokolow, Susanne H.; Jones, Isabel J.; Jocque, Merlijn; La, Diana; Cords, Olivia; Knight, Anika; Lund, Andrea; Wood, Chelsea L.; Lafferty, Kevin D.; Hoover, Christopher M.; Collender, Phillip A.; Remais, Justin V.; Lopez-Carr, David; Fisk, Jonathan; Kuris, Armand M.; De Leo, Giulio A.",,"Sokolow, Susanne H. (Stanford University; University of California, Santa Barbara); Jones, Isabel J. (Stanford University); Jocque, Merlijn (Stanford University); La, Diana (Stanford University); Cords, Olivia (Stanford University); Knight, Anika (Medaille College); Lund, Andrea (); Wood, Chelsea L. (University of Michigan; University of Washington); Lafferty, Kevin D. (University of California, Santa Barbara); Hoover, Christopher M. (University of California, Berkeley); Collender, Phillip A. (University of California, Berkeley); Remais, Justin V. (University of California, Berkeley); Lopez-Carr, David (University of California, Santa Barbara); Fisk, Jonathan (Stanford University); Kuris, Armand M. (University of California, Santa Barbara); De Leo, Giulio A. (Stanford University)",15,12,1.54,5.84,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0127,https://app.dimensions.ai/details/publication/pub.1085056891,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,100,pub.1085086456,10.1016/s0140-6736(17)31132-7,,,"Water, dams, and prawns: novel ecological solutions for the control and elimination of schistosomiasis",The Lancet,,,2017-04,2017,389,,s20,Closed,Article,"Sokolow, Susanne H; Jones, Isabel J; Jocque, Merlijn; La, Diana; Cords, Olivia; Knight, Anika; Lund, Andrea; Wood, Chelsea L; Lafferty, Kevin D; Hoover, Christopher M; Collender, Phillip A; Remais, Justin; Lopez-Carr, David; Fisk, Jonathan; Kuris, Armand M; De Leo, Giulio A","Sokolow, Susanne H","Sokolow, Susanne H (Stanford University); Jones, Isabel J (Stanford University); Jocque, Merlijn (Stanford University); La, Diana (Stanford University); Cords, Olivia (Stanford University); Knight, Anika (Stanford University); Lund, Andrea (Stanford University); Wood, Chelsea L (University of Washington); Lafferty, Kevin D (University of California, Santa Barbara); Hoover, Christopher M (University of California, Berkeley); Collender, Phillip A (University of California, Berkeley); Remais, Justin (University of California, Berkeley); Lopez-Carr, David (University of California, Santa Barbara); Fisk, Jonathan (Stanford University); Kuris, Armand M (University of California, Santa Barbara); De Leo, Giulio A (Stanford University)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1085086456,11 Medical and Health Sciences,11 Medical and Health Sciences,,,,
9,500,pub.1074219881,10.1371/journal.pone.0170615,28125659,PMC5268772,Biodiversity Areas under Threat: Overlap of Climate Change and Population Pressures on the World’s Biodiversity Priorities,PLoS ONE,,Acclimatization; Africa; Agriculture; Biodiversity; Climate Change; Conservation of Natural Resources; Ecosystem; Humans; Population Dynamics; Sri Lanka,2017-01-26,2017,12,1,e0170615,All OA; Gold,Article,"Aukema, Juliann E.; Pricope, Narcisa G.; Husak, Gregory J.; Lopez-Carr, David",,"Aukema, Juliann E. (University of California, Santa Barbara; United States Agency for International Development); Pricope, Narcisa G. (University of North Carolina Wilmington); Husak, Gregory J. (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara)",9,9,0,3.95,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170615&type=printable,https://app.dimensions.ai/details/publication/pub.1074219881,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
