,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is David M Stoms. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,400,pub.1044262451,10.7717/peerj.690,25538868,PMC4266854,Optimization in the utility maximization framework for conservation planning: a comparison of solution procedures in a study of multifunctional agriculture,PeerJ,,,12/11/14,2014,2,,e690,All OA; Gold,Article,"Kreitler, Jason; Stoms, David M.; Davis, Frank W.",,"Kreitler, Jason (United States Geological Survey); Stoms, David M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara)",4,3,0,1.37,https://peerj.com/articles/690.pdf,https://app.dimensions.ai/details/publication/pub.1044262451,0103 Numerical and Computational Mathematics; 0104 Statistics; 01 Mathematical Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0103 Numerical and Computational Mathematics,0104 Statistics,01 Mathematical Sciences,05 Environmental Sciences,0502 Environmental Science and Management
2,100,pub.1005515954,10.1007/978-3-642-32000-2_8,,,Ecological Research Reserve Planning,Environmental Science and Engineering,Making Transparent Environmental Management Decisions,,2014,2014,,,175-203,Closed,Chapter,"Stoms, David M.","Stoms, David M.","Stoms, David M. (University of California, Santa Barbara)",1,0,,0.21,,https://app.dimensions.ai/details/publication/pub.1005515954,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
3,100,pub.1001413131,10.1016/j.renene.2013.01.055,,,Siting solar energy development to minimize biological impacts,Renewable Energy,,,2013-09,2013,57,,289-298,"All OA; Green, Published",Article,"Stoms, David M.; Dashiell, Stephanie L.; Davis, Frank W.","Stoms, David M.","Stoms, David M. (University of California, Santa Barbara); Dashiell, Stephanie L. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara)",37,11,,9.91,https://escholarship.org/content/qt5xk5n01d/qt5xk5n01d.pdf?t=nyj0xp,https://app.dimensions.ai/details/publication/pub.1001413131,0915 Interdisciplinary Engineering; 09 Engineering; 0906 Electrical and Electronic Engineering; 0913 Mechanical Engineering,0915 Interdisciplinary Engineering,09 Engineering,0906 Electrical and Electronic Engineering,0913 Mechanical Engineering,
4,100,pub.1052335053,10.1111/1365-2664.12137,,,Steelhead vulnerability to climate change in the Pacific Northwest,Journal of Applied Ecology,,,2013-07,2013,50,5,1093-1104,All OA; Gold,Article,"Wade, Alisa A.; Beechie, Timothy J.; Fleishman, Erica; Mantua, Nathan J.; Wu, Huan; Kimball, John S.; Stoms, David M.; Stanford, Jack A.",,"Wade, Alisa A. (University of California, Santa Barbara); Beechie, Timothy J. (Northwest Fisheries Science Center); Fleishman, Erica (); Mantua, Nathan J. (Southwest Fisheries Science Center); Wu, Huan (University of Montana); Kimball, John S. (University of Montana); Stoms, David M. (California Energy Commission); Stanford, Jack A. (University of Montana)",26,14,,5.26,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2664.12137,https://app.dimensions.ai/details/publication/pub.1052335053,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
5,400,pub.1055505158,10.1021/es302959h,23268715,,Spatially-explicit life cycle assessment of sun-to-wheels transportation pathways in the U.S.,Environmental Science & Technology,,Biofuels; Electric Power Supplies; Electricity; Ethanol; Greenhouse Effect; Panicum; Zea mays,1/15/13,2013,47,2,1170-6,Closed,Article,"Geyer, Roland; Stoms, David; Kallaos, James",,"Geyer, Roland (University of California, Santa Barbara); Stoms, David (University of California, Santa Barbara); Kallaos, James (Norwegian University of Science and Technology)",24,7,0.25,3.42,,https://app.dimensions.ai/details/publication/pub.1055505158,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
6,100,pub.1028240699,10.1525/bio.2012.62.11.6,,,A State-Based National Network for Effective Wildlife Conservation,BioScience,,,2012-11,2012,62,11,970-976,All OA; Gold,Article,"Meretsky, Vicky J.; Maguire, Lynn A.; Davis, Frank W.; Stoms, David M.; Scott, J. Michael; Figg, Dennis; Goble, Dale D.; Griffith, Brad; Henke, Scott E.; Vaughn, Jacqueline; Yaffee, Steven L.",,"Meretsky, Vicky J. (); Maguire, Lynn A. (Duke University); Davis, Frank W. (); Stoms, David M. (); Scott, J. Michael (University of Idaho); Figg, Dennis (); Goble, Dale D. (University of Idaho); Griffith, Brad (); Henke, Scott E. (); Vaughn, Jacqueline (); Yaffee, Steven L. (University of Michigan)",10,2,,1.69,https://academic.oup.com/bioscience/article-pdf/62/11/970/731287/62-11-970.pdf,https://app.dimensions.ai/details/publication/pub.1028240699,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
7,100,pub.1020726862,10.1111/j.1757-1707.2011.01130.x,,,Modeling wildlife and other trade‐offs with biofuel crop production,GCB Bioenergy,,,2012-05,2012,4,3,330-341,All OA; Gold,Article,"Stoms, David M.; Davis, Frank W.; Jenner, Mark W.; Nogeire, Theresa M.; Kaffka, Stephen R.",,"Stoms, David M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Jenner, Mark W. (University of California, Davis); Nogeire, Theresa M. (University of California, Santa Barbara); Kaffka, Stephen R. (University of California, Davis)",20,4,,2.48,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1757-1707.2011.01130.x,https://app.dimensions.ai/details/publication/pub.1020726862,1001 Agricultural Biotechnology; 10 Technology,1001 Agricultural Biotechnology,10 Technology,,,
8,100,pub.1042490465,10.1007/s12237-011-9459-6,,,"Life Histories, Salinity Zones, and Sublethal Contributions of Contaminants to Pelagic Fish Declines Illustrated with a Case Study of San Francisco Estuary, California, USA",Chesapeake Science,,,2012-03,2012,35,2,603-621,"All OA; Green, Accepted & Submitted",Article,"Brooks, Marjorie L.; Fleishman, Erica; Brown, Larry R.; Lehman, Peggy W.; Werner, Inge; Scholz, Nathaniel; Mitchelmore, Carys; Lovvorn, James R.; Johnson, Michael L.; Schlenk, Daniel; van Drunick, Suzanne; Drever, James I.; Stoms, David M.; Parker, Alex E.; Dugdale, Richard","Brooks, Marjorie L.","Brooks, Marjorie L. (Southern Illinois University System); Fleishman, Erica (University of California, Santa Barbara; University of California, Davis); Brown, Larry R. (); Lehman, Peggy W. (California Natural Resources Agency); Werner, Inge (University of California, Davis); Scholz, Nathaniel (Northwest Fisheries Science Center); Mitchelmore, Carys (University of Maryland Center For Environmental Sciences); Lovvorn, James R. (Southern Illinois University System); Johnson, Michael L. (University of California, Davis); Schlenk, Daniel (University of California, Riverside); van Drunick, Suzanne (University of Colorado Boulder); Drever, James I. (University of Wyoming); Stoms, David M. (University of California, Santa Barbara); Parker, Alex E. (San Francisco State University); Dugdale, Richard (San Francisco State University)",31,4,,3.66,http://csum-dspace.calstate.edu/bitstream/10211.3/130173/1/Brooks%20et%20al%202012%20Full%20citation.pdf,https://app.dimensions.ai/details/publication/pub.1042490465,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,100,pub.1042202820,10.1016/j.envsoft.2010.03.008,,,The power of information for targeting cost-effective conservation investments in multifunctional farmlands,Environmental Modelling & Software,,,2011-01,2011,26,1,17-Aug,"All OA; Green, Accepted & Submitted",Article,"Stoms, David M.; Kreitler, Jason; Davis, Frank W.","Stoms, David M.","Stoms, David M. (University of California, Santa Barbara); Kreitler, Jason (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara)",7,1,,1.9,https://escholarship.org/content/qt3cr2c7j6/qt3cr2c7j6.pdf?t=nyj307,https://app.dimensions.ai/details/publication/pub.1042202820,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
10,100,pub.1003859531,10.1007/s11367-010-0199-9,,,Coupling GIS and LCA for biodiversity assessments of land use,The International Journal of Life Cycle Assessment,,,2010-08,2010,15,7,692-703,All OA; Gold,Article,"Geyer, Roland; Lindner, Jan P.; Stoms, David M.; Davis, Frank W.; Wittstock, Bastian","Geyer, Roland","Geyer, Roland (University of California, Santa Barbara); Lindner, Jan P. (University of Stuttgart); Stoms, David M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Wittstock, Bastian (University of Stuttgart)",52,12,,10.67,https://link.springer.com/content/pdf/10.1007%2Fs11367-010-0199-9.pdf,https://app.dimensions.ai/details/publication/pub.1003859531,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
11,100,pub.1006993864,10.1007/s11367-010-0170-9,,,Coupling GIS and LCA for biodiversity assessments of land use,The International Journal of Life Cycle Assessment,,,2010-06,2010,15,5,454-467,All OA; Gold,Article,"Geyer, Roland; Stoms, David M.; Lindner, Jan P.; Davis, Frank W.; Wittstock, Bastian","Geyer, Roland","Geyer, Roland (University of California, Santa Barbara); Stoms, David M. (University of California, Santa Barbara); Lindner, Jan P. (University of Stuttgart); Davis, Frank W. (University of California, Santa Barbara); Wittstock, Bastian (University of Stuttgart)",69,12,,14.16,https://link.springer.com/content/pdf/10.1007%2Fs11367-010-0170-9.pdf,https://app.dimensions.ai/details/publication/pub.1006993864,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
12,400,pub.1024351944,10.1111/j.1523-1739.2009.01355.x,19906066,,Ecosystem Services as a Common Language for Coastal Ecosystem‐Based Management,Conservation Biology,,Communication; Conservation of Natural Resources; Ecosystem,2010-02,2010,24,1,207-216,Closed,Article,"GRANEK, ELISE F.; POLASKY, STEPHEN; KAPPEL, CARRIE V.; REED, DENISE J.; STOMS, DAVID M.; KOCH, EVAMARIA W.; KENNEDY, CHRIS J.; CRAMER, LORI A.; HACKER, SALLY D.; BARBIER, EDWARD B.; ASWANI, SHANKAR; RUCKELSHAUS, MARY; PERILLO, GERARDO M. E.; SILLIMAN, BRIAN R.; MUTHIGA, NYAWIRA; BAEL, DAVID; WOLANSKI, ERIC",,"GRANEK, ELISE F. (Portland State University); POLASKY, STEPHEN (University of Minnesota); KAPPEL, CARRIE V. (University of California, Santa Barbara); REED, DENISE J. (University of New Orleans); STOMS, DAVID M. (University of California, Santa Barbara); KOCH, EVAMARIA W. (University of Maryland Center For Environmental Sciences); KENNEDY, CHRIS J. (University of Wyoming); CRAMER, LORI A. (Oregon State University); HACKER, SALLY D. (Oregon State University); BARBIER, EDWARD B. (University of Wyoming); ASWANI, SHANKAR (University of California, Santa Barbara); RUCKELSHAUS, MARY (Northwest Fisheries Science Center); PERILLO, GERARDO M. E. (); SILLIMAN, BRIAN R. (University of Florida); MUTHIGA, NYAWIRA (); BAEL, DAVID (University of Minnesota); WOLANSKI, ERIC (Australian Institute of Marine Science)",152,36,1.04,17.67,,https://app.dimensions.ai/details/publication/pub.1024351944,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
13,100,pub.1041766002,10.3375/043.029.0402,,,Spatial Patterns of Endemic Plants in California,Natural Areas Journal,,,2009-10,2009,29,4,344-366,Closed,Article,"Thorne, J. H.; Viers, J.H.; Price, J.; Stoms, D. M.",,"Thorne, J. H. (); Viers, J.H. (); Price, J. (); Stoms, D. M. (University of California, Santa Barbara)",19,3,,2.54,,https://app.dimensions.ai/details/publication/pub.1041766002,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
14,100,pub.1006647731,10.1016/j.landusepol.2009.02.004,,,Strategic targeting of agricultural conservation easements as a growth management tool,Land Use Policy,,,2009-10,2009,26,4,1149-1161,Closed,Article,"Stoms, David M.; Jantz, Patrick A.; Davis, Frank W.; DeAngelo, Gregory","Stoms, David M.","Stoms, David M. (University of California, Santa Barbara); Jantz, Patrick A. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); DeAngelo, Gregory (University of California, Santa Barbara)",19,5,,2.54,,https://app.dimensions.ai/details/publication/pub.1006647731,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
15,200,pub.1062598371,10.1126/science.320.5873.176b,18403692,,Vegetation's Role in Coastal Protection,Science,,Conservation of Natural Resources; Disasters; Ecosystem; Plants,4/11/08,2008,320,5873,176-177,Closed,Article,"Feagin, R. A.; Barbier, E. B.; Koch, E. W.; Silliman, B. R.; Hacker, S. D.; Wolanski, E.; Primavera, J. H.; Granek, E. F.; Polasky, S.; Aswani, S.; Cramer, L. A.; Stoms, D. M.; Kennedy, C. J.; Bael, D.; Kappel, C. V.; Perillo, G. M. E.; Reed, D. J.",,"Feagin, R. A. (); Barbier, E. B. (); Koch, E. W. (); Silliman, B. R. (); Hacker, S. D. (); Wolanski, E. (); Primavera, J. H. (); Granek, E. F. (); Polasky, S. (); Aswani, S. (); Cramer, L. A. (); Stoms, D. M. (); Kennedy, C. J. (); Bael, D. (); Kappel, C. V. (); Perillo, G. M. E. (); Reed, D. J. ()",32,6,0.11,,,https://app.dimensions.ai/details/publication/pub.1062598371,,,,,,
16,400,pub.1062457127,10.1126/science.1150349,18202288,,Coastal Ecosystem-Based Management with Nonlinear Ecological Functions and Values,Science,,Alismatales; Animals; Anthozoa; Aquaculture; Conservation of Natural Resources; Cost-Benefit Analysis; Ecology; Ecosystem; Fisheries; Lythraceae; Penaeidae; Rhizophoraceae; Thailand; Trees; Water Movements; Wetlands; Wood,1/18/08,2008,319,5861,321-323,"All OA; Green, Published",Article,"Barbier, Edward B.; Koch, Evamaria W.; Silliman, Brian R.; Hacker, Sally D.; Wolanski, Eric; Primavera, Jurgenne; Granek, Elise F.; Polasky, Stephen; Aswani, Shankar; Cramer, Lori A.; Stoms, David M.; Kennedy, Chris J.; Bael, David; Kappel, Carrie V.; Perillo, Gerardo M. E.; Reed, Denise J.",,"Barbier, Edward B. (University of Wyoming); Koch, Evamaria W. (University of Maryland Center For Environmental Sciences); Silliman, Brian R. (University of Florida); Hacker, Sally D. (Oregon State University); Wolanski, Eric (Australian Institute of Marine Science); Primavera, Jurgenne (Southeast Asian Fisheries Development Center); Granek, Elise F. (Portland State University); Polasky, Stephen (University of Minnesota); Aswani, Shankar (University of California, Santa Barbara); Cramer, Lori A. (Oregon State University); Stoms, David M. (University of California, Santa Barbara); Kennedy, Chris J. (University of Wyoming); Bael, David (University of Minnesota); Kappel, Carrie V. (University of California, Santa Barbara); Perillo, Gerardo M. E. (); Reed, Denise J. (University of New Orleans)",500,120,3.25,53.39,http://www.edc.uri.edu/temp/ci/ciip/FallClass/Docs_2008/Barbier%20et%20al.%202008.pdf,https://app.dimensions.ai/details/publication/pub.1062457127,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
17,100,pub.1027650358,10.1146/annurev.energy.31.042606.085844,,,Biodiversity Conservation Planning Tools: Present Status and Challenges for the Future,Annual Review of Environment and Resources,,,2006-11,2006,31,1,123-159,Closed,Article,"Sarkar, Sahotra; Pressey, Robert L.; Faith, Daniel P.; Margules, Christopher R.; Fuller, Trevon; Stoms, David M.; Moffett, Alexander; Wilson, Kerrie A.; Williams, Kristen J.; Williams, Paul H.; Andelman, Sandy",,"Sarkar, Sahotra (The University of Texas at Austin); Pressey, Robert L. (University of Queensland); Faith, Daniel P. (Australian Museum); Margules, Christopher R. (Commonwealth Scientific and Industrial Research Organisation); Fuller, Trevon (The University of Texas at Austin); Stoms, David M. (University of California, Santa Barbara); Moffett, Alexander (The University of Texas at Austin); Wilson, Kerrie A. (University of Queensland); Williams, Kristen J. (Commonwealth Scientific and Industrial Research Organisation); Williams, Paul H. (Natural History Museum); Andelman, Sandy (Conservation International)",320,43,,36.99,,https://app.dimensions.ai/details/publication/pub.1027650358,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
