,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Dawn Anne-Marie Kellett. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1121833111,10.1139/cjes-2019-0100,,,"Localisation of the brittle Bathurst fault on pre-existing fabrics: A case for structural inheritance in the northeastern Slave craton, western Nunavut, Canada",Canadian Journal of Earth Sciences,,,2019-10-16,2019,0,ja,,Closed,Article,"M., Svieda; Kellett, Dawn Anne-Marie; Godin, Laurent; Jercinovic, Michael",,"M., Svieda (Queen's University); Kellett, Dawn Anne-Marie (Natural Resources Canada); Godin, Laurent (Queen's University); Jercinovic, Michael (University of Massachusetts Amherst)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121833111,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1107797667,10.1111/jmg.12459,,,"Tectonometamorphic evolution of the tip of the Himalayan metamorphic core in the Jajarkot klippe, west Nepal",Journal of Metamorphic Geology,,,2019-02,2019,37,2,239-269,Closed,Article,"La Roche, Renaud Soucy; Godin, Laurent; Cottle, John M.; Kellett, Dawn A.",,"La Roche, Renaud Soucy (Queen's University; Geological Survey of Canada); Godin, Laurent (Queen's University); Cottle, John M. (University of California, Santa Barbara); Kellett, Dawn A. (Geological Survey of Canada)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1107797667,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1105687089,10.1144/sp483.2,,,"The South Tibetan Detachment System: history, advances, definition and future directions",Geological Society London Special Publications,,,2019,2019,483,1,377-400,Closed,Article,"Kellett, Dawn A.; Cottle, John M.; Larson, Kyle P.",,"Kellett, Dawn A. (); Cottle, John M. (University of California, Santa Barbara); Larson, Kyle P. (University of British Columbia)",10,10,,,,https://app.dimensions.ai/details/publication/pub.1105687089,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,100,pub.1103882667,10.1016/j.epsl.2018.04.036,,,A petrochronological approach for the detrital record: Tracking mm-sized eclogite clasts in the northern Canadian Cordillera,Earth and Planetary Science Letters,,,2018-07,2018,494,Geochem. Geophys. Geosyst. 15 2014,23-31,Closed,Article,"Kellett, Dawn A.; Weller, Owen M.; Zagorevski, Alex; Regis, Daniele","Kellett, Dawn A.","Kellett, Dawn A. (Geological Survey of Canada); Weller, Owen M. (Geological Survey of Canada; University of Cambridge); Zagorevski, Alex (Geological Survey of Canada); Regis, Daniele (Geological Survey of Canada)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103882667,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,100,pub.1103447285,10.1002/2017tc004847,,,"Preservation of the Early Evolution of the Himalayan Middle Crust in Foreland Klippen: Insights from the Karnali Klippe, West Nepal",Tectonics,,,2018-05,2018,37,5,1161-1193,Closed,Article,"La Roche, Renaud Soucy; Godin, Laurent; Cottle, John M.; Kellett, Dawn A.",,"La Roche, Renaud Soucy (Queen's University); Godin, Laurent (Queen's University); Cottle, John M. (University of California, Santa Barbara); Kellett, Dawn A. (Geological Survey of Canada)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1103447285,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,200,pub.1084799455,10.2475/03.2017.02,,,"The age of salinic deformation constrained by
                    40
                    Ar/
                    39
                    Ar dating of multiple cleavage domains: Bathurst Supergroup, New Brunswick Appalachians",American Journal of Science,,,2017-03,2017,317,3,338-368,Closed,Article,"Kellett, Dawn A.; van Staal, Cees; Wilson, Reginald A.; Rogers, Neil",,"Kellett, Dawn A. (); van Staal, Cees (); Wilson, Reginald A. (); Rogers, Neil ()",4,4,,1.51,,https://app.dimensions.ai/details/publication/pub.1084799455,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
7,100,pub.1071138182,10.3301/ijg.2015.28,,,Northern provenance of the Gondwana Formation in the Lesser Himalayan Sequence: constraints from 40Ar/39Ar dating of detrital muscovite in Darjeeling-Sikkim Himalaya,Italian Journal of Geosciences,,,2017-02,2017,136,1,15-27,Closed,Article,"Grujic, Djordje; Coutand, Isabelle; Doon, Michael; Kellett, Dawn A.",,"Grujic, Djordje (Dalhousie University); Coutand, Isabelle (Dalhousie University); Doon, Michael (Dalhousie University); Kellett, Dawn A. (Dalhousie University; Natural Resources Canada)",4,3,,1.54,,https://app.dimensions.ai/details/publication/pub.1071138182,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,200,pub.1064670697,10.12789/geocanj.2016.43.110,,,Kingston 2017: GAC–MAC Joint Annual Meeting Field Trips,Geoscience Canada,,,2016-12-15,2016,43,4,287,All OA; Gold,Article,"Kellett, Dawn A.; Godin, Laurent",,"Kellett, Dawn A. (); Godin, Laurent ()",0,0,,,https://journals.lib.unb.ca/index.php/GC/article/download/25171/29360,https://app.dimensions.ai/details/publication/pub.1064670697,,,,,,
9,100,pub.1062735713,10.1130/ges01293.1,,,"Anatexis, cooling, and kinematics during orogenesis: Miocene development of the Himalayan metamorphic core, east-central Nepal",Geosphere,,,2016-10,2016,12,5,1575-1593,All OA; Gold,Article,"Larson, Kyle P.; Kellett, Dawn A.; Cottle, John M.; King, Jess; Lederer, Graham; Santa Man Rai",,"Larson, Kyle P. (University of British Columbia); Kellett, Dawn A. (Geological Survey of Canada); Cottle, John M. (University of California, Santa Barbara); King, Jess (University of Hong Kong); Lederer, Graham (University of California, Santa Barbara); Santa Man Rai (Tribhuvan University)",10,6,,2.68,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/12/5/1575/3338168/1575.pdf,https://app.dimensions.ai/details/publication/pub.1062735713,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
