,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Douglas W Burbank. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1107774601,10.1130/l727.1,,,"Dating growth strata and basin fill by combining 26Al/10Be burial dating and magnetostratigraphy: Constraining active deformation in the Pamir–Tian Shan convergence zone, NW China",Литосфера,,,2018-12-01,2018,10,6,806-828,All OA; Gold,Article,"Thompson Jobe, Jessica Ann; Li, Tao; Bookhagen, Bodo; Chen, Jie; Burbank, Douglas",,"Thompson Jobe, Jessica Ann (University of California, Santa Barbara; The University of Texas at El Paso); Li, Tao (China Earthquake Administration; Sun Yat-sen University); Bookhagen, Bodo (University of California, Santa Barbara; University of Potsdam); Chen, Jie (China Earthquake Administration); Burbank, Douglas (University of California, Santa Barbara)",6,6,,,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/10/6/806/4561301/806.pdf,https://app.dimensions.ai/details/publication/pub.1107774601,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1104267067,10.1029/2018tc004982,,,"Active Bending‐Moment Faulting: Geomorphic Expression, Controlling Conditions, Accommodation of Fold Deformation",Tectonics,,,2018-08,2018,37,8,2278-2306,Closed,Article,"Li, Tao; Chen, Jie; Jobe, Jessica A. Thompson; Burbank, Douglas W.; Cheng, Xiaogan; Xu, Jianhong; Li, Zhigang; Zheng, Wenjun; Zhang, Peizhen",,"Li, Tao (Sun Yat-sen University); Chen, Jie (China Earthquake Administration); Jobe, Jessica A. Thompson (The University of Texas at El Paso); Burbank, Douglas W. (University of California, Santa Barbara); Cheng, Xiaogan (Zhejiang University); Xu, Jianhong (China Earthquake Administration); Li, Zhigang (Sun Yat-sen University); Zheng, Wenjun (Sun Yat-sen University); Zhang, Peizhen (Sun Yat-sen University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1104267067,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1100745214,10.1016/j.quageo.2018.01.002,,,"Coarse- versus fine-grain quartz OSL and cosmogenic 10Be dating of deformed fluvial terraces on the northeast Pamir margin, northwest China",Quaternary Geochronology,,,2018-06,2018,46,Geology 24 1996,1-15,Closed,Article,"Thompson, Jessica A.; Chen, Jie; Yang, Huili; Li, Tao; Bookhagen, Bodo; Burbank, Douglas","Thompson, Jessica A.","Thompson, Jessica A. (China Earthquake Administration; University of California, Santa Barbara); Chen, Jie (China Earthquake Administration); Yang, Huili (China Earthquake Administration); Li, Tao (Sun Yat-sen University); Bookhagen, Bodo (University of California, Santa Barbara); Burbank, Douglas (University of California, Santa Barbara)",11,11,,,,https://app.dimensions.ai/details/publication/pub.1100745214,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
4,100,pub.1092616086,10.1002/2016jf004099,,,"Variations of Lateral Bedrock Erosion Rates Control Planation of Uplifting Folds in the Foreland of the Tian Shan, NW China",Journal of Geophysical Research Earth Surface,,,2017-12,2017,122,12,2431-2467,All OA; Gold,Article,"Bufe, Aaron; Burbank, Douglas W.; Liu, Langtao; Bookhagen, Bodo; Qin, Jintang; Chen, Jie; Li, Tao; Jobe, Jessica A. Thompson; Yang, Huili",,"Bufe, Aaron (University of California System; University of California, Santa Barbara; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Burbank, Douglas W. (University of California System; University of California, Santa Barbara); Liu, Langtao (China Earthquake Administration; Hebei University of Engineering); Bookhagen, Bodo (University of California, Santa Barbara; University of Potsdam); Qin, Jintang (China Earthquake Administration); Chen, Jie (China Earthquake Administration); Li, Tao (China Earthquake Administration; Sun Yat-sen University); Jobe, Jessica A. Thompson (The University of Texas at El Paso); Yang, Huili (China Earthquake Administration)",11,9,,3.91,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JF004099,https://app.dimensions.ai/details/publication/pub.1092616086,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
5,100,pub.1090657412,10.1002/2017tc004541,,,"Quaternary tectonic evolution of the Pamir‐Tian Shan convergence zone, Northwest China",Tectonics,,,2017-12,2017,36,12,2748-2776,"All OA; Green, Published",Article,"Jobe, Jessica Ann Thompson; Li, Tao; Chen, Jie; Burbank, Douglas W.; Bufe, Aaron",,"Jobe, Jessica Ann Thompson (University of California, Santa Barbara; The University of Texas at El Paso); Li, Tao (Sun Yat-sen University); Chen, Jie (China Earthquake Administration); Burbank, Douglas W. (University of California, Santa Barbara); Bufe, Aaron (University of California, Santa Barbara; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences)",15,12,,5.77,http://gfzpublic.gfz-potsdam.de/pubman/item/escidoc:3015912:4/component/escidoc:3020895/3015912.pdf,https://app.dimensions.ai/details/publication/pub.1090657412,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,100,pub.1085736478,10.1002/2017gl073627,,,Temporal changes in rock uplift rates of folds in the foreland of the Tian Shan and the Pamir from geodetic and geologic data,Geophysical Research Letters,,,2017-11-16,2017,44,21,"10,977-10,987","All OA; Green, Published",Article,"Bufe, Aaron; Bekaert, David P. S.; Hussain, Ekbal; Bookhagen, Bodo; Burbank, Douglas W.; Jobe, Jessica A. Thompson; Chen, Jie; Li, Tao; Liu, Langtao; Gan, Weijun",,"Bufe, Aaron (University of California System; University of California, Santa Barbara; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Bekaert, David P. S. (Jet Propulsion Lab); Hussain, Ekbal (University of Leeds); Bookhagen, Bodo (University of California, Santa Barbara; University of Potsdam); Burbank, Douglas W. (University of California System; University of California, Santa Barbara); Jobe, Jessica A. Thompson (University of California, Santa Barbara; The University of Texas at El Paso); Chen, Jie (China Earthquake Administration); Li, Tao (China Earthquake Administration; Sun Yat-sen University); Liu, Langtao (China Earthquake Administration; Hebei University of Engineering); Gan, Weijun (China Earthquake Administration)",11,9,,4.52,http://eprints.whiterose.ac.uk/119226/8/Bufe_et_al-2017-Geophysical_Research_Letters.pdf,https://app.dimensions.ai/details/publication/pub.1085736478,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0403 Geology,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0403 Geology,
7,100,pub.1092063378,10.1002/2017jb013966,,,"Active Flexural‐Slip Faulting: Controls Exerted by Stratigraphy, Geometry, and Fold Kinematics",Journal of Geophysical Research Solid Earth,,,2017-10,2017,122,10,8538-8565,Closed,Article,"Li, Tao; Chen, Jie; Jobe, Jessica A. Thompson; Burbank, Douglas W.",,"Li, Tao (Sun Yat-sen University; China Earthquake Administration); Chen, Jie (China Earthquake Administration); Jobe, Jessica A. Thompson (University of California, Santa Barbara; The University of Texas at El Paso); Burbank, Douglas W. (University of California, Santa Barbara)",6,5,,2.31,,https://app.dimensions.ai/details/publication/pub.1092063378,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,500,pub.1085988770,10.1073/pnas.1700327114,28607045,PMC5488932,Mio-Pliocene aridity in the south-central Andes associated with Southern Hemisphere cold periods,Proceedings of the National Academy of Sciences,,,2017-06-20,2017,114,25,6474-6479,All OA; Gold,Article,"Amidon, William H.; Fisher, G. Burch; Burbank, Douglas W.; Ciccioli, Patricia L.; Alonso, Ricardo N.; Gorin, Andrew L.; Silverhart, Perri H.; Kylander-Clark, Andrew R. C.; Christoffersen, Michael S.",,"Amidon, William H. (Middlebury College); Fisher, G. Burch (The University of Texas at Austin; University of California, Santa Barbara); Burbank, Douglas W. (University of California, Santa Barbara); Ciccioli, Patricia L. (National Scientific and Technical Research Council); Alonso, Ricardo N. (National University of Salta); Gorin, Andrew L. (Middlebury College); Silverhart, Perri H. (Middlebury College); Kylander-Clark, Andrew R. C. (University of California, Santa Barbara); Christoffersen, Michael S. (The University of Texas at Austin)",11,11,0.71,3.91,https://www.pnas.org/content/pnas/114/25/6474.full.pdf,https://app.dimensions.ai/details/publication/pub.1085988770,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
9,100,pub.1085460709,10.1002/2017jf004250,,,An automated knickzone selection algorithm (KZ‐Picker) to analyze transient landscapes: Calibration and validation,Journal of Geophysical Research Earth Surface,,,2017-06,2017,122,6,1236-1261,"All OA; Green, Published",Article,"Neely, A. B.; Bookhagen, B.; Burbank, D. W.",,"Neely, A. B. (University of California, Santa Barbara); Bookhagen, B. (University of Potsdam; University of California, Santa Barbara); Burbank, D. W. (University of California, Santa Barbara)",17,15,,5.59,https://escholarship.org/content/qt01k0d8p5/qt01k0d8p5.pdf?t=p2n5xb,https://app.dimensions.ai/details/publication/pub.1085460709,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
