,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Edward H Bair. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1104148656,10.1002/jwmg.21490,,,Survival analysis: Informing recovery of Sierra Nevada bighorn sheep,Journal of Wildlife Management,,,2018-09,2018,82,7,1442-1458,Closed,Article,"Conner, Mary M.; Stephenson, Thomas R.; German, David W.; Monteith, Kevin L.; Few, Alexandra P.; Bair, Edward H.",,"Conner, Mary M. (Utah State University); Stephenson, Thomas R. (California Department of Fish and Wildlife); German, David W. (California Department of Fish and Wildlife); Monteith, Kevin L. (University of Wyoming); Few, Alexandra P. (California Department of Fish and Wildlife); Bair, Edward H. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1104148656,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1103782768,10.5194/tc-12-1579-2018,,,Using machine learning for real-time estimates of snow water equivalent in the watersheds of Afghanistan,The Cryosphere,,,2018-05-03,2018,12,5,1579-1594,All OA; Gold,Article,"Bair, Edward H.; Calfa, Andre Abreu; Rittger, Karl; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Calfa, Andre Abreu (University of California, Santa Barbara); Rittger, Karl (University of Colorado Boulder); Dozier, Jeff (University of California, Santa Barbara)",8,8,,,https://www.the-cryosphere.net/12/1579/2018/tc-12-1579-2018.pdf,https://app.dimensions.ai/details/publication/pub.1103782768,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
3,100,pub.1101151862,10.1109/tmtt.2018.2799866,,,A $K_{{u}}$ -Band CMOS FMCW Radar Transceiver for Snowpack Remote Sensing,IEEE Transactions on Microwave Theory and Techniques,,,2018-05,2018,66,5,2480-2494,Closed,Article,"Kim, Yanghyo; Reck, Theodore J.; Alonso-delPino, Maria; Painter, Thomas H.; Marshall, Hans-Peter; Bair, Edward H.; Dozier, Jeff; Chattopadhyay, Goutam; Liou, Kuo-Nan; Chang, Mau-Chung Frank; Tang, Adrian",,"Kim, Yanghyo (Jet Propulsion Lab; University of California Los Angeles); Reck, Theodore J. (Jet Propulsion Lab; The University of Texas at Austin); Alonso-delPino, Maria (Jet Propulsion Lab; Polytechnic University of Catalonia); Painter, Thomas H. (Jet Propulsion Lab); Marshall, Hans-Peter (Boise State University); Bair, Edward H. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara; University of Michigan); Chattopadhyay, Goutam (Jet Propulsion Lab); Liou, Kuo-Nan (University of California Los Angeles); Chang, Mau-Chung Frank (University of California Los Angeles); Tang, Adrian (University of California Los Angeles; Jet Propulsion Lab)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1101151862,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
4,100,pub.1101536416,10.5194/essd-10-549-2018,,,"Hourly mass and snow energy balance measurements from Mammoth Mountain, CA USA, 2011–2017",Earth System Science Data,,,2018-03-14,2018,10,1,549-563,All OA; Gold,Article,"Bair, Edward H.; Davis, Robert E.; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Dozier, Jeff (University of California, Santa Barbara)",6,6,,,https://www.earth-syst-sci-data.net/10/549/2018/essd-10-549-2018.pdf,https://app.dimensions.ai/details/publication/pub.1101536416,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
5,100,pub.1092241382,10.5194/essd-2017-114,,,"Hourly mass and snow energy balance measurements from Mammoth Mountain, CA USA, 2011–2017",Earth System Science Data Discussions,,,2017-10-16,2017,,,1-15,All OA; Gold,Article,"Bair, Edward H.; Davis, Robert E.; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Dozier, Jeff (University of California, Santa Barbara)",0,0,,0,https://doi.org/10.5194/essd-2017-114,https://app.dimensions.ai/details/publication/pub.1092241382,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,100,pub.1092178022,10.5194/tc-2017-196,,,Using machine learning for real-time estimates of snow water equivalent in the watersheds of Afghanistan,The Cryosphere Discussions,,,2017-10-11,2017,,,1-21,All OA; Gold,Article,"Bair, Edward H.; Calfa, Andre Abreu; Rittger, Karl; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Calfa, Andre Abreu (University of California, Santa Barbara); Rittger, Karl (University of Colorado Boulder); Dozier, Jeff (University of California, Santa Barbara)",0,0,,0,https://doi.org/10.5194/tc-2017-196,https://app.dimensions.ai/details/publication/pub.1092178022,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
7,100,pub.1083939733,10.1175/jhm-d-16-0219.1,,,Avalanche Fatalities during Atmospheric River Events in the Western United States,Journal of Hydrometeorology,,,2017-05,2017,18,5,1359-1374,Closed,Article,"Hatchett, Benjamin J.; Burak, Susan; Rutz, Jonathan J.; Oakley, Nina S.; Bair, Edward H.; Kaplan, Michael L.",,"Hatchett, Benjamin J. (Desert Research Institute); Burak, Susan (); Rutz, Jonathan J. (National Weather Service; University of California, San Diego); Oakley, Nina S. (Desert Research Institute; University of California, San Diego); Bair, Edward H. (University of California, Santa Barbara); Kaplan, Michael L. (Desert Research Institute)",10,9,,3.03,,https://app.dimensions.ai/details/publication/pub.1083939733,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
8,100,pub.1025157351,10.1017/jog.2016.90,,,Estimating the effective elastic modulus and specific fracture energy of snowpack layers from field experiments,Journal of Glaciology,,,2016-12,2016,62,236,997-1007,All OA; Gold,Article,"VAN HERWIJNEN, ALEC; GAUME, JOHAN; BAIR, EDWARD H.; REUTER, BENJAMIN; BIRKELAND, KARL W.; SCHWEIZER, JÜRG",,"VAN HERWIJNEN, ALEC (Swiss Federal Institute for Forest, Snow and Landscape Research); GAUME, JOHAN (Swiss Federal Institute for Forest, Snow and Landscape Research); BAIR, EDWARD H. (University of California, Santa Barbara); REUTER, BENJAMIN (Swiss Federal Institute for Forest, Snow and Landscape Research); BIRKELAND, KARL W. (US Forest Service); SCHWEIZER, JÜRG (Swiss Federal Institute for Forest, Snow and Landscape Research)",24,19,,5.93,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/68BE67D7B3C9735363CD13DBF345E713/S0022143016000903a.pdf/div-class-title-estimating-the-effective-elastic-modulus-and-specific-fracture-energy-of-snowpack-layers-from-field-experiments-div.pdf,https://app.dimensions.ai/details/publication/pub.1025157351,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
9,100,pub.1052061067,10.1002/2016wr018704,,,Validating reconstruction of snow water equivalent in California's Sierra Nevada using measurements from the NASA Airborne Snow Observatory,Water Resources Research,,,2016-11,2016,52,11,8437-8460,All OA; Gold,Article,"Bair, Edward H.; Rittger, Karl; Davis, Robert E.; Painter, Thomas H.; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Rittger, Karl (); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Painter, Thomas H. (Jet Propulsion Lab); Dozier, Jeff (University of California, Santa Barbara)",24,22,,8.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016WR018704,https://app.dimensions.ai/details/publication/pub.1052061067,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
10,100,pub.1029450135,10.1016/j.advwatres.2016.05.015,,,Spatial estimates of snow water equivalent from reconstruction,Advances in Water Resources,,,2016-08,2016,94,,345-363,All OA; Gold,Article,"Rittger, Karl; Bair, Edward H.; Kahl, Annelen; Dozier, Jeff","Rittger, Karl","Rittger, Karl (); Bair, Edward H. (); Kahl, Annelen (); Dozier, Jeff ()",25,19,,8.83,https://manuscript.elsevier.com/S0309170816301506/pdf/S0309170816301506.pdf,https://app.dimensions.ai/details/publication/pub.1029450135,09 Engineering; 0102 Applied Mathematics; 0905 Civil Engineering; 01 Mathematical Sciences; 0907 Environmental Engineering,09 Engineering,0102 Applied Mathematics,0905 Civil Engineering,01 Mathematical Sciences,0907 Environmental Engineering
11,100,pub.1001567588,10.1002/wat2.1140,,,Estimating the spatial distribution of snow water equivalent in the world's mountains,Wiley Interdisciplinary Reviews Water,,,2016-05,2016,3,3,461-474,Closed,Article,"Dozier, Jeff; Bair, Edward H.; Davis, Robert E.",,"Dozier, Jeff (University of California, Santa Barbara); Bair, Edward H. (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory)",45,31,,11.11,,https://app.dimensions.ai/details/publication/pub.1001567588,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,100,pub.1014456120,10.1016/j.coldregions.2015.06.021,,,Using 2m Extended Column Tests to assess slope stability,Cold Regions Science and Technology,,,2015-12,2015,120,,191-196,All OA; Gold,Article,"Bair, Edward H.; Simenhois, Ron; van Herwijnen, Alec; Birkeland, Karl W.","Bair, Edward H.","Bair, Edward H. (University of California, Santa Barbara; Cold Regions Research and Engineering Laboratory); Simenhois, Ron (); van Herwijnen, Alec (Swiss Federal Institute for Forest, Snow and Landscape Research); Birkeland, Karl W. (US Forest Service)",1,0,,0.29,https://manuscript.elsevier.com/S0165232X15001500/pdf/S0165232X15001500.pdf,https://app.dimensions.ai/details/publication/pub.1014456120,0905 Civil Engineering; 0911 Maritime Engineering; 09 Engineering; 0904 Chemical Engineering,0905 Civil Engineering,0911 Maritime Engineering,09 Engineering,0904 Chemical Engineering,
13,100,pub.1046240636,10.3389/feart.2015.00058,,,CUES—a study site for measuring snowpack energy balance in the Sierra Nevada,Frontiers in Earth Science,,,2015-09-30,2015,3,,58,All OA; Gold,Article,"Bair, Edward H.; Dozier, Jeff; Davis, Robert E.; Colee, Michael T.; Claffey, Keran J.",,"Bair, Edward H. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Colee, Michael T. (University of California, Santa Barbara); Claffey, Keran J. (Cold Regions Research and Engineering Laboratory)",12,7,,2.24,https://www.frontiersin.org/articles/10.3389/feart.2015.00058/pdf,https://app.dimensions.ai/details/publication/pub.1046240636,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
14,100,pub.1052416749,10.5194/tc-8-1407-2014,,,The influence of edge effects on crack propagation in snow stability tests,The Cryosphere,,,2014-08-05,2014,8,4,1407-1418,All OA; Gold,Article,"Bair, E. H.; Simenhois, R.; van Herwijnen, A.; Birkeland, K.",,"Bair, E. H. (Cold Regions Research and Engineering Laboratory; University of California, Santa Barbara); Simenhois, R. (); van Herwijnen, A. (Swiss Federal Institute for Forest, Snow and Landscape Research); Birkeland, K. (US Forest Service)",10,3,,1.47,https://www.the-cryosphere.net/8/1407/2014/tc-8-1407-2014.pdf,https://app.dimensions.ai/details/publication/pub.1052416749,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
15,100,pub.1033554971,10.5194/tcd-8-229-2014,,,The influence of edge effects on crack propagation in snow stability tests,The Cryosphere Discussions,,,2014-01-09,2014,8,1,229-257,All OA; Gold,Article,"Bair, E. H.; Simenhois, R.; van Herwijnen, A.; Birkeland, K.",,"Bair, E. H. (Cold Regions Research and Engineering Laboratory; University of California, Santa Barbara); Simenhois, R. (); van Herwijnen, A. (Swiss Federal Institute for Forest, Snow and Landscape Research); Birkeland, K. (US Forest Service)",1,0,,0.28,https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A3097/datastream/PDF/view,https://app.dimensions.ai/details/publication/pub.1033554971,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
