,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Hallie C Eakin. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1122411973,10.1007/s11625-019-00749-x,,,Transformative spaces in the making: key lessons from nine cases in the Global South,Sustainability Science,,,11/8/19,2019,,,18-Jan,Closed,Article,"Pereira, Laura; Frantzeskaki, Niki; Hebinck, Aniek; Charli-Joseph, Lakshmi; Drimie, Scott; Dyer, Michelle; Eakin, Hallie; Galafassi, Diego; Karpouzoglou, Timos; Marshall, Fiona; Moore, Michele-Lee; Olsson, Per; Siqueiros-García, J. Mario; van Zwanenberg, Patrick; Vervoort, Joost M.","Pereira, Laura","Pereira, Laura (Stellenbosch University; City, University of London; Stockholm University); Frantzeskaki, Niki (Swinburne University of Technology); Hebinck, Aniek (Erasmus University Rotterdam); Charli-Joseph, Lakshmi (National Autonomous University of Mexico); Drimie, Scott (Stellenbosch University); Dyer, Michelle (Stockholm University; James Cook University); Eakin, Hallie (Arizona State University); Galafassi, Diego (Stockholm University); Karpouzoglou, Timos (Royal Institute of Technology); Marshall, Fiona (University of Sussex); Moore, Michele-Lee (Stockholm University); Olsson, Per (Stockholm University); Siqueiros-García, J. Mario (National Autonomous University of Mexico); van Zwanenberg, Patrick (National University of General San Martín); Vervoort, Joost M. (Utrecht University; University of Oxford; Research Institute for Humanity and Nature)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122411973,16 Studies in Human Society; 1601 Anthropology,16 Studies in Human Society,1601 Anthropology,,,
2,100,pub.1122257988,10.3389/frsc.2019.00004,,,"Mental Models, Meta-Narratives, and Solution Pathways Associated With Socio-Hydrological Risk and Response in Mexico City",Frontiers in Sustainable Cities,,,11/1/19,2019,1,,4,Closed,Article,"Eakin, Hallie; Siqueiros-García, J. Mario; Hernández-Aguilar, Bertha; Shelton, Rebecca; Bojórquez-Tapia, Luis A.",,"Eakin, Hallie (Arizona State University); Siqueiros-García, J. Mario (National Autonomous University of Mexico); Hernández-Aguilar, Bertha (National Autonomous University of Mexico); Shelton, Rebecca (Arizona State University); Bojórquez-Tapia, Luis A. (National Autonomous University of Mexico)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122257988,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
3,100,pub.1121656873,10.1016/j.cosust.2019.08.003,,,Advancing the research agenda on food systems governance and transformation,Current Opinion in Environmental Sustainability,,,2019-08,2019,39,,94-102,Closed,Article,"van Bers, Caroline; Delaney, Aogán; Eakin, Hallie; Cramer, Laura; Purdon, Mark; Oberlack, Christoph; Evans, Tom; Pahl-Wostl, Claudia; Eriksen, Siri; Jones, Lindsey; Korhonen-Kurki, Kaisa; Vasileiou, Ioannis",,"van Bers, Caroline (Osnabrück University); Delaney, Aogán (); Eakin, Hallie (Arizona State University); Cramer, Laura (); Purdon, Mark (); Oberlack, Christoph (University of Bern); Evans, Tom (University of Arizona); Pahl-Wostl, Claudia (Osnabrück University); Eriksen, Siri (Norwegian University of Life Sciences); Jones, Lindsey (London School of Economics and Political Science); Korhonen-Kurki, Kaisa (University of Helsinki); Vasileiou, Ioannis (World Bank)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121656873,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
4,500,pub.1113706083,10.1016/j.jenvman.2019.03.138,31030122,,"Operationalizing the feedback between institutional decision-making, socio-political infrastructure, and environmental risk in urban vulnerability analysis.",Journal of Environmental Management,,Cities; Climate Change; Decision Making; Floods; Mexico,2019-07,2019,241,,407-417,Closed,Article,"Baeza, Andres; Bojorquez-Tapia, Luis A; Janssen, Marco A; Eakin, Hallie",,"Baeza, Andres (); Bojorquez-Tapia, Luis A (National Autonomous University of Mexico); Janssen, Marco A (Arizona State University); Eakin, Hallie (Arizona State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113706083,14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1605 Policy and Administration; 1402 Applied Economics,14 Economics,16 Studies in Human Society,1604 Human Geography,1605 Policy and Administration,1402 Applied Economics
5,100,pub.1113786291,10.1016/j.ancene.2019.100209,,,"Intentional Disruption of Path-dependencies in the Anthropocene: Gray versus Green Water Infrastructure Regimes in Mexico City, Mexico",Anthropocene,,,2019-06,2019,26,,100209,Closed,Article,"Manuel-Navarrete, David; Morehart, Christopher; Tellman, Beth; Eakin, Hallie; Siqueiros-García, J. Mario; Aguilar, Bertha Hernández","Manuel-Navarrete, David","Manuel-Navarrete, David (Arizona State University); Morehart, Christopher (); Tellman, Beth (Arizona State University); Eakin, Hallie (Arizona State University); Siqueiros-García, J. Mario (National Autonomous University of Mexico); Aguilar, Bertha Hernández (National Autonomous University of Mexico)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113786291,0499 Other Earth Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0499 Other Earth Sciences,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
6,100,pub.1114236184,10.18174/sesmo.2019a16129,,,Spatially-explicit simulation of two-way coupling of complex socio-environmental systems: Socio-hydrological risk and decision making in Mexico City,Socio-Environmental Systems Modeling,,,5/14/19,2019,1,,16129,All OA; Gold,Article,"Bojórquez-Tapia, Luis A.; Janssen, Marco; Eakin, Hallie; Baeza, Andres; Serrano-Candela, Fidel; Gómez-Priego, Paola; Miquelajauregui, Yosune",,"Bojórquez-Tapia, Luis A. (); Janssen, Marco (); Eakin, Hallie (); Baeza, Andres (); Serrano-Candela, Fidel (); Gómez-Priego, Paola (); Miquelajauregui, Yosune ()",0,0,,,https://library.wur.nl/ojs/index.php/sesmo/article/view/16129/15779,https://app.dimensions.ai/details/publication/pub.1114236184,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
7,100,pub.1111821864,10.1016/j.ocecoaman.2019.01.020,,,Examination of coastal vulnerability framings at multiple levels of governance using spatial MCDA approach,Ocean & Coastal Management,,,2019-04,2019,171,Glob. Environ. Chang. 15 2 2005,66-79,Closed,Article,"Ishtiaque, Asif; Eakin, Hallie; Chhetri, Netra; Myint, Soe W.; Dewan, Ashraf; Kamruzzaman, Mohammad","Ishtiaque, Asif","Ishtiaque, Asif (Arizona State University); Eakin, Hallie (Arizona State University); Chhetri, Netra (Arizona State University); Myint, Soe W. (Arizona State University); Dewan, Ashraf (Curtin University); Kamruzzaman, Mohammad ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1111821864,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
8,100,pub.1112942113,10.5304/jafscd.2019.084.010,,,What Can Be: Stakeholder Perspectives for a Sustainable Food System,Journal of Agriculture Food Systems and Community Development,,,3/22/19,2019,8,4,22-Jan,All OA; Gold,Article,"Garcia-Gonzalez, Jesus; Eakin, Hallie",,"Garcia-Gonzalez, Jesus (Arizona State University); Eakin, Hallie (Arizona State University)",0,0,,,https://www.foodsystemsjournal.org/index.php/fsj/article/download/683/669,https://app.dimensions.ai/details/publication/pub.1112942113,,,,,,
9,100,pub.1111152713,10.1007/s11069-018-3560-0,,,"Cryospheric hazards and risk perceptions in the Sagarmatha (Mt. Everest) National Park and Buffer Zone, Nepal",Natural Hazards,,,2019-03,2019,96,2,607-626,Closed,Article,"Sherpa, Sonam Futi; Shrestha, Milan; Eakin, Hallie; Boone, Christopher G.","Shrestha, Milan","Sherpa, Sonam Futi (Arizona State University); Shrestha, Milan (Arizona State University); Eakin, Hallie (Arizona State University); Boone, Christopher G. (Arizona State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111152713,17 Psychology and Cognitive Sciences; 0406 Physical Geography and Environmental Geoscience; 1701 Psychology; 04 Earth Sciences; 0401 Atmospheric Sciences,17 Psychology and Cognitive Sciences,0406 Physical Geography and Environmental Geoscience,1701 Psychology,04 Earth Sciences,0401 Atmospheric Sciences
