,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jacob N Israelachvili. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1122550043,10.1021/jacs.9b04337,31771333,,Impact of Molecular Architecture and Adsorption Density on Adhesion of Mussel-Inspired Surface Primers with Catechol-Cation Synergy.,Journal of the American Chemical Society,,,11/27/19,2019,141,47,18673-18681,Closed,Article,"Degen, George D; Stow, Parker R; Lewis, Robert B; Andresen Eguiluz, Roberto C; Valois, Eric; Kristiansen, Kai; Butler, Alison; Israelachvili, Jacob N",,"Degen, George D (); Stow, Parker R (); Lewis, Robert B (); Andresen Eguiluz, Roberto C (); Valois, Eric (); Kristiansen, Kai (); Butler, Alison (); Israelachvili, Jacob N ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122550043,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
2,500,pub.1121386826,10.1021/acs.langmuir.9b02037,31568721,,Surface Damage Influences the JKR Contact Mechanics of Glassy Low-Molecular-Weight Polystyrene Films.,Langmuir,,,10/14/19,2019,,,,Closed,Article,"Degen, George D; Cristiani, Thomas R; Cadirov, Nicholas; Andresen Eguiluz, Roberto C; Kristiansen, Kai; Pitenis, Angela A; Israelachvili, Jacob N",,"Degen, George D (); Cristiani, Thomas R (); Cadirov, Nicholas (); Andresen Eguiluz, Roberto C (); Kristiansen, Kai (); Pitenis, Angela A (); Israelachvili, Jacob N ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121386826,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
3,500,pub.1120602885,10.1021/acs.langmuir.9b02043,31454249,,Electrochemically Enhanced Dissolution of Silica and Alumina in Alkaline Environments.,Langmuir,,,8/27/19,2019,,,,Closed,Article,"Dobbs, Howard A; Degen, George D; Berkson, Zachariah J; Kristiansen, Kai; Schrader, Alex M; Oey, Tandré; Sant, Gaurav; Chmelka, Bradley F; Israelachvili, Jacob N",,"Dobbs, Howard A (); Degen, George D (); Berkson, Zachariah J (); Kristiansen, Kai (); Schrader, Alex M (); Oey, Tandré (); Sant, Gaurav (); Chmelka, Bradley F (); Israelachvili, Jacob N ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120602885,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
4,500,pub.1120109433,10.1021/acs.langmuir.9b02033,31379172,,Automated Measurement of Spatially Resolved Hair-Hair Single Fiber Adhesion.,Langmuir,,,8/16/19,2019,,,,Closed,Article,"Cristiani, Thomas R; Cadirov, Nicholas A; Zhang, Zhanping; Shi, Zhiwei; Bureiko, Andrei; Andresen Eguiluz, Roberto C; Kristiansen, Kai; Scott, Jeffrey; Meinert, Knut; Koenig, Peter H; Israelachvili, Jacob N",,"Cristiani, Thomas R (); Cadirov, Nicholas A (); Zhang, Zhanping (Procter & Gamble (United States)); Shi, Zhiwei (Procter & Gamble (United States)); Bureiko, Andrei (Procter & Gamble (United States)); Andresen Eguiluz, Roberto C (); Kristiansen, Kai (); Scott, Jeffrey (); Meinert, Knut (Procter & Gamble (Germany)); Koenig, Peter H (Procter & Gamble (United States)); Israelachvili, Jacob N ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120109433,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
5,500,pub.1120004122,10.1021/acs.langmuir.9b01808,31362502,,Multimodal Miniature Surface Forces Apparatus (μSFA) for Interfacial Science Measurements.,Langmuir,,,8/9/19,2019,,,,Closed,Article,"Kristiansen, Kai; Donaldson, Stephen H; Berkson, Zachariah J; Scott, Jeffrey; Su, Rongxin; Banquy, Xavier; Lee, Dong Woog; de Aguiar, Hilton B; McGraw, Joshua D; Degen, George D; Israelachvili, Jacob N",,"Kristiansen, Kai (University of California, Santa Barbara); Donaldson, Stephen H (French National Centre for Scientific Research); Berkson, Zachariah J (University of California, Santa Barbara); Scott, Jeffrey (); Su, Rongxin (Tianjin University); Banquy, Xavier (University of Montreal); Lee, Dong Woog (Ulsan National Institute of Science and Technology); de Aguiar, Hilton B (French National Centre for Scientific Research); McGraw, Joshua D (French National Centre for Scientific Research; ESPCI Paris); Degen, George D (University of California, Santa Barbara); Israelachvili, Jacob N (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120004122,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
6,100,pub.1118870968,,,,"A Multi-Modal Miniature Surface Forces Apparatus (uSFA) for Interfacial
  Science Measurements",arXiv,,,6/14/19,2019,,,,"All OA; Green, Accepted & Submitted",Preprint,"Kristiansen, Kai; Donaldson, Stephen H.; Berkson, Zachariah J.; Scott, Jeffrey; Su, Rongxin; Banquy, Xavier; Lee, Dong Woog; de Aguiar, Hilton B.; McGraw, Joshua D.; Degen, George D.; Israelachvili, Jacob N.",,"Kristiansen, Kai (); Donaldson, Stephen H. (); Berkson, Zachariah J. (); Scott, Jeffrey (); Su, Rongxin (); Banquy, Xavier (); Lee, Dong Woog (); de Aguiar, Hilton B. (); McGraw, Joshua D. (); Degen, George D. (); Israelachvili, Jacob N. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118870968,02 Physical Sciences; 03 Chemical Sciences; 0299 Other Physical Sciences; 0306 Physical Chemistry (incl. Structural),02 Physical Sciences,03 Chemical Sciences,0299 Other Physical Sciences,0306 Physical Chemistry (incl. Structural),
7,500,pub.1110509872,10.1021/acsami.8b16849,30525414,,"Triple Function Lubricant Additives Based on Organic-Inorganic Hybrid Star Polymers: Friction Reduction, Wear Protection, and Viscosity Modification.",ACS Applied Materials & Interfaces,,,1/9/19,2019,11,1,1363-1375,Closed,Article,"van Ravensteijn, Bas G P; Bou Zerdan, Raghida; Seo, Dongjin; Cadirov, Nicholas; Watanabe, Takumi; Gerbec, Jeffrey A; Hawker, Craig J; Israelachvili, Jacob N; Helgeson, Matthew E",,"van Ravensteijn, Bas G P (); Bou Zerdan, Raghida (); Seo, Dongjin (); Cadirov, Nicholas (); Watanabe, Takumi (); Gerbec, Jeffrey A (); Hawker, Craig J (); Israelachvili, Jacob N (); Helgeson, Matthew E ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110509872,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0912 Materials Engineering; 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,0303 Macromolecular and Materials Chemistry,03 Chemical Sciences
8,500,pub.1110346250,10.1021/acs.langmuir.8b02711,30509072,,Time-Dependent Physicochemical Changes of Carbonate Surfaces from SmartWater (Diluted Seawater) Flooding Processes for Improved Oil Recovery.,Langmuir,,,1/8/19,2019,35,1,41-50,Closed,Article,"Chen, Szu-Ying; Kristiansen, Kai; Seo, Dongjin; Cadirov, Nicholas A; Dobbs, Howard A; Kaufman, Yair; Schrader, Alex M; Andresen Eguiluz, Roberto C; Alotaibi, Mohammed B; Ayirala, Subhash C; Boles, James R; Yousef, Ali A; Israelachvili, Jacob N",,"Chen, Szu-Ying (); Kristiansen, Kai (); Seo, Dongjin (); Cadirov, Nicholas A (); Dobbs, Howard A (); Kaufman, Yair (); Schrader, Alex M (); Andresen Eguiluz, Roberto C (); Alotaibi, Mohammed B (Saudi Aramco (Saudi Arabia)); Ayirala, Subhash C (Saudi Aramco (Saudi Arabia)); Boles, James R (); Yousef, Ali A (Saudi Aramco (Saudi Arabia)); Israelachvili, Jacob N ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1110346250,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0914 Resources Engineering and Extractive Metallurgy,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
9,200,pub.1110204640,10.1021/acs.jpcc.8b08343,,,Isothermal Stimulation of Mineral Dissolution Processes by Acoustic Perturbation,The Journal of Physical Chemistry C,,,12/20/18,2018,122,50,28665-28673,Closed,Article,"Wei, Zongsu; Hsiao, Yi-Hsuan; Chen, Xin; La Plante, Erika Callagon; Mehdipour, Iman; Simonetti, Dante; Neithalath, Narayanan; Pilon, Laurent; Bauchy, Mathieu; Israelachvili, Jacob; Sant, Gaurav",,"Wei, Zongsu (University of California Los Angeles); Hsiao, Yi-Hsuan (University of California Los Angeles); Chen, Xin (University of California Los Angeles); La Plante, Erika Callagon (University of California Los Angeles); Mehdipour, Iman (University of California Los Angeles); Simonetti, Dante (University of California Los Angeles); Neithalath, Narayanan (Arizona State University); Pilon, Laurent (University of California Los Angeles); Bauchy, Mathieu (University of California Los Angeles); Israelachvili, Jacob (University of California, Santa Barbara); Sant, Gaurav (University of California Los Angeles)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110204640,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
