,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is James M Mattinson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,400,pub.1010134941,10.1073/pnas.1609999113,27821756,PMC5127376,Rapid conversion of an oceanic spreading center to a subduction zone inferred from high-precision geochronology,Proceedings of the National Academy of Sciences,,,11/22/16,2016,113,47,e7359-e7366,All OA; Gold,Article,"Keenan, Timothy E.; Encarnación, John; Buchwaldt, Robert; Fernandez, Dan; Mattinson, James; Rasoazanamparany, Christine; Luetkemeyer, P. Benjamin",,"Keenan, Timothy E. (Saint Louis University); Encarnación, John (Saint Louis University); Buchwaldt, Robert (Boston University); Fernandez, Dan (); Mattinson, James (University of California, Santa Barbara); Rasoazanamparany, Christine (Miami University); Luetkemeyer, P. Benjamin (Saint Louis University)",12,9,0.08,3.1,http://www.pnas.org/content/113/47/E7359.full.pdf,https://app.dimensions.ai/details/publication/pub.1010134941,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,200,pub.1025028290,10.1007/978-94-007-6304-3_56,,,Historical Development of Dating Methods,Encyclopedia of Earth Sciences Series,Encyclopedia of Scientific Dating Methods,,2015,2015,,,319-329,Closed,Chapter,"Mattinson, James M.; Balzeau, Antoine; Selby, David; Cumming, Vivien M.; Rooney, Alan D.; Finlay, Alexander J.; Márton, István","Mattinson, James M.","Mattinson, James M. (University of California, Santa Barbara); Balzeau, Antoine (French National Centre for Scientific Research); Selby, David (Durham University); Cumming, Vivien M. (Durham University; Harvard University); Rooney, Alan D. (Harvard University); Finlay, Alexander J. (); Márton, István ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1025028290,,,,,,
3,200,pub.1048373468,10.1007/978-94-007-6326-5_56-3,,,Historical Development (of Dating Methods),,Encyclopedia of Scientific Dating Methods,,2014,2014,,,17-Jan,Closed,Chapter,"Mattinson, James M.",,"Mattinson, James M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1048373468,,,,,,
4,100,pub.1024963751,10.2113/gselements.9.1.53,,,Revolution and Evolution: 100 Years of U–Pb Geochronology,Elements,,,2/1/13,2013,9,1,53-57,All OA; Gold,Article,"Mattinson, James M.",,"Mattinson, James M. ()",15,2,,2.25,http://elements.geoscienceworld.org/content/gselements/9/1/53.full.pdf,https://app.dimensions.ai/details/publication/pub.1024963751,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,100,pub.1019096317,10.1016/j.chemgeo.2012.04.006,,,Multi-step TIMS and CA-TIMS monazite U–Pb geochronology,Chemical Geology,,,2012-06,2012,312,Geological Society of America Bulletin 118 1/2 2006,58-73,Closed,Article,"Peterman, Emily M.; Mattinson, James M.; Hacker, Bradley R.","Peterman, Emily M.","Peterman, Emily M. (University of California, Santa Barbara); Mattinson, James M. (University of California, Santa Barbara); Hacker, Bradley R. (University of California, Santa Barbara)",17,3,,2.8,,https://app.dimensions.ai/details/publication/pub.1019096317,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,200,pub.1058847847,10.1086/662033,,,Timing and Evolution of Cretaceous Island Arc Magmatism in Central Cuba: Implications for the History of Arc Systems in the Northwestern Caribbean,The Journal of Geology,,,2011-11,2011,119,6,619-640,Closed,Article,"Rojas-Agramonte, Y.; Kröner, A.; García-Casco, A.; Somin, M.; Iturralde-Vinent, M.; Mattinson, J. M.; Millán Trujillo, G.; Sukar, K.; Pérez Rodríguez, M.; Carrasquilla, S.; Wingate, M. T. D.; Liu, D. Y.",,"Rojas-Agramonte, Y. (); Kröner, A. (); García-Casco, A. (); Somin, M. (); Iturralde-Vinent, M. (); Mattinson, J. M. (); Millán Trujillo, G. (); Sukar, K. (); Pérez Rodríguez, M. (); Carrasquilla, S. (); Wingate, M. T. D. (); Liu, D. Y. ()",24,4,,2.67,,https://app.dimensions.ai/details/publication/pub.1058847847,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
7,100,pub.1051438620,10.1029/2011eo210003,,,George Robert Tilton (1923–2010),Eos,,,5/24/11,2011,92,21,179-179,All OA; Gold,Article,"Mattinson, James; Hopson, Clifford",,"Mattinson, James (University of California, Santa Barbara); Hopson, Clifford (University of California, Santa Barbara)",0,0,,0,http://onlinelibrary.wiley.com/doi/10.1029/2011EO210003/pdf,https://app.dimensions.ai/details/publication/pub.1051438620,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
8,100,pub.1041070299,10.1139/e10-023,,,Extending the Krogh legacy: development of the CATIMS method for zircon UPb geochronologyThis article is one of a series of papers published in this Special Issue on the theme of Geochronology in honour of Tom Krogh.,Canadian Journal of Earth Sciences,,,2011-02,2011,48,2,95-105,Closed,Article,"Mattinson, James M.",,"Mattinson, James M. (University of California, Santa Barbara)",19,2,,,,https://app.dimensions.ai/details/publication/pub.1041070299,04 Earth Sciences,04 Earth Sciences,,,,
9,100,pub.1003062655,10.1016/j.chemgeo.2010.05.007,,,Analysis of the relative decay constants of 235U and 238U by multi-step CA-TIMS measurements of closed-system natural zircon samples,Chemical Geology,,,2010-08,2010,275,4-Mar,186-198,Closed,Article,"Mattinson, James M.","Mattinson, James M.","Mattinson, James M. (University of California, Santa Barbara)",144,40,,14.83,,https://app.dimensions.ai/details/publication/pub.1003062655,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
10,100,pub.1014754452,10.1029/2009tc002541,,,"Intermediate to felsic middle crust in the accreted Talkeetna arc, the Alaska Peninsula and Kodiak Island, Alaska: An analogue for low‐velocity middle crust in modern arcs",Tectonics,,,2010-06,2010,29,3,,"All OA; Green, Published",Article,"Rioux, Matthew; Mattinson, James; Hacker, Bradley; Kelemen, Peter; Blusztajn, Jurek; Hanghøj, Karen; Gehrels, George",,"Rioux, Matthew (University of California, Santa Barbara; Massachusetts Institute of Technology); Mattinson, James (University of California, Santa Barbara); Hacker, Bradley (University of California, Santa Barbara); Kelemen, Peter (Columbia University); Blusztajn, Jurek (Woods Hole Oceanographic Institution); Hanghøj, Karen (Columbia University; Woods Hole Oceanographic Institution); Gehrels, George (University of Arizona)",42,9,,4.14,http://darchive.mblwhoilibrary.org/bitstream/1912/3876/1/2009TC002541.pdf,https://app.dimensions.ai/details/publication/pub.1014754452,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
11,100,pub.1053025333,10.1016/j.epsl.2008.05.019,,,"Slow exhumation of UHP terranes: Titanite and rutile ages of the Western Gneiss Region, Norway",Earth and Planetary Science Letters,,,2008-08,2008,272,4-Mar,531-540,Closed,Article,"Kylander-Clark, A.R.C.; Hacker, B.R.; Mattinson, J.M.","Kylander-Clark, A.R.C.","Kylander-Clark, A.R.C. (University of California, Santa Barbara); Hacker, B.R. (University of California, Santa Barbara); Mattinson, J.M. (University of California, Santa Barbara)",104,28,,10.16,,https://app.dimensions.ai/details/publication/pub.1053025333,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
12,200,pub.1001773480,10.3126/hjs.v2i4.919,,,Timing of synconvergent extension in NW Himalaya: New geochronological constraints from the Gianbul dome (SE Zanskar),Himalayan Journal of Sciences,,,2/15/08,2008,2,4,232-233,All OA; Gold,Article,"Robyr, Martin; Mattinson, James M; Hacker, Bradley R",,"Robyr, Martin (University of Lausanne); Mattinson, James M (University of California, Santa Barbara); Hacker, Bradley R (University of California, Santa Barbara)",0,0,,,https://www.nepjol.info/index.php/HJS/article/view/919/916,https://app.dimensions.ai/details/publication/pub.1001773480,,,,,,
13,200,pub.1088799020,10.1130/2008.2438(06),,,"Late Jurassic age of oceanic basement at La Désirade Island, Lesser Antilles arc",,"Special Paper 438: Ophiolites, Arcs, and Batholiths: A Tribute to Cliff Hopson",,2008,2008,438,,175-190,Closed,Chapter,"Mattinson, James M.; Pessagno, Emile A.; Montgomery, Homer; Hopson, Clifford A.",,"Mattinson, James M. (); Pessagno, Emile A. (); Montgomery, Homer (); Hopson, Clifford A. ()",15,2,,,,https://app.dimensions.ai/details/publication/pub.1088799020,,,,,,
14,200,pub.1088799015,10.1130/2008.2438(02),,,"New high-precision CA-TIMS U-Pb zircon plateau ages for the Point Sal and San Simeon ophiolite remnants, California Coast Ranges",,"Special Paper 438: Ophiolites, Arcs, and Batholiths: A Tribute to Cliff Hopson",,2008,2008,438,,103-112,Closed,Chapter,"Mattinson, James M.; Hopson, Clifford A.",,"Mattinson, James M. (); Hopson, Clifford A. ()",7,1,,,,https://app.dimensions.ai/details/publication/pub.1088799015,,,,,,
15,200,pub.1088799014,10.1130/2008.2438(01),,,California Coast Range ophiolite: Composite Middle and Late Jurassic oceanic lithosphere,,"Special Paper 438: Ophiolites, Arcs, and Batholiths: A Tribute to Cliff Hopson",,2008,2008,438,,1-101,Closed,Chapter,"Hopson, Clifford A.; Mattinson, James M.; Pessagno, Emile A.; Luyendyk, Bruce P.",,"Hopson, Clifford A. (); Mattinson, James M. (); Pessagno, Emile A. (); Luyendyk, Bruce P. ()",55,9,,,,https://app.dimensions.ai/details/publication/pub.1088799014,,,,,,
16,100,pub.1006075408,10.1130/b25964.1,,,"Magmatic development of an intra-oceanic arc: High-precision U-Pb zircon and whole-rock isotopic analyses from the accreted Talkeetna arc, south-central Alaska",Geological Society of America Bulletin,,,9/1/07,2007,119,10-Sep,1168-1184,Closed,Article,"Rioux, Matthew; Hacker, Bradley; Mattinson, James; Kelemen, Peter; Blusztajn, Jurek; Gehrels, George",,"Rioux, Matthew (University of California, Santa Barbara); Hacker, Bradley (University of California, Santa Barbara); Mattinson, James (University of California, Santa Barbara); Kelemen, Peter (Lamont-Doherty Earth Observatory); Blusztajn, Jurek (Woods Hole Oceanographic Institution); Gehrels, George (University of Arizona)",65,13,,6.41,,https://app.dimensions.ai/details/publication/pub.1006075408,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
