,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is James S Langer. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1106437656,10.1103/physreve.98.023006,30253488,,Thermodynamic analysis of the Livermore molecular-dynamics simulations of dislocation-mediated plasticity,Physical Review E,,,2018-08,2018,98,2,23006,"All OA; Green, Accepted & Submitted",Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",1,1,,,http://arxiv.org/pdf/1805.03763,https://app.dimensions.ai/details/publication/pub.1106437656,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
2,100,pub.1101129481,10.1016/j.scriptamat.2018.02.011,,,Thermodynamic dislocation theory of adiabatic shear banding in steel,Scripta Materialia,,,2018-05,2018,149,Acta Mater. 58 2010,62-65,"All OA; Green, Accepted & Submitted",Article,"Le, K.C.; Tran, T.M.; Langer, J.S.","Le, K.C.","Le, K.C. (Ruhr University Bochum); Tran, T.M. (Ruhr University Bochum); Langer, J.S. (University of California, Santa Barbara)",19,19,,,http://arxiv.org/pdf/1710.05566,https://app.dimensions.ai/details/publication/pub.1101129481,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
3,500,pub.1093129403,10.1103/physreve.96.053005,29347808,,Thermodynamic theory of dislocation-enabled plasticity,Physical Review E,,,2017-11,2017,96,5,53005,All OA; Gold,Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",3,3,0.23,1.09,https://link.aps.org/accepted/10.1103/PhysRevE.96.053005,https://app.dimensions.ai/details/publication/pub.1093129403,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
4,500,pub.1090697100,10.1103/physreve.96.013004,29347159,,Thermodynamic dislocation theory of high-temperature deformation in aluminum and steel,Physical Review E,,,2017-07,2017,96,1,13004,All OA; Gold,Article,"Le, K C; Tran, T M; Langer, J S",,"Le, K C (Ruhr University Bochum); Tran, T M (Ruhr University Bochum); Langer, J S (University of California, Santa Barbara)",17,16,0.83,6.15,https://link.aps.org/accepted/10.1103/PhysRevE.96.013004,https://app.dimensions.ai/details/publication/pub.1090697100,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
5,500,pub.1084198964,10.1103/physreve.95.033004,28415175,,Yielding transitions and grain-size effects in dislocation theory,Physical Review E,,,2017-03,2017,95,3,33004,All OA; Gold,Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",8,6,0.81,,https://link.aps.org/accepted/10.1103/PhysRevE.95.033004,https://app.dimensions.ai/details/publication/pub.1084198964,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
6,500,pub.1083844814,10.1103/physreve.95.013004,28208450,,Thermal effects in dislocation theory. II. Shear banding,Physical Review E,,,2017-01,2017,95,1,13004,All OA; Gold,Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",15,10,1.1,,https://link.aps.org/accepted/10.1103/PhysRevE.95.013004,https://app.dimensions.ai/details/publication/pub.1083844814,09 Engineering; 02 Physical Sciences; 01 Mathematical Sciences,09 Engineering,02 Physical Sciences,01 Mathematical Sciences,,
7,400,pub.1060751096,10.1103/physreve.94.063004,28085419,,Thermal effects in dislocation theory,Physical Review E,,,2016-12,2016,94,6,63004,All OA; Gold,Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",17,11,0.85,4.98,https://link.aps.org/accepted/10.1103/PhysRevE.94.063004,https://app.dimensions.ai/details/publication/pub.1060751096,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
8,400,pub.1060748089,10.1103/physreve.92.032125,26465444,,Statistical thermodynamics of strain hardening in polycrystalline solids,Physical Review E,,,2015-09,2015,92,3,32125,All OA; Gold,Article,"Langer, J S",,"Langer, J S (University of California, Santa Barbara)",25,15,0.71,6.5,https://link.aps.org/accepted/10.1103/PhysRevE.92.032125,https://app.dimensions.ai/details/publication/pub.1060748089,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
9,400,pub.1060747931,10.1103/physreve.92.022209,26382396,,Stick-slip instabilities in sheared granular flow: The role of friction and acoustic vibrations,Physical Review E,,"Acoustics; Friction; Models, Theoretical; Motion; Pressure; Thermodynamics; Vibration",2015-08,2015,92,2,22209,All OA; Gold,Article,"Lieou, Charles K C; Elbanna, Ahmed E; Langer, J S; Carlson, J M",,"Lieou, Charles K C (University of California, Santa Barbara); Elbanna, Ahmed E (); Langer, J S (University of California, Santa Barbara); Carlson, J M (University of California, Santa Barbara)",19,9,0.58,5.02,https://link.aps.org/accepted/10.1103/PhysRevE.92.022209,https://app.dimensions.ai/details/publication/pub.1060747931,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,,,
