,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jamison H Steidl. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113815538,10.1193/070218eqs170dp,,,California Ground Motion Vertical Array Database,Earthquake Spectra,,,2019-04-29,2019,,,,Closed,Article,"Afshari, Kioumars; Stewart, Jonathan P.; Steidl, Jamison H.",,"Afshari, Kioumars (); Stewart, Jonathan P. (); Steidl, Jamison H. ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1113815538,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
2,200,pub.1104656835,10.1061/9780784481455.025,,,"Liquefaction Triggering, Consequences, and Mitigation",,Geotechnical Earthquake Engineering and Soil Dynamics V,,2018-06-07,2018,,,255-263,Closed,Proceeding,"El-Sekelly, W.; Abdou, T.; Dobry, R.; Steidl, J. H.",,"El-Sekelly, W. (); Abdou, T. (); Dobry, R. (); Steidl, J. H. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104656835,,,,,,
3,200,pub.1083923669,10.1061/(asce)gt.1943-5606.0001654,,,Two Case Histories Demonstrating the Effect of Past Earthquakes on Liquefaction Resistance of Silty Sand,Journal of Geotechnical and Geoenvironmental Engineering,,,2017-06,2017,143,6,04017009,Closed,Article,"El-Sekelly, W.; Dobry, R.; Abdoun, T.; Steidl, J. H.",,"El-Sekelly, W. (Mansoura University); Dobry, R. (Rensselaer Polytechnic Institute); Abdoun, T. (Rensselaer Polytechnic Institute); Steidl, J. H. (University of California, Santa Barbara)",5,4,,2,,https://app.dimensions.ai/details/publication/pub.1083923669,0905 Civil Engineering; 09 Engineering; 0907 Environmental Engineering,0905 Civil Engineering,09 Engineering,0907 Environmental Engineering,,
4,100,pub.1017616509,10.1016/j.soildyn.2016.05.007,,,Engineering analysis of measured rotational ground motions at GVDA,Soil Dynamics and Earthquake Engineering,,,2016-08,2016,87,,125-137,All OA; Gold,Article,"Yin, Jianming; Nigbor, Robert L.; Chen, Qingjun; Steidl, Jamison","Nigbor, Robert L.","Yin, Jianming (Tongji University); Nigbor, Robert L. (University of California Los Angeles); Chen, Qingjun (Tongji University); Steidl, Jamison (University of California, Santa Barbara)",19,16,,6.9,https://manuscript.elsevier.com/S0267726116300483/pdf/S0267726116300483.pdf,https://app.dimensions.ai/details/publication/pub.1017616509,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
5,200,pub.1057633399,10.1061/(asce)gt.1943-5606.0001430,,,Centrifuge Modeling of the Effect of Preshaking on the Liquefaction Resistance of Silty Sand Deposits,Journal of Geotechnical and Geoenvironmental Engineering,,,2016-06,2016,142,6,04016012,Closed,Article,"El-Sekelly, W.; Dobry, R.; Abdoun, T.; Steidl, J. H.",,"El-Sekelly, W. (Rensselaer Polytechnic Institute); Dobry, R. (Rensselaer Polytechnic Institute); Abdoun, T. (Rensselaer Polytechnic Institute); Steidl, J. H. (University of California, Santa Barbara)",20,14,,5.83,,https://app.dimensions.ai/details/publication/pub.1057633399,0905 Civil Engineering; 09 Engineering; 0907 Environmental Engineering,0905 Civil Engineering,09 Engineering,0907 Environmental Engineering,,
6,100,pub.1068471952,10.1785/0120140209,,,In Situ Assessment of the G–γ Curve for Characterizing the Nonlinear Response of Soil: Application to the Garner Valley Downhole Array and the Wildlife Liquefaction ArrayIn situ Assessment of the G–γ Curve for Characterizing the Nonlinear Response of Soil,Bulletin of the Seismological Society of America,,,2015-04,2015,105,2A,993-1010,Closed,Article,"Chandra, Johanes; Guéguen, Philippe; Steidl, Jamison H.; Bonilla, Luis Fabian",,"Chandra, Johanes (Institute of Earth Science); Guéguen, Philippe (Institute of Earth Science); Steidl, Jamison H. (University of California, Santa Barbara); Bonilla, Luis Fabian (Paris 12 Val de Marne University)",16,9,,3.28,,https://app.dimensions.ai/details/publication/pub.1068471952,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,200,pub.1057632163,10.1061/(asce)gt.1943-5606.0000192,,,"Closure to “SPT Hammer Energy Ratio versus Drop Height” by T. Leslie Youd, Hannah W. Bartholomew, and Jamison H. Steidl",Journal of Geotechnical and Geoenvironmental Engineering,,,2009-11,2009,135,11,1778-1778,Closed,Article,"Youd, T. Leslie; Bartholomew, Hannah W.; Steidl, Jamison H.",,"Youd, T. Leslie (Brigham Young University; University of California, Santa Barbara); Bartholomew, Hannah W. (Brigham Young University; University of California, Santa Barbara); Steidl, Jamison H. (Brigham Young University; University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1057632163,0905 Civil Engineering; 09 Engineering; 0907 Environmental Engineering,0905 Civil Engineering,09 Engineering,0907 Environmental Engineering,,
8,100,pub.1050795627,10.1785/0120080031,,,Quantifying Nonlinearity Susceptibility via Site-Response Modeling Uncertainty at Three Sites in the Los Angeles BasinQuantifying Nonlinearity Susceptibility via Site-Response Modeling Uncertainty at Three Sites in LA Basin,Bulletin of the Seismological Society of America,,,2008-10-01,2008,98,5,2364-2390,"All OA; Green, Accepted & Submitted",Article,"Assimaki, Dominic; Li, Wei; Steidl, Jamison; Schmedes, Jan",,"Assimaki, Dominic (Georgia Institute of Technology); Li, Wei (Georgia Institute of Technology); Steidl, Jamison (University of California, Santa Barbara); Schmedes, Jan (University of California, Santa Barbara)",23,6,,4.57,https://authors.library.caltech.edu/49032/1/Assimaki%20et%20al.%20-%202008%20-%20Quantifying%20Nonlinearity%20Susceptibility%20via%20Site-Response%20Modeling%20Uncertainty%20at%20Three%20Sites%20in%20the%20Los%20Angele.pdf,https://app.dimensions.ai/details/publication/pub.1050795627,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
9,200,pub.1057619614,10.1061/(asce)1090-0241(2008)134:3(397),,,SPT Hammer Energy Ratio versus Drop Height,Journal of Geotechnical and Geoenvironmental Engineering,,,2008-03,2008,134,3,397-400,Closed,Article,"Youd, T. Leslie; Bartholomew, Hannah W.; Steidl, Jamison H.",,"Youd, T. Leslie (Brigham Young University; University of California, Santa Barbara); Bartholomew, Hannah W. (Brigham Young University; University of California, Santa Barbara); Steidl, Jamison H. (Brigham Young University; University of California, Santa Barbara)",2,1,,0.3,,https://app.dimensions.ai/details/publication/pub.1057619614,0905 Civil Engineering; 09 Engineering; 0907 Environmental Engineering,0905 Civil Engineering,09 Engineering,0907 Environmental Engineering,,
