,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jennifer E Caselle. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1118037191,10.7717/peerj.7279,31341739,PMC6640628,"Marine biodiversity from zero to a thousand meters at Clipperton Atoll (Île de La Passion), Tropical Eastern Pacific",PeerJ,,,7/16/19,2019,7,,e7279,All OA; Gold,Article,"Friedlander, Alan M.; Giddens, Jonatha; Ballesteros, Enric; Blum, Shmulik; Brown, Eric K.; Caselle, Jennifer E.; Henning, Bradley; Jost, Christian; Salinas-de-León, Pelayo; Sala, Enric",,"Friedlander, Alan M. (National Geographic Society; University of Hawaii at Manoa); Giddens, Jonatha (National Geographic Society; University of Hawaii at Manoa); Ballesteros, Enric (Centro de Estudios Avanzados de Blane); Blum, Shmulik (); Brown, Eric K. (); Caselle, Jennifer E. (University of California, Santa Barbara); Henning, Bradley (National Geographic Society); Jost, Christian (University of French Polynesia); Salinas-de-León, Pelayo (National Geographic Society; Charles Darwin Foundation); Sala, Enric (National Geographic Society)",0,0,,,https://peerj.com/articles/7279.pdf,https://app.dimensions.ai/details/publication/pub.1118037191,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
2,200,pub.1111945167,10.3354/esr00947,,,Population assessment of the endemic angelfish Holacanthus limbaughi from Île de La Passion-Clipperton Atoll (Tropical Eastern Pacific),Endangered Species Research,,,3/28/19,2019,38,,171-176,All OA; Gold,Article,"Clua, E; Bessudo, S; Caselle, JE; Chauvet, C; Jost, C; Friedlander, AM",,"Clua, E (); Bessudo, S (); Caselle, JE (); Chauvet, C (); Jost, C (); Friedlander, AM ()",1,1,,,https://www.int-res.com/articles/esr2019/38/n038p171.pdf,https://app.dimensions.ai/details/publication/pub.1111945167,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
3,200,pub.1111591340,10.3354/meps12874,,,Global baselines and benchmarks for fish biomass: comparing remote reefs and fisheries closures,Marine Ecology Progress Series,,,3/7/19,2019,612,,167-192,All OA; Gold,Article,"McClanahan, TR; Schroeder, RE; Friedlander, AM; Vigliola, L; Wantiez, L; Caselle, JE; Graham, NAJ; Wilson, S; Edgar, GJ; Stuart-Smith, RD; Oddenyo, RM; Cinner, JE",,"McClanahan, TR (); Schroeder, RE (); Friedlander, AM (); Vigliola, L (); Wantiez, L (); Caselle, JE (); Graham, NAJ (); Wilson, S (); Edgar, GJ (); Stuart-Smith, RD (); Oddenyo, RM (); Cinner, JE ()",1,1,,,https://www.int-res.com/articles/meps_oa/m612p167.pdf,https://app.dimensions.ai/details/publication/pub.1111591340,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
4,200,pub.1112444984,10.1098/rspb.2019.0246,30963854,PMC6408878,Correction to: ‘Mobile marine predators: an understudied source of nutrients to coral reefs in an unfished atoll’,Proceedings of The Royal Society B Biological Sciences,,,2/27/19,2019,286,1897,20190246,All OA; Gold,Article,"Williams, Jessica J.; Papastamatiou, Yannis P.; Caselle, Jennifer E.; Bradley, Darcy; Jacoby, David M. P.",,"Williams, Jessica J. (); Papastamatiou, Yannis P. (); Caselle, Jennifer E. (); Bradley, Darcy (); Jacoby, David M. P. ()",0,0,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2019.0246,https://app.dimensions.ai/details/publication/pub.1112444984,11 Medical and Health Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,11 Medical and Health Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
5,500,pub.1104690870,10.1186/s40462-018-0127-3,29951206,PMC6011523,Activity seascapes highlight central place foraging strategies in marine predators that never stop swimming,Movement Ecology,,,2018-12,2018,6,1,9,All OA; Gold,Article,"Papastamatiou, Yannis P.; Watanabe, Yuuki Y.; Demšar, Urška; Leos-Barajas, Vianey; Bradley, Darcy; Langrock, Roland; Weng, Kevin; Lowe, Christopher G.; Friedlander, Alan M.; Caselle, Jennifer E.","Demšar, Urška","Papastamatiou, Yannis P. (Florida International University); Watanabe, Yuuki Y. (National Institute of Polar Research; Graduate University For Advanced Studies); Demšar, Urška (University of St Andrews); Leos-Barajas, Vianey (Iowa State University); Bradley, Darcy (University of California, Santa Barbara); Langrock, Roland (Bielefeld University); Weng, Kevin (William & Mary); Lowe, Christopher G. (California State University, Long Beach); Friedlander, Alan M. (University of Hawaii at Manoa; National Geographic Society); Caselle, Jennifer E. (University of California, Santa Barbara)",9,8,,,https://movementecologyjournal.biomedcentral.com/track/pdf/10.1186/s40462-018-0127-3,https://app.dimensions.ai/details/publication/pub.1104690870,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,100,pub.1110965127,10.3160/3850.1,,,Where the Weird Things are: A Collection of Species Range Extensions in the Southern California Bight,Bulletin Southern California Academy of Sciences,,,2018-12,2018,117,3,189-202,"All OA; Green, Accepted & Submitted",Article,"Williams, Jonathan P.; Williams, Chelsea M.; Blanchette, Carol A.; Claisse, JeremyT.; Pondella, Daniel J.; Caselle, Jennifer E.",,"Williams, Jonathan P. (Occidental College); Williams, Chelsea M. (Occidental College; California State Polytechnic University); Blanchette, Carol A. (University of California, Santa Barbara); Claisse, JeremyT. (Occidental College; California State Polytechnic University); Pondella, Daniel J. (Occidental College); Caselle, Jennifer E. (University of California, Santa Barbara)",2,2,,,https://scholar.oxy.edu/cgi/viewcontent.cgi?article=3850&context=scas,https://app.dimensions.ai/details/publication/pub.1110965127,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,100,pub.1108036665,10.3389/fmars.2018.00406,,,Herbivorous Fish Populations Respond Positively to a Shipwreck Removal and Associated Alteration of Benthic Habitat,Frontiers in Marine Science,,,11/6/18,2018,5,,406,All OA; Gold,Article,"Davis, Kathryn; Carlson, Peter M.; Caselle, Jennifer E.",,"Davis, Kathryn (); Carlson, Peter M. (); Caselle, Jennifer E. ()",0,0,,,https://www.frontiersin.org/articles/10.3389/fmars.2018.00406/pdf,https://app.dimensions.ai/details/publication/pub.1108036665,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
8,100,pub.1103655107,10.1111/fog.12269,,,Small scale temporal patterns of recruitment and hatching of Atlantic horse mackerel (L.) at a nearshore reef area,Fisheries Oceanography,,,2018-11,2018,27,6,505-516,Closed,Article,"Klein, Maria; Van Beveren, Elisabeth; Rodrigues, Diana; Serrão, Ester A.; Caselle, Jennifer E.; Gonçalves, Emanuel J.; Borges, Rita",,"Klein, Maria (University of Algarve; Instituto Universitário de Ciências Psicológicas, Sociais e da Vida); Van Beveren, Elisabeth (University of Algarve); Rodrigues, Diana (Instituto Universitário de Ciências Psicológicas, Sociais e da Vida); Serrão, Ester A. (University of Algarve); Caselle, Jennifer E. (University of California, Santa Barbara); Gonçalves, Emanuel J. (Instituto Universitário de Ciências Psicológicas, Sociais e da Vida); Borges, Rita (University of Algarve; Instituto Universitário de Ciências Psicológicas, Sociais e da Vida)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103655107,04 Earth Sciences; 0704 Fisheries Sciences; 0405 Oceanography; 07 Agricultural and Veterinary Sciences,04 Earth Sciences,0704 Fisheries Sciences,0405 Oceanography,07 Agricultural and Veterinary Sciences,
9,100,pub.1112278936,10.3398/064.078.0425,,,"Horizon Scanning: Survey and Research Priorities for Coastal and Marine Systems of the Northern Channel Islands, California",Western North American Naturalist,,,10/25/18,2018,78,4,864-878,Closed,Article,"Gleason, Mary G.; Caselle, Jennifer E.; Caldow, Chris; Galipeau, Russell; Heady, Walter; Laverty, Corinne; Little, Annie; Mazurkiewicz, David; O'Byrne, Eamon; Rosen, Dirk; Whitaker, Stephen",,"Gleason, Mary G. (The Nature Conservancy); Caselle, Jennifer E. (University of California, Santa Barbara); Caldow, Chris (University of California, Santa Barbara); Galipeau, Russell (); Heady, Walter (The Nature Conservancy); Laverty, Corinne (Natural History Museum of Los Angeles County); Little, Annie (United States Fish and Wildlife Service); Mazurkiewicz, David (); O'Byrne, Eamon (The Nature Conservancy); Rosen, Dirk (); Whitaker, Stephen ()",2,2,,,,https://app.dimensions.ai/details/publication/pub.1112278936,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
