,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Joan L Florsheim. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1113987071,10.1525/9780520966321,,,Floodplains,,,,2019-12-31,2019,,,,All OA; Gold,Monograph,"Florsheim, Joan L.; Manfree, Amber D.VE; Moyle, Peter B.; Larsen, Eric W.",,"Florsheim, Joan L. (); Manfree, Amber D.VE (); Moyle, Peter B. (); Larsen, Eric W. ()",0,0,,,https://www.degruyter.com/downloadpdf/books/9780520966321/9780520966321-fm/9780520966321-fm.xml,https://app.dimensions.ai/details/publication/pub.1113987071,,,,,,
2,100,pub.1113204476,10.1130/b35049.1,,,Interacting geomorphic and ecological response of step-pool streams after wildfire,Geological Society of America Bulletin,,,2019-09-01,2019,131,9-10,1480-1500,All OA; Gold,Article,"Chin, Anne; Solverson, Anna P.; O’Dowd, Alison P.; Florsheim, Joan L.; Kinoshita, Alicia M.; Nourbakhshbeidokhti, Samira; Sellers, Samantha M.; Tyner, Lauren; Gidley, Rachel",,"Chin, Anne (University of Colorado Denver); Solverson, Anna P. (University of Colorado Denver); O’Dowd, Alison P. (Humboldt State University); Florsheim, Joan L. (University of California, Santa Barbara); Kinoshita, Alicia M. (San Diego State University); Nourbakhshbeidokhti, Samira (San Diego State University); Sellers, Samantha M. (University of Colorado Denver); Tyner, Lauren (University of Colorado Denver); Gidley, Rachel (University of Colorado Denver)",1,1,,,https://pubs.geoscienceworld.org/gsa/gsabulletin/article-pdf/doi/10.1130/B35049.1/4672849/b35049.pdf,https://app.dimensions.ai/details/publication/pub.1113204476,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
3,100,pub.1112678996,10.3390/rs11050586,,,A Workflow to Estimate Topographic and Volumetric Changes and Errors in Channel Sedimentation after Disturbance,Remote Sensing,,,2019-03-11,2019,11,5,586,All OA; Gold,Article,"Nourbakhshbeidokhti, Samira; Kinoshita, Alicia M.; Chin, Anne; Florsheim, Joan L.",,"Nourbakhshbeidokhti, Samira (San Diego State University); Kinoshita, Alicia M. (San Diego State University); Chin, Anne (University of Colorado Denver); Florsheim, Joan L. (University of California, Santa Barbara)",0,0,,,https://www.mdpi.com/2072-4292/11/5/586/pdf,https://app.dimensions.ai/details/publication/pub.1112678996,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
4,100,pub.1053901130,10.1002/esp.4117,,,"Effect of storms during drought on post‐wildfire recovery of channel sediment dynamics and habitat in the southern California chaparral, USA",Earth Surface Processes and Landforms,,,2017-08,2017,42,10,1482-1492,"All OA; Green, Accepted & Submitted",Article,"Florsheim, Joan L.; Chin, Anne; Kinoshita, Alicia M.; Nourbakhshbeidokhti, Samira",,"Florsheim, Joan L. (University of California, Santa Barbara); Chin, Anne (University of Colorado Denver); Kinoshita, Alicia M. (San Diego State University); Nourbakhshbeidokhti, Samira (San Diego State University)",8,8,,2.84,https://escholarship.org/content/qt8bp9h46q/qt8bp9h46q.pdf?t=olu3eo,https://app.dimensions.ai/details/publication/pub.1053901130,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
5,200,pub.1099589085,10.1130/abs/2017am-302114,,,TEMPORAL CHANGES IN EFFECTIVENESS OF STORM FLOWS IN SOUTHERN CALIFORNIA CHAPARRAL FLUVIAL SYSTEMS AFTER WILDFIRE,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Florsheim, Joan L.; Chin, Anne",,"Florsheim, Joan L. (); Chin, Anne ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099589085,,,,,,
6,100,pub.1052087015,10.1016/j.geomorph.2015.07.030,,,"Investigating feedbacks in human–landscape systems: Lessons following a wildfire in Colorado, USA",Geomorphology,,,2016-01,2016,252,,40-50,Closed,Article,"Chin, Anne; An, Li; Florsheim, Joan L.; Laurencio, Laura R.; Marston, Richard A.; Solverson, Anna P.; Simon, Gregory L.; Stinson, Emily; Wohl, Ellen","Chin, Anne","Chin, Anne (University of Colorado Denver); An, Li (San Diego State University); Florsheim, Joan L. (University of California, Santa Barbara); Laurencio, Laura R. (University of Colorado Denver); Marston, Richard A. (Kansas State University); Solverson, Anna P. (University of Colorado Denver); Simon, Gregory L. (University of Colorado Denver); Stinson, Emily (University of Colorado Denver); Wohl, Ellen (Colorado State University)",9,5,,2.22,,https://app.dimensions.ai/details/publication/pub.1052087015,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
7,100,pub.1021485526,10.1016/j.geomorph.2015.03.035,,,Short-term post-wildfire dry-ravel processes in a chaparral fluvial system,Geomorphology,,,2016-01,2016,252,,32-39,"All OA; Green, Accepted & Submitted",Article,"Florsheim, Joan L.; Chin, Anne; O'Hirok, Linda S.; Storesund, Rune","Florsheim, Joan L.","Florsheim, Joan L. (); Chin, Anne (); O'Hirok, Linda S. (); Storesund, Rune ()",7,4,,1.8,https://escholarship.org/content/qt70t8p4tp/qt70t8p4tp.pdf?t=nxe1pd,https://app.dimensions.ai/details/publication/pub.1021485526,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
8,100,pub.1044592958,10.1016/j.jhydrol.2015.08.012,,,Riverbed Clogging Associated with a California Riverbank Filtration System: An Assessment of Mechanisms and Monitoring Approaches,Journal of Hydrology,,,2015-10,2015,529,Transactions of the AIME 146 1942,1740-1753,"All OA; Green, Accepted & Submitted",Article,"Ulrich, Craig; Hubbard, Susan S.; Florsheim, Joan; Rosenberry, Donald; Borglin, Sharon; Trotta, Marcus; Seymour, Donald","Ulrich, Craig","Ulrich, Craig (Lawrence Berkeley National Laboratory); Hubbard, Susan S. (Lawrence Berkeley National Laboratory); Florsheim, Joan (University of California, Santa Barbara); Rosenberry, Donald (United States Geological Survey); Borglin, Sharon (Lawrence Berkeley National Laboratory); Trotta, Marcus (); Seymour, Donald ()",16,9,,3.28,https://escholarship.org/content/qt64x7z63b/qt64x7z63b.pdf?t=pfk52d,https://app.dimensions.ai/details/publication/pub.1044592958,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1030500363,10.1007/978-1-4939-2380-9_6,,,Promoting Atmospheric-River and Snowmelt-Fueled Biogeomorphic Processes by Restoring River-Floodplain Connectivity in California’s Central Valley,,Geomorphic Approaches to Integrated Floodplain Management of Lowland Fluvial Systems in North America and Europe,,2015,2015,,,119-141,Closed,Chapter,"Florsheim, Joan L.; Dettinger, Michael D.","Florsheim, Joan L.","Florsheim, Joan L. (University of California, Santa Barbara); Dettinger, Michael D. (Scripps Institution of Oceanography)",5,3,,0.96,,https://app.dimensions.ai/details/publication/pub.1030500363,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0602 Ecology; 06 Biological Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0602 Ecology,06 Biological Sciences,
