,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Joel C Michaelsen. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117347740,10.1175/jcli-d-18-0698.1,,,A high-resolution 1983-2016 Tmax climate data record based on InfraRed Temperatures and Stations by the Climate Hazard Center A high-resolution 1983-2016 Tmax climate data record based on InfraRed Temperatures and Stations by the Climate Hazard Center,Journal of Climate,,,2019-09,2019,32,17,5639-5658,Closed,Article,"Funk, Chris; Peterson, Pete; Peterson, Seth; Shukla, Shraddhanand; Davenport, Frank; Michaelsen, Joel; Knapp, Kenneth R.; Landsfeld, Martin; Husak, Gregory; Harrison, Laura; Rowland, James; Budde, Michael; Meiburg, Alex; Dinku, Tufa; Pedreros, Diego; Mata, Nicholas",,"Funk, Chris (United States Geological Survey; University of California, Santa Barbara); Peterson, Pete (University of California, Santa Barbara); Peterson, Seth (University of California, Santa Barbara); Shukla, Shraddhanand (University of California, Santa Barbara); Davenport, Frank (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara); Knapp, Kenneth R. (); Landsfeld, Martin (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Harrison, Laura (University of California, Santa Barbara); Rowland, James (United States Geological Survey); Budde, Michael (United States Geological Survey); Meiburg, Alex (University of California, Santa Barbara); Dinku, Tufa (Columbia University); Pedreros, Diego (United States Geological Survey); Mata, Nicholas (United States Geological Survey)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117347740,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
2,100,pub.1061334287,10.1109/jstars.2016.2569411,,,"Climate-Related Child Undernutrition in the Lake Victoria Basin: An Integrated Spatial Analysis of Health Surveys, NDVI, and Precipitation Data",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2016-06,2016,9,6,2830-2835,All OA; Gold,Article,"Lpez-Carr, David; Mwenda, Kevin M.; Pricope, Narcisa G.; Kyriakidis, Phaedon C.; Jankowska, Marta M.; Weeks, John; Funk, Chris; Husak, Gregory; Michaelsen, Joel",,"Lpez-Carr, David (University of California, Santa Barbara); Mwenda, Kevin M. (University of California, Santa Barbara); Pricope, Narcisa G. (University of North Carolina Wilmington); Kyriakidis, Phaedon C. (Cyprus University of Technology); Jankowska, Marta M. (University of California, San Diego); Weeks, John (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",3,2,,1.09,https://doi.org/10.1109/jstars.2016.2569411,https://app.dimensions.ai/details/publication/pub.1061334287,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0801 Artificial Intelligence and Image Processing; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0801 Artificial Intelligence and Image Processing
3,100,pub.1040278773,10.1007/978-3-319-21650-8_8,,,The East African Monsoon System: Seasonal Climatologies and Recent Variations,Springer Climate,The Monsoons and Climate Change,,2016,2016,,,163-185,Closed,Chapter,"Funk, Chris; Hoell, Andrew; Shukla, Shraddhanand; Husak, Greg; Michaelsen, Joel","Funk, Chris","Funk, Chris (United States Geological Survey; University of California, Santa Barbara); Hoell, Andrew (University of California, Santa Barbara); Shukla, Shraddhanand (University of California, Santa Barbara); Husak, Greg (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",1,1,,0.22,,https://app.dimensions.ai/details/publication/pub.1040278773,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,400,pub.1007951989,10.1038/sdata.2015.66,26646728,PMC4672685,The climate hazards infrared precipitation with stations—a new environmental record for monitoring extremes,Scientific Data,,,2015-12,2015,2,1,150066,All OA; Gold,Article,"Funk, Chris; Peterson, Pete; Landsfeld, Martin; Pedreros, Diego; Verdin, James; Shukla, Shraddhanand; Husak, Gregory; Rowland, James; Harrison, Laura; Hoell, Andrew; Michaelsen, Joel","Funk, Chris","Funk, Chris (United States Geological Survey; University of California, Santa Barbara); Peterson, Pete (University of California, Santa Barbara); Landsfeld, Martin (University of California, Santa Barbara); Pedreros, Diego (United States Geological Survey); Verdin, James (United States Geological Survey); Shukla, Shraddhanand (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Rowland, James (United States Geological Survey); Harrison, Laura (University of California, Santa Barbara); Hoell, Andrew (National Oceanic and Atmospheric Administration); Michaelsen, Joel (University of California, Santa Barbara)",490,378,5.37,73.27,https://www.nature.com/articles/sdata201566.pdf,https://app.dimensions.ai/details/publication/pub.1007951989,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
5,100,pub.1040300184,10.5194/essd-7-275-2015,,,A global satellite-assisted precipitation climatology,Earth System Science Data,,,2015-10-13,2015,7,2,275-287,All OA; Gold,Article,"Funk, C.; Verdin, A.; Michaelsen, J.; Peterson, P.; Pedreros, D.; Husak, G.",,"Funk, C. (United States Geological Survey; University of California, Santa Barbara); Verdin, A. (University of Colorado Boulder); Michaelsen, J. (University of California, Santa Barbara); Peterson, P. (University of California, Santa Barbara); Pedreros, D. (United States Geological Survey; University of California, Santa Barbara); Husak, G. (University of California, Santa Barbara)",54,33,,13.81,https://www.earth-syst-sci-data.net/7/275/2015/essd-7-275-2015.pdf,https://app.dimensions.ai/details/publication/pub.1040300184,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
6,100,pub.1093362790,10.1109/igarss.2015.7326335,,,A Spatial Analysis of Climate-Related Child Malnutrition in the Lake Victoria Basin,,2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2015-07,2015,,,2564-2567,Closed,Proceeding,"Lopez-Carr, David; Mwenda, Kevin M.; Pricope, Narcisa G.; Kyriakidis, Phaedon C.; Jankowska, Marta M.; Weeks, John; Funk, Chris; Husak, Gregory; Michaelsen, Joel",,"Lopez-Carr, David (University of California, Santa Barbara); Mwenda, Kevin M. (University of California, Santa Barbara); Pricope, Narcisa G. (University of California, Santa Barbara); Kyriakidis, Phaedon C. (University of California, Santa Barbara); Jankowska, Marta M. (University of California, Santa Barbara); Weeks, John (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",5,3,,1.52,,https://app.dimensions.ai/details/publication/pub.1093362790,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
7,100,pub.1015280674,10.5194/essdd-8-401-2015,,,A global satellite assisted precipitation climatology,Earth System Science Data Discussions,,,2015-05-12,2015,8,1,401-425,All OA; Gold,Article,"Funk, C.; Verdin, A.; Michaelsen, J.; Peterson, P.; Pedreros, D.; Husak, G.",,"Funk, C. (United States Geological Survey; University of California, Santa Barbara); Verdin, A. (University of Colorado Boulder); Michaelsen, J. (University of California, Santa Barbara); Peterson, P. (University of California, Santa Barbara); Pedreros, D. (United States Geological Survey; University of California, Santa Barbara); Husak, G. (University of California, Santa Barbara)",13,6,,3.32,https://doi.org/10.5194/essdd-8-401-2015,https://app.dimensions.ai/details/publication/pub.1015280674,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
8,100,pub.1016841728,10.1002/2015gl063266,,,Urbanization causes increased cloud base height and decreased fog in coastal Southern California,Geophysical Research Letters,,,2015-03-16,2015,42,5,1527-1536,All OA; Gold,Article,"Williams, A. Park; Schwartz, Rachel E.; Iacobellis, Sam; Seager, Richard; Cook, Benjamin I.; Still, Christopher J.; Husak, Gregory; Michaelsen, Joel",,"Williams, A. Park (Lamont-Doherty Earth Observatory); Schwartz, Rachel E. (University of California, San Diego); Iacobellis, Sam (University of California, San Diego); Seager, Richard (Lamont-Doherty Earth Observatory); Cook, Benjamin I. (Lamont-Doherty Earth Observatory; Goddard Institute for Space Studies); Still, Christopher J. (Oregon State University); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",38,21,,7.45,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GL063266,https://app.dimensions.ai/details/publication/pub.1016841728,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,100,pub.1027923272,10.1007/s11111-014-0209-0,,,A spatial analysis of population dynamics and climate change in Africa: potential vulnerability hot spots emerge where precipitation declines and demographic pressures coincide,Population and Environment,,,2014-03,2014,35,3,323-339,Closed,Article,"López-Carr, David; Pricope, Narcisa G.; Aukema, Juliann E.; Jankowska, Marta M.; Funk, Christopher; Husak, Gregory; Michaelsen, Joel","López-Carr, David","López-Carr, David (University of California, Santa Barbara); Pricope, Narcisa G. (University of North Carolina Wilmington); Aukema, Juliann E. (University of California, Santa Barbara); Jankowska, Marta M. (University of California, San Diego); Funk, Christopher (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",27,13,,,,https://app.dimensions.ai/details/publication/pub.1027923272,16 Studies in Human Society; 05 Environmental Sciences; 14 Economics,16 Studies in Human Society,05 Environmental Sciences,14 Economics,,
10,100,pub.1035344302,10.1016/j.gloenvcha.2013.10.002,,,The climate-population nexus in the East African Horn: Emerging degradation trends in rangeland and pastoral livelihood zones,Global Environmental Change,,,2013-12,2013,23,6,1525-1541,Closed,Article,"Pricope, Narcisa G.; Husak, Gregory; Lopez-Carr, David; Funk, Christopher; Michaelsen, Joel","Pricope, Narcisa G.","Pricope, Narcisa G. (University of North Carolina Wilmington); Husak, Gregory (University of California, Santa Barbara); Lopez-Carr, David (University of California, Santa Barbara); Funk, Christopher (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",55,20,,10.29,,https://app.dimensions.ai/details/publication/pub.1035344302,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
11,100,pub.1005405907,10.1007/s00704-013-0838-8,,,Developing seasonal rainfall scenarios for food security early warning,Theoretical and Applied Climatology,,,2013-10,2013,114,1-2,291-302,All OA; Gold,Article,"Husak, Gregory J.; Funk, Christopher C.; Michaelsen, Joel; Magadzire, Tamuka; Goldsberry, Kirk P.","Husak, Gregory J.","Husak, Gregory J. (University of California, Santa Barbara); Funk, Christopher C. (University of California, Santa Barbara; United States Geological Survey); Michaelsen, Joel (University of California, Santa Barbara); Magadzire, Tamuka (Southern African Development Community); Goldsberry, Kirk P. (Michigan State University)",11,2,,1.22,https://link.springer.com/content/pdf/10.1007%2Fs00704-013-0838-8.pdf,https://app.dimensions.ai/details/publication/pub.1005405907,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
12,100,pub.1039974816,10.5194/hessd-10-7963-2013,,,Estimating Sahelian and East African soil moisture using the Normalized Difference Vegetation Index,Hydrology and Earth System Sciences Discussions,,,2013-06-21,2013,10,6,7963-7997,All OA; Gold,Article,"McNally, A.; Funk, C.; Husak, G. J.; Michaelsen, J.; Cappelaere, B.; Demarty, J.; Pellarin, T.; Young, T. P.; Caylor, K. K.; Riginos, C.; Veblen, K. E.",,"McNally, A. (University of California, Santa Barbara); Funk, C. (University of California, Santa Barbara); Husak, G. J. (University of California, Santa Barbara); Michaelsen, J. (University of California, Santa Barbara); Cappelaere, B. (Institute of Research for Development); Demarty, J. (Institute of Research for Development); Pellarin, T. (Grenoble Alpes University); Young, T. P. (University of California, Davis); Caylor, K. K. (Princeton University); Riginos, C. (Smithsonian Conservation Biology Institute); Veblen, K. E. (Utah State University)",4,2,,0.67,https://doi.org/10.5194/hessd-10-7963-2013,https://app.dimensions.ai/details/publication/pub.1039974816,09 Engineering; 0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0907 Environmental Engineering,09 Engineering,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences
13,100,pub.1011061224,10.5194/hess-17-1079-2013,,,Improving operational land surface model canopy evapotranspiration in Africa using a direct remote sensing approach,Hydrology and Earth System Sciences,,,2013-03-12,2013,17,3,1079-1091,All OA; Gold,Article,"Marshall, M.; Tu, K.; Funk, C.; Michaelsen, J.; Williams, P.; Williams, C.; Ardö, J.; Boucher, M.; Cappelaere, B.; de Grandcourt, A.; Nickless, A.; Nouvellon, Y.; Scholes, R.; Kutsch, W.",,"Marshall, M. (University of California, Santa Barbara); Tu, K. (University of California, Berkeley); Funk, C. (University of California, Santa Barbara); Michaelsen, J. (University of California, Santa Barbara); Williams, P. (University of California, Santa Barbara); Williams, C. (Clark University); Ardö, J. (Lund University); Boucher, M. (Institute of Research for Development); Cappelaere, B. (Institute of Research for Development); de Grandcourt, A. (French Agricultural Research Centre for International Development); Nickless, A. (Council for Scientific and Industrial Research); Nouvellon, Y. (French Agricultural Research Centre for International Development); Scholes, R. (Council for Scientific and Industrial Research); Kutsch, W. ()",24,4,,4.47,https://www.hydrol-earth-syst-sci.net/17/1079/2013/hess-17-1079-2013.pdf,https://app.dimensions.ai/details/publication/pub.1011061224,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
14,100,pub.1008934330,10.1007/s00382-011-1222-y,,,Recent summer precipitation trends in the Greater Horn of Africa and the emerging role of Indian Ocean sea surface temperature,Climate Dynamics,,,2012-11,2012,39,9-10,2307-2328,All OA; Gold,Article,"Williams, A. Park; Funk, Chris; Michaelsen, Joel; Rauscher, Sara A.; Robertson, Iain; Wils, Tommy H. G.; Koprowski, Marcin; Eshetu, Zewdu; Loader, Neil J.","Williams, A. Park","Williams, A. Park (Los Alamos National Laboratory; University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara; United States Geological Survey); Michaelsen, Joel (University of California, Santa Barbara); Rauscher, Sara A. (Los Alamos National Laboratory); Robertson, Iain (Swansea University); Wils, Tommy H. G. (); Koprowski, Marcin (Nicolaus Copernicus University); Eshetu, Zewdu (Ethiopian Institute of Agricultural Research); Loader, Neil J. (Swansea University)",82,30,,10.48,https://link.springer.com/content/pdf/10.1007%2Fs00382-011-1222-y.pdf,https://app.dimensions.ai/details/publication/pub.1008934330,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,
15,100,pub.1026826789,10.1007/s00382-012-1299-y,,,Examining evapotranspiration trends in Africa,Climate Dynamics,,,2012-05,2012,38,9-10,1849-1865,Closed,Article,"Marshall, Michael; Funk, Christopher; Michaelsen, Joel","Marshall, Michael","Marshall, Michael (University of California, Santa Barbara); Funk, Christopher (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",26,11,,2.67,,https://app.dimensions.ai/details/publication/pub.1026826789,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
16,100,pub.1012915596,10.1016/j.apgeog.2011.05.014,,,Using high resolution satellite imagery to estimate cropped area in Guatemala and Haiti,Applied Geography,,,2012-03,2012,32,2,433-440,Closed,Article,"Grace, K.; Husak, G.J.; Harrison, L.; Pedreros, D.; Michaelsen, J.","Grace, K.","Grace, K. (University of California, Santa Barbara); Husak, G.J. (University of California, Santa Barbara); Harrison, L. (University of California, Santa Barbara); Pedreros, D. (University of California, Santa Barbara); Michaelsen, J. (University of California, Santa Barbara)",12,2,,2.8,,https://app.dimensions.ai/details/publication/pub.1012915596,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
17,100,pub.1022555890,10.5194/hessd-9-1547-2012,,,Combining surface reanalysis and remote sensing data for monitoring evapotranspiration,Hydrology and Earth System Sciences Discussions,,,2012-02-02,2012,9,2,1547-1587,All OA; Gold,Article,"Marshall, M.; Tu, K.; Funk, C.; Michaelsen, J.; Williams, P.; Williams, C.; Ardö, J.; Marie, B.; Cappelaere, B.; Grandcourt, A.; Nickless, A.; Nouvellon, Y.; Scholes, R.; Kutsch, W.",,"Marshall, M. (University of California, Santa Barbara); Tu, K. (University of California, Berkeley); Funk, C. (University of California, Santa Barbara); Michaelsen, J. (University of California, Santa Barbara); Williams, P. (University of California, Santa Barbara); Williams, C. (Clark University); Ardö, J. (Lund University); Marie, B. (Institute of Research for Development); Cappelaere, B. (Institute of Research for Development); Grandcourt, A. (French Agricultural Research Centre for International Development); Nickless, A. (Council for Scientific and Industrial Research); Nouvellon, Y. (French Agricultural Research Centre for International Development); Scholes, R. (Council for Scientific and Industrial Research); Kutsch, W. ()",2,0,,0.36,http://hydrol-earth-syst-sci-discuss.net/9/1547/2012/hessd-9-1547-2012.pdf,https://app.dimensions.ai/details/publication/pub.1022555890,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1026878751,10.1080/01431161.2010.532168,,,Testing a high-resolution satellite interpretation technique for crop area monitoring in developing countries,International Journal of Remote Sensing,,,2011-12-10,2011,32,23,7997-8012,Closed,Article,"Marshall, M. T.; Husak, G. J.; Michaelsen, J.; Funk, C.; Pedreros, D.; Adoum, A.",,"Marshall, M. T. (University of California, Santa Barbara); Husak, G. J. (University of California, Santa Barbara); Michaelsen, J. (University of California, Santa Barbara); Funk, C. (University of California, Santa Barbara); Pedreros, D. (University of California, Santa Barbara); Adoum, A. ()",15,4,,3.33,,https://app.dimensions.ai/details/publication/pub.1026878751,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
19,200,pub.1071158762,10.3354/cr00979,,,Effects of temperature changes on maize production in Mozambique,Climate Research,,,2011-03-31,2011,46,3,211-222,All OA; Gold,Article,"Harrison, L; Michaelsen, J; Funk, C; Husak, G",,"Harrison, L (); Michaelsen, J (); Funk, C (); Husak, G ()",21,3,,2.73,https://www.int-res.com/articles/cr_oa/c046p211.pdf,https://app.dimensions.ai/details/publication/pub.1071158762,05 Environmental Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,04 Earth Sciences,0401 Atmospheric Sciences,0502 Environmental Science and Management,
20,100,pub.1021775309,10.1002/joc.2074,,,The Forecast Interpretation Tool—a Monte Carlo technique for blending climatic distributions with probabilistic forecasts,International Journal of Climatology,,,2011-03-15,2011,31,3,461-467,All OA; Gold,Article,"Husak, Gregory J.; Michaelsen, Joel; Kyriakidis, Phaedon; Verdin, James P.; Funk, Chris; Galu, Gideon",,"Husak, Gregory J. (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara); Kyriakidis, Phaedon (University of California, Santa Barbara); Verdin, James P. (United States Geological Survey); Funk, Chris (University of California, Santa Barbara; United States Geological Survey); Galu, Gideon ()",4,1,,0.52,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/joc.2074,https://app.dimensions.ai/details/publication/pub.1021775309,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
