,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is John M Cottle. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1121783984,10.1016/j.chemgeo.2019.119309,,,The Monazite Record of Pluton Assembly: Mapping Manaslu Using Petrochronology,Chemical Geology,,,2019-10,2019,,,119309,Closed,Article,"Cottle, John; Lederer, Graham; Larson, Kyle","Cottle, John","Cottle, John (University of California, Santa Barbara); Lederer, Graham (University of California, Santa Barbara; United States Geological Survey); Larson, Kyle (University of British Columbia)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121783984,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
2,100,pub.1115159077,10.1111/jmg.12501,,,Petrochronology of oxidized granulites from southern Peru,Journal of Metamorphic Geology,,,2019-08,2019,37,6,839-862,Closed,Article,"Yakymchuk, Chris; Rehm, Adrian; Liao, Zhuoheng; Cottle, John M.",,"Yakymchuk, Chris (University of Waterloo); Rehm, Adrian (University of Waterloo); Liao, Zhuoheng (University of Waterloo); Cottle, John M. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1115159077,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
3,100,pub.1113756929,10.1016/j.jseaes.2019.04.013,,,"Geochronology and Geochemistry of Mesoproterozoic Porphyry Granitoids in the Northern Karbi Hills, NE India: Implications for Early Tectonic Evolution of the Karbi Massif",Journal of Asian Earth Sciences,,,2019-08,2019,179,,65-79,Closed,Article,"Gogoi, Abhijit; Majumdar, Dilip; Cottle, John; Dutta, Pankhi","Majumdar, Dilip","Gogoi, Abhijit (Dibrugarh University); Majumdar, Dilip (Dibrugarh University); Cottle, John (University of California, Santa Barbara); Dutta, Pankhi (Dibrugarh University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113756929,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
4,100,pub.1112060850,10.1111/bre.12346,,,"Miocene to Quaternary basin evolution at the southeastern Andean Plateau (Puna) margin (ca. 24°S lat, Northwestern Argentina)",Basin Research,,,2019-08,2019,31,4,808-826,Closed,Article,"Pingel, Heiko; Alonso, Ricardo N.; Altenberger, Uwe; Cottle, John; Strecker, Manfred R.",,"Pingel, Heiko (University of Potsdam); Alonso, Ricardo N. (National University of Salta); Altenberger, Uwe (University of Potsdam); Cottle, John (University of California, Santa Barbara); Strecker, Manfred R. (University of Potsdam)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112060850,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
5,200,pub.1117679554,10.1180/mgm.2019.44,,,"Magma chamber evolution of the Ardestan pluton, Central Iran: evidence from mineral chemistry, zircon composition and crystal size distribution",Mineralogical Magazine,,,2019-07-01,2019,,,1-45,All OA; Gold,Article,"Babazadeh, Shahrouz; Furman, Tanya; Cottle, John M.; Raeisi, Davood; Lima, Ianna",,"Babazadeh, Shahrouz (); Furman, Tanya (); Cottle, John M. (); Raeisi, Davood (); Lima, Ianna ()",0,0,,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/21EB4500F98EE9B3C1EE06C77171C44A/S0026461X19000446a.pdf/div-class-title-magma-chamber-evolution-of-the-ardestan-pluton-central-iran-evidence-from-mineral-chemistry-zircon-composition-and-crystal-size-distribution-div.pdf,https://app.dimensions.ai/details/publication/pub.1117679554,03 Chemical Sciences; 04 Earth Sciences; 0403 Geology; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,04 Earth Sciences,0403 Geology,0306 Physical Chemistry (incl. Structural),
6,100,pub.1113442530,10.1016/j.jsg.2019.04.004,,,In situ Th/Pb dating of monazite in fibrous veins: Direct dating of veins and deformation in the shallow upper crust of the Mexican Orogen,Journal of Structural Geology,,,2019-07,2019,124,Geology 43 9 2015,136-142,Closed,Article,"Fitz-Diaz, Elisa; Cottle, John M.; Reyes, Maria Isabel Vidal; van der Pluijm, Ben","Fitz-Diaz, Elisa","Fitz-Diaz, Elisa (National Autonomous University of Mexico); Cottle, John M. (University of California, Santa Barbara); Reyes, Maria Isabel Vidal (National Autonomous University of Mexico); van der Pluijm, Ben (University of Michigan)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113442530,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,100,pub.1113269152,10.1144/jgs2018-224,,,"Thermal evolution of the Scandian hinterland, Naver nappe, northern Scotland",Journal of the Geological Society,,,2019-07,2019,176,4,669-688,Closed,Article,"Mako, Calvin A.; Law, Richard D.; Caddick, Mark J.; Thigpen, J. Ryan; Ashley, Kyle T.; Cottle, John; Kylander-Clark, Andrew",,"Mako, Calvin A. (Virginia Tech); Law, Richard D. (Virginia Tech); Caddick, Mark J. (Virginia Tech); Thigpen, J. Ryan (University of Kentucky); Ashley, Kyle T. (University of Pittsburgh); Cottle, John (University of California System); Kylander-Clark, Andrew (University of California System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113269152,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1107348598,10.1002/gj.3306,,,"Multistage tectono‐magmatic evolution of the central Urumieh–Dokhtar magmatic arc, south Ardestan, Iran: Insights from zircon geochronology and geochemistry",Geological Journal,,,2019-07,2019,54,4,2447-2471,Closed,Article,"Babazadeh, Shahrouz; Ghorbani, Mohammad Reza; Cottle, John M.; Bröcker, Michael",,"Babazadeh, Shahrouz (Tarbiat Modares University); Ghorbani, Mohammad Reza (Tarbiat Modares University); Cottle, John M. (University of California, Santa Barbara); Bröcker, Michael (University of Münster)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107348598,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
9,100,pub.1113115085,10.1130/l1015.1,,,Tracking voluminous Permian volcanism of the Choiyoi Province into central Antarctica,Литосфера,,,2019-06-01,2019,11,3,386-398,All OA; Gold,Article,"Nelson, D.A.; Cottle, J.M.",,"Nelson, D.A. (University of California, Santa Barbara); Cottle, J.M. (University of California, Santa Barbara)",1,1,,,https://pubs.geoscienceworld.org/gsa/lithosphere/article-pdf/11/3/386/4698736/386.pdf,https://app.dimensions.ai/details/publication/pub.1113115085,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
