,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Joshua P Schimel. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1116376538,10.1111/1365-2435.13377,,,Changing perspectives on terrestrial nitrogen cycling: The importance of weathering and evolved resource‐use traits for understanding ecosystem responses to global change,Functional Ecology,,,2019-10,2019,33,10,1818-1829,All OA; Gold,Article,"Wooliver, Rachel; Pellegrini, Adam F. A.; Waring, Bonnie; Houlton, Benjamin Z.; Averill, Colin; Schimel, Joshua; Hedin, Lars O.; Bailey, Joseph K.; Schweitzer, Jennifer A.",,"Wooliver, Rachel (University of Tennessee at Knoxville); Pellegrini, Adam F. A. (Stanford University); Waring, Bonnie (Utah State University); Houlton, Benjamin Z. (University of California, Davis); Averill, Colin (Boston University); Schimel, Joshua (University of California, Santa Barbara); Hedin, Lars O. (Princeton University); Bailey, Joseph K. (University of Tennessee at Knoxville); Schweitzer, Jennifer A. (University of Tennessee at Knoxville)",0,0,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.13377,https://app.dimensions.ai/details/publication/pub.1116376538,0602 Ecology; 0502 Environmental Science and Management; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
2,500,pub.1111649867,10.1002/ece3.4870,30847075,PMC6392369,"Limited effects of early snowmelt on plants, decomposers, and soil nutrients in Arctic tundra soils",Ecology and Evolution,,,2019-02,2019,9,4,1820-1844,All OA; Gold,Article,"Darrouzet‐Nardi, Anthony; Steltzer, Heidi; Sullivan, Patrick F.; Segal, Aliza; Koltz, Amanda M.; Livensperger, Carolyn; Schimel, Joshua P.; Weintraub, Michael N.",,"Darrouzet‐Nardi, Anthony (The University of Texas at El Paso; University of Toledo); Steltzer, Heidi (Fort Lewis College); Sullivan, Patrick F. (University of Alaska Anchorage); Segal, Aliza (University of Alaska Anchorage); Koltz, Amanda M. (Washington University in St. Louis); Livensperger, Carolyn (Colorado State University); Schimel, Joshua P. (University of California, Santa Barbara); Weintraub, Michael N. (University of Toledo)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.4870,https://app.dimensions.ai/details/publication/pub.1111649867,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
3,100,pub.1112137478,10.1002/ecs2.2608,,,Plant community regulates decomposer response to freezing more strongly than the rate or extent of the freezing regime,Ecosphere,,,2019-02,2019,10,2,e02608,All OA; Gold,Article,"Sistla, Seeta A.; Schaeffer, Sean; Schimel, Joshua P.",,"Sistla, Seeta A. (Hampshire College; University of California, Santa Barbara); Schaeffer, Sean (University of California, Santa Barbara; University of Tennessee at Knoxville); Schimel, Joshua P. (University of California, Santa Barbara)",0,0,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2608,https://app.dimensions.ai/details/publication/pub.1112137478,06 Biological Sciences; 0503 Soil Sciences; 0602 Ecology; 05 Environmental Sciences,06 Biological Sciences,0503 Soil Sciences,0602 Ecology,05 Environmental Sciences,
4,100,pub.1115027019,10.1071/en19047,,,Effects of carbonaceous nanomaterials on soil-grown soybeans under combined heat and insect stresses,Environmental Chemistry,,,2019,2019,16,6,482-493,All OA; Gold,Article,"Wang, Ying; Welch, Zoe S.; Ramirez, Aaron R.; Bouchard, Dermont C.; Schimel, Joshua P.; Gardea-Torresdey, Jorge L.; Holden, Patricia A.",,"Wang, Ying (University of California, Santa Barbara); Welch, Zoe S. (University of California, Santa Barbara); Ramirez, Aaron R. (Reed College); Bouchard, Dermont C. (Environmental Protection Agency); Schimel, Joshua P. (University of California, Santa Barbara); Gardea-Torresdey, Jorge L. (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A. (University of California, Santa Barbara)",1,1,,,http://dx.doi.org/10.1071/en19047,https://app.dimensions.ai/details/publication/pub.1115027019,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
5,100,pub.1106190844,10.1146/annurev-ecolsys-110617-062614,,,Life in Dry Soils: Effects of Drought on Soil Microbial Communities and Processes,Annual Review of Ecology Evolution and Systematics,,,2018-11-02,2018,49,1,1-24,Closed,Article,"Schimel, Joshua P.",,"Schimel, Joshua P. (University of California, Santa Barbara)",22,22,,,,https://app.dimensions.ai/details/publication/pub.1106190844,0602 Ecology; 0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
6,100,pub.1107553147,10.1007/s10533-018-0509-z,,,Multiple models and experiments underscore large uncertainty in soil carbon dynamics,Biogeochemistry,,,2018-11,2018,141,2,109-123,Closed,Article,"Sulman, Benjamin N.; Moore, Jessica A. M.; Abramoff, Rose; Averill, Colin; Kivlin, Stephanie; Georgiou, Katerina; Sridhar, Bhavya; Hartman, Melannie D.; Wang, Gangsheng; Wieder, William R.; Bradford, Mark A.; Luo, Yiqi; Mayes, Melanie A.; Morrison, Eric; Riley, William J.; Salazar, Alejandro; Schimel, Joshua P.; Tang, Jinyun; Classen, Aimée T.","Sulman, Benjamin N.","Sulman, Benjamin N. (Princeton University; University of California, Merced); Moore, Jessica A. M. (University of New Hampshire; University of Tennessee at Knoxville); Abramoff, Rose (Lawrence Berkeley National Laboratory); Averill, Colin (Boston University); Kivlin, Stephanie (University of Tennessee at Knoxville); Georgiou, Katerina (Stanford University; Lawrence Berkeley National Laboratory); Sridhar, Bhavya (Cornell University); Hartman, Melannie D. (Colorado State University; Climate and Global Dynamics Laboratory); Wang, Gangsheng (Oak Ridge National Laboratory; University of Oklahoma); Wieder, William R. (Climate and Global Dynamics Laboratory; Institute of Arctic and Alpine Research); Bradford, Mark A. (Yale University); Luo, Yiqi (Northern Arizona University); Mayes, Melanie A. (Oak Ridge National Laboratory); Morrison, Eric (University of New Hampshire); Riley, William J. (Lawrence Berkeley National Laboratory); Salazar, Alejandro (Purdue University West Lafayette); Schimel, Joshua P. (University of California, Santa Barbara); Tang, Jinyun (Lawrence Berkeley National Laboratory); Classen, Aimée T. (University of Vermont)",19,19,,,,https://app.dimensions.ai/details/publication/pub.1107553147,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
7,500,pub.1105852732,10.1002/ecy.2473,30047578,,Effects of altered dry season length and plant inputs on soluble soil carbon,Ecology,,Biomass; Carbon; Carbon Cycle; Seasons; Soil,2018-10,2018,99,10,2348-2362,Closed,Article,"Homyak, Peter M.; Blankinship, Joseph C.; Slessarev, Eric W.; Schaeffer, Sean M.; Manzoni, Stefano; Schimel, Joshua P.",,"Homyak, Peter M. (University of California, Riverside); Blankinship, Joseph C. (University of Arizona); Slessarev, Eric W. (University of California, Santa Barbara); Schaeffer, Sean M. (University of Tennessee at Knoxville); Manzoni, Stefano (Stockholm University); Schimel, Joshua P. (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1105852732,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
8,100,pub.1105456812,10.1016/j.soilbio.2018.07.009,,,Environmental controls on extracellular polysaccharide accumulation in a California grassland soil,Soil Biology and Biochemistry,,,2018-10,2018,125,Soil and Tillage Research 39 1996,86-92,Closed,Article,"Marchus, Kenneth A.; Blankinship, Joseph C.; Schimel, Joshua P.","Schimel, Joshua P.","Marchus, Kenneth A. (University of California, Santa Barbara); Blankinship, Joseph C. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1105456812,0703 Crop and Pasture Production; 0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
9,500,pub.1106133468,10.1038/s41564-018-0201-z,30143799,,Understanding how microbiomes influence the systems they inhabit,Nature Microbiology,,Bacteria; Ecosystem; Microbiota,2018-09,2018,3,9,977-982,Closed,Article,"Hall, Ed K.; Bernhardt, Emily S.; Bier, Raven L.; Bradford, Mark A.; Boot, Claudia M.; Cotner, James B.; del Giorgio, Paul A.; Evans, Sarah E.; Graham, Emily B.; Jones, Stuart E.; Lennon, Jay T.; Locey, Kenneth J.; Nemergut, Diana; Osborne, Brooke B.; Rocca, Jennifer D.; Schimel, Joshua P.; Waldrop, Mark P.; Wallenstein, Matthew D.","Hall, Ed K.","Hall, Ed K. (Colorado State University); Bernhardt, Emily S. (Duke University); Bier, Raven L. (Duke University); Bradford, Mark A. (Yale University); Boot, Claudia M. (Colorado State University); Cotner, James B. (University of Minnesota); del Giorgio, Paul A. (University of Quebec at Montreal); Evans, Sarah E. (Michigan State University); Graham, Emily B. (Institute of Arctic and Alpine Research; Pacific Northwest National Laboratory); Jones, Stuart E. (University of Notre Dame); Lennon, Jay T. (Indiana University Bloomington); Locey, Kenneth J. (Indiana University Bloomington; Diné College); Nemergut, Diana (Duke University); Osborne, Brooke B. (Brown University); Rocca, Jennifer D. (Colorado State University; Duke University); Schimel, Joshua P. (University of California, Santa Barbara); Waldrop, Mark P. (United States Geological Survey); Wallenstein, Matthew D. (Colorado State University)",10,10,,,,https://app.dimensions.ai/details/publication/pub.1106133468,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
