,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Lars Bildsten. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120214180,,,,Variability of massive stars in M31 from the Palomar Transient Factory,arXiv,,,8/7/19,2019,,,,"All OA; Green, Accepted & Submitted",Preprint,"Soraisam, Monika D.; Bildsten, Lars; Drout, Maria R.; Prince, Thomas A.; Kupfer, Thomas; Masci, Frank; Laher, Russ R.; Kulkarni, Shrinivas R.",,"Soraisam, Monika D. (); Bildsten, Lars (); Drout, Maria R. (); Prince, Thomas A. (); Kupfer, Thomas (); Masci, Frank (); Laher, Russ R. (); Kulkarni, Shrinivas R. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120214180,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
2,200,pub.1117856642,10.3847/1538-4365/ab2241,,,"Modules for Experiments in Stellar Astrophysics (MESA): Pulsating Variable Stars, Rotation, Convective Boundaries, and Energy Conservation",The Astrophysical Journal Supplement Series,,,7/8/19,2019,243,1,10,All OA; Gold,Article,"Paxton, Bill; Smolec, R.; Schwab, Josiah; Gautschy, A.; Bildsten, Lars; Cantiello, Matteo; Dotter, Aaron; Farmer, R.; Goldberg, Jared A.; Jermyn, Adam S.; Kanbur, S. M.; Marchant, Pablo; Thoul, Anne; Townsend, Richard H. D.; Wolf, William M.; Zhang, Michael; Timmes, F. X.",,"Paxton, Bill (); Smolec, R. (); Schwab, Josiah (); Gautschy, A. (); Bildsten, Lars (); Cantiello, Matteo (); Dotter, Aaron (); Farmer, R. (); Goldberg, Jared A. (); Jermyn, Adam S. (); Kanbur, S. M. (); Marchant, Pablo (); Thoul, Anne (); Townsend, Richard H. D. (); Wolf, William M. (); Zhang, Michael (); Timmes, F. X. ()",14,14,,,https://iopscience.iop.org/article/10.3847/1538-4365/ab2241/pdf,https://app.dimensions.ai/details/publication/pub.1117856642,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
3,200,pub.1117596389,10.3847/1538-4357/ab22b6,,,Inferring Explosion Properties from Type II-Plateau Supernova Light Curves,The Astrophysical Journal,,,6/26/19,2019,879,1,3,Closed,Article,"Goldberg, Jared A.; Bildsten, Lars; Paxton, Bill",,"Goldberg, Jared A. (); Bildsten, Lars (); Paxton, Bill ()",4,4,,,,https://app.dimensions.ai/details/publication/pub.1117596389,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
4,200,pub.1117359329,10.3847/2041-8213/ab263c,,,A New Class of Large-amplitude Radial-mode Hot Subdwarf Pulsators,The Astrophysical Journal Letters,,,6/18/19,2019,878,2,l35,"All OA; Green, Accepted & Submitted",Article,"Kupfer, Thomas; Bauer, Evan B.; Burdge, Kevin B.; Bellm, Eric C.; Bildsten, Lars; Fuller, Jim; Hermes, JJ; Kulkarni, Shrinivas R.; Prince, Thomas A.; van Roestel, Jan; Dekany, Richard; Duev, Dmitry A.; Feeney, Michael; Giomi, Matteo; Graham, Matthew J.; Kaye, Stephen; Laher, Russ R.; Masci, Frank J.; Porter, Michael; Riddle, Reed; Shupe, David L.; Smith, Roger M.; Soumagnac, Maayane T.; Szkody, Paula; Ward, Charlotte",,"Kupfer, Thomas (); Bauer, Evan B. (); Burdge, Kevin B. (); Bellm, Eric C. (); Bildsten, Lars (); Fuller, Jim (); Hermes, JJ (); Kulkarni, Shrinivas R. (); Prince, Thomas A. (); van Roestel, Jan (); Dekany, Richard (); Duev, Dmitry A. (); Feeney, Michael (); Giomi, Matteo (); Graham, Matthew J. (); Kaye, Stephen (); Laher, Russ R. (); Masci, Frank J. (); Porter, Michael (); Riddle, Reed (); Shupe, David L. (); Smith, Roger M. (); Soumagnac, Maayane T. (); Szkody, Paula (); Ward, Charlotte ()",0,0,,,https://authors.library.caltech.edu/96475/1/1906.00979.pdf,https://app.dimensions.ai/details/publication/pub.1117359329,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
5,100,pub.1118174708,,,,A new class of pulsating hot subdwarfs,arXiv,,,6/3/19,2019,,,,"All OA; Green, Accepted & Submitted",Preprint,"Kupfer, Thomas; Bauer, Evan B.; Burdge, Kevin B.; Bellm, Eric C.; Bildsten, Lars; Fuller, Jim; Hermes, JJ; Kulkarni, Shrinivas R.; Prince, Thomas A.; van Roestel, Jan; Dekany, Richard; Duev, Dmitry A.; Feeney, Michael; Giomi, Matteo; Graham, Matthew J.; Kaye, Stephen; Laher, Russ R.; Masci, Frank J.; Porter, Michael; Riddle, Reed; Shupe, David L.; Smith, Roger M.; Soumagnac, Maayane T.; Szkody, Paula; Ward, Charlotte",,"Kupfer, Thomas (); Bauer, Evan B. (); Burdge, Kevin B. (); Bellm, Eric C. (); Bildsten, Lars (); Fuller, Jim (); Hermes, JJ (); Kulkarni, Shrinivas R. (); Prince, Thomas A. (); van Roestel, Jan (); Dekany, Richard (); Duev, Dmitry A. (); Feeney, Michael (); Giomi, Matteo (); Graham, Matthew J. (); Kaye, Stephen (); Laher, Russ R. (); Masci, Frank J. (); Porter, Michael (); Riddle, Reed (); Shupe, David L. (); Smith, Roger M. (); Soumagnac, Maayane T. (); Szkody, Paula (); Ward, Charlotte ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118174708,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
6,100,pub.1118174984,,,,"Modules for Experiments in Stellar Astrophysics (MESA): Pulsating
  Variable Stars, Rotation, Convective Boundaries, and Energy Conservation",arXiv,,,3/4/19,2019,,,,"All OA; Green, Accepted & Submitted",Preprint,"Paxton, Bill; Smolec, R.; Schwab, Josiah; Gautschy, A.; Bildsten, Lars; Cantiello, Matteo; Dotter, Aaron; Farmer, R.; Goldberg, Jared A.; Jermyn, Adam S.; Kanbur, S. M.; Marchant, Pablo; Thoul, Anne; Townsend, Richard H. D.; Wolf, William M.; Zhang, Michael; Timmes, F. X.",,"Paxton, Bill (); Smolec, R. (); Schwab, Josiah (); Gautschy, A. (); Bildsten, Lars (); Cantiello, Matteo (); Dotter, Aaron (); Farmer, R. (); Goldberg, Jared A. (); Jermyn, Adam S. (); Kanbur, S. M. (); Marchant, Pablo (); Thoul, Anne (); Townsend, Richard H. D. (); Wolf, William M. (); Zhang, Michael (); Timmes, F. X. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118174984,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
7,200,pub.1112186988,10.3847/1538-4357/ab0028,,,Polluted White Dwarfs: Mixing Regions and Diffusion Timescales,The Astrophysical Journal,,,2/14/19,2019,872,1,96,"All OA; Green, Accepted & Submitted",Article,"Bauer, Evan B.; Bildsten, Lars",,"Bauer, Evan B. (); Bildsten, Lars ()",4,4,,,http://arxiv.org/pdf/1812.09602,https://app.dimensions.ai/details/publication/pub.1112186988,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
8,100,pub.1118882199,,,,"Three Dimensional Radiation Hydrodynamic Simulations of Massive Star
  Envelopes",arXiv,,,9/26/18,2018,,,,"All OA; Green, Accepted & Submitted",Preprint,"Jiang, Yan-Fei; Cantiello, Matteo; Bildsten, Lars; Quataert, Eliot; Blaes, Omer; Stone, James",,"Jiang, Yan-Fei (); Cantiello, Matteo (); Bildsten, Lars (); Quataert, Eliot (); Blaes, Omer (); Stone, James ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1118882199,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
9,500,pub.1107108019,10.1038/s41586-018-0525-0,30258134,,Outbursts of luminous blue variable stars from variations in the helium opacity,Nature,,,2018-09,2018,561,7724,498-501,"All OA; Green, Accepted & Submitted",Article,"Jiang, Yan-Fei; Cantiello, Matteo; Bildsten, Lars; Quataert, Eliot; Blaes, Omer; Stone, James","Jiang, Yan-Fei","Jiang, Yan-Fei (University of California, Santa Barbara); Cantiello, Matteo (Princeton University); Bildsten, Lars (University of California, Santa Barbara); Quataert, Eliot (University of California, Berkeley); Blaes, Omer (University of California, Santa Barbara); Stone, James (Princeton University)",3,3,,,http://arxiv.org/pdf/1809.10187,https://app.dimensions.ai/details/publication/pub.1107108019,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
