,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Marina Lévy. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1122517501,10.1029/2019jc015370,,,Submesoscales Enhance Storm‐Driven Vertical Mixing of Nutrients: Insights From a Biogeochemical Large Eddy Simulation,Journal of Geophysical Research Oceans,,,11/21/19,2019,,,,Closed,Article,"Whitt, D. B.; Lévy, M.; Taylor, J. R.",,"Whitt, D. B. (National Center for Atmospheric Research); Lévy, M. (Sorbonne University); Taylor, J. R. (University of Cambridge)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122517501,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0405 Oceanography,
2,100,pub.1121951772,10.1029/2019gl084162,,,Major Contribution of Reduced Upper Ocean Oxygen Mixing to Global Ocean Deoxygenation in an Earth System Model,Geophysical Research Letters,,,11/13/19,2019,46,21,12239-12249,Closed,Article,"Couespel, Damien; Lévy, Marina; Bopp, Laurent",,"Couespel, Damien (Sorbonne University); Lévy, Marina (Sorbonne University); Bopp, Laurent ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121951772,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,100,pub.1121951818,10.1029/2019ms001805,,,The contribution of submesoscale over mesoscale eddy iron transport in the open Southern Ocean,Journal of Advances in Modeling Earth Systems,,,10/21/19,2019,,,,Closed,Article,"Uchida, Takaya; Balwada, Dhruv; Abernathey, Ryan; McKinley, Galen; Smith, Shafer; Lévy, Marina",,"Uchida, Takaya (Columbia University); Balwada, Dhruv (); Abernathey, Ryan (Columbia University); McKinley, Galen (Columbia University); Smith, Shafer (); Lévy, Marina ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121951818,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1116672093,10.1029/2019gl082770,,,Major Impact of Dust Deposition on the Productivity of the Arabian Sea,Geophysical Research Letters,,,6/28/19,2019,46,12,6736-6744,Closed,Article,"Guieu, Cécile; Azhar, Muchamad Al; Aumont, Olivier; Mahowald, Natalie; Levy, Marina; Ethé, Christian; Lachkar, Zouhair",,"Guieu, Cécile (Villefranche Oceanographic Laboratory; New York University Abu Dhabi); Azhar, Muchamad Al (New York University Abu Dhabi; Plymouth Marine Laboratory); Aumont, Olivier (Sorbonne University); Mahowald, Natalie (Cornell University); Levy, Marina (Sorbonne University); Ethé, Christian (Sorbonne University); Lachkar, Zouhair (New York University Abu Dhabi)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1116672093,0607 Plant Biology; 06 Biological Sciences; 04 Earth Sciences; 0405 Oceanography,0607 Plant Biology,06 Biological Sciences,04 Earth Sciences,0405 Oceanography,
5,100,pub.1113997707,10.1029/2018gl081631,,,Strong Intensification of the Arabian Sea Oxygen Minimum Zone in Response to Arabian Gulf Warming,Geophysical Research Letters,,,5/29/19,2019,46,10,5420-5429,All OA; Gold,Article,"Lachkar, Z.; Lévy, M.; Smith, K. S.",,"Lachkar, Z. (New York University Abu Dhabi); Lévy, M. (Sorbonne University); Smith, K. S. (New York University Abu Dhabi; Courant Institute of Mathematical Sciences)",0,0,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018GL081631,https://app.dimensions.ai/details/publication/pub.1113997707,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,500,pub.1113530048,10.1038/s41586-019-1098-2,30996317,,Multi-faceted particle pumps drive carbon sequestration in the ocean,Nature,,Aquatic Organisms; Atmosphere; Biota; Carbon; Carbon Dioxide; Carbon Sequestration; Gravitation; Oceans and Seas; Photosynthesis; Seawater; Solubility,2019-04,2019,568,7752,327-335,Closed,Article,"Boyd, Philip W.; Claustre, Hervé; Levy, Marina; Siegel, David A.; Weber, Thomas","Boyd, Philip W.","Boyd, Philip W. (University of Tasmania); Claustre, Hervé (Villefranche Oceanographic Laboratory); Levy, Marina (Sorbonne University); Siegel, David A. (University of California, Santa Barbara); Weber, Thomas (University of Rochester)",12,12,,,,https://app.dimensions.ai/details/publication/pub.1113530048,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,100,pub.1112846323,10.1029/2018gl081788,,,Nonmonotonic Response of Primary Production and Export to Changes in Mixed‐Layer Depth in the Southern Ocean,Geophysical Research Letters,,,3/28/19,2019,46,6,3368-3377,Closed,Article,"Llort, J.; Lévy, M.; Sallée, J. B.; Tagliabue, A.",,"Llort, J. (University of Tasmania); Lévy, M. (Sorbonne University); Sallée, J. B. (Sorbonne University); Tagliabue, A. (University of Liverpool)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1112846323,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
8,500,pub.1108060288,10.1038/s41467-018-07059-3,30420651,PMC6232172,The role of submesoscale currents in structuring marine ecosystems,Nature Communications,,"Animals; Aquatic Organisms; Biodiversity; Biomass; Chlorophyll; Ecosystem; Models, Theoretical; Phytoplankton; Predatory Behavior; Water Movements",2018-12,2018,9,1,4758,All OA; Gold,Article,"Lévy, Marina; Franks, Peter J. S.; Smith, K. Shafer","Lévy, Marina","Lévy, Marina (Sorbonne University); Franks, Peter J. S. (Scripps Institution of Oceanography); Smith, K. Shafer (Courant Institute of Mathematical Sciences)",11,11,,,https://www.nature.com/articles/s41467-018-07059-3.pdf,https://app.dimensions.ai/details/publication/pub.1108060288,0602 Ecology; 0405 Oceanography; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences
9,100,pub.1103194582,10.1029/2018jc013775,,,The Biological Pump and Seasonal Variability of pCO2 in the Southern Ocean: Exploring the Role of Diatom Adaptation to Low Iron,Journal of Geophysical Research Oceans,,,2018-05,2018,123,5,3204-3226,"All OA; Green, Accepted & Submitted",Article,"Person, R.; Aumont, O.; Lévy, M.",,"Person, R. (); Aumont, O. (); Lévy, M. ()",3,3,,,https://hal.sorbonne-universite.fr/hal-01959020/document,https://app.dimensions.ai/details/publication/pub.1103194582,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
