,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Martin Raubal. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113500230,10.1007/978-3-030-14745-7_5,,,A Clustering-Based Framework for Understanding Individuals’ Travel Mode Choice Behavior,Lecture Notes in Geoinformation and Cartography,Geospatial Technologies for Local and Regional Development,,2020,2020,,,77-94,Closed,Chapter,"Zhao, Pengxiang; Bucher, Dominik; Martin, Henry; Raubal, Martin","Zhao, Pengxiang","Zhao, Pengxiang (Swiss Federal Institute of Technology in Zurich); Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Martin, Henry (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113500230,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
2,100,pub.1109824116,10.1109/tits.2018.2876570,,,Multimodal Route Planning With Public Transport and Carpooling,IEEE Transactions on Intelligent Transportation Systems,,,2019-09,2019,20,9,3513-3525,Closed,Article,"Huang, Haosheng; Bucher, Dominik; Kissling, Julian; Weibel, Robert; Raubal, Martin",,"Huang, Haosheng (University of Zurich; South China Normal University); Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Kissling, Julian (University of Zurich); Weibel, Robert (University of Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich; TU Wien)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1109824116,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
3,100,pub.1114217131,10.3390/su11092674,,,"A Large Scale, App-Based Behaviour Change Experiment Persuading Sustainable Mobility Patterns: Methods, Results and Lessons Learnt",Sustainability,,,2019-05-10,2019,11,9,2674,All OA; Gold,Article,"Cellina, Francesca; Bucher, Dominik; Mangili, Francesca; Simão, José Veiga; Rudel, Roman; Raubal, Martin",,"Cellina, Francesca (University of Applied Sciences and Arts of Southern Switzerland); Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Mangili, Francesca (); Simão, José Veiga (University of Applied Sciences and Arts of Southern Switzerland); Rudel, Roman (University of Applied Sciences and Arts of Southern Switzerland); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",1,1,,,https://www.mdpi.com/2071-1050/11/9/2674/pdf,https://app.dimensions.ai/details/publication/pub.1114217131,12 Built Environment and Design,12 Built Environment and Design,,,,
4,100,pub.1112466188,10.1080/24694452.2018.1484686,,,Measuring the Geometric and Semantic Similarity of Space–Time Prisms Using Temporal Signatures,Annals of the American Association of Geographers,,,2019-05-04,2019,109,3,1-24,All OA; Gold,Article,"Miller, Harvey J.; Jaegal, Young; Raubal, Martin",,"Miller, Harvey J. (The Ohio State University); Jaegal, Young (The Ohio State University); Raubal, Martin ()",2,2,,,https://www.tandfonline.com/doi/pdf/10.1080/24694452.2018.1484686?needAccess=true,https://app.dimensions.ai/details/publication/pub.1112466188,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
5,100,pub.1113877600,10.1007/s10707-019-00352-3,,,Correction to: FeaturEyeTrack: automatic matching of eye tracking data with map features on interactive maps,GeoInformatica,,,2019-05-02,2019,,,1-2,All OA; Gold,Article,"Göbel, Fabian; Kiefer, Peter; Raubal, Martin","Göbel, Fabian","Göbel, Fabian (Swiss Federal Institute of Technology in Zurich); Kiefer, Peter (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs10707-019-00352-3.pdf,https://app.dimensions.ai/details/publication/pub.1113877600,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0499 Other Earth Sciences; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0499 Other Earth Sciences,04 Earth Sciences
6,100,pub.1113532258,10.3390/su11082281,,,Beyond Limitations of Current Behaviour Change Apps for Sustainable Mobility: Insights from a User-Centered Design and Evaluation Process,Sustainability,,,2019-04-16,2019,11,8,2281,All OA; Gold,Article,"Cellina, Francesca; Bucher, Dominik; Simão, José Veiga; Rudel, Roman; Raubal, Martin",,"Cellina, Francesca (University of Applied Sciences and Arts of Southern Switzerland); Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Simão, José Veiga (University of Applied Sciences and Arts of Southern Switzerland); Rudel, Roman (University of Applied Sciences and Arts of Southern Switzerland); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",2,2,,,https://www.mdpi.com/2071-1050/11/8/2281/pdf,https://app.dimensions.ai/details/publication/pub.1113532258,12 Built Environment and Design,12 Built Environment and Design,,,,
7,100,pub.1111325102,10.1016/j.rser.2018.12.038,,,Spatio-temporal potential of a biogenic micro CHP swarm in Switzerland,Renewable and Sustainable Energy Reviews,,,2019-04,2019,103,Appl Energy 192 2017,443-454,Closed,Article,"Buffat, René; Raubal, Martin","Buffat, René","Buffat, René (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111325102,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
8,100,pub.1112672532,10.1007/s10707-019-00344-3,,,FeaturEyeTrack: automatic matching of eye tracking data with map features on interactive maps,GeoInformatica,,,2019-03-09,2019,,,1-25,Closed,Article,"Göbel, Fabian; Kiefer, Peter; Raubal, Martin","Göbel, Fabian","Göbel, Fabian (Swiss Federal Institute of Technology in Zurich); Kiefer, Peter (Swiss Federal Institute of Technology in Zurich); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112672532,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0499 Other Earth Sciences; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0499 Other Earth Sciences,04 Earth Sciences
9,100,pub.1107771433,10.1016/j.tbs.2018.09.005,,,"From location tracking to personalized eco-feedback: A framework for geographic information collection, processing and visualization to promote sustainable mobility behaviors",Travel Behaviour and Society,,,2019-01,2019,14,IEEE Trans. Intelligent Transp. Syst. 14 4 2013,43-56,Closed,Article,"Bucher, Dominik; Mangili, Francesca; Cellina, Francesca; Bonesana, Claudio; Jonietz, David; Raubal, Martin","Bucher, Dominik","Bucher, Dominik (Swiss Federal Institute of Technology in Zurich); Mangili, Francesca (); Cellina, Francesca (University of Applied Sciences and Arts of Southern Switzerland); Bonesana, Claudio (); Jonietz, David (); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1107771433,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
