,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Mason L Dykstra. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1085548575,10.1130/g39068.1,,,"Detecting eustatic and tectonic signals with carbon isotopes in deep-marine strata, Eocene Ainsa Basin, Spanish Pyrenees",Geology,,,5/19/17,2017,45,8,707-710,Closed,Article,"Castelltort, Sébastien; Honegger, Louis; Adatte, Thierry; Clark, Julian D.; Puigdefàbregas, Cai; Spangenberg, Jorge E.; Dykstra, Mason L.; Fildani, Andrea",,"Castelltort, Sébastien (University of Geneva); Honegger, Louis (University of Geneva); Adatte, Thierry (University of Lausanne); Clark, Julian D. (); Puigdefàbregas, Cai (University of Barcelona); Spangenberg, Jorge E. (University of Lausanne); Dykstra, Mason L. (); Fildani, Andrea ()",9,7,,3.29,,https://app.dimensions.ai/details/publication/pub.1085548575,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1084073561,10.1016/j.epsl.2017.03.001,,,Climatic and anthropogenic influences on sediment mixing in the Mississippi source-to-sink system using detrital zircons: Late Pleistocene to recent,Earth and Planetary Science Letters,,,2017-05,2017,466,Paleoceanography 18 4 2003,70-79,Closed,Article,"Mason, Cody C.; Fildani, Andrea; Gerber, Thomas; Blum, Michael D.; Clark, Julian D.; Dykstra, Mason","Mason, Cody C.","Mason, Cody C. (Virginia Tech); Fildani, Andrea (); Gerber, Thomas (); Blum, Michael D. (University of Kansas); Clark, Julian D. (); Dykstra, Mason ()",13,11,,4.39,,https://app.dimensions.ai/details/publication/pub.1084073561,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
3,100,pub.1062734474,10.1130/g37657.1,,,The ancestral Mississippi drainage archived in the late Wisconsin Mississippi deep-sea fan,Geology,,,2016-06,2016,44,6,479-482,Closed,Article,"Fildani, A.; McKay, M.P.; Stockli, D.; Clark, J.; Dykstra, M.L.; Stockli, L.; Hessler, A.M.",,"Fildani, A. (); McKay, M.P. (Missouri State University); Stockli, D. (The University of Texas at Austin); Clark, J. (); Dykstra, M.L. (); Stockli, L. (The University of Texas at Austin); Hessler, A.M. ()",26,18,,6.46,,https://app.dimensions.ai/details/publication/pub.1062734474,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
4,100,pub.1064922774,10.1306/09011514210,,,Mass-transport and slope accommodation: Implications for turbidite sandstone reservoirs,AAPG Bulletin,,,2016-02,2016,100,2,213-235,"All OA; Green, Accepted & Submitted",Article,"Kneller, Ben; Dykstra, Mason; Fairweather, Luke; Milana, Juan Pablo",,"Kneller, Ben (University of Aberdeen); Dykstra, Mason (Colorado School of Mines); Fairweather, Luke (University of Aberdeen); Milana, Juan Pablo (National University of San Juan)",35,26,,9.06,http://aura.abdn.ac.uk/bitstream/2164/8117/1/SlopeAccomodationPaper_Final.pdf,https://app.dimensions.ai/details/publication/pub.1064922774,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,100,pub.1030597510,10.1130/ges01030.1,,,Modern submarine canyon feeder-system and deep-sea fan growth in a tectonically active margin (northern Sicily),Geosphere,,,2015-04,2015,11,2,307-319,All OA; Gold,Article,"Gamberi, Fabiano; Rovere, Marzia; Marani, Michael P.; Dykstra, Mason",,"Gamberi, Fabiano (National Research Council); Rovere, Marzia (National Research Council); Marani, Michael P. (National Research Council); Dykstra, Mason ()",10,5,,2,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/11/2/307/3334445/307.pdf,https://app.dimensions.ai/details/publication/pub.1030597510,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,100,pub.1049432607,10.1016/j.marpetgeo.2014.02.016,,,"Physical, biological, geochemical and sedimentological controls on the ichnology of submarine canyon and slope channel systems",Marine and Petroleum Geology,,,2014-06,2014,54,,144-166,"All OA; Green, Accepted & Submitted",Article,"Callow, Richard H.T.; Kneller, Ben; Dykstra, Mason; McIlroy, Duncan","Callow, Richard H.T.","Callow, Richard H.T. (University of Aberdeen; Memorial University of Newfoundland); Kneller, Ben (University of Aberdeen); Dykstra, Mason (Colorado School of Mines); McIlroy, Duncan (Memorial University of Newfoundland)",16,6,,2.45,http://aura.abdn.ac.uk/bitstream/2164/5821/1/Ichnology_of_continental_slope_systems_archive.pdf,https://app.dimensions.ai/details/publication/pub.1049432607,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
7,100,pub.1052102522,10.1016/j.marpetgeo.2012.02.001,,,"Integrated ichnological and sedimentological analysis of a Late Cretaceous submarine channel-levee system: The Rosario Formation, Baja California, Mexico",Marine and Petroleum Geology,,,2013-03,2013,41,,277-294,Closed,Article,"Callow, Richard H.T.; McIlroy, Duncan; Kneller, Ben; Dykstra, Mason","Callow, Richard H.T.","Callow, Richard H.T. (Memorial University of Newfoundland); McIlroy, Duncan (Memorial University of Newfoundland); Kneller, Ben (University of Aberdeen); Dykstra, Mason (Colorado School of Mines)",26,9,,3.89,,https://app.dimensions.ai/details/publication/pub.1052102522,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1044873231,10.1080/10420940.2012.734763,,,"Ichnology of Late Cretaceous Turbidites from the Rosario Formation, Baja California, Mexico",Ichnos,,,2013-03,2013,20,1,14-Jan,Closed,Article,"Callow, Richard H. T.; McIlroy, Duncan; Kneller, Ben; Dykstra, Mason",,"Callow, Richard H. T. (); McIlroy, Duncan (); Kneller, Ben (); Dykstra, Mason ()",9,4,,1.35,,https://app.dimensions.ai/details/publication/pub.1044873231,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1014361568,10.1016/j.marpetgeo.2012.04.002,,,Integrating modern seafloor and outcrop data in the analysis of slope channel architecture and fill,Marine and Petroleum Geology,,,2013-03,2013,41,,83-103,Closed,Article,"Gamberi, Fabiano; Rovere, Marzia; Dykstra, Mason; Kane, Ian A.; Kneller, Benjamin C.","Gamberi, Fabiano","Gamberi, Fabiano (National Research Council); Rovere, Marzia (National Research Council); Dykstra, Mason (Equinor (Norway)); Kane, Ian A. (Equinor (Norway)); Kneller, Benjamin C. (University of Aberdeen)",20,5,,3,,https://app.dimensions.ai/details/publication/pub.1014361568,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
10,100,pub.1003903948,10.1111/j.1365-3091.2011.01268.x,,,"Bed‐thickness and grain‐size trends in a small‐scale proglacial channel–levée system; the Carboniferous Jejenes Formation, Western Argentina: implications for turbidity current flow processes",Sedimentology,,,2012-02,2012,59,2,605-622,Closed,Article,"DYKSTRA, MASON; KNELLER, BEN; MILANA, JUAN‐PABLO",,"DYKSTRA, MASON (Colorado School of Mines); KNELLER, BEN (University of Aberdeen); MILANA, JUAN‐PABLO (National University of San Juan)",8,2,,1.32,,https://app.dimensions.ai/details/publication/pub.1003903948,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1007801876,10.1007/978-94-007-0123-6_14,,,Deep-Water Tidal Sedimentology,,Principles of Tidal Sedimentology,,2012,2012,,,371-395,Closed,Chapter,"Dykstra, Mason","Dykstra, Mason","Dykstra, Mason (Colorado School of Mines)",18,4,,2.96,,https://app.dimensions.ai/details/publication/pub.1007801876,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
12,100,pub.1009431776,10.1111/j.1365-3091.2009.01077.x,,,"Architecture of a coarse‐grained channel–levée system: the Rosario Formation, Baja California, Mexico",Sedimentology,,,2009-12,2009,56,7,2207-2234,Closed,Article,"KANE, IAN A.; DYKSTRA, MASON L.; KNELLER, BENJAMIN C.; TREMBLAY, SACHA; McCAFFREY, WILLIAM D.",,"KANE, IAN A. (University of Leeds); DYKSTRA, MASON L. (Colorado School of Mines); KNELLER, BENJAMIN C. (University of Aberdeen); TREMBLAY, SACHA (University of Aberdeen); McCAFFREY, WILLIAM D. (University of Leeds)",45,9,,8.17,,https://app.dimensions.ai/details/publication/pub.1009431776,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
13,100,pub.1019390045,10.1111/j.1365-3091.2008.01040.x,,,Lateral accretion in a deep‐marine channel complex: implications for channellized flow processes in turbidity currents,Sedimentology,,,2009-08,2009,56,5,1411-1432,Closed,Article,"DYKSTRA, MASON; KNELLER, BEN",,"DYKSTRA, MASON (University of California, Santa Barbara); KNELLER, BEN (University of California, Santa Barbara)",49,3,,8.89,,https://app.dimensions.ai/details/publication/pub.1019390045,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1015276028,10.1016/j.marpetgeo.2007.01.003,,,"Anatomy of a submarine channel–levee: An example from Upper Cretaceous slope sediments, Rosario Formation, Baja California, Mexico",Marine and Petroleum Geology,,,2007-06,2007,24,9-Jun,540-563,Closed,Article,"Kane, Ian A.; Kneller, Benjamin C.; Dykstra, Mason; Kassem, Ahmed; McCaffrey, William D.","Kane, Ian A.","Kane, Ian A. (University of Leeds); Kneller, Benjamin C. (University of Aberdeen); Dykstra, Mason (University of California, Santa Barbara); Kassem, Ahmed (); McCaffrey, William D. (University of Leeds)",91,19,,9.36,,https://app.dimensions.ai/details/publication/pub.1015276028,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
15,100,pub.1002847776,10.1130/b25810.1,,,"Deglacial and postglacial sedimentary architecture in a deeply incised paleovalley-paleofjord—The Pennsylvanian (late Carboniferous) Jejenes Formation, San Juan, Argentina",Geological Society of America Bulletin,,,7/1/06,2006,118,8-Jul,913-937,Closed,Article,"Dykstra, Mason; Kneller, Ben; Milana, Juan Pablo",,"Dykstra, Mason (University of California, Santa Barbara); Kneller, Ben (University of California, Santa Barbara); Milana, Juan Pablo (National University of San Juan)",31,9,,3.62,,https://app.dimensions.ai/details/publication/pub.1002847776,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
