,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Matthew E Rioux. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1104690317,10.1130/abs/2018rm-314382,,,DETRITAL ZIRCON GEOCHRONOLOGY AND GEOCHEMISTRY OF NACIMIENTO BLOCK FOREARC STRATA: IMPLICATIONS FOR THE PALEOGEOGRAPHY OF THE LATE MESOZOIC SOUTHERN CALIFORNIA MARGIN,Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Johnston, Scott M.; Kylander-Clark, Andrew R.C.; Rioux, Matthew",,"Johnston, Scott M. (); Kylander-Clark, Andrew R.C. (); Rioux, Matthew ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104690317,,,,,,
2,100,pub.1026883913,10.1016/j.epsl.2016.06.051,,,Synchronous formation of the metamorphic sole and igneous crust of the Semail ophiolite: New constraints on the tectonic evolution during ophiolite formation from high-precision U–Pb zircon geochronology,Earth and Planetary Science Letters,,,2016-10,2016,451,Geochem. Geophys. Geosyst. 4 2003,185-195,All OA; Gold,Article,"Rioux, Matthew; Garber, Joshua; Bauer, Ann; Bowring, Samuel; Searle, Michael; Kelemen, Peter; Hacker, Bradley","Rioux, Matthew","Rioux, Matthew (University of California, Santa Barbara); Garber, Joshua (University of California, Santa Barbara); Bauer, Ann (Massachusetts Institute of Technology); Bowring, Samuel (Massachusetts Institute of Technology); Searle, Michael (University of Oxford); Kelemen, Peter (Lamont-Doherty Earth Observatory); Hacker, Bradley (University of California, Santa Barbara)",34,28,,8.38,https://manuscript.elsevier.com/S0012821X16303387/pdf/S0012821X16303387.pdf,https://app.dimensions.ai/details/publication/pub.1026883913,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
3,100,pub.1025815957,10.1016/j.epsl.2016.05.047,,,"The temporal and spatial distribution of magmatism during lower crustal accretion at an ultraslow-spreading ridge: High-precision U–Pb zircon dating of ODP Holes 735B and 1105A, Atlantis Bank, Southwest Indian Ridge",Earth and Planetary Science Letters,,,2016-09,2016,449,Geophys. Res. Lett. 28 2001,395-406,All OA; Gold,Article,"Rioux, Matthew; Cheadle, Michael J.; John, Barbara E.; Bowring, Samuel A.","Rioux, Matthew","Rioux, Matthew (University of California, Santa Barbara; Massachusetts Institute of Technology); Cheadle, Michael J. (University of Wyoming); John, Barbara E. (University of Wyoming); Bowring, Samuel A. (Massachusetts Institute of Technology)",5,4,,1.34,https://manuscript.elsevier.com/S0012821X16302722/pdf/S0012821X16302722.pdf,https://app.dimensions.ai/details/publication/pub.1025815957,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
4,100,pub.1044276911,10.1007/s00410-015-1208-6,,,"The link between volcanism and plutonism in epizonal magma systems; high-precision U–Pb zircon geochronology from the Organ Mountains caldera and batholith, New Mexico",Contributions to Mineralogy and Petrology,,,2016-02,2016,171,2,13,"All OA; Green, Published",Article,"Rioux, Matthew; Farmer, G. Lang; Bowring, Samuel A.; Wooton, Kathleen M.; Amato, Jeffrey M.; Coleman, Drew S.; Verplanck, Philip L.","Rioux, Matthew","Rioux, Matthew (University of California, Santa Barbara; Massachusetts Institute of Technology); Farmer, G. Lang (University of Colorado Boulder); Bowring, Samuel A. (Massachusetts Institute of Technology); Wooton, Kathleen M. (University of North Carolina System); Amato, Jeffrey M. (New Mexico State University); Coleman, Drew S. (University of North Carolina System); Verplanck, Philip L. (United States Geological Survey)",7,6,,1.87,http://dspace.mit.edu/bitstream/1721.1/105197/1/410_2015_Article_1208.pdf,https://app.dimensions.ai/details/publication/pub.1044276911,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,100,pub.1053214287,10.1002/2015gc006027,,,"Crystallization depth beneath an oceanic detachment fault (ODP Hole 923A, Mid‐Atlantic Ridge)",Geochemistry Geophysics Geosystems,,,2016-01,2016,17,1,162-180,All OA; Gold,Article,"Lissenberg, C. Johan; Rioux, Matthew; MacLeod, Christopher J.; Bowring, Samuel A.; Shimizu, Nobumichi",,"Lissenberg, C. Johan (Cardiff University); Rioux, Matthew (University of California, Santa Barbara); MacLeod, Christopher J. (Cardiff University); Bowring, Samuel A. (Massachusetts Institute of Technology); Shimizu, Nobumichi (Woods Hole Oceanographic Institution)",2,1,,0.54,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015GC006027,https://app.dimensions.ai/details/publication/pub.1053214287,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,100,pub.1039755398,10.1130/ges01199.1,,,"Structure and metamorphism beneath the obducting Oman ophiolite: Evidence from the Bani Hamid granulites, northern Oman mountains",Geosphere,,,2015-12,2015,11,6,1812-1836,All OA; Gold,Article,"Searle, M.P.; Waters, D.J.; Garber, J.M.; Rioux, M.; Cherry, A.G.; Ambrose, T.K.",,"Searle, M.P. (University of Oxford); Waters, D.J. (University of Oxford); Garber, J.M. (University of California, Santa Barbara); Rioux, M. (University of California, Santa Barbara); Cherry, A.G. (University of Oxford); Ambrose, T.K. (University of Oxford)",11,7,,2.26,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/11/6/1812/4333736/1812.pdf,https://app.dimensions.ai/details/publication/pub.1039755398,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,100,pub.1014298080,10.1016/j.epsl.2015.07.058,,,Distinctly different parental magmas for calc-alkaline plutons and tholeiitic lavas in the central and eastern Aleutian arc,Earth and Planetary Science Letters,,,2015-12,2015,431,Tectonophysics 161 1989,119-126,All OA; Gold,Article,"Cai, Yue; Rioux, Matthew; Kelemen, Peter B.; Goldstein, Steven L.; Bolge, Louise; Kylander-Clark, Andrew R.C.","Cai, Yue","Cai, Yue (Lamont-Doherty Earth Observatory); Rioux, Matthew (University of California, Santa Barbara); Kelemen, Peter B. (Lamont-Doherty Earth Observatory; Columbia University); Goldstein, Steven L. (Lamont-Doherty Earth Observatory; Columbia University); Bolge, Louise (Lamont-Doherty Earth Observatory); Kylander-Clark, Andrew R.C. (University of California, Santa Barbara)",12,6,,2.23,https://manuscript.elsevier.com/S0012821X15005014/pdf/S0012821X15005014.pdf,https://app.dimensions.ai/details/publication/pub.1014298080,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
8,100,pub.1035543142,10.1002/2014jb011668,,,"U‐Pb dating of interspersed gabbroic magmatism and hydrothermal metamorphism during lower crustal accretion, Vema lithospheric section, Mid‐Atlantic Ridge",Journal of Geophysical Research Solid Earth,,,2015-04,2015,120,4,2093-2118,All OA; Gold,Article,"Rioux, Matthew; Jöns, Niels; Bowring, Samuel; Lissenberg, C. Johan; Bach, Wolfgang; Kylander‐Clark, Andrew; Hacker, Bradley; Dudás, Frank",,"Rioux, Matthew (Massachusetts Institute of Technology; University of California, Santa Barbara); Jöns, Niels (University of Bremen; Ruhr University Bochum); Bowring, Samuel (Massachusetts Institute of Technology); Lissenberg, C. Johan (Cardiff University); Bach, Wolfgang (University of Bremen); Kylander‐Clark, Andrew (University of California, Santa Barbara); Hacker, Bradley (University of California, Santa Barbara); Dudás, Frank (Massachusetts Institute of Technology)",7,2,,1.3,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014JB011668,https://app.dimensions.ai/details/publication/pub.1035543142,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
9,100,pub.1048605805,10.1016/j.chemgeo.2015.01.011,,,Evidence for initial excess 231Pa in mid-ocean ridge zircons,Chemical Geology,,,2015-03,2015,397,Chem. Geol. 109 1–4 1993,143-156,Closed,Article,"Rioux, Matthew; Bowring, Samuel; Cheadle, Michael; John, Barbara","Rioux, Matthew","Rioux, Matthew (Massachusetts Institute of Technology; University of California, Santa Barbara); Bowring, Samuel (Massachusetts Institute of Technology); Cheadle, Michael (University of Wyoming); John, Barbara (University of Wyoming)",14,5,,2.87,,https://app.dimensions.ai/details/publication/pub.1048605805,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
