,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Matthew G Jackson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1111783225,10.1177/0003702819830793,30700109,,"Shipboard Characterization of Tuvalu, Samoa, and Lau Dredge Samples Using Laser-Induced Breakdown Spectroscopy (LIBS)",Applied Spectroscopy,,,2019-06,2019,73,6,623-637,Closed,Article,"Konter, Jasper G.; Finlayson, Valerie A.; Engel, Jacqueline; Jackson, Matthew G.; Koppers, Anthony A. P.; Sharma, Shiv K.",,"Konter, Jasper G. (University of Hawaii at Manoa); Finlayson, Valerie A. (University of Hawaii at Manoa); Engel, Jacqueline (The University of Texas at El Paso; Golder Associates (United States)); Jackson, Matthew G. (University of California, Santa Barbara); Koppers, Anthony A. P. (Oregon State University); Sharma, Shiv K. (University of Hawaii at Manoa)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111783225,09 Engineering; 03 Chemical Sciences; 0301 Analytical Chemistry; 0913 Mechanical Engineering,09 Engineering,03 Chemical Sciences,0301 Analytical Chemistry,0913 Mechanical Engineering,
2,100,pub.1112142324,10.1016/j.gca.2019.02.010,,,Isotopic fractionation of zirconium during magmatic differentiation and the stable isotope composition of the silicate Earth,Geochimica et Cosmochimica Acta,,,2019-04,2019,250,Earth and Planetary Science Letters 449 2016,311-323,All OA; Gold,Article,"Inglis, Edward C.; Moynier, Frédéric; Creech, John; Deng, Zhengbin; Day, James M.D.; Teng, Fang-Zhen; Bizzarro, Martin; Jackson, Matthew; Savage, Paul","Inglis, Edward C.","Inglis, Edward C. (French National Centre for Scientific Research); Moynier, Frédéric (French National Centre for Scientific Research; Institut Universitaire de France); Creech, John (French National Centre for Scientific Research; Macquarie University); Deng, Zhengbin (French National Centre for Scientific Research); Day, James M.D. (Scripps Institution of Oceanography); Teng, Fang-Zhen (University of Washington); Bizzarro, Martin (University of Copenhagen); Jackson, Matthew (University of California, Santa Barbara); Savage, Paul (University of St Andrews)",1,1,,,https://doi.org/10.1016/j.gca.2019.02.010,https://app.dimensions.ai/details/publication/pub.1112142324,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
3,100,pub.1111979154,10.1016/j.epsl.2019.01.040,,,Extreme enriched and heterogeneous 87Sr/86Sr ratios recorded in magmatic plagioclase from the Samoan hotspot,Earth and Planetary Science Letters,,,2019-04,2019,511,Nature 336 1988,190-201,Closed,Article,"Edwards, M.A.; Jackson, M.G.; Kylander-Clark, A.R.C.; Harvey, J.; Hagen-Peter, G.A.; Seward, G.G.E.; Till, C.B.; Adams, J.V.; Cottle, J.M.; Hacker, B.R.; Spera, F.J.","Edwards, M.A.","Edwards, M.A. (University of California, Santa Barbara); Jackson, M.G. (University of California, Santa Barbara); Kylander-Clark, A.R.C. (University of California, Santa Barbara); Harvey, J. (University of Leeds); Hagen-Peter, G.A. (Aarhus University); Seward, G.G.E. (University of California, Santa Barbara); Till, C.B. (Arizona State University); Adams, J.V. (University of California, Santa Barbara); Cottle, J.M. (University of California, Santa Barbara); Hacker, B.R. (University of California, Santa Barbara); Spera, F.J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111979154,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
4,100,pub.1112091597,10.1029/2018gc007985,,,"“Petit Spot” Rejuvenated Volcanism Superimposed on Plume‐Derived Samoan Shield Volcanoes: Evidence From a 645‐m Drill Core From Tutuila Island, American Samoa",Geochemistry Geophysics Geosystems,,,2019-03,2019,20,3,1485-1507,Closed,Article,"Reinhard, Andrew A.; Jackson, Matthew G.; Blusztajn, Jerzy; Koppers, Anthony A. P.; Simms, Alexander R.; Konter, Jasper G.",,"Reinhard, Andrew A. (University of California, Santa Barbara); Jackson, Matthew G. (University of California, Santa Barbara); Blusztajn, Jerzy (Woods Hole Oceanographic Institution); Koppers, Anthony A. P. (Oregon State University); Simms, Alexander R. (University of California, Santa Barbara); Konter, Jasper G. (University of Hawaii at Manoa)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112091597,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
5,100,pub.1107889205,10.1016/j.gca.2018.10.013,,,Helium distributions in ocean island basalt olivines revealed by X-ray computed tomography and single-grain crushing experiments,Geochimica et Cosmochimica Acta,,,2019-01,2019,244,Journal of Petrology 38 1997,467-477,"All OA; Green, Accepted & Submitted",Article,"Horton, Forrest; Farley, Kenneth; Jackson, Matthew",,"Horton, Forrest (Woods Hole Oceanographic Institution); Farley, Kenneth (California Institute of Technology); Jackson, Matthew (University of California, Santa Barbara)",1,1,,,https://authors.library.caltech.edu/90456/1/1-s2.0-S0016703718305994-main.pdf,https://app.dimensions.ai/details/publication/pub.1107889205,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
6,500,pub.1101148851,10.1038/s41467-018-03277-x,29487287,PMC5829163,On the relative motions of long-lived Pacific mantle plumes,Nature Communications,,,2018-12,2018,9,1,854,All OA; Gold,Article,"Konrad, Kevin; Koppers, Anthony A. P.; Steinberger, Bernhard; Finlayson, Valerie A.; Konter, Jasper G.; Jackson, Matthew G.","Konrad, Kevin","Konrad, Kevin (Oregon State University); Koppers, Anthony A. P. (Oregon State University); Steinberger, Bernhard (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Finlayson, Valerie A. (University of Hawaii at Manoa); Konter, Jasper G. (University of Hawaii at Manoa); Jackson, Matthew G. (University of California, Santa Barbara)",15,15,,,https://www.nature.com/articles/s41467-018-03277-x.pdf,https://app.dimensions.ai/details/publication/pub.1101148851,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
7,100,pub.1106285092,10.1016/j.epsl.2018.08.020,,,Sr–Pb–Nd–Hf isotopes and 40Ar/39Ar ages reveal a Hawaii–Emperor-style bend in the Rurutu hotspot,Earth and Planetary Science Letters,,,2018-10,2018,500,Nat. Geosci. 8 2015,168-179,Closed,Article,"Finlayson, V.A.; Konter, J.G.; Konrad, K.; Koppers, A.A.P.; Jackson, M.G.; Rooney, T.O.","Finlayson, V.A.","Finlayson, V.A. (University of Hawaii at Manoa); Konter, J.G. (University of Hawaii at Manoa); Konrad, K. (Oregon State University); Koppers, A.A.P. (Oregon State University); Jackson, M.G. (University of California, Santa Barbara); Rooney, T.O. (Michigan State University)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1106285092,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1106458158,10.1029/2018gc007552,,,Geochemistry and Distribution of Recycled Domains in the Mantle Inferred From Nd and Pb Isotopes in Oceanic Hot Spots: Implications for Storage in the Large Low Shear Wave Velocity Provinces,Geochemistry Geophysics Geosystems,,,2018-09,2018,19,9,3496-3519,Closed,Article,"Jackson, M. G.; Becker, T. W.; Konter, J. G.",,"Jackson, M. G. (University of California, Santa Barbara); Becker, T. W. (The University of Texas at Austin); Konter, J. G. ()",3,3,,,,https://app.dimensions.ai/details/publication/pub.1106458158,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1105943743,10.1016/j.chemgeo.2018.07.034,,,Sr and Nd isotopic compositions of individual olivine-hosted melt inclusions from Hawai'i and Samoa: Implications for the origin of isotopic heterogeneity in melt inclusions from OIB lavas,Chemical Geology,,,2018-09,2018,495,Geochem. Geophys. Geosyst. 4 3 2003,36-49,Closed,Article,"Reinhard, A.A.; Jackson, M.G.; Koornneef, J.M.; Rose-Koga, E.F.; Blusztajn, J.; Konter, J.G.; Koga, K.T.; Wallace, P.J.; Harvey, J.","Reinhard, A.A.","Reinhard, A.A. (); Jackson, M.G. (); Koornneef, J.M. (VU University Amsterdam); Rose-Koga, E.F. (University of Clermont Auvergne); Blusztajn, J. (Woods Hole Oceanographic Institution); Konter, J.G. (University of Hawaii at Manoa); Koga, K.T. (University of Clermont Auvergne); Wallace, P.J. (University of Oregon); Harvey, J. (University of Leeds)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1105943743,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
