,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Michael F Goodchild. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1122678272,10.1007/978-981-32-9915-3_26,,,Digital Earth Challenges and Future Trends,,Manual of Digital Earth,,2020,2020,,,811-827,Closed,Chapter,"van Genderen, John; Goodchild, Michael F.; Guo, Huadong; Yang, Chaowei; Nativi, Stefano; Wang, Lizhe; Wang, Cuizhen","van Genderen, John","van Genderen, John (University of Twente); Goodchild, Michael F. (University of California, Santa Barbara); Guo, Huadong (Institute of Remote Sensing and Digital Earth); Yang, Chaowei (George Mason University); Nativi, Stefano (Joint Research Centre); Wang, Lizhe (China University of Geosciences); Wang, Cuizhen (University of South Carolina)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122678272,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1121996244,10.1007/978-3-030-02438-3_40,,,Mapping Language in the Age of GIS,,Handbook of the Changing World Language Map,,2020,2020,,,3673-3682,Closed,Chapter,"Goodchild, Michael F.","Goodchild, Michael F.","Goodchild, Michael F. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121996244,"2004 Linguistics; 20 Language, Communication and Culture",2004 Linguistics,"20 Language, Communication and Culture",,,
3,200,pub.1121624388,10.1080/13658816.2019.1673397,,,Real-time GIS for smart cities,International Journal of Geographical Information Science,,,10/9/19,2019,,,14-Jan,Closed,Article,"Li, Wenwen; Batty, Michael; Goodchild, Michael F.",,"Li, Wenwen (Arizona State University); Batty, Michael (University College London); Goodchild, Michael F. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121624388,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
4,100,pub.1117967177,10.1111/cag.12554,,,Geography and geographic information science: An evolving relationship,Canadian Geographer / Le Géographe canadien,,,7/12/19,2019,,,,All OA; Gold,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cag.12554,https://app.dimensions.ai/details/publication/pub.1117967177,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
5,100,pub.1114054331,10.1111/gere.12359,,,Commentaries on “Evaluating the Geographic in GIS”,Geographical Review,,,7/1/19,2019,109,3,308-320,All OA; Gold,Article,"Warren, Stacy; Harris, Trevor; Goodchild, Michael; Solís, Patricia",,"Warren, Stacy (); Harris, Trevor (); Goodchild, Michael (); Solís, Patricia ()",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/gere.12359,https://app.dimensions.ai/details/publication/pub.1114054331,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
6,200,pub.1113078164,10.3138/cart.54.1.preface,,,Preface,Cartographica The International Journal for Geographic Information and Geovisualization,,,2019-03,2019,54,1,3-Jan,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113078164,,,,,,
7,100,pub.1119412662,,,,Big Data and Geospatial Analysis,arXiv,,,2/2/19,2019,,,,"All OA; Green, Accepted & Submitted",Preprint,"Lansley, Guy; de Smith, Michael; Goodchild, Michael; Longley, Paul",,"Lansley, Guy (); de Smith, Michael (); Goodchild, Michael (); Longley, Paul ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1119412662,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
8,200,pub.1110152209,10.1007/978-3-642-36203-3_61-1,,,Geographic Information Science,,Handbook of Regional Science,,2019,2019,,,18-Jan,All OA; Gold,Chapter,"Goodchild, Michael F.; Longley, Paul A.",,"Goodchild, Michael F. (); Longley, Paul A. ()",0,0,,,https://link.springer.com/content/pdf/10.1007%2F978-3-642-36203-3_61-1.pdf,https://app.dimensions.ai/details/publication/pub.1110152209,,,,,,
9,100,pub.1105150544,10.1007/978-94-024-1531-5_6,,,Integrating GIScience Application Through Mashup,The GeoJournal Library,CyberGIS for Geospatial Discovery and Innovation,,2019,2019,118,,87-112,Closed,Chapter,"Yang, Chaowei; Fu, Pinde; Goodchild, Michael F.; Xu, Chen","Yang, Chaowei","Yang, Chaowei (George Mason University); Fu, Pinde (Environmental Systems Research Institute (United States)); Goodchild, Michael F. (University of California, Santa Barbara); Xu, Chen (George Mason University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1105150544,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0801 Artificial Intelligence and Image Processing
10,100,pub.1105141054,10.1007/978-94-024-1531-5_1,,,CyberGIS for Transforming Geospatial Discovery and Innovation,The GeoJournal Library,CyberGIS for Geospatial Discovery and Innovation,,2019,2019,118,,10-Mar,Closed,Chapter,"Wang, Shaowen; Goodchild, Michael F.","Wang, Shaowen","Wang, Shaowen (University of Illinois at Urbana Champaign); Goodchild, Michael F. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1105141054,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
11,100,pub.1105138998,10.1007/978-94-024-1531-5_10,,,A Smart Service-Oriented CyberGIS Framework for Solving Data-Intensive Geospatial Problems,The GeoJournal Library,CyberGIS for Geospatial Discovery and Innovation,,2019,2019,118,,189-211,Closed,Chapter,"Li, Wenwen; Goodchild, Michael F.; Anselin, Luc; Weber, Keith T.","Li, Wenwen","Li, Wenwen (Arizona State University); Goodchild, Michael F. (University of California, Santa Barbara); Anselin, Luc (); Weber, Keith T. (Idaho State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105138998,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
12,100,pub.1101003751,10.1080/24694452.2017.1416281,,,A GIScience Perspective on the Uncertainty of Context,Annals of the American Association of Geographers,,,11/2/18,2018,108,6,6-Jan,Closed,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1101003751,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
13,100,pub.1101061294,10.1080/13658816.2018.1440397,,,GIScience for a driverless age,International Journal of Geographical Information Science,,,5/4/18,2018,32,5,7-Jan,All OA; Gold,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",2,2,,,https://www.tandfonline.com/doi/pdf/10.1080/13658816.2018.1440397?needAccess=true,https://app.dimensions.ai/details/publication/pub.1101061294,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
14,100,pub.1100428058,10.1080/19475683.2018.1424737,,,Reimagining the history of GIS,Annals of GIS,,,1/2/18,2018,24,1,8-Jan,All OA; Gold,Article,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",12,12,,,https://www.tandfonline.com/doi/pdf/10.1080/19475683.2018.1424737?needAccess=true,https://app.dimensions.ai/details/publication/pub.1100428058,04 Earth Sciences,04 Earth Sciences,,,,
15,200,pub.1104521989,10.1007/978-1-4939-7131-2_322,,,Spatiotemporal Footprints in Social Networks,,Encyclopedia of Social Network Analysis and Mining,,2018,2018,,,2896-2904,Closed,Chapter,"Li, Linna; Goodchild, Michael F.",,"Li, Linna (California State University, Long Beach); Goodchild, Michael F. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104521989,,,,,,
16,100,pub.1107054240,10.1007/978-3-319-73400-2_40-1,,,Mapping Language in the Age of GIS,,Handbook of the Changing World Language Map,,2018,2018,,,10-Jan,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107054240,"2004 Linguistics; 20 Language, Communication and Culture",2004 Linguistics,"20 Language, Communication and Culture",,,
17,100,pub.1101016849,10.1007/978-3-319-72478-2_33,,,"Territory, Geographic Information, and the Map",The Frontiers Collection,The Map and the Territory,,2018,2018,,,609-627,Closed,Chapter,"Janelle, Donald G.; Goodchild, Michael F.","Janelle, Donald G.","Janelle, Donald G. (University of California, Santa Barbara); Goodchild, Michael F. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1101016849,08 Information and Computing Sciences; 0804 Data Format,08 Information and Computing Sciences,0804 Data Format,,,
18,200,pub.1020088237,10.1111/tgis.12242,,,New questions and a changing focus in advanced VGI research,Transactions in GIS,,,2017-04,2017,21,2,189-190,Closed,Article,"Goodchild, Michael F.; Aubrecht, Christoph; Bhaduri, Budhendra",,"Goodchild, Michael F. (University of California, Santa Barbara); Aubrecht, Christoph (Austrian Institute of Technology); Bhaduri, Budhendra (Oak Ridge National Laboratory)",4,3,,2.38,,https://app.dimensions.ai/details/publication/pub.1020088237,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
19,100,pub.1087291006,10.1002/9781118786352.wbieg0753,,,Point‐of‐Interest Databases and Gazetteers,,"International Encyclopedia of Geography: People, the Earth, Environment and Technology",,3/6/17,2017,,,11-Jan,Closed,Chapter,"Goodchild, Michael F.",,"Goodchild, Michael F. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1087291006,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
