,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Michael Freeston. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1018026951,10.1145/996350.996451,,,DialogPlus: digital libraries in support of innovative approaches to learning and teaching in geography,,Proceedings of the 2004 joint ACM/IEEE conference on Digital libraries  - JCDL '04,,2004,2004,,,385-385,Closed,Proceeding,"Freeston, Michael; Davis, Hugh",,"Freeston, Michael (University of California, Santa Barbara); Davis, Hugh (University of Southampton)",1,0,,0.25,,https://app.dimensions.ai/details/publication/pub.1018026951,08 Information and Computing Sciences; 1303 Specialist Studies In Education; 13 Education; 0806 Information Systems,08 Information and Computing Sciences,1303 Specialist Studies In Education,13 Education,0806 Information Systems,
2,100,pub.1003990346,10.1145/996350.996477,,,The Alexandria Digital Library and the alexandria digital earth prototype,,Proceedings of the 2004 joint ACM/IEEE conference on Digital libraries  - JCDL '04,,2004,2004,,,410-410,Closed,Proceeding,"Freeston, Michael",,"Freeston, Michael (University of California, Santa Barbara)",4,0,,1.04,,https://app.dimensions.ai/details/publication/pub.1003990346,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
3,100,pub.1049440539,10.1007/978-3-540-45175-4_28,,,The ADEPT Concept-Based Digital Learning Environment,Lecture Notes in Computer Science,Research and Advanced Technology for Digital Libraries,,2003,2003,2769,,300-312,Closed,Chapter,"Smith, T. R.; Ancona, D.; Buchel, O.; Freeston, M.; Heller, W.; Nottrott, R.; Tierney, T.; Ushakov, A.",,"Smith, T. R. (University of California, Santa Barbara); Ancona, D. (University of California, Santa Barbara); Buchel, O. (University of California, Santa Barbara); Freeston, M. (University of California, Santa Barbara); Heller, W. (University of California, Santa Barbara); Nottrott, R. (University of California, Santa Barbara); Tierney, T. (University of California, Santa Barbara); Ushakov, A. (University of California, Santa Barbara)",7,0,,2.05,,https://app.dimensions.ai/details/publication/pub.1049440539,1302 Curriculum and Pedagogy; 13 Education,1302 Curriculum and Pedagogy,13 Education,,,
4,100,pub.1012133669,10.1145/544220.544355,,,"Structured models of scientific concepts for organizing, accessing, and using learning materials",,Proceedings of the second ACM/IEEE-CS joint conference on Digital libraries  - JCDL '02,,2002,2002,,,407-407,Closed,Proceeding,"Smith, Terence R.; Zeng, Marcia L.; Agapova, Olga; Buchel, Olha; Freeston, Michael; Frew, Jim; Hill, Linda; Smart, Laura; Tierney, Tim; Ushakov, Alex",,"Smith, Terence R. (); Zeng, Marcia L. (Kent State University); Agapova, Olga (); Buchel, Olha (); Freeston, Michael (); Frew, Jim (); Hill, Linda (); Smart, Laura (); Tierney, Tim (); Ushakov, Alex ()",4,1,,1.26,,https://app.dimensions.ai/details/publication/pub.1012133669,1302 Curriculum and Pedagogy; 13 Education,1302 Curriculum and Pedagogy,13 Education,,,
5,100,pub.1028658026,10.1007/3-540-44796-2_39,,,What’s Holding Up the Development of Georeferenced DLs? (Panel 1),Lecture Notes in Computer Science,Research and Advanced Technology for Digital Libraries,,2001,2001,2163,,458-458,Closed,Chapter,"Freeston, Michael; Hill, Linda L.",,"Freeston, Michael (University of Aberdeen); Hill, Linda L. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1028658026,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
6,100,pub.1085145118,10.1007/pl00021470,,,The Alexandria Digital Library architecture,International Journal on Digital Libraries,,,2000-05,2000,2,4,259-268,Closed,Article,"Frew, J.; Freeston, M.; Freitas, N.; Hill, L.; Janée, G.; Lovette, K.; Nideffer, R.; Smith, T.; Zheng, Q.",,"Frew, J. (University of California, Santa Barbara); Freeston, M. (University of Aberdeen); Freitas, N. (University of California, Santa Barbara); Hill, L. (University of California, Santa Barbara); Janée, G. (University of California, Santa Barbara); Lovette, K. (University of California, Santa Barbara); Nideffer, R. (University of California, Irvine); Smith, T. (University of California, Santa Barbara); Zheng, Q. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1085145118,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
7,100,pub.1015278543,10.1007/3-540-48309-8_99,,,More BANG for Your Buck: A Performance Comparison of BANG and R* Spatial Indexing,Lecture Notes in Computer Science,Database and Expert Systems Applications,,1999,1999,1677,,1052-1065,"All OA; Green, Accepted & Submitted",Chapter,"Freeston, Michael; Geffner, Steven; Horhammer, Mike",,"Freeston, Michael (University of California, Santa Barbara); Geffner, Steven (University of California, Santa Barbara); Horhammer, Mike (University of California, Santa Barbara)",1,0,,,http://alexandria.sdc.ucsb.edu/~freeston/papers/dexa99.pdf,https://app.dimensions.ai/details/publication/pub.1015278543,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
8,100,pub.1008098151,10.1007/3-540-48482-5_6,,,Spatial Indexing with a Scale Dimension,Lecture Notes in Computer Science,Advances in Spatial Databases,,1999,1999,1651,,52-71,Closed,Chapter,"HÖrhammer, Mike; Freeston, Michael",,"HÖrhammer, Mike (University of California, Santa Barbara); Freeston, Michael (University of California, Santa Barbara)",7,0,,,,https://app.dimensions.ai/details/publication/pub.1008098151,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
9,100,pub.1048463089,10.1007/s007990050029,,,Scalable access within the context of digital libraries,International Journal on Digital Libraries,,,1998-03,1998,1,4,358-376,"All OA; Green, Accepted & Submitted",Article,"Cheng, X.; Dolin, R.; Neary, M.; Prabhakar, S.; Ravi Kanth, K. V.; Wu, D.; Agrawal, D.; El Abbadi, A.; Freeston, M.; Singh, A.; Smith, T.; Su, J.",,"Cheng, X. (University of California, Santa Barbara); Dolin, R. (University of California, Santa Barbara); Neary, M. (University of California, Santa Barbara); Prabhakar, S. (University of California, Santa Barbara); Ravi Kanth, K. V. (University of California, Santa Barbara); Wu, D. (University of California, Santa Barbara); Agrawal, D. (University of California, Santa Barbara); El Abbadi, A. (University of California, Santa Barbara); Freeston, M. (University of California, Santa Barbara); Singh, A. (University of California, Santa Barbara); Smith, T. (University of California, Santa Barbara); Su, J. (University of California, Santa Barbara)",1,0,,,http://www.cs.ucsb.edu/~danielw/Papers/adl97.ps,https://app.dimensions.ai/details/publication/pub.1048463089,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
