,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Nicole A Molinari. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1115035606,10.3375/043.039.0211,,,Fire Regime Alteration in Natural Areas Underscores the Need to Restore a Key Ecological Process,Natural Areas Journal,,,2019-05-21,2019,39,2,250-263,Closed,Article,"Coppoletta, Michelle; Safford, Hugh D.; Estes, Becky L.; Meyer, Marc D.; Gross, Shana E.; Merriam, Kyle E.; Butz, Ramona J.; Molinari, Nicole A.",,"Coppoletta, Michelle (); Safford, Hugh D. (University of California, Davis); Estes, Becky L. (); Meyer, Marc D. (); Gross, Shana E. (); Merriam, Kyle E. (); Butz, Ramona J. (); Molinari, Nicole A. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1115035606,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
2,200,pub.1107329508,10.1002/bes2.1460,,,Global Change and the Vulnerability of Chaparral Ecosystems,Bulletin of the Ecological Society of America,,,2018-10,2018,99,4,e01460,All OA; Gold,Article,"Underwood, Emma C.; Franklin, Janet; Molinari, Nicole A.; Safford, Hugh D.",,"Underwood, Emma C. (University of California, Davis; University of Southampton); Franklin, Janet (University of California, Riverside); Molinari, Nicole A. (); Safford, Hugh D. (University of California, Davis)",0,0,,,https://doi.org/10.1002/bes2.1460,https://app.dimensions.ai/details/publication/pub.1107329508,,,,,,
3,100,pub.1100476003,10.1007/s10530-018-1668-5,,,Mechanisms of influence of invasive grass litter on germination and growth of coexisting species in California,Biological Invasions,,,2018-07,2018,20,7,1881-1897,Closed,Article,"Chen, Bao-Ming; D’Antonio, Carla M.; Molinari, Nicole; Peng, Shao-Lin","Chen, Bao-Ming","Chen, Bao-Ming (Sun Yat-sen University); D’Antonio, Carla M. (University of California, Santa Barbara); Molinari, Nicole (University of California, Santa Barbara); Peng, Shao-Lin (Sun Yat-sen University)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1100476003,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
4,100,pub.1103194904,10.1007/978-3-319-68303-4_14,,,Climate Change Trends for Chaparral,Springer Series on Environmental Management,Valuing Chaparral,,2018,2018,,,385-409,Closed,Chapter,"Molinari, Nicole A.; Underwood, Emma C.; Kim, John B.; Safford, Hugh D.","Molinari, Nicole A.","Molinari, Nicole A. (); Underwood, Emma C. (University of Southampton; University of California, Davis); Kim, John B. (Pacific Northwest Research Station); Safford, Hugh D. (University of Southampton; University of California, Davis)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1103194904,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
5,100,pub.1103194481,10.1007/978-3-319-68303-4_16,,,"Summary: The Past, Present, and Future of California Chaparral",Springer Series on Environmental Management,Valuing Chaparral,,2018,2018,,,449-454,Closed,Chapter,"Safford, Hugh D.; Underwood, Emma C.; Molinari, Nicole A.; Keeley, Jon E.","Safford, Hugh D.","Safford, Hugh D. (University of California, Davis); Underwood, Emma C. (University of California, Davis; University of Southampton); Molinari, Nicole A. (); Keeley, Jon E. (United States Geological Survey; University of California Los Angeles)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103194481,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
6,100,pub.1103191551,10.1007/978-3-319-68303-4_15,,,Managing Chaparral Resources on Public Lands,Springer Series on Environmental Management,Valuing Chaparral,,2018,2018,,,411-448,Closed,Chapter,"Safford, Hugh D.; Underwood, Emma C.; Molinari, Nicole A.","Safford, Hugh D.","Safford, Hugh D. (University of California, Davis); Underwood, Emma C. (University of California, Davis; University of Southampton); Molinari, Nicole A. ()",3,3,,,,https://app.dimensions.ai/details/publication/pub.1103191551,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
7,400,pub.1033777645,10.1890/14-2023.1,26649386,,Controls over native perennial grass exclusion and persistence in California grasslands invaded by annuals,Ecology,,"California; Computer Simulation; Grassland; Introduced Species; Models, Biological; Poaceae; Species Specificity; Uncertainty",2015-10,2015,96,10,2643-2652,All OA; Gold,Article,"Mordecai, Erin A.; Molinari, Nicole A.; Stahlheber, Karen A.; Gross, Kevin; D'Antonio, Carla",,"Mordecai, Erin A. (University of North Carolina System); Molinari, Nicole A. (University of California, Santa Barbara); Stahlheber, Karen A. (University of California, Santa Barbara); Gross, Kevin (); D'Antonio, Carla (University of California, Santa Barbara)",6,2,0,1.32,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/14-2023.1,https://app.dimensions.ai/details/publication/pub.1033777645,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
8,100,pub.1006064749,10.1111/1365-2435.12206,,,"Structural, compositional and trait differences between native‐ and non‐native‐dominated grassland patches",Functional Ecology,,,2014-06,2014,28,3,745-754,All OA; Gold,Article,"Molinari, Nicole A.; D'Antonio, Carla M.",,"Molinari, Nicole A. (University of California, Santa Barbara); D'Antonio, Carla M. (University of California, Santa Barbara)",11,5,,2.18,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12206,https://app.dimensions.ai/details/publication/pub.1006064749,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
9,400,pub.1034059968,10.1111/ele.12017,23062213,,Poised to prosper? A cross‐system comparison of climate change effects on native and non‐native species performance,Ecology Letters,,Carbon Dioxide; Climate Change; Ecosystem; Introduced Species; Plant Physiological Phenomena; Temperature,2013-02,2013,16,2,261-270,All OA; Gold,Article,"Sorte, Cascade J. B.; Ibáñez, Ines; Blumenthal, Dana M.; Molinari, Nicole A.; Miller, Luke P.; Grosholz, Edwin D.; Diez, Jeffrey M.; D'Antonio, Carla M.; Olden, Julian D.; Jones, Sierra J.; Dukes, Jeffrey S.",,"Sorte, Cascade J. B. (University of Massachusetts Boston); Ibáñez, Ines (University of Michigan); Blumenthal, Dana M. (Agricultural Research Service); Molinari, Nicole A. (University of California, Santa Barbara); Miller, Luke P. (Stanford University); Grosholz, Edwin D. (University of California, Davis); Diez, Jeffrey M. (Swiss Federal Institute of Technology in Zurich); D'Antonio, Carla M. (University of California, Santa Barbara); Olden, Julian D. (University of Washington); Jones, Sierra J. (University of South Carolina); Dukes, Jeffrey S. (Purdue University West Lafayette)",636,49,2.78,103.97,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12017,https://app.dimensions.ai/details/publication/pub.1034059968,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
