,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Norman B Nelson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1093075534,10.1002/lno.10753,,,Regional patterns of physiological condition determine giant kelp net primary production dynamics,Limnology and Oceanography,,,2018-01,2018,63,1,472-483,All OA; Gold,Article,"Bell, Tom W.; Reed, Daniel C.; Nelson, Norman B.; Siegel, David A.",,"Bell, Tom W. (); Reed, Daniel C. (); Nelson, Norman B. (); Siegel, David A. ()",2,2,,,https://doi.org/10.1002/lno.10753,https://app.dimensions.ai/details/publication/pub.1093075534,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
2,100,pub.1018335521,10.1016/j.dsr.2016.11.004,,,Seasonal to multi-decadal trends in apparent optical properties in the Sargasso Sea,Deep Sea Research Part I Oceanographic Research Papers,,,2017-01,2017,119,,58-67,Closed,Article,"Allen, James G.; Nelson, Norman B.; Siegel, David A.","Allen, James G.","Allen, James G. (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",3,3,,0.89,,https://app.dimensions.ai/details/publication/pub.1018335521,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,100,pub.1003078123,10.3389/fmars.2015.00118,,,Optical Signatures of Dissolved Organic Matter Transformation in the Global Ocean,Frontiers in Marine Science,,,1/7/16,2016,2,,118,All OA; Gold,Article,"Nelson, Norman B.; Gauglitz, Julia M.",,"Nelson, Norman B. (); Gauglitz, Julia M. ()",10,6,,2.09,https://www.frontiersin.org/articles/10.3389/fmars.2015.00118/pdf,https://app.dimensions.ai/details/publication/pub.1003078123,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1023961351,10.1016/b978-0-12-405940-5.00010-8,,,Chapter 10 The Optical Properties of DOM in the Ocean,,Biogeochemistry of Marine Dissolved Organic Matter,,2015,2015,,,481-508,"All OA; Green, Accepted & Submitted",Chapter,"Stedmon, Colin A.; Nelson, Norman B.",,"Stedmon, Colin A. (); Nelson, Norman B. (University of California, Santa Barbara)",62,35,,9.59,http://orbit.dtu.dk/en/publications/the-optical-properties-of-dom-in-the-ocean(370d9f80-556e-4104-adad-e9509e6f4adc).html,https://app.dimensions.ai/details/publication/pub.1023961351,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1032939120,10.1016/j.rse.2013.05.009,,,A model for remote estimation of ultraviolet absorption by chromophoric dissolved organic matter based on the global distribution of spectral slope,Remote Sensing of Environment,,,2013-09,2013,136,,277-285,Closed,Article,"Swan, Chantal M.; Nelson, Norman B.; Siegel, David A.; Fields, Erik A.","Swan, Chantal M.","Swan, Chantal M. (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Fields, Erik A. (University of California, Santa Barbara)",15,4,,1.8,,https://app.dimensions.ai/details/publication/pub.1032939120,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
6,400,pub.1050012261,10.1146/annurev-marine-120710-100751,22809178,,The Global Distribution and Dynamics of Chromophoric Dissolved Organic Matter,Annual Review of Marine Science,,Color; Ecosystem; Environmental Monitoring; Oceans and Seas; Optical Phenomena; Seawater,1/3/13,2013,5,1,447-476,Closed,Article,"Nelson, Norman B.; Siegel, David A.",,"Nelson, Norman B. (); Siegel, David A. (University of California, Santa Barbara)",175,66,2.62,20.93,,https://app.dimensions.ai/details/publication/pub.1050012261,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,200,pub.1046656434,10.4319/lo.2012.57.3.0895,,,Erratum: Diel carbon monoxide cycling in the upper Sargasso Sea near Bermuda at the onset of spring and in midsummer,Limnology and Oceanography,,,2012-05,2012,57,3,895-895,All OA; Gold,Article,"Zafiriou, Oliver C.; Xie, Huixiang; Nelson, Norman B.; Najjar, Raymond G.; Wang, Wei",,"Zafiriou, Oliver C. (); Xie, Huixiang (); Nelson, Norman B. (); Najjar, Raymond G. (); Wang, Wei ()",0,0,,,http://onlinelibrary.wiley.com/doi/10.4319/lo.2012.57.3.0895/pdf,https://app.dimensions.ai/details/publication/pub.1046656434,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
8,100,pub.1000497968,10.1016/j.dsr.2012.01.008,,,The effect of surface irradiance on the absorption spectrum of chromophoric dissolved organic matter in the global ocean,Deep Sea Research Part I Oceanographic Research Papers,,,2012-05,2012,63,,52-64,Closed,Article,"Swan, Chantal M.; Nelson, Norman B.; Siegel, David A.; Kostadinov, Tihomir S.","Swan, Chantal M.","Swan, Chantal M. (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Kostadinov, Tihomir S. (University of California, Santa Barbara)",33,8,,3.7,,https://app.dimensions.ai/details/publication/pub.1000497968,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
9,100,pub.1039940164,10.1029/2011eo460001,,,"Ocean deoxygenation: Past, present, and future",Eos,,,11/15/11,2011,92,46,409-410,Closed,Article,"Falkowski, Paul G.; Algeo, Thomas; Codispoti, Lou; Deutsch, Curtis; Emerson, Steven; Hales, Burke; Huey, Raymond B.; Jenkins, William J.; Kump, Lee R.; Levin, Lisa A.; Lyons, Timothy W.; Nelson, Norman B.; Schofield, Oscar S.; Summons, Roger; Talley, Lynne D.; Thomas, Ellen; Whitney, Frank; Pilcher, Carl B.",,"Falkowski, Paul G. (Rutgers, The State University of New Jersey); Algeo, Thomas (University of Cincinnati); Codispoti, Lou (University of Maryland Center For Environmental Sciences); Deutsch, Curtis (University of California Los Angeles); Emerson, Steven (University of Washington); Hales, Burke (Oregon State University); Huey, Raymond B. (University of Washington); Jenkins, William J. (Woods Hole Oceanographic Institution); Kump, Lee R. (Pennsylvania State University); Levin, Lisa A. (University of California, San Diego); Lyons, Timothy W. (University of California System); Nelson, Norman B. (University of California, Santa Barbara); Schofield, Oscar S. (Rutgers, The State University of New Jersey); Summons, Roger (Massachusetts Institute of Technology); Talley, Lynne D. (Scripps Institution of Oceanography); Thomas, Ellen (Yale University); Whitney, Frank (Fisheries and Oceans Canada); Pilcher, Carl B. ()",47,11,,5.01,,https://app.dimensions.ai/details/publication/pub.1039940164,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
10,100,pub.1015025820,10.1017/cbo9780511732263.019,,,In vivo bio-optical properties of phytoplankton pigments,,Phytoplankton Pigments,,2011,2011,,,496-537,Closed,Chapter,"Johnsen, Geir; Bricaud, Annick; Nelson, Norman; Prézelin, Barbara B.; Bidigare, Robert R.",,"Johnsen, Geir (); Bricaud, Annick (); Nelson, Norman (); Prézelin, Barbara B. (); Bidigare, Robert R. ()",14,4,,2.3,,https://app.dimensions.ai/details/publication/pub.1015025820,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
