,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Oliver A Chadwick. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113173392,10.1007/s10021-019-00361-1,,,Quantitative Analysis of Pedogenic Thresholds and Domains in Volcanic Soils,Ecosystems,,,2019-11,2019,22,7,1633-1649,Closed,Article,"Bateman, Jesse Bloom; Chadwick, Oliver A.; Vitousek, Peter M.","Bateman, Jesse Bloom","Bateman, Jesse Bloom (Stanford University; University of California Los Angeles); Chadwick, Oliver A. (University of California, Santa Barbara); Vitousek, Peter M. (Stanford University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113173392,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
2,100,pub.1113663093,10.5194/bg-2019-81,,,Strong correspondence between nitrogen isotope composition of foliage and chlorin across a rainfall gradient: Implications for paleo-reconstruction of the nitrogen cycle,Biogeosciences Discussions,,,2019-04-23,2019,,,1-26,All OA; Gold,Article,"Goulden, Sara K. E.; Ohkouchi, Naohiko; Freeman, Katherine H.; Chikaraishi, Yoshito; Ogawa, Nanako O.; Suga, Hisami; Chadwick, Oliver; Houlton, Benjamin Z.",,"Goulden, Sara K. E. (University of California, Davis); Ohkouchi, Naohiko (Japan Agency for Marine-Earth Science and Technology); Freeman, Katherine H. (Pennsylvania State University); Chikaraishi, Yoshito (Japan Agency for Marine-Earth Science and Technology); Ogawa, Nanako O. (Japan Agency for Marine-Earth Science and Technology); Suga, Hisami (Japan Agency for Marine-Earth Science and Technology); Chadwick, Oliver (University of California, Santa Barbara); Houlton, Benjamin Z. (University of California, Davis)",0,0,,,https://www.biogeosciences-discuss.net/bg-2019-81/bg-2019-81.pdf,https://app.dimensions.ai/details/publication/pub.1113663093,0402 Geochemistry; 0699 Other Biological Sciences; 0607 Plant Biology; 04 Earth Sciences; 06 Biological Sciences,0402 Geochemistry,0699 Other Biological Sciences,0607 Plant Biology,04 Earth Sciences,06 Biological Sciences
3,500,pub.1107924045,10.1007/s00442-018-4285-1,30377769,PMC6323096,"Nitrogen dynamics along a climate gradient on geologically old substrate, Kaua’i, Hawai’i",Oecologia,,Climate; Ecosystem; Forests; Nitrogen; Soil,2019-01,2019,189,1,211-219,All OA; Gold,Article,"Vitousek, Peter M.; Paulus, Elizabeth L.; Chadwick, Oliver A.","Vitousek, Peter M.","Vitousek, Peter M. (Stanford University); Paulus, Elizabeth L. (Stanford University); Chadwick, Oliver A. (University of California, Santa Barbara)",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs00442-018-4285-1.pdf,https://app.dimensions.ai/details/publication/pub.1107924045,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,500,pub.1106062601,10.1038/s41467-018-05731-2,30104647,PMC6089999,Combining spectroscopic and isotopic techniques gives a dynamic view of phosphorus cycling in soil,Nature Communications,,,2018-12,2018,9,1,3226,All OA; Gold,Article,"Helfenstein, Julian; Tamburini, Federica; von Sperber, Christian; Massey, Michael S.; Pistocchi, Chiara; Chadwick, Oliver A.; Vitousek, Peter M.; Kretzschmar, Ruben; Frossard, Emmanuel","Helfenstein, Julian","Helfenstein, Julian (Swiss Federal Institute of Technology in Zurich); Tamburini, Federica (Swiss Federal Institute of Technology in Zurich); von Sperber, Christian (University of Bonn; McGill University); Massey, Michael S. (California State University, East Bay); Pistocchi, Chiara (Functional Ecology and Biogeochemistry of Soils and Agrosystems); Chadwick, Oliver A. (University of California, Santa Barbara); Vitousek, Peter M. (Stanford University); Kretzschmar, Ruben (Swiss Federal Institute of Technology in Zurich); Frossard, Emmanuel (Swiss Federal Institute of Technology in Zurich)",9,9,,,https://www.nature.com/articles/s41467-018-05731-2.pdf,https://app.dimensions.ai/details/publication/pub.1106062601,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
5,100,pub.1110105638,10.1038/s41558-018-0341-4,,,Climate-driven thresholds in reactive mineral retention of soil carbon at the global scale,Nature Climate Change,,,2018-12,2018,8,12,1104-1108,Closed,Article,"Kramer, Marc G.; Chadwick, Oliver A.","Kramer, Marc G.","Kramer, Marc G. (Washington State University); Chadwick, Oliver A. (University of California, Santa Barbara)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1110105638,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
6,100,pub.1109771132,10.5194/hess-2018-534,,,Variation of deuterium excess in surface waters across a 5000-m elevation gradient in the east-central Himalaya,Hydrology and Earth System Sciences Discussions,,,2018-11-07,2018,,,1-20,All OA; Gold,Article,"Voss, Katalyn A.; Bookhagen, Bodo; Sachse, Dirk; Chadwick, Oliver A.",,"Voss, Katalyn A. (University of California, Santa Barbara); Bookhagen, Bodo (University of California, Santa Barbara; University of Potsdam); Sachse, Dirk (); Chadwick, Oliver A. (University of California, Santa Barbara)",0,0,,,https://www.hydrol-earth-syst-sci-discuss.net/hess-2018-534/hess-2018-534.pdf,https://app.dimensions.ai/details/publication/pub.1109771132,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
7,100,pub.1106862300,10.1130/g45176.1,,,Climatically controlled delivery and retention of meteoric 10Be in soils,Geology,,,2018-10-01,2018,46,10,899-902,"All OA; Green, Published",Article,"Dixon, Jean Louise; Chadwick, Oliver A.; Pavich, Milan J.",,"Dixon, Jean Louise (Montana State University); Chadwick, Oliver A. (University of California, Santa Barbara); Pavich, Milan J. (United States Geological Survey)",0,0,,,https://escholarship.org/content/qt2n97w314/qt2n97w314.pdf?t=ph2ifq,https://app.dimensions.ai/details/publication/pub.1106862300,04 Earth Sciences,04 Earth Sciences,,,,
8,200,pub.1105005108,10.3389/fevo.2018.00072,,,"Response: Commentary: Rain, Sun, Soil, and Sweat: A Consideration of Population Limits on Rapa Nui (Easter Island) before European Contact",Frontiers in Ecology and Evolution,,,2018-06-21,2018,6,,72,All OA; Gold,Article,"Puleston, Cedric O.; Ladefoged, Thegn N.; Haoa, Sonia; Chadwick, Oliver A.; Vitousek, Peter M.; Stevenson, Christopher M.",,"Puleston, Cedric O. (University of California, Davis); Ladefoged, Thegn N. (University of Auckland); Haoa, Sonia (); Chadwick, Oliver A. (University of California, Santa Barbara); Vitousek, Peter M. (Stanford University); Stevenson, Christopher M. (Virginia Commonwealth University)",0,0,,,https://www.frontiersin.org/articles/10.3389/fevo.2018.00072/pdf,https://app.dimensions.ai/details/publication/pub.1105005108,,,,,,
9,100,pub.1092193452,10.1002/arco.5138,,,"Soil nutrients and pre‐European contact agriculture in the leeward Kohala field system, Island of Hawai‘i",Archaeology in Oceania,,,2018-04,2018,53,1,28-40,All OA; Gold,Article,"LADEFOGED, THEGN N.; PRESTON, ALISON; VITOUSEK, PETER M.; CHADWICK, OLIVER A.; STEIN, JULIE; GRAVES, MICHAEL W.; LINCOLN, NOA",,"LADEFOGED, THEGN N. (University of Auckland); PRESTON, ALISON (University of Auckland); VITOUSEK, PETER M. (Stanford University); CHADWICK, OLIVER A. (University of California, Santa Barbara); STEIN, JULIE (University of Washington); GRAVES, MICHAEL W. (University of New Mexico); LINCOLN, NOA (University of Hawaii at Manoa)",2,2,,,https://doi.org/10.1002/arco.5138,https://app.dimensions.ai/details/publication/pub.1092193452,"2004 Linguistics; 2101 Archaeology; 20 Language, Communication and Culture; 21 History and Archaeology",2004 Linguistics,2101 Archaeology,"20 Language, Communication and Culture",21 History and Archaeology,
