,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Rachel M Haymon. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1020777590,10.1016/j.epsl.2016.05.031,,,How many vent fields? New estimates of vent field populations on ocean ridges from precise mapping of hydrothermal discharge locations,Earth and Planetary Science Letters,,,2016-09,2016,449,FEMS Microbiol. Ecol. 91 1 2015,186-196,Closed,Article,"Baker, Edward T.; Resing, Joseph A.; Haymon, Rachel M.; Tunnicliffe, Verena; Lavelle, J. William; Martinez, Fernando; Ferrini, Vicki; Walker, Sharon L.; Nakamura, Koichi","Baker, Edward T.","Baker, Edward T. (University of Washington; Pacific Marine Environmental Laboratory); Resing, Joseph A. (University of Washington; Pacific Marine Environmental Laboratory); Haymon, Rachel M. (University of California, Santa Barbara); Tunnicliffe, Verena (University of Victoria); Lavelle, J. William (Pacific Marine Environmental Laboratory); Martinez, Fernando (University of Hawaii at Manoa); Ferrini, Vicki (Lamont-Doherty Earth Observatory); Walker, Sharon L. (Pacific Marine Environmental Laboratory); Nakamura, Koichi (National Institute of Advanced Industrial Science and Technology)",34,22,,8.8,,https://app.dimensions.ai/details/publication/pub.1020777590,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1010604431,10.1016/j.epsl.2016.06.048,,,Cross-hole tracer experiment reveals rapid fluid flow and low effective porosity in the upper oceanic crust,Earth and Planetary Science Letters,,,2016-09,2016,450,,355-365,All OA; Gold,Article,"Neira, N.M.; Clark, J.F.; Fisher, A.T.; Wheat, C.G.; Haymon, R.M.; Becker, K.","Fisher, A.T.","Neira, N.M. (University of California, Santa Barbara); Clark, J.F. (University of California, Santa Barbara); Fisher, A.T. (University of California, Santa Cruz); Wheat, C.G. (University of Alaska Fairbanks); Haymon, R.M. (University of California, Santa Barbara); Becker, K. (University of Miami)",10,9,,2.59,https://manuscript.elsevier.com/S0012821X16303351/pdf/S0012821X16303351.pdf,https://app.dimensions.ai/details/publication/pub.1010604431,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1044055589,10.1016/b978-0-12-409548-9.09050-3,,,Hydrothermal Vents at Mid-Ocean Ridges☆,,Reference Module in Earth Systems and Environmental Sciences,,2014,2014,,Geochemistry Geophysics Geosystems752006,,Closed,Chapter,"Haymon, R.M.",,"Haymon, R.M. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1044055589,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
4,100,pub.1010266267,10.1016/b978-0-12-409548-9.04145-2,,,Mid-Ocean Ridge Hydrothermal Vent Deposits☆,,Encyclopedia of Ocean Sciences,,2013,2013,,"Geochemistry, Geophysics, Geosystems752006",382-390,Closed,Chapter,"Haymon, R.M.",,"Haymon, R.M. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1010266267,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
5,100,pub.1020815434,10.1029/2010eo150001,,,Future Scientific Drilling of Oceanic Crust,Eos,,,2010,2010,91,15,133-134,All OA; Gold,Article,"Hayman, Nicholas W.; Bach, Wolfgang; Blackman, Donna; Christeson, Gail L.; Edwards, Katrina; Haymon, Rachel; Ildefonso, Benoit; Schulte, Mitch; Tagle, Damon; White, Scott",,"Hayman, Nicholas W. (); Bach, Wolfgang (University of Bremen); Blackman, Donna (University of California, San Diego); Christeson, Gail L. (); Edwards, Katrina (University of Southern California); Haymon, Rachel (University of California, Santa Barbara); Ildefonso, Benoit (Géosciences Montpellier); Schulte, Mitch (); Tagle, Damon (University of Southampton); White, Scott ()",1,1,,0.1,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010EO150001,https://app.dimensions.ai/details/publication/pub.1020815434,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
6,200,pub.1025181619,10.1111/j.1365-2818.2009.03207.x,19772531,,An improved method for nanogold in situ hybridization visualized with environmental scanning electron microscopy,Journal of Microscopy,,"Archaea; Bacteria; Gold; In Situ Hybridization; Metal Nanoparticles; Microscopy, Electron, Scanning; RNA, Ribosomal; Staining and Labeling",2009-10,2009,236,1,10-May,"All OA; Green, Accepted & Submitted",Article,"EHRHARDT, C.J.; HAYMON, R.M.; SIEVERT, S.M.; HOLDEN, P.A.",,"EHRHARDT, C.J. (University of California, Santa Barbara); HAYMON, R.M. (University of California, Santa Barbara); SIEVERT, S.M. (Woods Hole Oceanographic Institution); HOLDEN, P.A. (University of California, Santa Barbara)",8,1,0.17,1.15,http://darchive.mblwhoilibrary.org/bitstream/1912/3022/1/Ehrhardt%20et%20al_JOM.pdf,https://app.dimensions.ai/details/publication/pub.1025181619,0204 Condensed Matter Physics; 09 Engineering; 0912 Materials Engineering; 0601 Biochemistry and Cell Biology; 02 Physical Sciences; 06 Biological Sciences,0204 Condensed Matter Physics,09 Engineering,0912 Materials Engineering,0601 Biochemistry and Cell Biology,02 Physical Sciences
7,100,pub.1024657419,10.1029/2008gc002114,,,High‐resolution surveys along the hot spot–affected Gálapagos Spreading Center: 3. Black smoker discoveries and the implications for geological controls on hydrothermal activity,Geochemistry Geophysics Geosystems,,,2008-12,2008,9,12,n/a-n/a,All OA; Gold,Article,"Haymon, Rachel M.; White, Scott M.; Baker, Edward T.; Anderson, Peter G.; Macdonald, Ken C.; Resing, Joseph A.",,"Haymon, Rachel M. (University of California, Santa Barbara); White, Scott M. (University of South Carolina); Baker, Edward T. (Pacific Marine Environmental Laboratory); Anderson, Peter G. (University of California, Santa Barbara); Macdonald, Ken C. (University of California, Santa Barbara); Resing, Joseph A. (University of Washington)",19,5,,1.86,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008GC002114,https://app.dimensions.ai/details/publication/pub.1024657419,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
8,100,pub.1014076861,10.1029/2008eo400005,,,Karen L. Von Damm (1955–2008),Eos,,,9/30/08,2008,89,40,379-379,All OA; Gold,Article,"Haymon, Rachel; Lilley, Marv; Fornari, Dan; Bryce, Julie; Varner, Ruth",,"Haymon, Rachel (University of California, Santa Barbara); Lilley, Marv (University of Washington); Fornari, Dan (Woods Hole Oceanographic Institution); Bryce, Julie (University of New Hampshire); Varner, Ruth (University of New Hampshire)",0,0,,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008EO400005,https://app.dimensions.ai/details/publication/pub.1014076861,,,,,,
9,100,pub.1050000107,10.1029/2008gc002028,,,High‐resolution surveys along the hot spot–affected Galápagos Spreading Center: 1. Distribution of hydrothermal activity,Geochemistry Geophysics Geosystems,,,2008-09,2008,9,9,n/a-n/a,All OA; Gold,Article,"Baker, Edward T.; Haymon, Rachel M.; Resing, Joseph A.; White, Scott M.; Walker, Sharon L.; Macdonald, Ken C.; Nakamura, Ko‐ichi",,"Baker, Edward T. (Pacific Marine Environmental Laboratory); Haymon, Rachel M. (University of California, Santa Barbara); Resing, Joseph A. (Pacific Marine Environmental Laboratory; University of Washington); White, Scott M. (University of South Carolina); Walker, Sharon L. (Pacific Marine Environmental Laboratory); Macdonald, Ken C. (University of California, Santa Barbara); Nakamura, Ko‐ichi ()",20,3,,1.95,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008GC002028,https://app.dimensions.ai/details/publication/pub.1050000107,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
