,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Raymond C Smith. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1050039815,10.1016/j.dsr2.2008.04.037,,,"Palmer LTER: Patterns of distribution of five dominant zooplankton species in the epipelagic zone west of the Antarctic Peninsula, 1993–2004",Deep Sea Research Part II Topical Studies in Oceanography,,,2008-09,2008,55,18-19,2086-2105,Closed,Article,"Ross, Robin M.; Quetin, Langdon B.; Martinson, Douglas G.; Iannuzzi, Rich A.; Stammerjohn, Sharon E.; Smith, Raymond C.","Ross, Robin M.","Ross, Robin M. (University of California, Santa Barbara); Quetin, Langdon B. (University of California, Santa Barbara); Martinson, Douglas G. (Lamont-Doherty Earth Observatory); Iannuzzi, Rich A. (Lamont-Doherty Earth Observatory); Stammerjohn, Sharon E. (Goddard Institute for Space Studies); Smith, Raymond C. (University of California, Santa Barbara)",71,8,,6.06,,https://app.dimensions.ai/details/publication/pub.1050039815,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1039796374,10.1016/j.dsr2.2008.04.038,,,Western Antarctic Peninsula physical oceanography and spatio–temporal variability,Deep Sea Research Part II Topical Studies in Oceanography,,,2008-09,2008,55,18-19,1964-1987,Closed,Article,"Martinson, Douglas G.; Stammerjohn, Sharon E.; Iannuzzi, Richard A.; Smith, Raymond C.; Vernet, Maria","Martinson, Douglas G.","Martinson, Douglas G. (Lamont-Doherty Earth Observatory; Columbia University); Stammerjohn, Sharon E. (Lamont-Doherty Earth Observatory; Columbia University); Iannuzzi, Richard A. (Lamont-Doherty Earth Observatory); Smith, Raymond C. (University of California, Santa Barbara); Vernet, Maria (Scripps Institution of Oceanography)",196,42,,15.25,,https://app.dimensions.ai/details/publication/pub.1039796374,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,100,pub.1037588874,10.1016/j.dsr2.2008.04.026,,,Sea ice in the western Antarctic Peninsula region: Spatio-temporal variability from ecological and climate change perspectives,Deep Sea Research Part II Topical Studies in Oceanography,,,2008-09,2008,55,18-19,2041-2058,Closed,Article,"Stammerjohn, Sharon E.; Martinson, Douglas G.; Smith, Raymond C.; Iannuzzi, Richard A.","Stammerjohn, Sharon E.","Stammerjohn, Sharon E. (Lamont-Doherty Earth Observatory; Columbia University); Martinson, Douglas G. (Lamont-Doherty Earth Observatory; Columbia University); Smith, Raymond C. (University of California, Santa Barbara); Iannuzzi, Richard A. (Lamont-Doherty Earth Observatory)",209,36,,18.09,,https://app.dimensions.ai/details/publication/pub.1037588874,0602 Ecology; 0405 Oceanography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,06 Biological Sciences
4,100,pub.1017796009,10.1016/j.dsr2.2008.04.028,,,"Particle export from the upper ocean over the continental shelf of the west Antarctic Peninsula: A long-term record, 1992–2007",Deep Sea Research Part II Topical Studies in Oceanography,,,2008-09,2008,55,18-19,2118-2131,"All OA; Green, Accepted & Submitted",Article,"Ducklow, Hugh W.; Erickson, Matthew; Kelly, Joann; Montes-Hugo, Martin; Ribic, Christine A.; Smith, Raymond C.; Stammerjohn, Sharon E.; Karl, David M.","Ducklow, Hugh W.","Ducklow, Hugh W. (Marine Biological Laboratory); Erickson, Matthew (Marine Biological Laboratory); Kelly, Joann (University of North Carolina Wilmington); Montes-Hugo, Martin (Rutgers, The State University of New Jersey); Ribic, Christine A. (University of Wisconsin System); Smith, Raymond C. (University of California, Santa Barbara); Stammerjohn, Sharon E. (); Karl, David M. (University of Hawaii at Manoa)",36,9,,2.8,http://darchive.mblwhoilibrary.org/bitstream/1912/2565/1/New%20Trap%20Ms%20March%2008%20revision%20clean.pdf,https://app.dimensions.ai/details/publication/pub.1017796009,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
5,100,pub.1000855116,10.1016/j.dsr2.2008.04.027,,,Bellingshausen and western Antarctic Peninsula region: Pigment biomass and sea-ice spatial/temporal distributions and interannual variabilty,Deep Sea Research Part II Topical Studies in Oceanography,,,2008-09,2008,55,18-19,1949-1963,Closed,Article,"Smith, Raymond C.; Martinson, Douglas G.; Stammerjohn, Sharon E.; Iannuzzi, Richard A.; Ireson, Kirk","Smith, Raymond C.","Smith, Raymond C. (University of California, Santa Barbara); Martinson, Douglas G. (Lamont-Doherty Earth Observatory; Columbia University); Stammerjohn, Sharon E. (Lamont-Doherty Earth Observatory; Columbia University); Iannuzzi, Richard A. (Lamont-Doherty Earth Observatory); Ireson, Kirk (University of California, Santa Barbara)",68,13,,5.54,,https://app.dimensions.ai/details/publication/pub.1000855116,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
6,100,pub.1020834161,10.1029/2007jc004269,,,Trends in Antarctic annual sea ice retreat and advance and their relation to El Niño–Southern Oscillation and Southern Annular Mode variability,Journal of Geophysical Research,,,2008,2008,113,C3,,All OA; Gold,Article,"Stammerjohn, S. E.; Martinson, D. G.; Smith, R. C.; Yuan, X.; Rind, D.",,"Stammerjohn, S. E. (Columbia University); Martinson, D. G. (Columbia University); Smith, R. C. (University of California, Santa Barbara); Yuan, X. (Columbia University); Rind, D. (Goddard Institute for Space Studies)",469,79,,36.49,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007JC004269,https://app.dimensions.ai/details/publication/pub.1020834161,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
7,400,pub.1003262143,10.1098/rstb.2006.1955,17405208,PMC1764834,Marine pelagic ecosystems: the West Antarctic Peninsula,Philosophical Transactions of the Royal Society B Biological Sciences,,Animals; Antarctic Regions; Biomass; Carbon; Ecosystem; Euphausiacea; Geologic Sediments; Greenhouse Effect; Ice Cover; Mammals; Oceanography; Oceans and Seas; Plankton; Population Density; Population Dynamics; Spheniscidae; Temperature,1/29/07,2007,362,1477,67-94,"All OA; Green, Published",Article,"Ducklow, Hugh W; Baker, Karen; Martinson, Douglas G; Quetin, Langdon B; Ross, Robin M; Smith, Raymond C; Stammerjohn, Sharon E; Vernet, Maria; Fraser, William",,"Ducklow, Hugh W (); Baker, Karen (Scripps Institution of Oceanography); Martinson, Douglas G (Lamont-Doherty Earth Observatory); Quetin, Langdon B (University of California, Santa Barbara); Ross, Robin M (University of California, Santa Barbara); Smith, Raymond C (University of California, Santa Barbara); Stammerjohn, Sharon E (Lamont-Doherty Earth Observatory); Vernet, Maria (Scripps Institution of Oceanography); Fraser, William ()",366,65,2.56,30.29,http://europepmc.org/articles/pmc1764834?pdf=render,https://app.dimensions.ai/details/publication/pub.1003262143,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,100,pub.1035961304,10.1175/jcli3805.1,,,"Extreme Anomalous Atmospheric Circulation in the West Antarctic Peninsula Region in Austral Spring and Summer 2001/02, and Its Profound Impact on Sea Ice and Biota*",Journal of Climate,,,2006-08,2006,19,15,3544-3571,"All OA; Green, Published",Article,"Massom, Robert A.; Stammerjohn, Sharon E.; Smith, Raymond C.; Pook, Michael J.; Iannuzzi, Richard A.; Adams, Neil; Martinson, Douglas G.; Vernet, Maria; Fraser, William R.; Quetin, Langdon B.; Ross, Robin M.; Massom, Yuko; Krouse, H. Roy",,"Massom, Robert A. (University of Tasmania); Stammerjohn, Sharon E. (Lamont-Doherty Earth Observatory); Smith, Raymond C. (University of California, Santa Barbara); Pook, Michael J. (); Iannuzzi, Richard A. (Lamont-Doherty Earth Observatory); Adams, Neil (University of Tasmania); Martinson, Douglas G. (Lamont-Doherty Earth Observatory); Vernet, Maria (University of California, San Diego); Fraser, William R. (); Quetin, Langdon B. (University of California, Santa Barbara); Ross, Robin M. (University of California, Santa Barbara); Massom, Yuko (); Krouse, H. Roy (University of Calgary)",84,14,,6.26,http://www.ldeo.columbia.edu/~sharons/MassomEtal-JCLI3805_2006.pdf,https://app.dimensions.ai/details/publication/pub.1035961304,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
9,100,pub.1003356645,10.1016/j.dsr2.2006.02.009,,,Water-column processes in the West Antarctic Peninsula and the Ross Sea: Interannual variations and foodweb structure,Deep Sea Research Part II Topical Studies in Oceanography,,,2006-04,2006,53,10-Aug,834-852,Closed,Article,"Ducklow, Hugh W.; Fraser, William; Karl, David M.; Quetin, Langdon B.; Ross, Robin M.; Smith, Raymond C.; Stammerjohn, Sharon E.; Vernet, Maria; Daniels, Robert M.","Ducklow, Hugh W.","Ducklow, Hugh W. (); Fraser, William (); Karl, David M. (University of Hawaii at Manoa); Quetin, Langdon B. (University of California, Santa Barbara); Ross, Robin M. (University of California, Santa Barbara); Smith, Raymond C. (University of California, Santa Barbara); Stammerjohn, Sharon E. (Lamont-Doherty Earth Observatory); Vernet, Maria (Scripps Institution of Oceanography); Daniels, Robert M. ()",71,7,,8.41,,https://app.dimensions.ai/details/publication/pub.1003356645,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
