,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Richard Lee Church. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117831681,10.1007/s10109-019-00302-5,,,Addressing risks and uncertainty in forest land use modeling,Journal of Geographical Systems,,,2019-09,2019,21,3,319-338,Closed,Article,"Murray, Alan T.; Wei, Ran; Church, Richard L.; Niblett, Matthew R.","Murray, Alan T.","Murray, Alan T. (University of California, Santa Barbara); Wei, Ran (University of California, Riverside); Church, Richard L. (University of California, Santa Barbara); Niblett, Matthew R. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1117831681,09 Engineering; 16 Studies in Human Society; 0406 Physical Geography and Environmental Geoscience; 0909 Geomatic Engineering; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0406 Physical Geography and Environmental Geoscience,0909 Geomatic Engineering,1604 Human Geography
2,100,pub.1106269665,10.1016/j.seps.2018.08.003,,,Optimizing safe routes to school,Socio-Economic Planning Sciences,,,2019-09,2019,67,Prev Chronic Dis 5 2008,26-33,Closed,Article,"Brachman, Micah L.; Church, Richard L.","Brachman, Micah L.","Brachman, Micah L. (); Church, Richard L. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106269665,0102 Applied Mathematics; 01 Mathematical Sciences; 12 Built Environment and Design; 1205 Urban and Regional Planning,0102 Applied Mathematics,01 Mathematical Sciences,12 Built Environment and Design,1205 Urban and Regional Planning,
3,100,pub.1111951551,10.1080/13658816.2019.1572898,,,Commercial GIS location analytics: capabilities and performance,International Journal of Geographical Information Science,,,2019-05-04,2019,33,5,1-25,Closed,Article,"Murray, Alan T.; Xu, Jing; Wang, Zifan; Church, Richard L.",,"Murray, Alan T. (University of California, Santa Barbara); Xu, Jing (University of California, Santa Barbara); Wang, Zifan (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111951551,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
4,100,pub.1106806359,10.1007/s10342-018-1139-7,,,Location set-covering inspired models for designing harvesting and cable road layouts,European Journal of Forest Research,,,2018-12,2018,137,6,771-792,Closed,Article,"Bont, Leo Gallus; Church, Richard L.","Bont, Leo Gallus","Bont, Leo Gallus (Swiss Federal Institute for Forest, Snow and Landscape Research); Church, Richard L. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1106806359,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
5,100,pub.1012607074,10.1177/0160017616650612,,,Tobler’s Law and Spatial Optimization,International Regional Science Review,,,2018-05,2018,41,3,287-310,Closed,Article,"Church, Richard L.",,"Church, Richard L. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1012607074,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
6,200,pub.1110874954,10.1007/978-3-319-99846-6,,,"Location Covering Models, History, Applications and Advancements",Advances in Spatial Science,,,2018,2018,,,,Closed,Monograph,"Church, Richard L.; Murray, Alan",,"Church, Richard L. (University of California, Santa Barbara); Murray, Alan (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1110874954,,,,,,
7,100,pub.1085614559,10.3390/f8060186,,,Characterizing Habitat Elements and Their Distribution over Several Spatial Scales: The Case of the Fisher,Forests,,,2017-05-28,2017,8,6,186,All OA; Gold,Article,"Niblett, Matthew; Church, Richard; Sweeney, Stuart; Barber, Klaus",,"Niblett, Matthew (); Church, Richard (); Sweeney, Stuart (); Barber, Klaus ()",1,1,,0.54,https://www.mdpi.com/1999-4907/8/6/186/pdf,https://app.dimensions.ai/details/publication/pub.1085614559,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
8,100,pub.1041346727,10.1080/23249935.2016.1185478,,,PPP motorway ventures – an optimization model to locate interchanges with social welfare and private profit objectives,Transportmetrica A Transport Science,,,2016-10-20,2016,12,9,1-21,Closed,Article,"Repolho, Hugo M.; Antunes, António P.; Church, Richard L.",,"Repolho, Hugo M. (); Antunes, António P. (); Church, Richard L. ()",3,1,,2.34,,https://app.dimensions.ai/details/publication/pub.1041346727,1605 Policy and Administration; 1402 Applied Economics; 16 Studies in Human Society; 14 Economics,1605 Policy and Administration,1402 Applied Economics,16 Studies in Human Society,14 Economics,
9,100,pub.1051055580,10.1016/j.tre.2016.06.006,,,Optimizing station location and fleet composition for a high-speed rail line,Transportation Research Part E Logistics and Transportation Review,,,2016-09,2016,93,,437-452,Closed,Article,"Repolho, Hugo M.; Church, Richard L.; Antunes, António P.","Repolho, Hugo M.","Repolho, Hugo M. (Pontifical Catholic University of Rio de Janeiro); Church, Richard L. (University of California, Santa Barbara); Antunes, António P. (University of Coimbra)",6,6,,4.44,,https://app.dimensions.ai/details/publication/pub.1051055580,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
10,200,pub.1023243394,10.1080/13658816.2015.1112906,,,"Cyberinfrastructure, GIS, and spatial optimization: opportunities and challenges",International Journal of Geographical Information Science,,,2016-03-03,2016,30,3,427-431,Closed,Article,"Li, Wenwen; Cao, Kai; Church, Richard L.",,"Li, Wenwen (Arizona State University); Cao, Kai (National University of Singapore); Church, Richard L. (University of California, Santa Barbara)",4,3,,1.45,,https://app.dimensions.ai/details/publication/pub.1023243394,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
11,100,pub.1030668857,10.1080/13658816.2015.1083572,,,"Estimating spatial efficiency using cyber search, GIS, and spatial optimization: a case study of fire service deployment in Los Angeles County",International Journal of Geographical Information Science,,,2016-03-03,2016,30,3,535-553,Closed,Article,"Church, Richard L.; Li, Wenwen",,"Church, Richard L. (University of California, Santa Barbara); Li, Wenwen (Arizona State University)",4,3,,1.78,,https://app.dimensions.ai/details/publication/pub.1030668857,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
12,100,pub.1018720819,10.1080/13658816.2015.1041959,,,"A unified approach for location-allocation analysis: integrating GIS, distributed computing and spatial optimization",International Journal of Geographical Information Science,,,2016-03-03,2016,30,3,515-534,Closed,Article,"Lei, Ting L.; Church, Richard L.; Lei, Zhen",,"Lei, Ting L. (University of Arizona); Church, Richard L. (University of California, Santa Barbara); Lei, Zhen (Wuhan University of Technology)",8,5,,4.81,,https://app.dimensions.ai/details/publication/pub.1018720819,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,0802 Computation Theory and Mathematics,
13,200,pub.1049437981,10.1177/0160017615589010,,,Introduction to the 40 Years of Maximal Coverage Special Issue,International Regional Science Review,,,2016-01,2016,39,1,3-4,All OA; Gold,Article,"Murray, Alan T.; Church, Richard L.",,"Murray, Alan T. (Drexel University); Church, Richard L. (University of California, Santa Barbara)",1,1,,0.45,http://journals.sagepub.com/doi/pdf/10.1177/0160017615589010,https://app.dimensions.ai/details/publication/pub.1049437981,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
14,100,pub.1004074884,10.1177/0160017614550082,,,The Shortest Covering Path Problem,International Regional Science Review,,,2016-01,2016,39,1,131-151,All OA; Gold,Article,"Niblett, Timothy J.; Church, Richard L.",,"Niblett, Timothy J. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",5,4,,2.26,http://journals.sagepub.com/doi/pdf/10.1177/0160017614550082,https://app.dimensions.ai/details/publication/pub.1004074884,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
15,100,pub.1000009201,10.1016/j.ejor.2015.06.054,,,The disruptive anti-covering location problem,European Journal of Operational Research,,,2015-12,2015,247,3,764-773,Closed,Article,"Niblett, Matthew R.; Church, Richard L.","Niblett, Matthew R.","Niblett, Matthew R. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",4,3,,0.76,,https://app.dimensions.ai/details/publication/pub.1000009201,11 Medical and Health Sciences; 1107 Immunology,11 Medical and Health Sciences,1107 Immunology,,,
16,100,pub.1046444319,10.1007/s10732-015-9294-1,,,A semi-greedy metaheuristic for the European cableway location problem,Journal of Heuristics,,,2015-10,2015,21,5,641-662,Closed,Article,"Søvde, Nils Egil; Løkketangen, Arne; Church, Richard L.; Oppen, Johan","Søvde, Nils Egil","Søvde, Nils Egil (Norwegian Institute of Bioeconomy Research; Molde University College); Løkketangen, Arne (Molde University College); Church, Richard L. (University of California, Santa Barbara); Oppen, Johan (Molde University College)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1046444319,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
17,100,pub.1010968187,10.1002/mcda.1541,,,A Parallel Computing Framework for Finding the Supported Solutions to a Biobjective Network Optimization Problem,Journal of Multi-Criteria Decision Analysis,,,2015-09,2015,22,5-6,244-259,Closed,Article,"Medrano, Fernando Antonio; Church, Richard Lee",,"Medrano, Fernando Antonio (University of California, Santa Barbara); Church, Richard Lee (University of California, Santa Barbara)",4,2,,1.95,,https://app.dimensions.ai/details/publication/pub.1010968187,"1503 Business and Management; 15 Commerce, Management, Tourism and Services",1503 Business and Management,"15 Commerce, Management, Tourism and Services",,,
18,100,pub.1007734919,10.1007/s10479-012-1273-4,,,Concurrent optimization of harvesting and road network layouts under steep terrain,Annals of Operations Research,,,2015-09,2015,232,1,41-64,Closed,Article,"Bont, Leo Gallus; Heinimann, Hans Rudolf; Church, Richard L.","Bont, Leo Gallus","Bont, Leo Gallus (Swiss Federal Institute of Technology in Zurich); Heinimann, Hans Rudolf (Swiss Federal Institute of Technology in Zurich); Church, Richard L. (University of California, Santa Barbara)",11,3,,,,https://app.dimensions.ai/details/publication/pub.1007734919,"08 Information and Computing Sciences; 01 Mathematical Sciences; 15 Commerce, Management, Tourism and Services",08 Information and Computing Sciences,01 Mathematical Sciences,"15 Commerce, Management, Tourism and Services",,
19,100,pub.1020977728,10.5849/forsci.13-086,,,Structure of Fisher (Pekania pennanti) Habitat in a Managed Forest in an Interior Northern California Coast Range,Forest Science,,,2015-06-04,2015,61,3,481-493,All OA; Gold,Article,"Niblett, Matthew R.; Sweeney, Stuart H.; Church, Richard L.; Barber, Klaus H.",,"Niblett, Matthew R. (); Sweeney, Stuart H. (); Church, Richard L. (); Barber, Klaus H. ()",2,1,,0.58,https://academic.oup.com/forestscience/article-pdf/61/3/481/23174519/2803.pdf,https://app.dimensions.ai/details/publication/pub.1020977728,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
