,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Robert J Miller. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1117875530,10.1098/rspb.2019.0846,31288702,PMC6650708,Sea urchins mediate the availability of kelp detritus to benthic consumers.,Proceedings of The Royal Society B Biological Sciences,,,2019-07-10,2019,286,1906,20190846,Closed,Article,"Yorke, Christie E.; Page, Henry M.; Miller, Robert J.",,"Yorke, Christie E. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1117875530,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,500,pub.1114171615,10.1002/ecy.2719,31081945,,Species insurance trumps spatial insurance in stabilizing biomass of a marine macroalgal metacommunity,Ecology,,,2019-07,2019,100,7,e02719,Closed,Article,"Lamy, Thomas; Wang, Shaopeng; Renard, Delphine; Lafferty, Kevin D.; Reed, Daniel C.; Miller, Robert J.",,"Lamy, Thomas (University of California, Santa Barbara); Wang, Shaopeng (Peking University); Renard, Delphine (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1114171615,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1116663127,10.3389/fmars.2019.00253,,,Spatial Planning of Marine Aquaculture Under Climate Decadal Variability: A Case Study for Mussel Farms in Southern California,Frontiers in Marine Science,,,2019-06-04,2019,6,,253,All OA; Gold,Article,"Sainz, Jade F.; Di Lorenzo, Emanuele; Bell, Tom W.; Gaines, Steve; Lenihan, Hunter; Miller, Robert J.",,"Sainz, Jade F. (University of California, Santa Barbara; Georgia Institute of Technology); Di Lorenzo, Emanuele (Georgia Institute of Technology); Bell, Tom W. (University of California, Santa Barbara); Gaines, Steve (University of California, Santa Barbara); Lenihan, Hunter (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",0,0,,,https://www.frontiersin.org/articles/10.3389/fmars.2019.00253/pdf,https://app.dimensions.ai/details/publication/pub.1116663127,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
4,100,pub.1113901040,10.3897/natureconservation.34.30209,,,Comparison of biological and ecological long-term trends related to northern hemisphere climate in different marine ecosystems,Nature Conservation,,,2019-05-03,2019,34,,311-341,All OA; Gold,Article,"Kröncke, Ingrid; Neumann, Hermann; Dippner, Joachim W.; Holbrook, Sally; Lamy, Thomas; Miller, Robert; Padedda, Bachisio Mario; Pulina, Silvia; Reed, Daniel C.; Reinikainen, Marko; Satta, Cecilia T.; Sechi, Nicola; Soltwedel, Thomas; Suikkanen, Sanna; Lugliè, Antonella",,"Kröncke, Ingrid (Senckenberg am Meer); Neumann, Hermann (Senckenberg am Meer); Dippner, Joachim W. (Leibniz Institute for Baltic Sea Research); Holbrook, Sally (University of California, Santa Barbara); Lamy, Thomas (University of California, Santa Barbara); Miller, Robert (University of California, Santa Barbara); Padedda, Bachisio Mario (University of Sassari); Pulina, Silvia (University of Sassari); Reed, Daniel C. (University of California, Santa Barbara); Reinikainen, Marko (University of Helsinki); Satta, Cecilia T. (University of Sassari); Sechi, Nicola (University of Sassari); Soltwedel, Thomas (Alfred Wegener Institute for Polar and Marine Research); Suikkanen, Sanna (Finnish Environment Institute); Lugliè, Antonella (University of Sassari)",1,1,,,https://natureconservation.pensoft.net/article/30209/download/pdf/,https://app.dimensions.ai/details/publication/pub.1113901040,0602 Ecology; 0405 Oceanography; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences
5,100,pub.1112970833,10.1016/j.ecss.2019.03.014,,,Wrack resource use by intertidal consumers on sandy beaches,Estuarine Coastal and Shelf Science,,,2019-05,2019,221,J. Exp. Mar. Biol. Ecol. 303 1 2004,66-71,Closed,Article,"Michaud, Kristen M.; Emery, Kyle A.; Dugan, Jenifer E.; Hubbard, David M.; Miller, Robert J.","Michaud, Kristen M.","Michaud, Kristen M. (University of California, Santa Barbara); Emery, Kyle A. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112970833,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,200,pub.1112536248,10.3354/meps12906,,,Living kelp versus plankton as food sources for suspension feeders,Marine Ecology Progress Series,,,2019-04-04,2019,614,,21-33,Closed,Article,"Yorke, CE; Hanns, B; Shears, N; Page, HM; Miller, RJ",,"Yorke, CE (); Hanns, B (); Shears, N (); Page, HM (); Miller, RJ ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112536248,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
7,500,pub.1107897210,10.1002/ecy.2485,30376154,,Loss of foundation species: disturbance frequency outweighs severity in structuring kelp forest communities,Ecology,,Animals; Ecosystem; Forests; Invertebrates; Kelp; Macrocystis,2018-11,2018,99,11,2442-2454,Closed,Article,"Castorani, Max C. N.; Reed, Daniel C.; Miller, Robert J.",,"Castorani, Max C. N. (University of California, Santa Barbara; University of Virginia); Reed, Daniel C. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1107897210,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
8,100,pub.1104432159,10.1002/lol2.10088,,,Urea as a source of nitrogen to giant kelp (Macrocystis pyrifera),Limnology and Oceanography Letters,,,2018-08,2018,3,4,365-373,All OA; Gold,Article,"Smith, Jason M.; Brzezinski, Mark A.; Melack, John M.; Miller, Robert J.; Reed, Daniel C.",,"Smith, Jason M. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",3,3,,,https://doi.org/10.1002/lol2.10088,https://app.dimensions.ai/details/publication/pub.1104432159,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
9,100,pub.1100620074,10.1111/1365-2664.13104,,,Anthropogenic disturbance facilitates a non‐native species on offshore oil platforms,Journal of Applied Ecology,,,2018-07,2018,55,4,1583-1593,Closed,Article,"Viola, Sloane M.; Page, Henry M.; Zaleski, Susan F.; Miller, Robert J.; Doheny, Brandon; Dugan, Jenifer E.; Schroeder, Donna M.; Schroeter, Stephen C.",,"Viola, Sloane M. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Zaleski, Susan F. (); Miller, Robert J. (University of California, Santa Barbara); Doheny, Brandon (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Schroeder, Donna M. (); Schroeter, Stephen C. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1100620074,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
