,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Robert R Warner. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1117693941,10.1002/fee.2075,,,Underestimating the benefits of marine protected areas for the replenishment of fished populations,Frontiers in Ecology and the Environment,,,2019-09,2019,17,7,407-413,Closed,Article,"Marshall, Dustin J; Gaines, Steven; Warner, Robert; Barneche, Diego R; Bode, Michael",,"Marshall, Dustin J (Monash University); Gaines, Steven (University of California, Santa Barbara); Warner, Robert (University of California, Santa Barbara); Barneche, Diego R (Monash University; University of Sydney); Bode, Michael (Monash University; Queensland University of Technology)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1117693941,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,0604 Genetics,05 Environmental Sciences
2,500,pub.1117701230,10.1007/s00442-019-04451-8,31267237,,Changes in local free-living parasite populations in response to cleaner manipulation over 12 years,Oecologia,,Animals; Coral Reefs; Fishes; Isopoda; Parasites; Perciformes,2019-08,2019,190,4,783-797,Closed,Article,"Grutter, A. S.; Blomberg, S. P.; Box, S.; Bshary, R.; Ho, O.; Madin, E. M. P.; McClure, E. C.; Meekan, M. G.; Murphy, J. M.; Richardson, M. A.; Sikkel, P. C.; Sims, C. A.; Sun, D.; Warner, R. R.","Grutter, A. S.","Grutter, A. S. (University of Queensland); Blomberg, S. P. (University of Queensland); Box, S. (); Bshary, R. (University of Neuchâtel); Ho, O. (University of Queensland); Madin, E. M. P. (Macquarie University; University of Hawaii at Manoa); McClure, E. C. (University of Queensland); Meekan, M. G. (Australian Institute of Marine Science); Murphy, J. M. (University of Queensland); Richardson, M. A. (University of Queensland); Sikkel, P. C. (Arkansas State University; North-West University); Sims, C. A. (University of Queensland); Sun, D. (University of Queensland); Warner, R. R. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117701230,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,100,pub.1111540868,10.1007/s00338-019-01766-z,,,Parasites of coral reef fish larvae: its role in the pelagic larval stage,Coral Reefs,,,2019-04,2019,38,2,199-214,Closed,Article,"Duong, B.; Blomberg, S. P.; Cribb, T. H.; Cowman, P. F.; Kuris, A. M.; McCormick, M. I.; Warner, R. R.; Sun, D.; Grutter, A. S.","Duong, B.","Duong, B. (University of Queensland); Blomberg, S. P. (University of Queensland); Cribb, T. H. (University of Queensland); Cowman, P. F. (James Cook University); Kuris, A. M. (University of California, Santa Barbara); McCormick, M. I. (James Cook University); Warner, R. R. (University of California, Santa Barbara); Sun, D. (University of Queensland); Grutter, A. S. (University of Queensland)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111540868,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,500,pub.1110232102,10.1186/s12898-018-0206-8,30482188,PMC6260699,Fake spawns and floating particles: a rebuttal of Karkarey et al. “Alternative reproductive tactics and inverse size-assortment in a high-density fish spawning aggregation”,BMC Ecology,,"Animals; Courtship; Female; Fishes; India; Male; Reproduction; Sexual Behavior, Animal",2018-12,2018,18,1,48,All OA; Gold,Article,"Erisman, Brad E.; Barreiros, João P.; Rhodes, Kevin L.; Warner, Robert R.","Erisman, Brad E.","Erisman, Brad E. (The University of Texas at Austin); Barreiros, João P. (University of the Azores); Rhodes, Kevin L. (University of Guam); Warner, Robert R. (University of California, Santa Barbara)",2,2,,,https://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-018-0206-8,https://app.dimensions.ai/details/publication/pub.1110232102,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1103184159,10.1016/j.fishres.2018.03.021,,,Ontogenetic shifts in predator diet drive tradeoffs between fisheries yield and strength of predator-prey interactions,Fisheries Research,,,2018-09,2018,205,J. Fish Biol. 41 1992,20-Nov,"All OA; Green, Published",Article,"Selden, Rebecca L.; Warner, Robert R.; Gaines, Steven D.","Selden, Rebecca L.","Selden, Rebecca L. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",1,1,,,https://escholarship.org/content/qt72f167tr/qt72f167tr.pdf?t=plqp01,https://app.dimensions.ai/details/publication/pub.1103184159,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
6,100,pub.1092332133,10.1007/s00338-017-1628-z,,,Parasite infestation increases on coral reefs without cleaner fish,Coral Reefs,,,2018-03,2018,37,1,15-24,Closed,Article,"Grutter, A. S.; De Brauwer, M.; Bshary, R.; Cheney, K. L.; Cribb, T. H.; Madin, E. M. P.; McClure, E. C.; Meekan, M. G.; Sun, D.; Warner, R. R.; Werminghausen, J.; Sikkel, P. C.","Grutter, A. S.","Grutter, A. S. (University of Queensland); De Brauwer, M. (University of Queensland; Curtin University); Bshary, R. (University of Neuchâtel); Cheney, K. L. (University of Queensland); Cribb, T. H. (University of Queensland); Madin, E. M. P. (Macquarie University); McClure, E. C. (University of Queensland); Meekan, M. G. (Australian Institute of Marine Science); Sun, D. (University of Queensland); Warner, R. R. (University of California, Santa Barbara); Werminghausen, J. (University of Queensland); Sikkel, P. C. (Rutgers, The State University of New Jersey; North-West University)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1092332133,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,200,pub.1090771305,10.3354/meps12258,,,Fine-scale spatial patterns of parrotfish herbivory are shaped by resource availability,Marine Ecology Progress Series,,,8/18/17,2017,577,,165-176,Closed,Article,"Carlson, PM; Davis, K; Warner, RR; Caselle, JE",,"Carlson, PM (); Davis, K (); Warner, RR (); Caselle, JE ()",3,2,,1.16,,https://app.dimensions.ai/details/publication/pub.1090771305,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
8,200,pub.1085279229,10.3354/meps12174,,,Parrotfish movement patterns vary with spatiotemporal scale,Marine Ecology Progress Series,,,8/18/17,2017,577,,149-164,Closed,Article,"Davis, K; Carlson, PM; Lowe, CG; Warner, RR; Caselle, JE",,"Davis, K (); Carlson, PM (); Lowe, CG (); Warner, RR (); Caselle, JE ()",5,4,,1.93,,https://app.dimensions.ai/details/publication/pub.1085279229,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
9,100,pub.1047797285,10.1007/s00338-016-1537-6,,,Size-related mortality due to gnathiid isopod micropredation correlates with settlement size in coral reef fishes,Coral Reefs,,,2017-06,2017,36,2,549-559,Closed,Article,"Grutter, A. S.; Blomberg, S. P.; Fargher, B.; Kuris, A. M.; McCormick, M. I.; Warner, R. R.","Grutter, A. S.","Grutter, A. S. (University of Queensland); Blomberg, S. P. (University of Queensland); Fargher, B. (University of Queensland); Kuris, A. M. (University of California, Santa Barbara); McCormick, M. I. (James Cook University); Warner, R. R. (University of California, Santa Barbara)",9,8,,3.33,,https://app.dimensions.ai/details/publication/pub.1047797285,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
