,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roberta L Rudnick. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1115173301,10.1016/j.gca.2019.05.022,,,Heterogeneous potassium isotopic composition of the upper continental crust,Geochimica et Cosmochimica Acta,,,2019-05,2019,,,,Closed,Article,"Huang, Tian-Yi; Teng, Fang-Zhen; Rudnick, Roberta L.; Chen, Xin-Yang; Hu, Yan; Liu, Yong-Sheng; Wu, Fu-Yuan","Huang, Tian-Yi","Huang, Tian-Yi (University of Washington); Teng, Fang-Zhen (University of Washington); Rudnick, Roberta L. (University of California, Santa Barbara); Chen, Xin-Yang (University of Washington); Hu, Yan (University of Washington); Liu, Yong-Sheng (China University of Geosciences); Wu, Fu-Yuan (Institute of Geology and Geophysics)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1115173301,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
2,100,pub.1113284814,10.1016/j.gca.2019.03.039,,,Rapid mantle convection drove massive crustal thickening in the late Archean,Geochimica et Cosmochimica Acta,,,2019-04,2019,,Contributions to Mineralogy and Petrology 157 2009,,Closed,Article,"Tang, Ming; Lee, Cin-Ty A.; Rudnick, Roberta L.; Condie, Kent C.",,"Tang, Ming (Rice University; University of Maryland, College Park); Lee, Cin-Ty A. (Rice University); Rudnick, Roberta L. (University of Maryland, College Park; University of California, Santa Barbara); Condie, Kent C. (New Mexico Institute of Mining and Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113284814,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
3,100,pub.1112505502,10.1038/s41561-019-0320-z,,,Methanogenesis sustained by sulfide weathering during the Great Oxidation Event,Nature Geoscience,,,2019-04,2019,12,4,296-300,"All OA; Green, Accepted & Submitted",Article,"Wang, Shui-Jiong; Rudnick, Roberta L.; Gaschnig, Richard M.; Wang, Hao; Wasylenki, Laura E.","Wang, Shui-Jiong","Wang, Shui-Jiong (China University of Geosciences); Rudnick, Roberta L. (University of California, Santa Barbara; University of Maryland, College Park); Gaschnig, Richard M. (University of Massachusetts Lowell); Wang, Hao (Institute of Geology and Geophysics); Wasylenki, Laura E. (Northern Arizona University)",3,3,,,https://escholarship.org/content/qt7j16b64p/qt7j16b64p.pdf?t=pqrp7t,https://app.dimensions.ai/details/publication/pub.1112505502,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
4,200,pub.1109903528,10.1016/j.gca.2018.10.026,,,"Corrigendum to “The behavior of chalcophile elements during magmatic differentiation as observed in Kilauea Iki lava lake, Hawaii” [Geochim. Cosmochim. Acta 210 (2017) 71–96]",Geochimica et Cosmochimica Acta,,,2019-01,2019,245,,643-644,Closed,Article,"Greaney, Allison T.; Rudnick, Roberta L.; Helz, Rosalind T.; Gaschnig, Richard M.; Piccoli, Philip M.; Ash, Richard D.",,"Greaney, Allison T. (University of Maryland, College Park); Rudnick, Roberta L. (University of Maryland, College Park); Helz, Rosalind T. (United States Geological Survey); Gaschnig, Richard M. (University of Maryland, College Park); Piccoli, Philip M. (University of Maryland, College Park); Ash, Richard D. (University of Maryland, College Park)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1109903528,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
5,200,pub.1110718360,10.1007/s00710-018-0643-2,,,"Cratons, kimberlites and diamonds: selected papers of the 11th International Kimberlite Conference",Mineralogy and Petrology,,,2018-12,2018,112,Suppl 1,1-3,All OA; Gold,Article,"Stachel, Thomas; Pearson, D. Graham; Giuliani, Andrea; Hetman, Casey M.; Jakubec, Jaroslav (Jarek); Janney, Philip E.; Kjarsgaard, Bruce A.; Kobussen, Alan F.; Liu, Jingao; Navon, Oded; Rudnick, Roberta; Snyder, David B.; Nasdala, Lutz","Stachel, Thomas","Stachel, Thomas (University of Alberta); Pearson, D. Graham (University of Alberta); Giuliani, Andrea (University of Melbourne; Macquarie University); Hetman, Casey M. (); Jakubec, Jaroslav (Jarek) (); Janney, Philip E. (University of Cape Town); Kjarsgaard, Bruce A. (Geological Survey of Canada); Kobussen, Alan F. (); Liu, Jingao (China University of Geosciences); Navon, Oded (Hebrew University of Jerusalem); Rudnick, Roberta (University of California, Santa Barbara); Snyder, David B. (Geological Survey of Canada); Nasdala, Lutz (University of Vienna)",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs00710-018-0643-2.pdf,https://app.dimensions.ai/details/publication/pub.1110718360,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
6,100,pub.1105428892,10.1016/j.gca.2018.06.039,,,Geochemistry of Molybdenum in the Continental Crust,Geochimica et Cosmochimica Acta,,,2018-10,2018,238,Science 317 2007,36-54,"All OA; Green, Published",Article,"Greaney, Allison T.; Rudnick, Roberta L.; Gaschnig, Richard M.; Whalen, Joseph B.; Luais, Béatrice; Clemens, John D.","Greaney, Allison T.","Greaney, Allison T. (University of Maryland, College Park; University of California, Santa Barbara); Rudnick, Roberta L. (University of Maryland, College Park; University of California, Santa Barbara); Gaschnig, Richard M. (University of Maryland, College Park); Whalen, Joseph B. (Geological Survey of Canada); Luais, Béatrice (University of Lorraine); Clemens, John D. ()",4,4,,,https://escholarship.org/content/qt99p9p58j/qt99p9p58j.pdf?t=pew166,https://app.dimensions.ai/details/publication/pub.1105428892,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
7,100,pub.1105964217,10.1016/j.chemgeo.2018.07.036,,,Tungsten-182 in the upper continental crust: Evidence from glacial diamictites,Chemical Geology,,,2018-09,2018,494,Int. J. Mass Spectrom. 414 2017,144-152,"All OA; Green, Published",Article,"Mundl, A.; Walker, R.J.; Reimink, J.R.; Rudnick, R.L.; Gaschnig, R.M.","Mundl, A.","Mundl, A. (University of Maryland, College Park); Walker, R.J. (University of Maryland, College Park); Reimink, J.R. (Carnegie Institution for Science); Rudnick, R.L. (University of California, Santa Barbara); Gaschnig, R.M. (University of Massachusetts Lowell)",9,9,,,https://escholarship.org/content/qt5tj3q9h8/qt5tj3q9h8.pdf?t=pe66dg,https://app.dimensions.ai/details/publication/pub.1105964217,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
8,100,pub.1104898105,10.1029/2018gc007534,,,Multidisciplinary Constraints on the Abundance of Diamond and Eclogite in the Cratonic Lithosphere,Geochemistry Geophysics Geosystems,,,2018-07,2018,19,7,2062-2086,"All OA; Green, Published",Article,"Garber, Joshua M.; Maurya, Satish; Hernandez, Jean‐Alexis; Duncan, Megan S.; Zeng, Li; Zhang, Hongluo L.; Faul, Ulrich; McCammon, Catherine; Montagner, Jean‐Paul; Moresi, Louis; Romanowicz, Barbara A.; Rudnick, Roberta L.; Stixrude, Lars",,"Garber, Joshua M. (University of California, Santa Barbara; Pennsylvania State University); Maurya, Satish (Institute of Earth Physics of Paris; University of California, Berkeley); Hernandez, Jean‐Alexis (École Polytechnique); Duncan, Megan S. (Geophysical Laboratory; University of California, Davis); Zeng, Li (Harvard University); Zhang, Hongluo L. (University of Science and Technology of China); Faul, Ulrich (Massachusetts Institute of Technology); McCammon, Catherine (University of Bayreuth); Montagner, Jean‐Paul (Institute of Earth Physics of Paris); Moresi, Louis (University of Melbourne); Romanowicz, Barbara A. (University of California, Berkeley; Collège de France); Rudnick, Roberta L. (University of California, Santa Barbara); Stixrude, Lars (University College London)",7,7,,,https://escholarship.org/content/qt7pk7t2b3/qt7pk7t2b3.pdf?t=pdgtqj,https://app.dimensions.ai/details/publication/pub.1104898105,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
9,100,pub.1104261596,10.1016/j.gca.2018.05.004,,,Barium isotopic composition of the upper continental crust,Geochimica et Cosmochimica Acta,,,2018-07,2018,233,J. Anal. Atom. Spectrom. 19 2004,33-49,Closed,Article,"Nan, Xiao-Yun; Yu, Hui-Min; Rudnick, Roberta L.; Gaschnig, Richard M.; Xu, Juan; Li, Wang-Ye; Zhang, Qun; Jin, Zhang-Dong; Li, Xian-Hua; Huang, Fang","Huang, Fang","Nan, Xiao-Yun (University of Science and Technology of China); Yu, Hui-Min (University of Science and Technology of China); Rudnick, Roberta L. (University of California, Santa Barbara); Gaschnig, Richard M. (University of Massachusetts Lowell); Xu, Juan (University of Science and Technology of China); Li, Wang-Ye (University of Science and Technology of China); Zhang, Qun (University of Science and Technology of China); Jin, Zhang-Dong (Institute of Earth Environment); Li, Xian-Hua (Institute of Geology and Geophysics); Huang, Fang (University of Science and Technology of China)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1104261596,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
10,200,pub.1105607804,10.1007/978-3-319-39312-4_277,,,Earth’s Continental Crust,Encyclopedia of Earth Sciences Series,Encyclopedia of Geochemistry,,2018,2018,,,392-418,Closed,Chapter,"Rudnick, Roberta L.",,"Rudnick, Roberta L. (University of California System; University System of Maryland)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105607804,,,,,,
11,200,pub.1105607756,10.1007/978-3-319-39312-4_232,,,Large-Ion Lithophile Elements,Encyclopedia of Earth Sciences Series,Encyclopedia of Geochemistry,,2018,2018,,,800-801,Closed,Chapter,"Chauvel, Catherine; Rudnick, Roberta L.",,"Chauvel, Catherine (); Rudnick, Roberta L. (University of California System)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105607756,,,,,,
