,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roger M Nisbet. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1111770406,10.1111/1365-2435.13298,,,Regulation of reproductive processes with dynamic energy budgets,Functional Ecology,,,2019-05,2019,33,5,819-832,"All OA; Green, Accepted & Submitted",Article,"Muller, Erik B.; Lika, Konstadia; Nisbet, Roger M.; Schultz, Irvin R.; Casas, Jérôme; Gergs, André; Murphy, Cheryl A.; Nacci, Diane; Watanabe, Karen H.",,"Muller, Erik B. (Norwegian University of Science and Technology; University of California, Santa Barbara); Lika, Konstadia (University of Crete); Nisbet, Roger M. (University of California, Santa Barbara); Schultz, Irvin R. (Pacific Northwest National Laboratory); Casas, Jérôme (François Rabelais University); Gergs, André (); Murphy, Cheryl A. (Michigan State University); Nacci, Diane (); Watanabe, Karen H. (Arizona State University)",0,0,,,https://escholarship.org/content/qt3hh8b5dc/qt3hh8b5dc.pdf?t=pt6rpj,https://app.dimensions.ai/details/publication/pub.1111770406,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
2,100,pub.1104045034,10.1016/j.seares.2018.05.006,,,Inhibition and damage schemes within the synthesizing unit concept of dynamic energy budget theory,Journal of Sea Research,,,2019-01,2019,143,Ecology 56 1975,165-172,"All OA; Green, Published",Article,"Muller, Erik B.; Klanjšček, Tin; Nisbet, Roger M.","Muller, Erik B.","Muller, Erik B. (Norwegian University of Science and Technology; University of California, Santa Barbara); Klanjšček, Tin (Rudjer Boskovic Institute; University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",3,3,,,https://escholarship.org/content/qt5659k1jj/qt5659k1jj.pdf?t=pt882w,https://app.dimensions.ai/details/publication/pub.1104045034,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
3,500,pub.1104392756,10.1002/ieam.4063,29870141,PMC6643959,Incorporating Suborganismal Processes into Dynamic Energy Budget Models for Ecological Risk Assessment,Integrated Environmental Assessment and Management,,"Ecology; Ecosystem; Environmental Monitoring; Models, Theoretical; Risk Assessment",2018-09,2018,14,5,615-624,"All OA; Green, Accepted & Submitted",Article,"Murphy, Cheryl A; Nisbet, Roger M; Antczak, Philipp; Garcia‐Reyero, Natàlia; Gergs, Andre; Lika, Konstadia; Mathews, Teresa; Muller, Erik B; Nacci, Diane; Peace, Angela; Remien, Christopher H; Schultz, Irvin R; Stevenson, Louise M; Watanabe, Karen H",,"Murphy, Cheryl A (Michigan State University); Nisbet, Roger M (University of California, Santa Barbara); Antczak, Philipp (University of Liverpool); Garcia‐Reyero, Natàlia (Engineer Research and Development Center); Gergs, Andre (); Lika, Konstadia (University of Crete); Mathews, Teresa (Oak Ridge National Laboratory); Muller, Erik B (University of California, Santa Barbara; Norwegian University of Science and Technology); Nacci, Diane (); Peace, Angela (Texas Tech University); Remien, Christopher H (University of Idaho); Schultz, Irvin R (Northwest Fisheries Science Center); Stevenson, Louise M (University of California, Santa Barbara); Watanabe, Karen H (Arizona State University)",8,8,,,https://escholarship.org/content/qt5hb1f5gw/qt5hb1f5gw.pdf?t=pt87vs,https://app.dimensions.ai/details/publication/pub.1104392756,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
4,500,pub.1101500586,10.1111/ele.12937,29527787,,Bioenergetic theory predicts infection dynamics of human schistosomes in intermediate host snails across ecological gradients,Ecology Letters,,Animals; Biomphalaria; Energy Metabolism; Host-Parasite Interactions; Humans; Schistosoma mansoni; Snails,2018-05,2018,21,5,692-701,All OA; Gold,Article,"Civitello, David J.; Fatima, Hiba; Johnson, Leah R.; Nisbet, Roger M.; Rohr, Jason R.",,"Civitello, David J. (Emory University); Fatima, Hiba (Duke University); Johnson, Leah R. (Virginia Tech); Nisbet, Roger M. (); Rohr, Jason R. ()",7,7,,,https://doi.org/10.1111/ele.12937,https://app.dimensions.ai/details/publication/pub.1101500586,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
5,100,pub.1101210131,10.1007/978-3-319-66084-4_14,,,Linking Adverse Outcome Pathways to Dynamic Energy Budgets: A Conceptual Model,,A Systems Biology Approach to Advancing Adverse Outcome Pathways for Risk Assessment,,2018,2018,,,281-302,Closed,Chapter,"Murphy, Cheryl A.; Nisbet, Roger M.; Antczak, Philipp; Garcia-Reyero, Natàlia; Gergs, Andre; Lika, Konstadia; Mathews, Teresa; Muller, Erik B.; Nacci, Diane; Peace, Angela; Remien, Christopher H.; Schultz, Irvin R.; Watanabe, Karen H.","Murphy, Cheryl A.","Murphy, Cheryl A. (Michigan State University); Nisbet, Roger M. (University of California, Santa Barbara); Antczak, Philipp (University of Liverpool); Garcia-Reyero, Natàlia (Engineer Research and Development Center); Gergs, Andre (); Lika, Konstadia (University of Crete); Mathews, Teresa (Oak Ridge National Laboratory); Muller, Erik B. (University of California, Santa Barbara); Nacci, Diane (); Peace, Angela (Texas Tech University); Remien, Christopher H. (University of Idaho); Schultz, Irvin R. (); Watanabe, Karen H. (Arizona State University)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1101210131,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,500,pub.1085706069,10.1002/etc.3869,28556096,,Standardized toxicity testing may underestimate ecotoxicity: Environmentally relevant food rations increase the toxicity of silver nanoparticles to Daphnia,Environmental Toxicology and Chemistry,,"Animals; Citrates; Daphnia; Environment; Environmental Exposure; Food; Fresh Water; Kaplan-Meier Estimate; Light; Metal Nanoparticles; Reference Standards; Reproduction; Silver; Toxicity Tests, Chronic",2017-11,2017,36,11,3008-3018,Closed,Article,"Stevenson, Louise M.; Krattenmaker, Katherine E.; Johnson, Erica; Bowers, Alexandra J.; Adeleye, Adeyemi S.; McCauley, Edward; Nisbet, Roger M.",,"Stevenson, Louise M. (University of California, Santa Barbara); Krattenmaker, Katherine E. (University of California, Santa Barbara); Johnson, Erica (University of California, Santa Barbara); Bowers, Alexandra J. (University of California, Santa Barbara); Adeleye, Adeyemi S. (University of California, Santa Barbara); McCauley, Edward (University of Toronto); Nisbet, Roger M. (University of California, Santa Barbara)",3,3,0.46,1.17,,https://app.dimensions.ai/details/publication/pub.1085706069,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,500,pub.1092117052,10.1021/acsnano.7b05970,28985677,,Remediation of Cadmium Toxicity by Sulfidized Nano-Iron: The Importance of Organic Material.,ACS Nano,,"Adsorption; Cadmium; Chlamydomonas reinhardtii; Dose-Response Relationship, Drug; Environmental Restoration and Remediation; Iron; Metal Nanoparticles; Particle Size; Silicon; Sulfides; Surface Properties; Water Pollutants, Chemical",2017-10-24,2017,11,10,10558-10567,"All OA; Green, Accepted & Submitted",Article,"Stevenson, Louise M; Adeleye, Adeyemi S; Su, Yiming; Zhang, Yalei; Keller, Arturo A; Nisbet, Roger M",,"Stevenson, Louise M (University of California, Santa Barbara); Adeleye, Adeyemi S (University of California, Santa Barbara); Su, Yiming (Tongji University; University of California, Santa Barbara); Zhang, Yalei (Tongji University); Keller, Arturo A (University of California, Santa Barbara); Nisbet, Roger M (University of California, Santa Barbara)",5,5,0.42,1.47,https://escholarship.org/content/qt1844s0dq/qt1844s0dq.pdf?t=ozrkjp,https://app.dimensions.ai/details/publication/pub.1092117052,0907 Environmental Engineering; 09 Engineering; 03 Chemical Sciences; 0399 Other Chemical Sciences,0907 Environmental Engineering,09 Engineering,03 Chemical Sciences,0399 Other Chemical Sciences,
8,500,pub.1090955451,10.1016/j.jtbi.2017.08.003,28782552,,A dynamic bioenergetic model for coral-Symbiodinium symbioses and coral bleaching as an alternate stable state,Journal of Theoretical Biology,,"Algorithms; Animals; Anthozoa; Biomass; Climate Change; Coral Reefs; Dinoflagellida; Energy Metabolism; Models, Biological; Seasons; Symbiosis",2017-10,2017,431,Limnol. Oceanogr. 47 5 2002,49-62,All OA; Gold,Article,"Cunning, Ross; Muller, Erik B.; Gates, Ruth D.; Nisbet, Roger M.","Cunning, Ross","Cunning, Ross (University of Hawaii at Manoa); Muller, Erik B. (University of California, Santa Barbara); Gates, Ruth D. (University of Hawaii at Manoa); Nisbet, Roger M. (University of California, Santa Barbara)",14,12,1.35,5.45,https://doi.org/10.1016/j.jtbi.2017.08.003,https://app.dimensions.ai/details/publication/pub.1090955451,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,500,pub.1084208263,10.1111/1365-2656.12667,28326538,,Integrating lipid storage into general representations of fish energetics,Journal of Animal Ecology,,Animals; Body Size; Energy Metabolism; Fishes; Lipid Metabolism; Lipids; Reproduction,2017-07,2017,86,4,812-825,Closed,Article,"Martin, Benjamin T.; Heintz, Ron; Danner, Eric M.; Nisbet, Roger M.",,"Martin, Benjamin T. (University of California, Santa Cruz; National Marine Fisheries Service); Heintz, Ron (National Marine Fisheries Service); Danner, Eric M. (National Marine Fisheries Service); Nisbet, Roger M. (University of California, Santa Barbara)",10,10,0.68,3.89,,https://app.dimensions.ai/details/publication/pub.1084208263,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
10,500,pub.1085619579,10.1021/acsnano.7b01337,28549216,PMC5860665,"Agglomeration Determines Effects of Carbonaceous Nanomaterials on Soybean Nodulation, Dinitrogen Fixation Potential, and Growth in Soil.",ACS Nano,,"Graphite; Nanostructures; Nanotubes, Carbon; Nitrogen Fixation; Plant Root Nodulation; Soil Pollutants; Soot; Soybeans",2017-06-27,2017,11,6,5753-5765,"All OA; Green, Accepted & Submitted",Article,"Wang, Ying; Chang, Chong Hyun; Ji, Zhaoxia; Bouchard, Dermont C; Nisbet, Roger M; Schimel, Joshua P; Gardea-Torresdey, Jorge L; Holden, Patricia A",,"Wang, Ying (University of California, Santa Barbara); Chang, Chong Hyun (University of California Los Angeles); Ji, Zhaoxia (University of California Los Angeles); Bouchard, Dermont C (Environmental Protection Agency); Nisbet, Roger M (University of California, Santa Barbara); Schimel, Joshua P (University of California, Santa Barbara); Gardea-Torresdey, Jorge L (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A (University of California, Santa Barbara)",18,17,0.95,8.06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5860665,https://app.dimensions.ai/details/publication/pub.1085619579,0607 Plant Biology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0607 Plant Biology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
11,200,pub.1085767592,10.1126/science.aan4968,28572360,,Chemical safety must extend to ecosystems.,Science,,Chemical Safety; Ecosystem,2017-06-02,2017,356,6341,917,Closed,Article,"Rohr, Jason R; Salice, Christopher J; Nisbet, Roger M",,"Rohr, Jason R (University of South Florida); Salice, Christopher J (Towson University); Nisbet, Roger M (University of California, Santa Barbara)",4,3,0.26,,,https://app.dimensions.ai/details/publication/pub.1085767592,,,,,,
12,500,pub.1084122136,10.1021/acs.est.6b06618,28333444,,Host-Symbiont Interaction Model Explains Non-monotonic Response of Soybean Growth and Seed Production to Nano-CeO2 Exposure.,Environmental Science & Technology,,Fabaceae; Nitrogen Fixation; Seeds; Soybeans; Symbiosis,2017-05-02,2017,51,9,4944-4950,Closed,Article,"Klanjšček, Tin; Muller, Erik B; Holden, Patricia A; Nisbet, Roger M",,"Klanjšček, Tin (Rudjer Boskovic Institute); Muller, Erik B (); Holden, Patricia A (University of California, Santa Barbara); Nisbet, Roger M ()",4,4,0.31,1.95,,https://app.dimensions.ai/details/publication/pub.1084122136,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
13,100,pub.1085109431,10.1101/120733,,,A Dynamic Bioenergetic Model For Coral-Symbiodinium Symbioses And Coral Bleaching As An Alternate Stable State,bioRxiv,,,2017-03-26,2017,,,120733,"All OA; Green, Published",Preprint,"Cunning, Ross; Muller, Erik B.; Gates, Ruth D.; Nisbet, Roger M.",,"Cunning, Ross (); Muller, Erik B. (University of California, Santa Barbara); Gates, Ruth D. (); Nisbet, Roger M. (University of California, Santa Barbara)",1,0,,0.42,https://www.biorxiv.org/content/biorxiv/early/2017/03/26/120733.full.pdf,https://app.dimensions.ai/details/publication/pub.1085109431,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
14,200,pub.1043456490,10.1016/j.plrev.2017.01.018,28117237,,Challenges for dynamic energy budget theory Comment on “Physics of metabolic organization” by Marko Jusup et al.,Physics of Life Reviews,,Biochemical Phenomena; Physical Phenomena; Physics,2017-03,2017,20,,72-74,Closed,Article,"Nisbet, Roger M.",,"Nisbet, Roger M. (University of California, Santa Barbara)",3,2,0.41,,,https://app.dimensions.ai/details/publication/pub.1043456490,,,,,,
