,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roland Geyer. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1106203462,10.1111/jiec.12808,,,Material Recycling and the Myth of Landfill Diversion,Journal of Industrial Ecology,,,2019-06,2019,23,3,541-548,Closed,Article,"Zink, Trevor; Geyer, Roland",,"Zink, Trevor (Loyola Marymount University); Geyer, Roland (University of California, Santa Barbara)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1106203462,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
2,100,pub.1106237417,10.1016/j.renene.2018.08.063,,,Photovoltaic waste assessment of major photovoltaic installations in the United States of America,Renewable Energy,,,2019-04,2019,133,J. Air Waste Manag. Assoc. 67 10 Jun. 2017,1188-1200,Closed,Article,"Domínguez, Adriana; Geyer, Roland","Domínguez, Adriana","Domínguez, Adriana (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1106237417,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
3,100,pub.1111141021,10.1016/j.eiar.2018.12.001,,,Consequential life cycle assessment of automotive material substitution: Replacing steel with aluminum in production of north American vehicles,Environmental Impact Assessment Review,,,2019-03,2019,75,Environ. Sci. Technol. 46 2012,47-58,Closed,Article,"Palazzo, Joseph; Geyer, Roland","Palazzo, Joseph","Palazzo, Joseph (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1111141021,16 Studies in Human Society; 12 Built Environment and Design; 05 Environmental Sciences,16 Studies in Human Society,12 Built Environment and Design,05 Environmental Sciences,,
4,500,pub.1111488118,10.1021/acs.est.8b03832,30653307,,Environmental Benefits of Novel Nonhuman Food Inputs to Salmon Feeds.,Environmental Science & Technology,,Animal Feed; Animals; Aquaculture; Fisheries; Humans; Salmon; Seafood,2019-02-19,2019,53,4,1967-1975,Closed,Article,"Couture, Jessica L; Geyer, Roland; Hansen, Jon Øvrum; Kuczenski, Brandon; Øverland, Margareth; Palazzo, Joseph; Sahlmann, Christian; Lenihan, Hunter",,"Couture, Jessica L (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara); Hansen, Jon Øvrum (Norwegian University of Life Sciences); Kuczenski, Brandon (University of California, Santa Barbara); Øverland, Margareth (Norwegian University of Life Sciences); Palazzo, Joseph (University of California, Santa Barbara); Sahlmann, Christian (Norwegian University of Life Sciences); Lenihan, Hunter (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1111488118,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
5,100,pub.1110035997,10.1016/j.jclepro.2018.11.006,,,Causal inference for quantifying displaced primary production from recycling,Journal of Cleaner Production,,,2019-02,2019,210,Rev. Econ. Stat. 67 1985,1076-1084,Closed,Article,"Palazzo, Joseph; Geyer, Roland; Startz, Richard; Steigerwald, Douglas G.","Palazzo, Joseph","Palazzo, Joseph (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara); Startz, Richard (University of California, Berkeley); Steigerwald, Douglas G. (University of California, Berkeley)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110035997,0915 Interdisciplinary Engineering; 09 Engineering; 0910 Manufacturing Engineering; 0907 Environmental Engineering,0915 Interdisciplinary Engineering,09 Engineering,0910 Manufacturing Engineering,0907 Environmental Engineering,
6,100,pub.1084214986,10.1111/jiec.12557,,,Toward Estimating Displaced Primary Production from Recycling: A Case Study of U.S. Aluminum,Journal of Industrial Ecology,,,2018-04,2018,22,2,314-326,All OA; Gold,Article,"Zink, Trevor; Geyer, Roland; Startz, Richard",,"Zink, Trevor (Loyola Marymount University); Geyer, Roland (University of California, Santa Barbara); Startz, Richard (University of California, Berkeley)",14,13,,,https://doi.org/10.1111/jiec.12557,https://app.dimensions.ai/details/publication/pub.1084214986,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
7,200,pub.1092218959,10.1111/jiec.12691,,,Response to “Comment on ‘Toward Estimating Displaced Primary Production from Recycling: A Case Study of U.S. Aluminum’”,Journal of Industrial Ecology,,,2018-02,2018,22,1,211-212,All OA; Gold,Article,"Zink, Trevor; Geyer, Roland; Startz, Richard",,"Zink, Trevor (Loyola Marymount University); Geyer, Roland (University of California, Santa Barbara); Startz, Richard (University of California, Santa Barbara)",0,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jiec.12691,https://app.dimensions.ai/details/publication/pub.1092218959,,,,,,
8,100,pub.1091409604,10.1016/j.resconrec.2017.08.013,,,Photovoltaic waste assessment in Mexico,Resources Conservation and Recycling,,,2017-12,2017,127,,29-41,Closed,Article,"Domínguez, Adriana; Geyer, Roland","Domínguez, Adriana","Domínguez, Adriana (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara)",12,12,,3.93,,https://app.dimensions.ai/details/publication/pub.1091409604,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
9,500,pub.1090809423,10.1126/sciadv.1700782,28776036,PMC5517107,"Production, use, and fate of all plastics ever made",Science Advances,,,2017-07,2017,3,7,e1700782,All OA; Gold,Article,"Geyer, Roland; Jambeck, Jenna R.; Law, Kara Lavender",,"Geyer, Roland (University of California, Santa Barbara); Jambeck, Jenna R. (University of Georgia); Law, Kara Lavender (Sea Education Association)",583,572,29.15,201.98,https://doi.org/10.1126/sciadv.1700782,https://app.dimensions.ai/details/publication/pub.1090809423,03 Chemical Sciences; 0301 Analytical Chemistry,03 Chemical Sciences,0301 Analytical Chemistry,,,
10,100,pub.1083546482,10.1111/jiec.12545,,,Circular Economy Rebound,Journal of Industrial Ecology,,,2017-06,2017,21,3,593-602,"All OA; Green, Published",Article,"Zink, Trevor; Geyer, Roland",,"Zink, Trevor (Loyola Marymount University); Geyer, Roland (University of California, Santa Barbara)",96,90,,102.03,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jiec.12511,https://app.dimensions.ai/details/publication/pub.1083546482,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
