,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Russell J Schmitt. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1113157481,10.1111/mec.15090,30933383,,Dietary partitioning promotes the coexistence of planktivorous species on coral reefs,Molecular Ecology,,,2019-05,2019,28,10,2694-2710,All OA; Gold,Article,"Leray, Matthieu; Alldredge, Alice L.; Yang, Joy Y.; Meyer, Christopher P.; Holbrook, Sally J.; Schmitt, Russell J.; Knowlton, Nancy; Brooks, Andrew J.",,"Leray, Matthieu (Smithsonian Tropical Research Institute); Alldredge, Alice L. (University of California, Santa Barbara); Yang, Joy Y. (Massachusetts Institute of Technology); Meyer, Christopher P. (National Museum of Natural History); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Knowlton, Nancy (National Museum of Natural History); Brooks, Andrew J. (University of California, Santa Barbara)",3,3,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.15090,https://app.dimensions.ai/details/publication/pub.1113157481,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,500,pub.1111898224,10.1111/ele.13203,30714295,,Predicting coral community recovery using multi‐species population dynamics models,Ecology Letters,,Animals; Anthozoa; Coral Reefs; Ecology; Ecosystem; Population Dynamics,2019-04,2019,22,4,605-615,"All OA; Green, Accepted & Submitted",Article,"Kayal, Mohsen; Lenihan, Hunter S.; Brooks, Andrew J.; Holbrook, Sally J.; Schmitt, Russell J.; Kendall, Bruce E.",,"Kayal, Mohsen (University of California, Santa Barbara; Centre de Formation et de Recherche sur les Environnements Méditerranéens); Lenihan, Hunter S. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt7nm875tr/qt7nm875tr.pdf?t=pfvcdh,https://app.dimensions.ai/details/publication/pub.1111898224,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
3,100,pub.1107428159,10.1111/oik.05854,,,Potential feedback between coral presence and farmerfish collective behavior promotes coral recovery,Oikos,,,2019-04,2019,128,4,482-492,Closed,Article,"Kamath, Ambika; Pruitt, Jonathan N.; Brooks, Andrew J.; Ladd, Mark C.; Cook, Dana T.; Gallagher, Jordan P.; Vickers, Michael E.; Holbrook, Sally J.; Schmitt, Russell J.",,"Kamath, Ambika (University of California, Santa Barbara; University of California, Berkeley); Pruitt, Jonathan N. (McMaster University; University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Ladd, Mark C. (University of California, Santa Barbara); Cook, Dana T. (University of California, Santa Barbara); Gallagher, Jordan P. (University of California, Santa Barbara); Vickers, Michael E. (University of Florida); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107428159,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,500,pub.1112585973,10.1007/s13280-019-01154-5,30843168,,Perceptions and responses of Pacific Island fishers to changing coral reefs,Ambio,,,2019-03-07,2019,,,1-14,Closed,Article,"Rassweiler, Andrew; Lauer, Matthew; Lester, Sarah E.; Holbrook, Sally J.; Schmitt, Russell J.; Madi Moussa, Rakamaly; Munsterman, Katrina S.; Lenihan, Hunter S.; Brooks, Andrew J.; Wencélius, Jean; Claudet, Joachim","Rassweiler, Andrew","Rassweiler, Andrew (Florida State University); Lauer, Matthew (San Diego State University); Lester, Sarah E. (Florida State University); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Madi Moussa, Rakamaly (Centre de Recherches Insulaires et Observatoire de l'Environnement); Munsterman, Katrina S. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Wencélius, Jean (San Diego State University); Claudet, Joachim (French National Centre for Scientific Research)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1112585973,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
5,100,pub.1112067575,10.1073/pnas.1812412116,,PMC6410839,Experimental support for alternative attractors on coral reefs,Proceedings of the National Academy of Sciences,,,2019-03-05,2019,116,10,201812412,All OA; Gold,Article,"Schmitt, Russell J.; Holbrook, Sally J.; Davis, Samantha L.; Brooks, Andrew J.; Adam, Thomas C.",,"Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Davis, Samantha L. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara)",3,3,,,https://www.pnas.org/content/pnas/116/10/4372.full.pdf,https://app.dimensions.ai/details/publication/pub.1112067575,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
6,500,pub.1106903339,10.1111/ele.13153,30203533,,Predicting coral community recovery using multi‐species population dynamics models,Ecology Letters,,Animals; Anthozoa; Coral Reefs; Ecosystem; Population Dynamics,2018-12,2018,21,12,1790-1799,"All OA; Green, Accepted & Submitted",Article,"Kayal, Mohsen; Lenihan, Hunter S.; Brooks, Andrew J.; Holbrook, Sally J.; Schmitt, Russell J.; Kendall, Bruce E.",,"Kayal, Mohsen (University of California, Santa Barbara; Centre de Formation et de Recherche sur les Environnements Méditerranéens); Lenihan, Hunter S. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Kendall, Bruce E. (University of California, Santa Barbara)",7,7,,,https://escholarship.org/content/qt7nm875tr/qt7nm875tr.pdf?t=pfvcdh,https://app.dimensions.ai/details/publication/pub.1106903339,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,500,pub.1103798205,10.1038/s41598-018-25414-8,29743539,PMC5943288,Recruitment Drives Spatial Variation in Recovery Rates of Resilient Coral Reefs,Scientific Reports,,,2018-12,2018,8,1,7338,All OA; Gold,Article,"Holbrook, Sally J.; Adam, Thomas C.; Edmunds, Peter J.; Schmitt, Russell J.; Carpenter, Robert C.; Brooks, Andrew J.; Lenihan, Hunter S.; Briggs, Cheryl J.","Holbrook, Sally J.","Holbrook, Sally J. (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara); Edmunds, Peter J. (California State University, Northridge); Schmitt, Russell J. (University of California, Santa Barbara); Carpenter, Robert C. (California State University, Northridge); Brooks, Andrew J. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",17,17,,,https://doi.org/10.1038/s41598-018-25414-8,https://app.dimensions.ai/details/publication/pub.1103798205,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,200,pub.1104612440,10.1093/beheco/ary092,,,Collective aggressiveness of an ecosystem engineer is associated with coral recovery,Behavioral Ecology,,,2018-10-16,2018,,,,All OA; Gold,Article,"Pruitt, Jonathan N; Keiser, Carl N; Banka, Brett T; Liedle, John S; Brooks, Andrew J; Schmitt, Russell J; Holbrook, Sally J",,"Pruitt, Jonathan N (University of California, Santa Barbara; McMaster University); Keiser, Carl N (Rice University; University of Florida); Banka, Brett T (University of California, Santa Barbara); Liedle, John S (University of California, Santa Barbara); Brooks, Andrew J (Rice University); Schmitt, Russell J (University of California, Santa Barbara); Holbrook, Sally J (University of California, Santa Barbara)",3,3,,,https://academic.oup.com/beheco/article-pdf/29/6/1216/26771789/ary092.pdf,https://app.dimensions.ai/details/publication/pub.1104612440,0602 Ecology; 0603 Evolutionary Biology; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0603 Evolutionary Biology,06 Biological Sciences,0608 Zoology,
9,500,pub.1107089661,10.1371/journal.pone.0202273,30226879,PMC6143192,Macroalgae size refuge from herbivory promotes alternative stable states on coral reefs,PLoS ONE,,"Animals; Anthozoa; Coral Reefs; Herbivory; Models, Biological; Seaweed",2018-09-18,2018,13,9,e0202273,All OA; Gold,Article,"Briggs, Cheryl J.; Adam, Thomas C.; Holbrook, Sally J.; Schmitt, Russell J.",,"Briggs, Cheryl J. (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara)",6,6,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0202273&type=printable,https://app.dimensions.ai/details/publication/pub.1107089661,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
10,100,pub.1105804155,10.1080/01431161.2018.1500072,,,Very high resolution mapping of coral reef state using airborne bathymetric LiDAR surface-intensity and drone imagery,International Journal of Remote Sensing,,,2018-09-02,2018,39,17,1-13,"All OA; Green, Accepted & Submitted",Article,"Collin, Antoine; Ramambason, Camille; Pastol, Yves; Casella, Elisa; Rovere, Alessio; Thiault, Lauric; Espiau, Benoît; Siu, Gilles; Lerouvreur, Franck; Nakamura, Nao; Hench, James L.; Schmitt, Russell J.; Holbrook, Sally J.; Troyer, Matthias; Davies, Neil",,"Collin, Antoine (PSL Research University); Ramambason, Camille (PSL Research University); Pastol, Yves (Naval Hydrographic and Oceanographic Service); Casella, Elisa (Leibniz Center for Tropical Marine Ecology); Rovere, Alessio (Leibniz Center for Tropical Marine Ecology); Thiault, Lauric (); Espiau, Benoît (); Siu, Gilles (); Lerouvreur, Franck (); Nakamura, Nao (); Hench, James L. (Duke University); Schmitt, Russell J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Troyer, Matthias (); Davies, Neil (University of California, Berkeley)",7,7,,,https://hal.archives-ouvertes.fr/hal-01848266/file/author_version.pdf,https://app.dimensions.ai/details/publication/pub.1105804155,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
