,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Sadie Jane Ryan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1114044571,10.1186/s40249-019-0543-7,31077256,PMC6509776,Assessing the nonhuman primate reservoir of Schistosoma mansoni in Africa: a systematic review,Infectious Diseases of Poverty,,Africa; Animals; Disease Reservoirs; Geography; Humans; Neglected Diseases; Primates; Schistosoma mansoni; Schistosomiasis mansoni,2019-12,2019,8,1,32,All OA; Gold,Article,"Richards, Lindsay; Erko, Berhanu; Ponpetch, Keerati; Ryan, Sadie J.; Liang, Song","Liang, Song","Richards, Lindsay (University of Florida); Erko, Berhanu (Addis Ababa University); Ponpetch, Keerati (University of Florida); Ryan, Sadie J. (University of Florida); Liang, Song (University of Florida)",0,0,,,https://idpjournal.biomedcentral.com/track/pdf/10.1186/s40249-019-0543-7,https://app.dimensions.ai/details/publication/pub.1114044571,1117 Public Health and Health Services; 1108 Medical Microbiology; 11 Medical and Health Sciences,1117 Public Health and Health Services,1108 Medical Microbiology,11 Medical and Health Sciences,,
2,500,pub.1113707831,10.1038/s41597-019-0042-5,31024009,PMC6484025,"MIReAD, a minimum information standard for reporting arthropod abundance data",Scientific Data,,Animals; Arthropods; Biodiversity; Ecosystem; Information Dissemination; Information Storage and Retrieval; Population Dynamics,2019-12,2019,6,1,40,All OA; Gold,Article,"Rund, Samuel S. C.; Braak, Kyle; Cator, Lauren; Copas, Kyle; Emrich, Scott J.; Giraldo-Calderón, Gloria I.; Johansson, Michael A.; Heydari, Naveed; Hobern, Donald; Kelly, Sarah A.; Lawson, Daniel; Lord, Cynthia; MacCallum, Robert M.; Roche, Dominique G.; Ryan, Sadie J.; Schigel, Dmitry; Vandegrift, Kurt; Watts, Matthew; Zaspel, Jennifer M.; Pawar, Samraat","Rund, Samuel S. C.","Rund, Samuel S. C. (University of Notre Dame); Braak, Kyle (Global Biodiversity Information Facility); Cator, Lauren (Imperial College London); Copas, Kyle (Global Biodiversity Information Facility); Emrich, Scott J. (University of Tennessee at Knoxville); Giraldo-Calderón, Gloria I. (University of Notre Dame; Icesi University); Johansson, Michael A. (San Juan Quarantine Station; Harvard University); Heydari, Naveed (SUNY Upstate Medical University); Hobern, Donald (Global Biodiversity Information Facility); Kelly, Sarah A. (Imperial College London); Lawson, Daniel (Imperial College London); Lord, Cynthia (Florida Medical Entomology Laboratory); MacCallum, Robert M. (Imperial College London); Roche, Dominique G. (University of Neuchâtel); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Schigel, Dmitry (Global Biodiversity Information Facility); Vandegrift, Kurt (Pennsylvania State University); Watts, Matthew (Imperial College London); Zaspel, Jennifer M. (Milwaukee Public Museum); Pawar, Samraat (Imperial College London)",2,2,,,https://www.nature.com/articles/s41597-019-0042-5.pdf,https://app.dimensions.ai/details/publication/pub.1113707831,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
3,100,pub.1117995267,10.1007/s10592-019-01206-z,,,Hierarchical population structure of a rare lagomorph indicates recent fragmentation has disrupted metapopulation function,Conservation Genetics,,,2019-12,2019,20,6,1237-1249,Closed,Article,"Cheeseman, Amanda E.; Cohen, Jonathan B.; Whipps, Christopher M.; Kovach, Adrienne I.; Ryan, Sadie J.","Cheeseman, Amanda E.","Cheeseman, Amanda E. (SUNY College of Environmental Science and Forestry); Cohen, Jonathan B. (SUNY College of Environmental Science and Forestry); Whipps, Christopher M. (SUNY College of Environmental Science and Forestry); Kovach, Adrienne I. (University of New Hampshire); Ryan, Sadie J. (University of Florida)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117995267,0602 Ecology; 0502 Environmental Science and Management; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
4,100,pub.1122361625,10.1101/19011262,,,"Spatiotemporal tools for emerging and endemic disease hotspots in small areas—an analysis of dengue and chikungunya in Barbados, 2013 - 2016",bioRxiv,,,11/6/19,2019,,,19011262,"All OA; Green, Accepted & Submitted",Preprint,"Lippi, Catherine; Stewart-Ibarra, Anna M; Romero, Moory; Hinds, Avery Q.J.; Lowe, Rachel; Mahon, Roché; Van Meerbeeck, Cedric J; Rollock, Leslie; Hilaire, Marquita Gittens-St.; Trotman, Adrian R; Holligan, Dale; Kirton, Shane; Borbor-Cordova, Mercy J; Ryan, Sadie J",,"Lippi, Catherine (University of Florida); Stewart-Ibarra, Anna M (Inter-American Institute); Romero, Moory (SUNY College of Environmental Science and Forestry); Hinds, Avery Q.J. (Caribbean Public Health Agency); Lowe, Rachel (London School of Hygiene & Tropical Medicine); Mahon, Roché (Caribbean Institute for Meteorology and Hydrology); Van Meerbeeck, Cedric J (Caribbean Institute for Meteorology and Hydrology); Rollock, Leslie (); Hilaire, Marquita Gittens-St. (University of the West Indies); Trotman, Adrian R (Caribbean Institute for Meteorology and Hydrology); Holligan, Dale (); Kirton, Shane (); Borbor-Cordova, Mercy J (Escuela Superior Politecnica del Litoral); Ryan, Sadie J (University of Florida)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122361625,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
5,100,pub.1122863705,10.1016/j.landusepol.2019.104334,,,Examining the relationship between migration and forest cover change in Mexico from 2001 to 2010,Land Use Policy,,,2019-11,2019,,,104334,Closed,Article,"Ervin, Daniel; Lopéz-Carr, David; Riosmena, Fernando; Ryan, Sadie J.","Ervin, Daniel","Ervin, Daniel (East–West Center); Lopéz-Carr, David (University of California, Santa Barbara); Riosmena, Fernando (); Ryan, Sadie J. (University of Florida)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122863705,16 Studies in Human Society; 1603 Demography; 0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,16 Studies in Human Society,1603 Demography,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,
6,500,pub.1122141000,10.1371/journal.pntd.0007772,31658267,PMC6837543,Co-developing climate services for public health: Stakeholder needs and perceptions for the prevention and control of Aedes-transmitted diseases in the Caribbean,PLoS Neglected Tropical Diseases,,,10/28/19,2019,13,10,e0007772,All OA; Gold,Article,"Stewart-Ibarra, Anna M.; Romero, Moory; Hinds, Avery Q. J.; Lowe, Rachel; Mahon, Roché; Van Meerbeeck, Cedric J.; Rollock, Leslie; Hilaire, Marquita Gittens-St.; St. Ville, Sylvester; Ryan, Sadie J.; Trotman, Adrian R.; Borbor-Cordova, Mercy J.",,"Stewart-Ibarra, Anna M. (SUNY Upstate Medical University; Inter-American Institute); Romero, Moory (SUNY Upstate Medical University; SUNY College of Environmental Science and Forestry); Hinds, Avery Q. J. (Caribbean Public Health Agency); Lowe, Rachel (London School of Hygiene & Tropical Medicine; Barcelona Institute for Global Health); Mahon, Roché (Caribbean Institute for Meteorology and Hydrology); Van Meerbeeck, Cedric J. (Caribbean Institute for Meteorology and Hydrology); Rollock, Leslie (); Hilaire, Marquita Gittens-St. (University of the West Indies; Ministry of Health); St. Ville, Sylvester (); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Trotman, Adrian R. (Caribbean Institute for Meteorology and Hydrology); Borbor-Cordova, Mercy J. (Escuela Superior Politecnica del Litoral)",0,0,,,http://dx.doi.org/10.1371/journal.pntd.0007772,https://app.dimensions.ai/details/publication/pub.1122141000,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
7,100,pub.1121927925,10.1101/19009498,,,"A Network Analysis Framework to Improve the Delivery of Mosquito Abatement Services in Machala, Ecuador",bioRxiv,,,10/18/19,2019,,,19009498,"All OA; Green, Accepted & Submitted",Preprint,"Lippi, Catherine A; Mao, Liang; Stewart-Ibarra, Anna M; Heydari, Naveed; Ayala, Efraín Beltrán; Burkett-Cadena, Nathan D; Blackburn, Jason K; Ryan, Sadie J",,"Lippi, Catherine A (University of Florida); Mao, Liang (University of Florida); Stewart-Ibarra, Anna M (); Heydari, Naveed (); Ayala, Efraín Beltrán (Universidad Tecnica de Machala); Burkett-Cadena, Nathan D (University of Florida); Blackburn, Jason K (University of Florida); Ryan, Sadie J (University of Florida)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121927925,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
8,100,pub.1121577818,10.1101/797050,,,Shifting transmission risk for malaria in Africa with climate change: a framework for planning and intervention,bioRxiv,,,10/8/19,2019,,,797050,"All OA; Green, Accepted & Submitted",Preprint,"Ryan, Sadie J.; Lippi, Catherine A.; Zermoglio, Fernanda",,"Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Lippi, Catherine A. (University of Florida); Zermoglio, Fernanda ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121577818,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
9,500,pub.1117841679,10.1111/ele.13335,31286630,PMC6744319,Thermal biology of mosquito‐borne disease,Ecology Letters,,Aedes; Animals; Climate Change; Dengue Virus; Malaria; Mosquito Vectors; Plasmodium; Ross River virus; Temperature; Virus Diseases; Zika Virus,2019-10,2019,22,10,1690-1708,All OA; Gold,Article,"Mordecai, Erin A.; Caldwell, Jamie M.; Grossman, Marissa K.; Lippi, Catherine A.; Johnson, Leah R.; Neira, Marco; Rohr, Jason R.; Ryan, Sadie J.; Savage, Van; Shocket, Marta S.; Sippy, Rachel; Ibarra, Anna M. Stewart; Thomas, Matthew B.; Villena, Oswaldo",,"Mordecai, Erin A. (Stanford University); Caldwell, Jamie M. (Stanford University); Grossman, Marissa K. (Pennsylvania State University); Lippi, Catherine A. (University of Florida); Johnson, Leah R. (Virginia Tech); Neira, Marco (Pontifical Catholic University of Ecuador); Rohr, Jason R. (University of Notre Dame); Ryan, Sadie J. (University of Florida; University of KwaZulu-Natal); Savage, Van (University of California Los Angeles; Santa Fe Institute); Shocket, Marta S. (Stanford University); Sippy, Rachel (University of Florida; SUNY Upstate Medical University); Ibarra, Anna M. Stewart (SUNY Upstate Medical University); Thomas, Matthew B. (Pennsylvania State University); Villena, Oswaldo (Virginia Tech)",9,9,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.13335,https://app.dimensions.ai/details/publication/pub.1117841679,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
