,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Sangwon Suh. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1120129799,10.1016/j.resconrec.2019.104432,,,Economic feasibility of recycling rare earth oxides from end-of-life lighting technologies,Resources Conservation and Recycling,,,2019-11,2019,150,,104432,Closed,Article,"Qiu, Yang; Suh, Sangwon","Suh, Sangwon","Qiu, Yang (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120129799,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
2,100,pub.1114047846,10.1038/s41558-019-0493-x,,,Publisher Correction: Strategies to reduce the global carbon footprint of plastics,Nature Climate Change,,,2019-07,2019,9,7,567-567,All OA; Gold,Article,"Zheng, Jiajia; Suh, Sangwon","Suh, Sangwon","Zheng, Jiajia (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",0,0,,,https://www.nature.com/articles/s41558-019-0493-x.pdf,https://app.dimensions.ai/details/publication/pub.1114047846,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
3,500,pub.1114203043,10.1073/pnas.1821029116,31085651,PMC6561304,Climate change mitigation potential of carbon capture and utilization in the chemical industry,Proceedings of the National Academy of Sciences,,,2019-06-04,2019,116,23,201821029,Closed,Article,"Kätelhön, Arne; Meys, Raoul; Deutz, Sarah; Suh, Sangwon; Bardow, André",,"Kätelhön, Arne (RWTH Aachen University); Meys, Raoul (RWTH Aachen University); Deutz, Sarah (RWTH Aachen University); Suh, Sangwon (University of California, Santa Barbara); Bardow, André (RWTH Aachen University)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1114203043,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
4,100,pub.1113474434,10.1038/s41558-019-0459-z,,,Strategies to reduce the global carbon footprint of plastics,Nature Climate Change,,,2019-05,2019,9,5,374-378,Closed,Article,"Zheng, Jiajia; Suh, Sangwon","Suh, Sangwon","Zheng, Jiajia (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1113474434,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
5,500,pub.1112605392,10.1021/acs.est.9b00084,30844258,,Uncertainty Implications of Hybrid Approach in LCA: Precision versus Accuracy.,Environmental Science & Technology,,Greenhouse Effect; Monte Carlo Method; Uncertainty,2019-04-02,2019,53,7,3681-3688,"All OA; Green, Published",Article,"Perkins, Jessica; Suh, Sangwon",,"Perkins, Jessica (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",1,1,,,https://escholarship.org/content/qt3m14m2zp/qt3m14m2zp.pdf?t=pqrovd,https://app.dimensions.ai/details/publication/pub.1112605392,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
6,500,pub.1111203350,10.1016/j.envint.2018.12.033,30622082,,Health risks of chemicals in consumer products: A review,Environment International,,Benzhydryl Compounds; Consumer Product Safety; Cosmetics; Environmental Exposure; Flame Retardants; Halogenated Diphenyl Ethers; Household Products; Humans; Phenols; Phthalic Acids; Plasticizers,2019-02,2019,123,Toxicol. Sci. 107 2009,580-587,All OA; Gold,Article,"Li, Dingsheng; Suh, Sangwon","Suh, Sangwon","Li, Dingsheng (University of California, Santa Barbara; University of Nevada Reno); Suh, Sangwon (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.envint.2018.12.033,https://app.dimensions.ai/details/publication/pub.1111203350,1117 Public Health and Health Services; 11 Medical and Health Sciences; 03 Chemical Sciences; 0399 Other Chemical Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,
7,500,pub.1110757646,10.1371/journal.pone.0209474,30566497,PMC6300256,Does the use of pre-calculated uncertainty values change the conclusions of comparative life cycle assessments? – An empirical analysis,PLoS ONE,,Environmental Monitoring; Monte Carlo Method; Uncertainty,2018-12-19,2018,13,12,e0209474,All OA; Gold,Article,"Qin, Yuwei; Suh, Sangwon",,"Qin, Yuwei (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara)",1,1,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0209474&type=printable,https://app.dimensions.ai/details/publication/pub.1110757646,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
8,200,pub.1106826656,10.1021/acssuschemeng.8b01691,,,Linking Exposure and Kinetic Bioaccumulation Models for Metallic Engineered Nanomaterials in Freshwater Ecosystems,ACS Sustainable Chemistry & Engineering,,,2018-10,2018,6,10,12684-12694,"All OA; Green, Published",Article,"Garner, Kendra L.; Qin, Yuwei; Cucurachi, Stefano; Suh, Sangwon; Keller, Arturo A.",,"Garner, Kendra L. (University of California, Santa Barbara); Qin, Yuwei (University of California, Santa Barbara); Cucurachi, Stefano (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",0,0,,,https://escholarship.org/content/qt34q789qt/qt34q789qt.pdf?t=ph1ska,https://app.dimensions.ai/details/publication/pub.1106826656,03 Chemical Sciences; 0301 Analytical Chemistry; 0399 Other Chemical Sciences,03 Chemical Sciences,0301 Analytical Chemistry,0399 Other Chemical Sciences,,
9,500,pub.1104167328,10.1016/j.jenvman.2018.04.104,29777995,,Environmental governance in China: Interactions between the state and “nonstate actors”,Journal of Environmental Management,,China; Environmental Policy; Government; Government Programs; Humans,2018-08,2018,220,Adm. Law Rev. 2000 2000,126-135,"All OA; Green, Published",Article,"Guttman, Dan; Young, Oran; Jing, Yijia; Bramble, Barbara; Bu, Maoliang; Chen, Carmen; Furst, Kathinka; Hu, Tao; Li, Yifei; Logan, Kate; Liu, Lingxuan; Price, Lydia; Spencer, Michael; Suh, Sangwon; Sun, Xiaopu; Tan, Bowen; Wang, Harold; Wang, Xin; Zhang, Juan; Zhang, Xinxin; Zeidan, Rodrigo","Guttman, Dan","Guttman, Dan (New York University Shanghai); Young, Oran (University of California, Santa Barbara); Jing, Yijia (Fudan University); Bramble, Barbara (National Wildlife Federation); Bu, Maoliang (Nanjing University); Chen, Carmen (Fudan University); Furst, Kathinka (Duke Kunshan University); Hu, Tao (World Wildlife Fund); Li, Yifei (New York University Shanghai); Logan, Kate (); Liu, Lingxuan (Lancaster University); Price, Lydia (China Europe International Business School); Spencer, Michael (Monash University); Suh, Sangwon (University of California, Santa Barbara); Sun, Xiaopu (Institute for Governance & Sustainable Development); Tan, Bowen (); Wang, Harold (Fudan University); Wang, Xin (); Zhang, Juan (); Zhang, Xinxin (); Zeidan, Rodrigo (New York University Shanghai; Fundação Dom Cabral)",11,11,,,https://escholarship.org/content/qt1pd3847h/qt1pd3847h.pdf?t=pqrp3x,https://app.dimensions.ai/details/publication/pub.1104167328,1606 Political Science; 1605 Policy and Administration; 1608 Sociology; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,1608 Sociology,16 Studies in Human Society,
