,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Sarah E Anderson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1115981373,10.1080/10871209.2019.1622055,,,Drivers of support: The case of species reintroductions with an ill-informed public,Human Dimensions of Wildlife,,,2019-09-03,2019,24,5,1-17,Closed,Article,"Hiroyasu, Elizabeth H.T.; Miljanich, Christopher P.; Anderson, Sarah E.",,"Hiroyasu, Elizabeth H.T. (University of California, Santa Barbara); Miljanich, Christopher P. (University of California System); Anderson, Sarah E. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1115981373,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
2,500,pub.1119861362,10.1371/journal.pone.0220320,31344095,PMC6657883,Economic losses or environmental gains? Framing effects on public support for environmental management,PLoS ONE,,,2019-07-25,2019,14,7,e0220320,All OA; Gold,Article,"DeGolia, Alexander H.; Hiroyasu, Elizabeth H. T.; Anderson, Sarah E.",,"DeGolia, Alexander H. (University of California, Santa Barbara); Hiroyasu, Elizabeth H. T. (University of California, Santa Barbara); Anderson, Sarah E. (University of California, Santa Barbara)",0,0,,,http://dx.doi.org/10.1371/journal.pone.0220320,https://app.dimensions.ai/details/publication/pub.1119861362,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
3,100,pub.1112897732,10.1111/ecin.12781,,,SALIENCE AND THE GOVERNMENT PROVISION OF PUBLIC GOODS,Economic Inquiry,,,2019-07,2019,57,3,1547-1567,"All OA; Green, Accepted & Submitted",Article,"Wibbenmeyer, Matthew; Anderson, Sarah E.; Plantinga, Andrew J.",,"Wibbenmeyer, Matthew (Resources For The Future); Anderson, Sarah E. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara)",2,2,,,https://escholarship.org/content/qt6s43g37z/qt6s43g37z.pdf?t=psxmyx,https://app.dimensions.ai/details/publication/pub.1112897732,14 Economics,14 Economics,,,,
4,100,pub.1112938562,10.1111/psj.12331,,,"Policy Entrepreneurs, Legislators, and Agenda Setting: Information and Influence",Policy Studies Journal,,,2019-03-22,2019,,,,Closed,Article,"Anderson, Sarah E.; DeLeo, Rob A.; Taylor, Kristin",,"Anderson, Sarah E. (); DeLeo, Rob A. (); Taylor, Kristin ()",5,5,,,,https://app.dimensions.ai/details/publication/pub.1112938562,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
5,100,pub.1108063160,10.1142/s2010007819500039,,,THE CRITICAL ROLE OF MARKETS IN CLIMATE CHANGE ADAPTATION,Climate Change Economics,,,2019-02,2019,10,01,1950003,Closed,Article,"ANDERSON, SARAH E.; ANDERSON, TERRY L.; HILL, ALICE C.; KAHN, MATTHEW E.; KUNREUTHER, HOWARD; LIBECAP, GARY D.; MANTRIPRAGADA, HARI; MÉREL, PIERRE; PLANTINGA, ANDREW J.; KERRY SMITH, V.",,"ANDERSON, SARAH E. (University of California, Santa Barbara); ANDERSON, TERRY L. (Stanford University); HILL, ALICE C. (Hoover Institution); KAHN, MATTHEW E. (); KUNREUTHER, HOWARD (University of Pennsylvania); LIBECAP, GARY D. (Stanford University; University of California, Santa Barbara); MANTRIPRAGADA, HARI (University of Pittsburgh); MÉREL, PIERRE (University of California, Davis); PLANTINGA, ANDREW J. (University of California, Santa Barbara); KERRY SMITH, V. (Arizona State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108063160,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
6,100,pub.1104468771,10.1038/s41558-018-0208-8,,,The dangers of disaster-driven responses to climate change,Nature Climate Change,,,2018-08,2018,8,8,651-653,Closed,Article,"Anderson, Sarah E.; Bart, Ryan R.; Kennedy, Maureen C.; MacDonald, Andrew J.; Moritz, Max A.; Plantinga, Andrew J.; Tague, Christina L.; Wibbenmeyer, Matthew","Anderson, Sarah E.","Anderson, Sarah E. (University of California, Santa Barbara); Bart, Ryan R. (University of California, Santa Barbara; University of California, Merced); Kennedy, Maureen C. (University of Washington Tacoma); MacDonald, Andrew J. (University of California, Santa Barbara; Stanford University); Moritz, Max A. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara); Tague, Christina L. (University of California, Santa Barbara); Wibbenmeyer, Matthew (University of California, Berkeley)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1104468771,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
7,200,pub.1091987076,10.1002/bes2.1336,,,The Accuracy of Citizen Science Data: A Quantitative Review,Bulletin of the Ecological Society of America,,,2017-10,2017,98,4,278-290,All OA; Gold,Article,"Aceves‐Bueno, Eréndira; Adeleye, Adeyemi S.; Feraud, Marina; Huang, Yuxiong; Tao, Mengya; Yang, Yi; Anderson, Sarah E.",,"Aceves‐Bueno, Eréndira (University of California, Santa Barbara); Adeleye, Adeyemi S. (University of California, Santa Barbara); Feraud, Marina (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); Tao, Mengya (University of California, Santa Barbara); Yang, Yi (University of California, Santa Barbara); Anderson, Sarah E. (University of California, Santa Barbara)",20,20,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/bes2.1336,https://app.dimensions.ai/details/publication/pub.1091987076,,,,,,
8,100,pub.1085463423,10.1002/2016wr020136,,,Urban responses to restrictive conservation policy during drought,Water Resources Research,,,2017-05,2017,53,5,4459-4475,Closed,Article,"Palazzo, Joseph; Liu, Owen R.; Stillinger, Timbo; Song, Runsheng; Wang, Ying; Hiroyasu, Elizabeth H. T.; Zenteno, Jose; Anderson, Sarah; Tague, Christina",,"Palazzo, Joseph (University of California, Santa Barbara); Liu, Owen R. (University of California, Santa Barbara); Stillinger, Timbo (University of California, Santa Barbara); Song, Runsheng (University of California, Santa Barbara); Wang, Ying (University of California, Santa Barbara); Hiroyasu, Elizabeth H. T. (University of California, Santa Barbara); Zenteno, Jose (University of California, Santa Barbara); Anderson, Sarah (University of California, Santa Barbara); Tague, Christina (University of California, Santa Barbara)",8,7,,8.5,,https://app.dimensions.ai/details/publication/pub.1085463423,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
9,100,pub.1031175083,10.1111/lsq.12124,,,Legislative Institutions as a Source of Party Leaders' Influence,Legislative Studies Quarterly,,,2016-08,2016,41,3,605-631,"All OA; Green, Accepted & Submitted",Article,"Anderson, Sarah E.; Butler, Daniel M.; Harbridge, Laurel",,"Anderson, Sarah E. (University of California, Santa Barbara); Butler, Daniel M. (Washington University in St. Louis); Harbridge, Laurel (Northwestern University)",8,7,,8.53,https://escholarship.org/content/qt4c466911/qt4c466911.pdf?t=odg0at,https://app.dimensions.ai/details/publication/pub.1031175083,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
10,200,pub.1059823759,10.1093/jopart/muw002,,,Agency Structure and the Distribution of Federal Spending,Journal of Public Administration Research and Theory,,,2016-07,2016,26,3,461-474,"All OA; Green, Accepted & Submitted",Article,"Anderson, Sarah E.; Potoski, Matthew",,"Anderson, Sarah E. (); Potoski, Matthew ()",3,1,,2.65,https://escholarship.org/content/qt75g234mq/qt75g234mq.pdf?t=odg132,https://app.dimensions.ai/details/publication/pub.1059823759,1606 Political Science; 1605 Policy and Administration; 16 Studies in Human Society,1606 Political Science,1605 Policy and Administration,16 Studies in Human Society,,
11,100,pub.1049892689,10.1111/jiec.12183,,,Critical Components of Uncertainty Communication in Life Cycle Assessments of Emerging Technologies,Journal of Industrial Ecology,,,2015-06,2015,19,3,468-479,"All OA; Green, Accepted & Submitted",Article,"Gavankar, Sheetal; Anderson, Sarah; Keller, Arturo A.",,"Gavankar, Sheetal (University of California, Santa Barbara); Anderson, Sarah (); Keller, Arturo A. ()",13,7,,7.62,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jiec.12202,https://app.dimensions.ai/details/publication/pub.1049892689,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
