,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Seeta A Sistla. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1122928054,10.1007/s11104-019-04357-7,,,Legacy effects of nitrogen deposition on plant nutrient stoichiometry in a temperate grassland,Plant and Soil,,,11/27/19,2019,,,11-Jan,Closed,Article,"Hu, Yan-Yu; Sistla, Seeta; Wei, Hai-Wei; Zhang, Zhi-Wei; Hou, Shuang-Li; Yang, Jun-Jie; Wang, Zheng-Wen; Wang, Jun-Feng; Lü, Xiao-Tao","Lü, Xiao-Tao","Hu, Yan-Yu (Institute of Applied Ecology; University of Chinese Academy of Sciences); Sistla, Seeta (California Polytechnic State University); Wei, Hai-Wei (Institute of Applied Ecology; University of Chinese Academy of Sciences); Zhang, Zhi-Wei (Institute of Applied Ecology; University of Chinese Academy of Sciences); Hou, Shuang-Li (Institute of Applied Ecology); Yang, Jun-Jie (Institute of Botany); Wang, Zheng-Wen (Institute of Applied Ecology); Wang, Jun-Feng (Northeast Normal University); Lü, Xiao-Tao (Institute of Applied Ecology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1122928054,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
2,100,pub.1119911065,10.5194/bg-2019-269,,,Metabolic tradeoffs and heterogeneity in microbial responses to temperature determine the fate of litter carbon in a warmer world,Biogeosciences Discussions,,,7/26/19,2019,,,25-Jan,All OA; Gold,Article,"Pold, Grace; Sistla, Seeta A.; DeAngelis, Kristen M.",,"Pold, Grace (University of Massachusetts Amherst); Sistla, Seeta A. (California Polytechnic State University); DeAngelis, Kristen M. (University of Massachusetts Amherst)",0,0,,,http://dx.doi.org/10.5194/bg-2019-269,https://app.dimensions.ai/details/publication/pub.1119911065,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
3,500,pub.1113302427,10.1002/aps3.1237,31024781,PMC6476170,Tracking microhabitat temperature variation with iButton data loggers,Applications in Plant Sciences,,,2019-04,2019,7,4,e01237,All OA; Gold,Article,"Fawcett, Susan; Sistla, Seeta; Dacosta‐Calheiros, Manny; Kahraman, Abdullah; Reznicek, Anton A.; Rosenberg, Rachel; Wettberg, Eric J. B.",,"Fawcett, Susan (University of Vermont); Sistla, Seeta (Hampshire College); Dacosta‐Calheiros, Manny (Florida International University); Kahraman, Abdullah (Harran University); Reznicek, Anton A. (University of Michigan); Rosenberg, Rachel (Hampshire College); Wettberg, Eric J. B. (Florida International University; University of Vermont)",2,2,,,https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.1002/aps3.1237,https://app.dimensions.ai/details/publication/pub.1113302427,0703 Crop and Pasture Production; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,07 Agricultural and Veterinary Sciences,,,
4,100,pub.1112137478,10.1002/ecs2.2608,,,Plant community regulates decomposer response to freezing more strongly than the rate or extent of the freezing regime,Ecosphere,,,2019-02,2019,10,2,e02608,All OA; Gold,Article,"Sistla, Seeta A.; Schaeffer, Sean; Schimel, Joshua P.",,"Sistla, Seeta A. (Hampshire College; University of California, Santa Barbara); Schaeffer, Sean (University of California, Santa Barbara; University of Tennessee at Knoxville); Schimel, Joshua P. (University of California, Santa Barbara)",0,0,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2608,https://app.dimensions.ai/details/publication/pub.1112137478,06 Biological Sciences; 0503 Soil Sciences; 0602 Ecology; 05 Environmental Sciences,06 Biological Sciences,0503 Soil Sciences,0602 Ecology,05 Environmental Sciences,
5,300,pub.1111316238,10.1371/journal.pone.0210844,30629723,PMC6328112,Correction: Eco-Label Conveys Reliable Information on Fish Stock Health to Seafood Consumers,PLoS ONE,,,1/10/19,2019,14,1,e0210844,All OA; Gold,Article,"Gutiérrez, Nicolás L; Valencia, Sarah R; Branch, Trevor A; Agnew, David J; Baum, Julia K; Bianchi, Patricia L; Cornejo-Donoso, Jorge; Costello, Christopher; Defeo, Omar; Essington, Timothy E; Hilborn, Ray; Hoggarth, Daniel D; Larsen, Ashley E; Ninnes, Chris; Sainsbury, Keith; Selden, Rebecca L; Sistla, Seeta; Smith, Anthony D M; Stern-Pirlot, Amanda; Teck, Sarah J; Thorson, James T; Williams, Nicholas E",,"Gutiérrez, Nicolás L (); Valencia, Sarah R (); Branch, Trevor A (); Agnew, David J (); Baum, Julia K (); Bianchi, Patricia L (); Cornejo-Donoso, Jorge (); Costello, Christopher (); Defeo, Omar (); Essington, Timothy E (); Hilborn, Ray (); Hoggarth, Daniel D (); Larsen, Ashley E (); Ninnes, Chris (); Sainsbury, Keith (); Selden, Rebecca L (); Sistla, Seeta (); Smith, Anthony D M (); Stern-Pirlot, Amanda (); Teck, Sarah J (); Thorson, James T (); Williams, Nicholas E ()",0,0,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0210844&type=printable,https://app.dimensions.ai/details/publication/pub.1111316238,,,,,,
6,500,pub.1092411978,10.1371/journal.pone.0186683,29077748,PMC5659644,Coastal livelihood transitions under globalization with implications for trans-ecosystem interactions,PLoS ONE,,Animals; Conservation of Natural Resources; Disasters; Ecosystem; Internationality; Nicaragua,10/27/17,2017,12,10,e0186683,All OA; Gold,Article,"Kramer, Daniel B.; Stevens, Kara; Williams, Nicholas E.; Sistla, Seeta A.; Roddy, Adam B.; Urquhart, Gerald R.",,"Kramer, Daniel B. (Michigan State University); Stevens, Kara (National Oceanic and Atmospheric Administration); Williams, Nicholas E. (University of Colorado Boulder); Sistla, Seeta A. (Hampshire College); Roddy, Adam B. (Yale University); Urquhart, Gerald R. (Michigan State University)",2,2,0,0.79,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0186683&type=printable,https://app.dimensions.ai/details/publication/pub.1092411978,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,100,pub.1084070360,10.1016/j.ecoleng.2017.02.057,,,Long-term mowing did not alter the impacts of nitrogen deposition on litter quality in a temperate steppe,Ecological Engineering,,,2017-05,2017,102,,404-410,Closed,Article,"Hou, Shuang-Li; Yin, Jiang-Xia; Sistla, Seeta; Yang, Jun-Jie; Sun, Yue; Li, Yuan-Yuan; Lü, Xiao-Tao; Han, Xing-Guo","Lü, Xiao-Tao","Hou, Shuang-Li (Institute of Applied Ecology; University of Chinese Academy of Sciences); Yin, Jiang-Xia (Liaoning University); Sistla, Seeta (Hampshire College); Yang, Jun-Jie (Institute of Applied Ecology); Sun, Yue (Liaoning University); Li, Yuan-Yuan (Institute of Applied Ecology); Lü, Xiao-Tao (Institute of Applied Ecology); Han, Xing-Guo (Institute of Botany)",2,1,,,,https://app.dimensions.ai/details/publication/pub.1084070360,09 Engineering; 04 Earth Sciences; 05 Environmental Sciences,09 Engineering,04 Earth Sciences,05 Environmental Sciences,,
8,400,pub.1012698849,10.1038/nature20150,27905442,,Quantifying global soil carbon losses in response to warming,Nature,,"Atmosphere; Carbon; Carbon Cycle; Databases, Factual; Ecosystem; Feedback; Geography; Global Warming; Models, Statistical; Reproducibility of Results; Soil; Temperature",2016-12,2016,540,7631,104-108,"All OA; Green, Accepted & Submitted",Article,"Crowther, T. W.; Todd-Brown, K. E. O.; Rowe, C. W.; Wieder, W. R.; Carey, J. C.; Machmuller, M. B.; Snoek, B. L.; Fang, S.; Zhou, G.; Allison, S. D.; Blair, J. M.; Bridgham, S. D.; Burton, A. J.; Carrillo, Y.; Reich, P. B.; Clark, J. S.; Classen, A. T.; Dijkstra, F. A.; Elberling, B.; Emmett, B. A.; Estiarte, M.; Frey, S. D.; Guo, J.; Harte, J.; Jiang, L.; Johnson, B. R.; Kröel-Dulay, G.; Larsen, K. S.; Laudon, H.; Lavallee, J. M.; Luo, Y.; Lupascu, M.; Ma, L. N.; Marhan, S.; Michelsen, A.; Mohan, J.; Niu, S.; Pendall, E.; Peñuelas, J.; Pfeifer-Meister, L.; Poll, C.; Reinsch, S.; Reynolds, L. L.; Schmidt, I. K.; Sistla, S.; Sokol, N. W.; Templer, P. H.; Treseder, K. K.; Welker, J. M.; Bradford, M. A.","Crowther, T. W.","Crowther, T. W. (Netherlands Institute of Ecology; Yale University); Todd-Brown, K. E. O. (Pacific Northwest National Laboratory); Rowe, C. W. (Yale University); Wieder, W. R. (Climate and Global Dynamics Laboratory; Institute of Arctic and Alpine Research); Carey, J. C. (Marine Biological Laboratory); Machmuller, M. B. (Colorado State University); Snoek, B. L. (Netherlands Institute of Ecology; Wageningen University & Research); Fang, S. (China Meteorological Administration; Nanjing University of Information Science and Technology); Zhou, G. (China Meteorological Administration); Allison, S. D. (University of California, Irvine); Blair, J. M. (Kansas State University); Bridgham, S. D. (University of Oregon); Burton, A. J. (Michigan Technological University); Carrillo, Y. (Western Sydney University); Reich, P. B. (Western Sydney University; University of Minnesota); Clark, J. S. (Duke University); Classen, A. T. (University of Copenhagen; University of Tennessee at Knoxville); Dijkstra, F. A. (University of Sydney); Elberling, B. (University of Copenhagen); Emmett, B. A. (Centre for Ecology and Hydrology); Estiarte, M. (Centre for Research on Ecology and Forestry Applications); Frey, S. D. (University of New Hampshire); Guo, J. (Northeast Normal University); Harte, J. (University of California, Berkeley); Jiang, L. (University of Oklahoma); Johnson, B. R. (University of Oregon); Kröel-Dulay, G. (Institute of Ecology and Botany); Larsen, K. S. (University of Copenhagen); Laudon, H. (Swedish University of Agricultural Sciences); Lavallee, J. M. (Colorado State University; University of Manchester); Luo, Y. (University of Oklahoma; Tsinghua University); Lupascu, M. (National University of Singapore); Ma, L. N. (Institute of Botany); Marhan, S. (University of Hohenheim); Michelsen, A. (University of Copenhagen); Mohan, J. (University of Georgia); Niu, S. (Institute of Geographic Sciences and Natural Resources Research); Pendall, E. (Western Sydney University); Peñuelas, J. (Centre for Research on Ecology and Forestry Applications); Pfeifer-Meister, L. (University of Oregon); Poll, C. (University of Hohenheim); Reinsch, S. (Centre for Ecology and Hydrology); Reynolds, L. L. (University of Oregon); Schmidt, I. K. (University of Copenhagen); Sistla, S. (Hampshire College); Sokol, N. W. (Pacific Northwest National Laboratory); Templer, P. H. (Boston University); Treseder, K. K. (University of California, Irvine); Welker, J. M. (University of Alaska Anchorage); Bradford, M. A. (Netherlands Institute of Ecology; Yale University)",263,219,9.02,73.48,https://cloudfront.escholarship.org/dist/prd/content/qt2jd320d9/qt2jd320d9.pdf?t=ohzaz1,https://app.dimensions.ai/details/publication/pub.1012698849,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
9,400,pub.1043868760,10.1371/journal.pone.0162529,27606619,PMC5015841,Agroforestry Practices Promote Biodiversity and Natural Resource Diversity in Atlantic Nicaragua,PLoS ONE,,Agriculture; Atlantic Ocean; Biodiversity; Forestry; Geography; Nicaragua; Soil; Species Specificity,9/8/16,2016,11,9,e0162529,All OA; Gold,Article,"Sistla, Seeta A.; Roddy, Adam B.; Williams, Nicholas E.; Kramer, Daniel B.; Stevens, Kara; Allison, Steven D.",,"Sistla, Seeta A. (Hampshire College; University of California, Irvine); Roddy, Adam B. (Yale University); Williams, Nicholas E. (University of California, Santa Barbara; University of Colorado Boulder); Kramer, Daniel B. (Michigan State University); Stevens, Kara (Michigan State University); Allison, Steven D. (University of California, Irvine)",7,6,0.09,1.96,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0162529&type=printable,https://app.dimensions.ai/details/publication/pub.1043868760,0602 Ecology; 0502 Environmental Science and Management; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
